qualification_name,qualification_code,subject_name,subject_code,size,grade_structure,prior_attainment_band,grade,count,percentage
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,A,1,50%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",1-<2,C,1,50%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,A,3,4.35%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,B,11,15.94%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,C,13,18.84%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,D,17,24.64%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,E,14,20.29%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",2-<3,U,11,15.94%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,*,7,1.61%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,A,21,4.83%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,B,50,11.49%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,C,97,22.3%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,D,92,21.15%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,E,100,22.99%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",3-<4,U,68,15.63%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,*,42,2.15%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,A,170,8.7%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,B,350,17.9%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,C,490,25.06%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,D,427,21.84%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,E,302,15.45%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",4-<5,U,174,8.9%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,*,267,5.53%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,A,801,16.58%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,B,1151,23.83%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,C,1217,25.2%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,D,786,16.27%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,E,397,8.22%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",5-<6,U,211,4.37%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",6-<7,*,912,10.92%
Extended Project (Diploma),101,Study Skills,20296,0.3,"*,A,B,C,D,E",6-<7,A,2200,26.33%
