2022 JUNIOR CYCLE STATISTICS,
HIGHER LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,DN   ,HM   ,MT   ,AD   ,PA   ,NG  ,TOTALS  ,

    GAEILGE,              813, 6115,12413, 7055, 2744,  402,       29542,

    IRISH,                2.8, 20.7, 42.0, 23.9,  9.3,  1.4,

    TOTAL FEMALE,         611, 4165, 7441, 3553, 1228,  150,       17148,

    % FEMALE ,            3.6, 24.3, 43.4, 20.7,  7.2,  0.9,

    TOTAL MALE,           202, 1950, 4972, 3502, 1516,  252,       12394,

    % MALE ,              1.6, 15.7, 40.1, 28.3, 12.2,  2.0,
-----------------------------------------------------------------------------------------------------------------------

    GAEILGE T1,            94,  616, 1238,  533,  105,   13,        2599,

    GAEILGE T1,           3.6, 23.7, 47.6, 20.5,  4.0,  0.5,

    TOTAL FEMALE,          72,  406,  666,  233,   38,    4,        1419,

    % FEMALE ,            5.1, 28.6, 46.9, 16.4,  2.7,  0.3,

    TOTAL MALE,            22,  210,  572,  300,   67,    9,        1180,

    % MALE ,              1.9, 17.8, 48.5, 25.4,  5.7,  0.8,
-----------------------------------------------------------------------------------------------------------------------

    BÉARLA,              1187, 9910,27523,12577, 2749,  146,       54092,

    ENGLISH,              2.2, 18.3, 50.9, 23.3,  5.1,  0.3,

    TOTAL FEMALE,         920, 6856,14788, 4772,  831,   48,       28215,

    % FEMALE ,            3.3, 24.3, 52.4, 16.9,  2.9,  0.2,

    TOTAL MALE,           267, 3054,12735, 7805, 1918,   98,       25877,

    % MALE ,              1.0, 11.8, 49.2, 30.2,  7.4,  0.4,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,          1470, 9120,17892, 8573, 2984,  237,       40276,

    MATHEMATICS,          3.6, 22.6, 44.4, 21.3,  7.4,  0.6,

    TOTAL FEMALE,         505, 4431, 9192, 4576, 1641,  122,       20467,

    % FEMALE ,            2.5, 21.6, 44.9, 22.4,  8.0,  0.6,

    TOTAL MALE,           965, 4689, 8700, 3997, 1343,  115,       19809,

    % MALE ,              4.9, 23.7, 43.9, 20.2,  6.8,  0.6,
-----------------------------------------------------------------------------------------------------------------------


