2022 JUNIOR CYCLE STATISTICS,
COMMON LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,DN   ,HM   ,MT   ,AD   ,PA   ,NG  ,TOTALS  ,

    STAIR,               1657,12863,25583,12189, 4158,  410,       56860,

    HISTORY,              2.9, 22.6, 45.0, 21.4,  7.3,  0.7,

    TOTAL FEMALE,        1065, 7092,12415, 5525, 1797,  136,       28030,

    % FEMALE ,            3.8, 25.3, 44.3, 19.7,  6.4,  0.5,

    TOTAL MALE,           592, 5771,13168, 6664, 2361,  274,       28830,

    % MALE ,              2.1, 20.0, 45.7, 23.1,  8.2,  1.0,
-----------------------------------------------------------------------------------------------------------------------

    TÍREOLAÍOCHT,        1529,13819,27039,11958, 4026,  237,       58608,

    GEOGRAPHY,            2.6, 23.6, 46.1, 20.4,  6.9,  0.4,

    TOTAL FEMALE,         908, 7481,12946, 5453, 1936,   94,       28818,

    % FEMALE ,            3.2, 26.0, 44.9, 18.9,  6.7,  0.3,

    TOTAL MALE,           621, 6338,14093, 6505, 2090,  143,       29790,

    % MALE ,              2.1, 21.3, 47.3, 21.8,  7.0,  0.5,
-----------------------------------------------------------------------------------------------------------------------

    FRAINCIS,            1208, 5838,10959, 7586, 3377,  299,       29267,

    FRENCH,               4.1, 19.9, 37.4, 25.9, 11.5,  1.0,

    TOTAL FEMALE,         807, 3715, 6197, 3561, 1278,   69,       15627,

    % FEMALE ,            5.2, 23.8, 39.7, 22.8,  8.2,  0.4,

    TOTAL MALE,           401, 2123, 4762, 4025, 2099,  230,       13640,

    % MALE ,              2.9, 15.6, 34.9, 29.5, 15.4,  1.7,
-----------------------------------------------------------------------------------------------------------------------

    GEARMÁINIS,           373, 2371, 4540, 2278, 1049,  129,       10740,

    GERMAN,               3.5, 22.1, 42.3, 21.2,  9.8,  1.2,

    TOTAL FEMALE,         218, 1353, 2251,  890,  341,   23,        5076,

    % FEMALE ,            4.3, 26.7, 44.3, 17.5,  6.7,  0.5,

    TOTAL MALE,           155, 1018, 2289, 1388,  708,  106,        5664,

    % MALE ,              2.7, 18.0, 40.4, 24.5, 12.5,  1.9,
-----------------------------------------------------------------------------------------------------------------------

    SPÁINNIS,             512, 3907, 6476, 3151, 1501,  214,       15761,

    SPANISH,              3.2, 24.8, 41.1, 20.0,  9.5,  1.4,
 

    TOTAL FEMALE,         372, 2565, 3493, 1439,  587,   54,        8510,

    % FEMALE ,            4.4, 30.1, 41.0, 16.9,  6.9,  0.6,

    TOTAL MALE,           140, 1342, 2983, 1712,  914,  160,        7251,

    % MALE ,              1.9, 18.5, 41.1, 23.6, 12.6,  2.2,
-----------------------------------------------------------------------------------------------------------------------

    IODÁILIS,              34,  120,  197,   76,   24,    8,         459,

    ITALIAN,              7.4, 26.1, 42.9, 16.6,  5.2,  1.7,

    TOTAL FEMALE,          27,   81,  125,   37,   13,    2,         285,

    % FEMALE ,            9.5, 28.4, 43.9, 13.0,  4.6,  0.7,

    TOTAL MALE,             7,   39,   72,   39,   11,    6,         174,

    % MALE ,              4.0, 22.4, 41.4, 22.4,  6.3,  3.4,
-----------------------------------------------------------------------------------------------------------------------

    INNEALTÓIREACHT,      207, 2694, 3225, 1475, 1127,  322,        9050,

    ENGINEERING,          2.3, 29.8, 35.6, 16.3, 12.5,  3.6,

    TOTAL FEMALE,          37,  433,  429,  216,  164,   59,        1338,

    % FEMALE ,            2.8, 32.4, 32.1, 16.1, 12.3,  4.4,

    TOTAL MALE,           170, 2261, 2796, 1259,  963,  263,        7712,

    % MALE ,              2.2, 29.3, 36.3, 16.3, 12.5,  3.4,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR GNÓ,        1254, 8239,16123, 8058, 3257,  411,       37342,

    BUSINESS STUDIES,     3.4, 22.1, 43.2, 21.6,  8.7,  1.1,

    TOTAL FEMALE,         739, 4424, 7895, 3494, 1336,  127,       18015,

    % FEMALE ,            4.1, 24.6, 43.8, 19.4,  7.4,  0.7,

    TOTAL MALE,           515, 3815, 8228, 4564, 1921,  284,       19327,

    % MALE ,              2.7, 19.7, 42.6, 23.6,  9.9,  1.5,
-----------------------------------------------------------------------------------------------------------------------

    CEOL,                 742, 4383, 4405, 1271,  534,  112,       11447,

    MUSIC,                6.5, 38.3, 38.5, 11.1,  4.7,  1.0,

    TOTAL FEMALE,         496, 3135, 2987,  733,  323,   59,        7733,

    % FEMALE ,            6.4, 40.5, 38.6,  9.5,  4.2,  0.8,

    TOTAL MALE,           246, 1248, 1418,  538,  211,   53,        3714,

    % MALE ,              6.6, 33.6, 38.2, 14.5,  5.7,  1.4,
-----------------------------------------------------------------------------------------------------------------------
 

    EACNAMAÍOCHT BHAIL,   578, 7862,14062, 2820,  811,  189,       26322,

    HOME ECONOMICS,       2.2, 29.9, 53.4, 10.7,  3.1,  0.7,

    TOTAL FEMALE,         570, 7295,10854, 1484,  490,  116,       20809,

    % FEMALE ,            2.7, 35.1, 52.2,  7.1,  2.4,  0.6,

    TOTAL MALE,             8,  567, 3208, 1336,  321,   73,        5513,

    % MALE ,              0.1, 10.3, 58.2, 24.2,  5.8,  1.3,
-----------------------------------------------------------------------------------------------------------------------

    EOLAÍOCHT,           2350,15907,26104,12044, 5559,  590,       62554,

    SCIENCE,              3.8, 25.4, 41.7, 19.3,  8.9,  0.9,

    TOTAL FEMALE,        1041, 8037,13141, 5591, 2462,  185,       30457,

    % FEMALE ,            3.4, 26.4, 43.1, 18.4,  8.1,  0.6,

    TOTAL MALE,          1309, 7870,12963, 6453, 3097,  405,       32097,

    % MALE ,              4.1, 24.5, 40.4, 20.1,  9.6,  1.3,
-----------------------------------------------------------------------------------------------------------------------

    LÉANN CLASAICEACH,     49,  331,  377,  109,   38,    5,         909,

    CLASSICS,             5.4, 36.4, 41.5, 12.0,  4.2,  0.6,

    TOTAL FEMALE,          23,  115,   84,   25,   13,    0,         260,

    % FEMALE ,            8.8, 44.2, 32.3,  9.6,  5.0,  0.0,

    TOTAL MALE,            26,  216,  293,   84,   25,    5,         649,

    % MALE ,              4.0, 33.3, 45.1, 12.9,  3.9,  0.8,
-----------------------------------------------------------------------------------------------------------------------

    THEICNEOLAÍICGT FH,   125, 1101, 2428, 1262,  606,  140,        5662,

    APPLIED TECHNOLOGY,   2.2, 19.4, 42.9, 22.3, 10.7,  2.5,

    TOTAL FEMALE,          53,  324,  534,  203,  101,   32,        1247,

    % FEMALE ,            4.3, 26.0, 42.8, 16.3,  8.1,  2.6,

    TOTAL MALE,            72,  777, 1894, 1059,  505,  108,        4415,

    % MALE ,              1.6, 17.6, 42.9, 24.0, 11.4,  2.4,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAIOCHT ADH,   473, 6636,10347, 1967,  428,  352,       20203,

    WOOD TECHNOLOGY,      2.3, 32.8, 51.2,  9.7,  2.1,  1.7,

    TOTAL FEMALE,         173, 1769, 2033,  356,   96,   83,        4510,

    % FEMALE ,            3.8, 39.2, 45.1,  7.9,  2.1,  1.8,
 

    TOTAL MALE,           300, 4867, 8314, 1611,  332,  269,       15693,

    % MALE ,              1.9, 31.0, 53.0, 10.3,  2.1,  1.7,
-----------------------------------------------------------------------------------------------------------------------

    GRAFAIC,              640, 3274, 5568, 2457, 1450,  494,       13883,

    GRAPHICS,             4.6, 23.6, 40.1, 17.7, 10.4,  3.6,

    TOTAL FEMALE,         248,  994, 1163,  388,  211,   89,        3093,

    % FEMALE ,            8.0, 32.1, 37.6, 12.5,  6.8,  2.9,

    TOTAL MALE,           392, 2280, 4405, 2069, 1239,  405,       10790,

    % MALE ,              3.6, 21.1, 40.8, 19.2, 11.5,  3.8,
-----------------------------------------------------------------------------------------------------------------------

    OIDEACHAS REILIGIÚ,   870, 6251,12480, 4234, 1106,  171,       25112,

    RELIGIOUS EDUCATIO,   3.5, 24.9, 49.7, 16.9,  4.4,  0.7,

    TOTAL FEMALE,         620, 4022, 6117, 1726,  417,   45,       12947,

    % FEMALE ,            4.8, 31.1, 47.2, 13.3,  3.2,  0.3,

    TOTAL MALE,           250, 2229, 6363, 2508,  689,  126,       12165,

    % MALE ,              2.1, 18.3, 52.3, 20.6,  5.7,  1.0,
-----------------------------------------------------------------------------------------------------------------------

    AMHARC-EALAÍN,        481, 2966, 8571, 7227, 1324,  287,       20856,

    VISUAL ART,           2.3, 14.2, 41.1, 34.7,  6.3,  1.4,

    TOTAL FEMALE,         425, 2491, 6251, 3866,  603,  136,       13772,

