2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    EALAÍN,158,372,444,247,129,64,49,68,1531
,,,,,,,,,
    ART,10.3,24.3,29,16.1,8.5,4.2,3.2,4.5,
,,,,,,,,,
    TOTAL FEMALE,91,188,241,130,60,31,22,26,789
,,,,,,,,,
    % FEMALE ,11.5,23.8,30.5,16.5,7.7,3.9,2.8,3.3,
,,,,,,,,,
    TOTAL MALE,67,184,203,117,69,33,27,42,742
,,,,,,,,,
    % MALE ,9,24.8,27.3,15.7,9.3,4.4,3.6,5.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC FHEIDHM,17,12,17,15,9,7,8,5,90
,,,,,,,,,
    APPLIED MATHEMATIC,18.9,13.3,18.9,16.7,10,7.8,8.9,5.6,
,,,,,,,,,
    TOTAL FEMALE,5,4,6,5,3,1,0,1,25
,,,,,,,,,
    % FEMALE ,20,16,24,20,12,4,0,4,
,,,,,,,,,
    TOTAL MALE,12,8,11,10,6,6,8,4,65
,,,,,,,,,
    % MALE ,18.5,12.3,16.9,15.4,9.2,9.2,12.3,6.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC,117,190,265,221,190,140,88,69,1280
,,,,,,,,,
    PHYSICS,9.1,14.8,20.7,17.3,14.8,10.9,6.9,5.4,
,,,,,,,,,
    TOTAL FEMALE,35,30,58,44,40,26,11,14,258
,,,,,,,,,
    % FEMALE ,13.6,11.6,22.5,17.1,15.5,10.1,4.3,5.4,
,,,,,,,,,
    TOTAL MALE,82,160,207,177,150,114,77,55,1022
,,,,,,,,,
    % MALE ,8,15.7,20.3,17.3,14.7,11.2,7.5,5.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEIMIC,42,107,217,228,223,135,130,116,1198
,,,,,,,,,
    CHEMISTRY,3.5,8.9,18.1,19,18.6,11.3,10.9,9.7,
,,,,,,,,,
    TOTAL FEMALE,36,61,122,117,105,62,66,50,619
,,,,,,,,,
    % FEMALE ,5.8,9.9,19.7,18.9,17,10,10.7,8.1,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL MALE,6,46,95,111,118,73,64,66,579
,,,,,,,,,
    % MALE ,1,7.9,16.4,19.2,20.4,12.6,11.1,11.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC & CEIMIC,5,2,6,13,14,8,3,10,61
,,,,,,,,,
    PHYSICS & CHEMISTR,8.2,3.3,9.8,21.3,23,13.1,4.9,16.4,
,,,,,,,,,
    TOTAL FEMALE,5,0,1,4,5,2,1,3,21
,,,,,,,,,
    % FEMALE ,23.8,0,4.8,19,23.8,9.5,4.8,14.3,
,,,,,,,,,
    TOTAL MALE,0,2,5,9,9,6,2,7,40
,,,,,,,,,
    % MALE ,0,5,12.5,22.5,22.5,15,5,17.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EOLAÍOCHT TALMHAÍO,9,82,266,321,265,153,64,35,1195
,,,,,,,,,
    AGRICULTURAL SCIEN,0.8,6.9,22.3,26.9,22.2,12.8,5.4,2.9,
,,,,,,,,,
    TOTAL FEMALE,4,21,77,94,82,46,20,5,349
,,,,,,,,,
    % FEMALE ,1.1,6,22.1,26.9,23.5,13.2,5.7,1.4,
,,,,,,,,,
    TOTAL MALE,5,61,189,227,183,107,44,30,846
,,,,,,,,,
    % MALE ,0.6,7.2,22.3,26.8,21.6,12.6,5.2,3.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,118,600,1234,1355,1068,602,283,149,5409
,,,,,,,,,
    BIOLOGY,2.2,11.1,22.8,25.1,19.7,11.1,5.2,2.8,
,,,,,,,,,
    TOTAL FEMALE,72,356,694,729,576,336,152,70,2985
,,,,,,,,,
    % FEMALE ,2.4,11.9,23.2,24.4,19.3,11.3,5.1,2.3,
,,,,,,,,,
    TOTAL MALE,46,244,540,626,492,266,131,79,2424
,,,,,,,,,
    % MALE ,1.9,10.1,22.3,25.8,20.3,11,5.4,3.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,20,94,172,177,102,57,37,16,675
,,,,,,,,,
    ENGINEERING,3,13.9,25.5,26.2,15.1,8.4,5.5,2.4,
,,,,,,,,,
    TOTAL FEMALE,0,8,24,23,6,4,4,2,71
,,,,,,,,,
    % FEMALE ,0,11.3,33.8,32.4,8.5,5.6,5.6,2.8,
,,,,,,,,,
    TOTAL MALE,20,86,148,154,96,53,33,14,604
,,,,,,,,,
    % MALE ,3.3,14.2,24.5,25.5,15.9,8.8,5.5,2.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOC,8,87,263,323,205,141,74,66,1167
,,,,,,,,,
    CONSTRUCTION STUDI,0.7,7.5,22.5,27.7,17.6,12.1,6.3,5.7,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,2,14,34,38,33,20,13,12,166
,,,,,,,,,
    % FEMALE ,1.2,8.4,20.5,22.9,19.9,12,7.8,7.2,
,,,,,,,,,
    TOTAL MALE,6,73,229,285,172,121,61,54,1001
,,,,,,,,,
    % MALE ,0.6,7.3,22.9,28.5,17.2,12.1,6.1,5.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,280,240,251,225,241,194,179,199,1809
,,,,,,,,,
    ACCOUNTING,15.5,13.3,13.9,12.4,13.3,10.7,9.9,11,
,,,,,,,,,
    TOTAL FEMALE,172,116,126,90,97,78,70,67,816
,,,,,,,,,
    % FEMALE ,21.1,14.2,15.4,11,11.9,9.6,8.6,8.2,
,,,,,,,,,
    TOTAL MALE,108,124,125,135,144,116,109,132,993
,,,,,,,,,
    % MALE ,10.9,12.5,12.6,13.6,14.5,11.7,11,13.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,216,504,697,717,520,267,137,71,3129
,,,,,,,,,
    BUSINESS,6.9,16.1,22.3,22.9,16.6,8.5,4.4,2.3,
,,,,,,,,,
    TOTAL FEMALE,96,210,306,305,223,124,58,18,1340
,,,,,,,,,
    % FEMALE ,7.2,15.7,22.8,22.8,16.6,9.3,4.3,1.3,
,,,,,,,,,
    TOTAL MALE,120,294,391,412,297,143,79,53,1789
,,,,,,,,,
    % MALE ,6.7,16.4,21.8,23,16.6,8,4.4,3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,28,149,162,132,62,32,10,0,575
,,,,,,,,,
    ECONOMICS,4.9,25.9,28.3,22.9,10.8,5.6,1.7,0,
,,,,,,,,,
    TOTAL FEMALE,9,59,59,36,17,4,3,0,187
,,,,,,,,,
    % FEMALE ,4.8,31.6,31.6,19.3,9.1,2.1,1.6,0,
,,,,,,,,,
    TOTAL MALE,19,90,104,96,45,28,6,0,388
,,,,,,,,,
    % MALE ,4.9,23.1,26.7,24.7,11.6,7.2,1.8,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,1,2,10,8,12,6,8,5,52
,,,,,,,,,
    JAPANESE,1.9,3.8,19.2,15.4,23.1,11.5,15.4,9.6,
,,,,,,,,,
    TOTAL FEMALE,1,0,6,4,9,1,3,1,25
,,,,,,,,,
    % FEMALE ,4,0,24,16,36,4,12,4,
,,,,,,,,,
    TOTAL MALE,0,2,4,4,3,5,5,4,27
,,,,,,,,,
    % MALE ,0,7.4,14.8,14.8,11.1,18.5,18.5,14.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,4,20,32,36,25,17,5,3,142
,,,,,,,,,
    TECHNOLOGY,2.8,14.1,22.5,25.4,17.6,12,3.5,2.1,
,,,,,,,,,
    TOTAL FEMALE,0,1,5,8,5,2,0,1,22
,,,,,,,,,
    % FEMALE ,0,4.5,22.7,36.4,22.7,9.1,0,4.5,
,,,,,,,,,
    TOTAL MALE,4,19,27,28,20,15,5,2,120
,,,,,,,,,
    % MALE ,3.3,15.8,22.5,23.3,16.7,12.5,4.2,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEOL,43,146,147,80,37,17,10,5,485
,,,,,,,,,
    MUSIC,8.9,30.1,30.3,16.5,7.6,3.5,2.1,1,
,,,,,,,,,
    TOTAL FEMALE,29,91,79,46,17,8,4,1,275
,,,,,,,,,
    % FEMALE ,10.5,33.1,28.7,16.7,6.2,2.9,1.5,0.4,
,,,,,,,,,
    TOTAL MALE,14,55,68,34,20,9,6,4,210
,,,,,,,,,
    % MALE ,6.7,26.2,32.4,16.2,9.5,4.3,2.9,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAIL,74,382,595,521,277,156,54,8,2067
,,,,,,,,,
    HOME ECONOMICS S &,3.6,18.5,28.8,25.2,13.4,7.5,2.6,0.4,
,,,,,,,,,
    TOTAL FEMALE,64,303,441,359,184,98,26,1,1476
,,,,,,,,,
    % FEMALE ,4.3,20.5,29.9,24.3,12.5,6.6,1.8,0.1,
,,,,,,,,,
    TOTAL MALE,10,79,154,162,93,58,28,7,591
,,,,,,,,,
    % MALE ,1.7,13.4,26.1,27.4,15.7,9.8,4.7,1.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÍOMHEOLAÍOCHT,35,52,62,37,22,7,3,4,222
,,,,,,,,,
    COMPUTER SCIENCE,15.7,23.3,27.8,16.6,9.9,3.1,1.8,1.8,
,,,,,,,,,
    TOTAL FEMALE,10,7,7,9,8,1,0,1,43
,,,,,,,,,
