2022 JUNIOR CYCLE STATISTICS,
ORDINARY LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,DN   ,HM   ,MT   ,AD   ,PA   ,NG  ,TOTALS  ,

    GAEILGE,              572, 4429,11064, 5997, 2359,  316,       24737,

    IRISH,                2.3, 17.9, 44.7, 24.2,  9.5,  1.3,

    TOTAL FEMALE,         353, 2498, 4776, 2000,  647,   47,       10321,

    % FEMALE ,            3.4, 24.2, 46.3, 19.4,  6.3,  0.5,

    TOTAL MALE,           219, 1931, 6288, 3997, 1712,  269,       14416,

    % MALE ,              1.5, 13.4, 43.6, 27.7, 11.9,  1.9,
-----------------------------------------------------------------------------------------------------------------------

    GAEILGE T1,             4,   21,   64,   32,   10,    3,         134,

    GAEILGE T1,           3.0, 15.7, 47.8, 23.9,  7.5,  2.2,

    TOTAL FEMALE,           2,   11,   26,    9,    5,    0,          53,

    % FEMALE ,            3.8, 20.8, 49.1, 17.0,  9.4,  0.0,

    TOTAL MALE,             2,   10,   38,   23,    5,    3,          81,

    % MALE ,              2.5, 12.3, 46.9, 28.4,  6.2,  3.7,
-----------------------------------------------------------------------------------------------------------------------

    BÉARLA,               259, 2673, 5779, 2535,  840,   87,       12173,

    ENGLISH,              2.1, 22.0, 47.5, 20.8,  6.9,  0.7,

    TOTAL FEMALE,         175, 1318, 2008,  668,  191,   16,        4376,

    % FEMALE ,            4.0, 30.1, 45.9, 15.3,  4.4,  0.4,

    TOTAL MALE,            84, 1355, 3771, 1867,  649,   71,        7797,

    % MALE ,              1.1, 17.4, 48.4, 23.9,  8.3,  0.9,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,           837, 7982,10860, 4179, 1712,  130,       25700,

    MATHEMATICS,          3.3, 31.1, 42.3, 16.3,  6.7,  0.5,

    TOTAL FEMALE,         499, 3950, 4865, 1854,  749,   42,       11959,

    % FEMALE ,            4.2, 33.0, 40.7, 15.5,  6.3,  0.4,

    TOTAL MALE,           338, 4032, 5995, 2325,  963,   88,       13741,

    % MALE ,              2.5, 29.3, 43.6, 16.9,  7.0,  0.6,
-----------------------------------------------------------------------------------------------------------------------


