2018 JUNIOR CERTIFICATE STATISTICS,
ORDINARY LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  ,

    GAEILGE,              710, 6262, 8777, 4963,  967,  128,   15, 21822,

    IRISH,                3.3, 28.7, 40.2, 22.7,  4.4,  0.6,  0.1,

    TOTAL FEMALE,         462, 3297, 3545, 1491,  228,   27,    0,  9050,

    % FEMALE ,            5.1, 36.4, 39.2, 16.5,  2.5,  0.3,  0.0,

    TOTAL MALE,           248, 2965, 5232, 3472,  739,  101,   15, 12772,

    % MALE ,              1.9, 23.2, 41.0, 27.2,  5.8,  0.8,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    MATAMAITIC,          1466, 8128, 8017, 4685, 1169,  334,   34, 23833,

    MATHEMATICS,          6.2, 34.1, 33.6, 19.7,  4.9,  1.4,  0.1,

    TOTAL FEMALE,         840, 4171, 3579, 2040,  468,  119,   15, 11232,

    % FEMALE ,            7.5, 37.1, 31.9, 18.2,  4.2,  1.1,  0.1,

    TOTAL MALE,           626, 3957, 4438, 2645,  701,  215,   19, 12601,

    % MALE ,              5.0, 31.4, 35.2, 21.0,  5.6,  1.7,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    STAIR,               1741, 4176, 4644, 3713,  482,  174,   18, 14948,

    HISTORY,             11.6, 27.9, 31.1, 24.8,  3.2,  1.2,  0.1,

    TOTAL FEMALE,        1105, 2060, 1997, 1636,  211,   63,    2,  7074,

    % FEMALE ,           15.6, 29.1, 28.2, 23.1,  3.0,  0.9,  0.0,

    TOTAL MALE,           636, 2116, 2647, 2077,  271,  111,   16,  7874,

    % MALE ,              8.1, 26.9, 33.6, 26.4,  3.4,  1.4,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    TÍREOLAÍOCHT,         656, 2500, 2579, 1572,  422,  129,    3,  7861,

    GEOGRAPHY,            8.3, 31.8, 32.8, 20.0,  5.4,  1.6,  0.0,

    TOTAL FEMALE,         285, 1143, 1117,  666,  173,   50,    0,  3434,

    % FEMALE ,            8.3, 33.3, 32.5, 19.4,  5.0,  1.5,  0.0,

    TOTAL MALE,           371, 1357, 1462,  906,  249,   79,    3,  4427,

    % MALE ,              8.4, 30.7, 33.0, 20.5,  5.6,  1.8,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    LÉANN CLASAICEACH,      4,   20,   19,   12,    5,   12,    4,    76,

    CLASSICAL STUDIES,    5.3, 26.3, 25.0, 15.8,  6.6, 15.8,  5.3,
 

    TOTAL FEMALE,           1,    4,    5,    2,    0,    4,    0,    16,

    % FEMALE ,            6.3, 25.0, 31.3, 12.5,  0.0, 25.0,  0.0,

    TOTAL MALE,             3,   16,   14,   10,    5,    8,    4,    60,

    % MALE ,              5.0, 26.7, 23.3, 16.7,  8.3, 13.3,  6.7,
-----------------------------------------------------------------------------------------------------------------------

    FRAINCIS,             164, 1570, 2613, 2218,  719,  148,   10,  7442,

    FRENCH,               2.2, 21.1, 35.1, 29.8,  9.7,  2.0,  0.1,

    TOTAL FEMALE,         100,  874, 1217,  777,  227,   29,    2,  3226,

    % FEMALE ,            3.1, 27.1, 37.7, 24.1,  7.0,  0.9,  0.1,

    TOTAL MALE,            64,  696, 1396, 1441,  492,  119,    8,  4216,

    % MALE ,              1.5, 16.5, 33.1, 34.2, 11.7,  2.8,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    GEARMÁINIS,           142,  995,  992,  518,  140,   62,    5,  2854,

    GERMAN,               5.0, 34.9, 34.8, 18.1,  4.9,  2.2,  0.2,

    TOTAL FEMALE,          79,  435,  337,  126,   34,    7,    0,  1018,

    % FEMALE ,            7.8, 42.7, 33.1, 12.4,  3.3,  0.7,  0.0,

    TOTAL MALE,            63,  560,  655,  392,  106,   55,    5,  1836,

    % MALE ,              3.4, 30.5, 35.7, 21.4,  5.8,  3.0,  0.3,
-----------------------------------------------------------------------------------------------------------------------

    SPÁINNIS,             165,  954,  892,  474,  155,   86,   31,  2757,

    SPANISH,              6.0, 34.6, 32.4, 17.2,  5.6,  3.1,  1.1,

    TOTAL FEMALE,          98,  428,  351,  168,   36,   20,    7,  1108,

    % FEMALE ,            8.8, 38.6, 31.7, 15.2,  3.2,  1.8,  0.6,

    TOTAL MALE,            67,  526,  541,  306,  119,   66,   24,  1649,

    % MALE ,              4.1, 31.9, 32.8, 18.6,  7.2,  4.0,  1.5,
-----------------------------------------------------------------------------------------------------------------------

    IODÁILIS,               1,   17,   27,   39,    6,    4,    0,    94,

    ITALIAN,              1.1, 18.1, 28.7, 41.5,  6.4,  4.3,  0.0,

    TOTAL FEMALE,           1,   13,   16,   20,    3,    2,    0,    55,

    % FEMALE ,            1.8, 23.6, 29.1, 36.4,  5.5,  3.6,  0.0,

    TOTAL MALE,             0,    4,   11,   19,    3,    2,    0,    39,

    % MALE ,              0.0, 10.3, 28.2, 48.7,  7.7,  5.1,  0.0,
-----------------------------------------------------------------------------------------------------------------------
 

    EALAÍN  CEARDAÍOCH,   380, 1310, 1565,  813,  254,  111,   12,  4445,

    ART  CRAFT  DESIGN,   8.5, 29.5, 35.2, 18.3,  5.7,  2.5,  0.3,

    TOTAL FEMALE,         235,  695,  686,  329,  101,   39,    2,  2087,

    % FEMALE ,           11.3, 33.3, 32.9, 15.8,  4.8,  1.9,  0.1,

    TOTAL MALE,           145,  615,  879,  484,  153,   72,   10,  2358,

    % MALE ,              6.1, 26.1, 37.3, 20.5,  6.5,  3.1,  0.4,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR GNÓ,         569, 2608, 2087, 1086,  393,  236,   27,  7006,

    BUSINESS STUDIES,     8.1, 37.2, 29.8, 15.5,  5.6,  3.4,  0.4,

    TOTAL FEMALE,         310, 1308,  909,  399,  113,   48,    6,  3093,

    % FEMALE ,           10.0, 42.3, 29.4, 12.9,  3.7,  1.6,  0.2,

    TOTAL MALE,           259, 1300, 1178,  687,  280,  188,   21,  3913,

    % MALE ,              6.6, 33.2, 30.1, 17.6,  7.2,  4.8,  0.5,
-----------------------------------------------------------------------------------------------------------------------

    CEOL,                  23,  404,  646,  400,   66,   96,    3,  1638,

    MUSIC,                1.4, 24.7, 39.4, 24.4,  4.0,  5.9,  0.2,

    TOTAL FEMALE,          15,  263,  386,  221,   27,   61,    2,   975,

    % FEMALE ,            1.5, 27.0, 39.6, 22.7,  2.8,  6.3,  0.2,

    TOTAL MALE,             8,  141,  260,  179,   39,   35,    1,   663,

    % MALE ,              1.2, 21.3, 39.2, 27.0,  5.9,  5.3,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAÍOCHT ÁBH,   135,  819, 1090,  549,  104,   99,   41,  2837,

    MATERIAL TECHNOLOG,   4.8, 28.9, 38.4, 19.4,  3.7,  3.5,  1.4,

    TOTAL FEMALE,          45,  229,  219,   86,   25,   20,    7,   631,

    % FEMALE ,            7.1, 36.3, 34.7, 13.6,  4.0,  3.2,  1.1,

    TOTAL MALE,            90,  590,  871,  463,   79,   79,   34,  2206,

    % MALE ,              4.1, 26.7, 39.5, 21.0,  3.6,  3.6,  1.5,
-----------------------------------------------------------------------------------------------------------------------

    GRAFAIC THEICNIÚIL,   421, 1245,  948,  671,  222,   83,    9,  3599,

