Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
98,HOME ECONOMICS S & S   ,G,2018,2368,0.5,7.3,20.4,27.4,21.7,12.7,6,3.9
99,RUSSIAN                ,A,2018,350,63.7,20.6,8,4.3,1.4,1.1,0.9,0
99,RUSSIAN                ,G,2018,17,11.8,41.2,11.8,5.9,17.6,11.8,0,0
223,RELIGIOUS EDUCATION    ,A,2018,1081,3,16.6,27.8,22.8,15.5,9.2,3.8,1.4
223,RELIGIOUS EDUCATION    ,G,2018,108,0.9,2.8,16.7,16.7,17.6,19.4,13.9,12
547,CZECH                  ,A,2018,13,15.4,23.1,38.5,7.7,15.4,0,0,0
548,POLISH                 ,A,2018,687,9.2,15.3,27.4,24.2,15,5.4,2,1.6
549,LATVIAN                ,A,2018,63,6.3,11.1,25.4,19,17.5,11.1,4.8,4.8
550,LITHUANIAN             ,A,2018,156,7.7,16.7,18.6,26.3,20.5,7.7,1.3,1.3
551,HUNGARIAN              ,A,2018,38,15.8,13.2,10.5,13.2,28.9,13.2,2.6,2.6
553,ROMANIAN               ,A,2018,267,10.5,19.1,22.8,24.3,16.1,4.5,1.9,0.7
554,SLOVAKIAN              ,A,2018,25,20,16,40,12,4,4,4,0
559,BULGARIAN              ,A,2018,15,13.3,20,33.3,20,0,6.7,0,6.7
562,DESIGN & COMMUNICATION ,A,2018,4480,5.8,20.1,24,20.2,15.9,8.7,3.5,1.9
562,DESIGN & COMMUNICATION ,G,2018,913,0.8,9.3,23.3,24,16.9,12.5,6.4,6.9
567,CROATIAN               ,A,2018,47,27.7,29.8,21.3,14.9,4.3,0,2.1,0
568,POLITICS AND SOCIETY   ,A,2018,774,6.1,13.2,20.4,19.4,19.1,12.1,6.8,2.8
568,POLITICS AND SOCIETY   ,G,2018,93,1.1,3.2,14,28,28,12.9,7.5,5.4
                            A,,,,,,,,,,,,
