"Entry year","Region of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2012 - 2013","North East","18","Northern Ireland","Female","Not main scheme application","25"
"2012 - 2013","East Midlands","18","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","North West","18","Northern Ireland","Female","Not main scheme application","80"
"2013 - 2014","London","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Scotland","18","Northern Ireland","Female","Not main scheme application","40"
"2013 - 2014","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","225"
"2013 - 2014","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","North East","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","East Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","North West","18","Northern Ireland","Female","Not main scheme application","80"
"2014 - 2015","London","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2014 - 2015","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","West Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","205"
"2014 - 2015","East of England","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2014 - 2015","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","North West","18","Northern Ireland","Female","Not main scheme application","65"
"2015 - 2016","London","18","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Scotland","18","Northern Ireland","Female","Not main scheme application","65"
"2015 - 2016","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2015 - 2016","West Midlands","18","Northern Ireland","Female","Not main scheme application","15"
"2015 - 2016","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","150"
"2015 - 2016","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","South West","18","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","North East","18","Northern Ireland","Female","Not main scheme application","20"
"2015 - 2016","East Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","North West","18","Northern Ireland","Female","Not main scheme application","110"
"2016 - 2017","London","18","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2016 - 2017","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","West Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","215"
"2016 - 2017","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","South West","18","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","20"
"2016 - 2017","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","North West","18","Northern Ireland","Female","Not main scheme application","105"
"2017 - 2018","London","18","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2017 - 2018","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2017 - 2018","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","280"
"2017 - 2018","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","South West","18","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","15"
"2017 - 2018","North East","18","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","East Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","North West","18","Northern Ireland","Female","Not main scheme application","95"
"2018 - 2019","London","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","South East","18","Northern Ireland","Female","Not main scheme application","15"
"2018 - 2019","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2018 - 2019","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2018 - 2019","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","310"
"2018 - 2019","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","North East","18","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","North West","18","Northern Ireland","Female","Not main scheme application","90"
"2019 - 2020","London","18","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2019 - 2020","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","315"
"2019 - 2020","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","South West","18","Northern Ireland","Female","Not main scheme application","5"
