"Entry year","Region of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2018 - 2019","North West","19","EU (excluding UK)","Female","Main scheme application","325"
"2019 - 2020","London","19","EU (excluding UK)","Female","Main scheme application","1350"
"2019 - 2020","South East","19","EU (excluding UK)","Female","Main scheme application","655"
"2019 - 2020","Scotland","19","EU (excluding UK)","Female","Main scheme application","710"
"2019 - 2020","Wales","19","EU (excluding UK)","Female","Main scheme application","190"
"2019 - 2020","West Midlands","19","EU (excluding UK)","Female","Main scheme application","420"
"2019 - 2020","Northern Ireland","19","EU (excluding UK)","Female","Main scheme application","60"
"2019 - 2020","East of England","19","EU (excluding UK)","Female","Main scheme application","305"
"2019 - 2020","South West","19","EU (excluding UK)","Female","Main scheme application","345"
"2019 - 2020","Yorkshire and the Humber","19","EU (excluding UK)","Female","Main scheme application","235"
"2019 - 2020","North East","19","EU (excluding UK)","Female","Main scheme application","205"
"2019 - 2020","East Midlands","19","EU (excluding UK)","Female","Main scheme application","345"
"2019 - 2020","North West","19","EU (excluding UK)","Female","Main scheme application","300"
"2020 - 2021","London","19","EU (excluding UK)","Female","Main scheme application","1360"
"2020 - 2021","South East","19","EU (excluding UK)","Female","Main scheme application","615"
"2020 - 2021","Scotland","19","EU (excluding UK)","Female","Main scheme application","750"
"2020 - 2021","Wales","19","EU (excluding UK)","Female","Main scheme application","205"
"2020 - 2021","West Midlands","19","EU (excluding UK)","Female","Main scheme application","400"
"2020 - 2021","Northern Ireland","19","EU (excluding UK)","Female","Main scheme application","60"
"2020 - 2021","East of England","19","EU (excluding UK)","Female","Main scheme application","260"
"2020 - 2021","South West","19","EU (excluding UK)","Female","Main scheme application","345"
"2020 - 2021","Yorkshire and the Humber","19","EU (excluding UK)","Female","Main scheme application","200"
"2020 - 2021","North East","19","EU (excluding UK)","Female","Main scheme application","230"
"2020 - 2021","East Midlands","19","EU (excluding UK)","Female","Main scheme application","315"
"2020 - 2021","North West","19","EU (excluding UK)","Female","Main scheme application","360"
"2021 - 2022","London","19","EU (excluding UK)","Female","Main scheme application","575"
"2021 - 2022","South East","19","EU (excluding UK)","Female","Main scheme application","220"
"2021 - 2022","Scotland","19","EU (excluding UK)","Female","Main scheme application","220"
"2021 - 2022","Wales","19","EU (excluding UK)","Female","Main scheme application","45"
"2021 - 2022","West Midlands","19","EU (excluding UK)","Female","Main scheme application","85"
"2021 - 2022","Northern Ireland","19","EU (excluding UK)","Female","Main scheme application","100"
"2021 - 2022","East of England","19","EU (excluding UK)","Female","Main scheme application","65"
"2021 - 2022","South West","19","EU (excluding UK)","Female","Main scheme application","145"
"2021 - 2022","Yorkshire and the Humber","19","EU (excluding UK)","Female","Main scheme application","50"
"2021 - 2022","North East","19","EU (excluding UK)","Female","Main scheme application","60"
"2021 - 2022","East Midlands","19","EU (excluding UK)","Female","Main scheme application","75"
"2021 - 2022","North West","19","EU (excluding UK)","Female","Main scheme application","95"
"2022 - 2023","London","19","EU (excluding UK)","Female","Main scheme application","440"
"2022 - 2023","South East","19","EU (excluding UK)","Female","Main scheme application","160"
"2022 - 2023","Scotland","19","EU (excluding UK)","Female","Main scheme application","130"
"2022 - 2023","Wales","19","EU (excluding UK)","Female","Main scheme application","35"
"2022 - 2023","West Midlands","19","EU (excluding UK)","Female","Main scheme application","45"
"2022 - 2023","Northern Ireland","19","EU (excluding UK)","Female","Main scheme application","190"
"2022 - 2023","East of England","19","EU (excluding UK)","Female","Main scheme application","60"
"2022 - 2023","South West","19","EU (excluding UK)","Female","Main scheme application","100"
"2022 - 2023","Yorkshire and the Humber","19","EU (excluding UK)","Female","Main scheme application","45"
"2022 - 2023","North East","19","EU (excluding UK)","Female","Main scheme application","70"
"2022 - 2023","East Midlands","19","EU (excluding UK)","Female","Main scheme application","45"
"2022 - 2023","North West","19","EU (excluding UK)","Female","Main scheme application","95"
"2023 - 2024","London","19","EU (excluding UK)","Female","Main scheme application","430"
"2023 - 2024","South East","19","EU (excluding UK)","Female","Main scheme application","180"
"2023 - 2024","Scotland","19","EU (excluding UK)","Female","Main scheme application","125"
"2023 - 2024","Wales","19","EU (excluding UK)","Female","Main scheme application","25"
"2023 - 2024","West Midlands","19","EU (excluding UK)","Female","Main scheme application","55"
"2023 - 2024","Northern Ireland","19","EU (excluding UK)","Female","Main scheme application","165"
"2023 - 2024","East of England","19","EU (excluding UK)","Female","Main scheme application","35"
"2023 - 2024","South West","19","EU (excluding UK)","Female","Main scheme application","105"
"2023 - 2024","Yorkshire and the Humber","19","EU (excluding UK)","Female","Main scheme application","30"
"2023 - 2024","North East","19","EU (excluding UK)","Female","Main scheme application","60"
"2023 - 2024","East Midlands","19","EU (excluding UK)","Female","Main scheme application","40"
"2023 - 2024","North West","19","EU (excluding UK)","Female","Main scheme application","100"
"2006 - 2007","London","20","EU (excluding UK)","Female","Main scheme application","270"
"2006 - 2007","South East","20","EU (excluding UK)","Female","Main scheme application","125"
"2006 - 2007","Scotland","20","EU (excluding UK)","Female","Main scheme application","180"
"2006 - 2007","Wales","20","EU (excluding UK)","Female","Main scheme application","35"
"2006 - 2007","West Midlands","20","EU (excluding UK)","Female","Main scheme application","85"
"2006 - 2007","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","15"
"2006 - 2007","East of England","20","EU (excluding UK)","Female","Main scheme application","45"
"2006 - 2007","South West","20","EU (excluding UK)","Female","Main scheme application","40"
"2006 - 2007","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","45"
"2006 - 2007","North East","20","EU (excluding UK)","Female","Main scheme application","25"
"2006 - 2007","East Midlands","20","EU (excluding UK)","Female","Main scheme application","60"
"2006 - 2007","North West","20","EU (excluding UK)","Female","Main scheme application","70"
"2007 - 2008","London","20","EU (excluding UK)","Female","Main scheme application","320"
"2007 - 2008","South East","20","EU (excluding UK)","Female","Main scheme application","155"
"2007 - 2008","Scotland","20","EU (excluding UK)","Female","Main scheme application","275"
"2007 - 2008","Wales","20","EU (excluding UK)","Female","Main scheme application","45"
"2007 - 2008","West Midlands","20","EU (excluding UK)","Female","Main scheme application","120"
"2007 - 2008","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2007 - 2008","East of England","20","EU (excluding UK)","Female","Main scheme application","40"
"2007 - 2008","South West","20","EU (excluding UK)","Female","Main scheme application","55"
"2007 - 2008","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","45"
"2007 - 2008","North East","20","EU (excluding UK)","Female","Main scheme application","15"
"2007 - 2008","East Midlands","20","EU (excluding UK)","Female","Main scheme application","65"
"2007 - 2008","North West","20","EU (excluding UK)","Female","Main scheme application","70"
"2008 - 2009","London","20","EU (excluding UK)","Female","Main scheme application","285"
"2008 - 2009","South East","20","EU (excluding UK)","Female","Main scheme application","155"
"2008 - 2009","Scotland","20","EU (excluding UK)","Female","Main scheme application","280"
"2008 - 2009","Wales","20","EU (excluding UK)","Female","Main scheme application","40"
"2008 - 2009","West Midlands","20","EU (excluding UK)","Female","Main scheme application","75"
"2008 - 2009","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2008 - 2009","East of England","20","EU (excluding UK)","Female","Main scheme application","40"
"2008 - 2009","South West","20","EU (excluding UK)","Female","Main scheme application","60"
"2008 - 2009","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","55"
"2008 - 2009","North East","20","EU (excluding UK)","Female","Main scheme application","25"
"2008 - 2009","East Midlands","20","EU (excluding UK)","Female","Main scheme application","70"
"2008 - 2009","North West","20","EU (excluding UK)","Female","Main scheme application","90"
"2009 - 2010","London","20","EU (excluding UK)","Female","Main scheme application","325"
"2009 - 2010","South East","20","EU (excluding UK)","Female","Main scheme application","170"
"2009 - 2010","Scotland","20","EU (excluding UK)","Female","Main scheme application","365"
"2009 - 2010","Wales","20","EU (excluding UK)","Female","Main scheme application","50"
"2009 - 2010","West Midlands","20","EU (excluding UK)","Female","Main scheme application","75"
"2009 - 2010","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2009 - 2010","East of England","20","EU (excluding UK)","Female","Main scheme application","55"
"2009 - 2010","South West","20","EU (excluding UK)","Female","Main scheme application","40"
"2009 - 2010","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","70"
"2009 - 2010","North East","20","EU (excluding UK)","Female","Main scheme application","25"
"2009 - 2010","East Midlands","20","EU (excluding UK)","Female","Main scheme application","50"
"2009 - 2010","North West","20","EU (excluding UK)","Female","Main scheme application","85"
"2010 - 2011","London","20","EU (excluding UK)","Female","Main scheme application","425"
"2010 - 2011","South East","20","EU (excluding UK)","Female","Main scheme application","210"
"2010 - 2011","Scotland","20","EU (excluding UK)","Female","Main scheme application","315"
"2010 - 2011","Wales","20","EU (excluding UK)","Female","Main scheme application","35"
"2010 - 2011","West Midlands","20","EU (excluding UK)","Female","Main scheme application","85"
"2010 - 2011","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2010 - 2011","East of England","20","EU (excluding UK)","Female","Main scheme application","80"
"2010 - 2011","South West","20","EU (excluding UK)","Female","Main scheme application","65"
"2010 - 2011","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","55"
"2010 - 2011","North East","20","EU (excluding UK)","Female","Main scheme application","30"
"2010 - 2011","East Midlands","20","EU (excluding UK)","Female","Main scheme application","65"
"2010 - 2011","North West","20","EU (excluding UK)","Female","Main scheme application","95"
"2011 - 2012","London","20","EU (excluding UK)","Female","Main scheme application","430"
"2011 - 2012","South East","20","EU (excluding UK)","Female","Main scheme application","215"
"2011 - 2012","Scotland","20","EU (excluding UK)","Female","Main scheme application","330"
"2011 - 2012","Wales","20","EU (excluding UK)","Female","Main scheme application","70"
"2011 - 2012","West Midlands","20","EU (excluding UK)","Female","Main scheme application","110"
"2011 - 2012","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","15"
"2011 - 2012","East of England","20","EU (excluding UK)","Female","Main scheme application","65"
"2011 - 2012","South West","20","EU (excluding UK)","Female","Main scheme application","75"
"2011 - 2012","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","75"
"2011 - 2012","North East","20","EU (excluding UK)","Female","Main scheme application","25"
"2011 - 2012","East Midlands","20","EU (excluding UK)","Female","Main scheme application","70"
"2011 - 2012","North West","20","EU (excluding UK)","Female","Main scheme application","115"
"2012 - 2013","London","20","EU (excluding UK)","Female","Main scheme application","350"
"2012 - 2013","South East","20","EU (excluding UK)","Female","Main scheme application","130"
"2012 - 2013","Scotland","20","EU (excluding UK)","Female","Main scheme application","310"
"2012 - 2013","Wales","20","EU (excluding UK)","Female","Main scheme application","50"
"2012 - 2013","West Midlands","20","EU (excluding UK)","Female","Main scheme application","45"
"2012 - 2013","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","25"
"2012 - 2013","East of England","20","EU (excluding UK)","Female","Main scheme application","60"
"2012 - 2013","South West","20","EU (excluding UK)","Female","Main scheme application","45"
"2012 - 2013","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","55"
"2012 - 2013","North East","20","EU (excluding UK)","Female","Main scheme application","15"
"2012 - 2013","East Midlands","20","EU (excluding UK)","Female","Main scheme application","30"
"2012 - 2013","North West","20","EU (excluding UK)","Female","Main scheme application","65"
"2013 - 2014","London","20","EU (excluding UK)","Female","Main scheme application","440"
"2013 - 2014","South East","20","EU (excluding UK)","Female","Main scheme application","145"
"2013 - 2014","Scotland","20","EU (excluding UK)","Female","Main scheme application","330"
"2013 - 2014","Wales","20","EU (excluding UK)","Female","Main scheme application","55"
"2013 - 2014","West Midlands","20","EU (excluding UK)","Female","Main scheme application","70"
"2013 - 2014","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","10"
"2013 - 2014","East of England","20","EU (excluding UK)","Female","Main scheme application","55"
"2013 - 2014","South West","20","EU (excluding UK)","Female","Main scheme application","70"
"2013 - 2014","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","55"
"2013 - 2014","North East","20","EU (excluding UK)","Female","Main scheme application","25"
"2013 - 2014","East Midlands","20","EU (excluding UK)","Female","Main scheme application","45"
"2013 - 2014","North West","20","EU (excluding UK)","Female","Main scheme application","55"
"2014 - 2015","London","20","EU (excluding UK)","Female","Main scheme application","450"
"2014 - 2015","South East","20","EU (excluding UK)","Female","Main scheme application","155"
"2014 - 2015","Scotland","20","EU (excluding UK)","Female","Main scheme application","365"
"2014 - 2015","Wales","20","EU (excluding UK)","Female","Main scheme application","45"
"2014 - 2015","West Midlands","20","EU (excluding UK)","Female","Main scheme application","105"
"2014 - 2015","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2014 - 2015","East of England","20","EU (excluding UK)","Female","Main scheme application","60"
"2014 - 2015","South West","20","EU (excluding UK)","Female","Main scheme application","65"
"2014 - 2015","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","65"
"2014 - 2015","North East","20","EU (excluding UK)","Female","Main scheme application","35"
"2014 - 2015","East Midlands","20","EU (excluding UK)","Female","Main scheme application","55"
"2014 - 2015","North West","20","EU (excluding UK)","Female","Main scheme application","65"
"2015 - 2016","London","20","EU (excluding UK)","Female","Main scheme application","515"
"2015 - 2016","South East","20","EU (excluding UK)","Female","Main scheme application","205"
"2015 - 2016","Scotland","20","EU (excluding UK)","Female","Main scheme application","345"
"2015 - 2016","Wales","20","EU (excluding UK)","Female","Main scheme application","65"
"2015 - 2016","West Midlands","20","EU (excluding UK)","Female","Main scheme application","105"
"2015 - 2016","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","15"
"2015 - 2016","East of England","20","EU (excluding UK)","Female","Main scheme application","75"
"2015 - 2016","South West","20","EU (excluding UK)","Female","Main scheme application","80"
"2015 - 2016","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","75"
"2015 - 2016","North East","20","EU (excluding UK)","Female","Main scheme application","35"
"2015 - 2016","East Midlands","20","EU (excluding UK)","Female","Main scheme application","55"
"2015 - 2016","North West","20","EU (excluding UK)","Female","Main scheme application","95"
"2016 - 2017","London","20","EU (excluding UK)","Female","Main scheme application","495"
"2016 - 2017","South East","20","EU (excluding UK)","Female","Main scheme application","235"
"2016 - 2017","Scotland","20","EU (excluding UK)","Female","Main scheme application","390"
"2016 - 2017","Wales","20","EU (excluding UK)","Female","Main scheme application","75"
"2016 - 2017","West Midlands","20","EU (excluding UK)","Female","Main scheme application","135"
"2016 - 2017","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2016 - 2017","East of England","20","EU (excluding UK)","Female","Main scheme application","75"
"2016 - 2017","South West","20","EU (excluding UK)","Female","Main scheme application","95"
"2016 - 2017","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","60"
"2016 - 2017","North East","20","EU (excluding UK)","Female","Main scheme application","45"
"2016 - 2017","East Midlands","20","EU (excluding UK)","Female","Main scheme application","70"
"2016 - 2017","North West","20","EU (excluding UK)","Female","Main scheme application","85"
"2017 - 2018","London","20","EU (excluding UK)","Female","Main scheme application","475"
"2017 - 2018","South East","20","EU (excluding UK)","Female","Main scheme application","190"
"2017 - 2018","Scotland","20","EU (excluding UK)","Female","Main scheme application","320"
"2017 - 2018","Wales","20","EU (excluding UK)","Female","Main scheme application","80"
"2017 - 2018","West Midlands","20","EU (excluding UK)","Female","Main scheme application","130"
"2017 - 2018","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","15"
"2017 - 2018","East of England","20","EU (excluding UK)","Female","Main scheme application","90"
"2017 - 2018","South West","20","EU (excluding UK)","Female","Main scheme application","90"
"2017 - 2018","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","65"
"2017 - 2018","North East","20","EU (excluding UK)","Female","Main scheme application","50"
"2017 - 2018","East Midlands","20","EU (excluding UK)","Female","Main scheme application","100"
"2017 - 2018","North West","20","EU (excluding UK)","Female","Main scheme application","70"
"2018 - 2019","London","20","EU (excluding UK)","Female","Main scheme application","480"
"2018 - 2019","South East","20","EU (excluding UK)","Female","Main scheme application","210"
"2018 - 2019","Scotland","20","EU (excluding UK)","Female","Main scheme application","355"
"2018 - 2019","Wales","20","EU (excluding UK)","Female","Main scheme application","85"
"2018 - 2019","West Midlands","20","EU (excluding UK)","Female","Main scheme application","150"
"2018 - 2019","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","25"
"2018 - 2019","East of England","20","EU (excluding UK)","Female","Main scheme application","85"
"2018 - 2019","South West","20","EU (excluding UK)","Female","Main scheme application","80"
"2018 - 2019","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","65"
"2018 - 2019","North East","20","EU (excluding UK)","Female","Main scheme application","70"
"2018 - 2019","East Midlands","20","EU (excluding UK)","Female","Main scheme application","85"
"2018 - 2019","North West","20","EU (excluding UK)","Female","Main scheme application","85"
"2019 - 2020","London","20","EU (excluding UK)","Female","Main scheme application","540"
"2019 - 2020","South East","20","EU (excluding UK)","Female","Main scheme application","215"
"2019 - 2020","Scotland","20","EU (excluding UK)","Female","Main scheme application","330"
"2019 - 2020","Wales","20","EU (excluding UK)","Female","Main scheme application","60"
"2019 - 2020","West Midlands","20","EU (excluding UK)","Female","Main scheme application","135"
"2019 - 2020","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","20"
"2019 - 2020","East of England","20","EU (excluding UK)","Female","Main scheme application","75"
"2019 - 2020","South West","20","EU (excluding UK)","Female","Main scheme application","95"
"2019 - 2020","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","50"
"2019 - 2020","North East","20","EU (excluding UK)","Female","Main scheme application","65"
"2019 - 2020","East Midlands","20","EU (excluding UK)","Female","Main scheme application","100"
"2019 - 2020","North West","20","EU (excluding UK)","Female","Main scheme application","95"
"2020 - 2021","London","20","EU (excluding UK)","Female","Main scheme application","505"
"2020 - 2021","South East","20","EU (excluding UK)","Female","Main scheme application","205"
"2020 - 2021","Scotland","20","EU (excluding UK)","Female","Main scheme application","285"
"2020 - 2021","Wales","20","EU (excluding UK)","Female","Main scheme application","80"
"2020 - 2021","West Midlands","20","EU (excluding UK)","Female","Main scheme application","120"
"2020 - 2021","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","25"
"2020 - 2021","East of England","20","EU (excluding UK)","Female","Main scheme application","85"
"2020 - 2021","South West","20","EU (excluding UK)","Female","Main scheme application","90"
"2020 - 2021","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","60"
"2020 - 2021","North East","20","EU (excluding UK)","Female","Main scheme application","70"
"2020 - 2021","East Midlands","20","EU (excluding UK)","Female","Main scheme application","115"
"2020 - 2021","North West","20","EU (excluding UK)","Female","Main scheme application","100"
"2021 - 2022","London","20","EU (excluding UK)","Female","Main scheme application","175"
"2021 - 2022","South East","20","EU (excluding UK)","Female","Main scheme application","90"
"2021 - 2022","Scotland","20","EU (excluding UK)","Female","Main scheme application","95"
"2021 - 2022","Wales","20","EU (excluding UK)","Female","Main scheme application","15"
"2021 - 2022","West Midlands","20","EU (excluding UK)","Female","Main scheme application","30"
"2021 - 2022","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","35"
"2021 - 2022","East of England","20","EU (excluding UK)","Female","Main scheme application","15"
"2021 - 2022","South West","20","EU (excluding UK)","Female","Main scheme application","45"
"2021 - 2022","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","20"
"2021 - 2022","North East","20","EU (excluding UK)","Female","Main scheme application","20"
"2021 - 2022","East Midlands","20","EU (excluding UK)","Female","Main scheme application","25"
"2021 - 2022","North West","20","EU (excluding UK)","Female","Main scheme application","25"
"2022 - 2023","London","20","EU (excluding UK)","Female","Main scheme application","130"
"2022 - 2023","South East","20","EU (excluding UK)","Female","Main scheme application","40"
"2022 - 2023","Scotland","20","EU (excluding UK)","Female","Main scheme application","55"
"2022 - 2023","Wales","20","EU (excluding UK)","Female","Main scheme application","10"
"2022 - 2023","West Midlands","20","EU (excluding UK)","Female","Main scheme application","10"
"2022 - 2023","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","30"
"2022 - 2023","East of England","20","EU (excluding UK)","Female","Main scheme application","15"
"2022 - 2023","South West","20","EU (excluding UK)","Female","Main scheme application","30"
"2022 - 2023","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","20"
"2022 - 2023","North East","20","EU (excluding UK)","Female","Main scheme application","15"
"2022 - 2023","East Midlands","20","EU (excluding UK)","Female","Main scheme application","15"
"2022 - 2023","North West","20","EU (excluding UK)","Female","Main scheme application","30"
"2023 - 2024","London","20","EU (excluding UK)","Female","Main scheme application","120"
"2023 - 2024","South East","20","EU (excluding UK)","Female","Main scheme application","50"
"2023 - 2024","Scotland","20","EU (excluding UK)","Female","Main scheme application","35"
"2023 - 2024","Wales","20","EU (excluding UK)","Female","Main scheme application","10"
"2023 - 2024","West Midlands","20","EU (excluding UK)","Female","Main scheme application","30"
"2023 - 2024","Northern Ireland","20","EU (excluding UK)","Female","Main scheme application","45"
"2023 - 2024","East of England","20","EU (excluding UK)","Female","Main scheme application","15"
"2023 - 2024","South West","20","EU (excluding UK)","Female","Main scheme application","25"
"2023 - 2024","Yorkshire and the Humber","20","EU (excluding UK)","Female","Main scheme application","10"
"2023 - 2024","North East","20","EU (excluding UK)","Female","Main scheme application","10"
"2023 - 2024","East Midlands","20","EU (excluding UK)","Female","Main scheme application","15"
"2023 - 2024","North West","20","EU (excluding UK)","Female","Main scheme application","15"
"2006 - 2007","London","21 - 24","EU (excluding UK)","Female","Main scheme application","540"
"2006 - 2007","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","235"
"2006 - 2007","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","370"
"2006 - 2007","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","85"
"2006 - 2007","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","110"
"2006 - 2007","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","15"
"2006 - 2007","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","60"
"2006 - 2007","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","105"
"2006 - 2007","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","80"
"2006 - 2007","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2006 - 2007","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","95"
"2006 - 2007","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","120"
"2007 - 2008","London","21 - 24","EU (excluding UK)","Female","Main scheme application","525"
"2007 - 2008","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","260"
"2007 - 2008","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","450"
"2007 - 2008","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","75"
"2007 - 2008","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","140"
"2007 - 2008","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2007 - 2008","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","50"
"2007 - 2008","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","100"
"2007 - 2008","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","85"
"2007 - 2008","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","40"
"2007 - 2008","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","115"
"2007 - 2008","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","145"
"2008 - 2009","London","21 - 24","EU (excluding UK)","Female","Main scheme application","435"
"2008 - 2009","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","270"
"2008 - 2009","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","380"
"2008 - 2009","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","60"
"2008 - 2009","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","85"
"2008 - 2009","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2008 - 2009","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","60"
"2008 - 2009","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","95"
"2008 - 2009","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","105"
"2008 - 2009","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2008 - 2009","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","120"
"2008 - 2009","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","125"
"2009 - 2010","London","21 - 24","EU (excluding UK)","Female","Main scheme application","475"
"2009 - 2010","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","275"
"2009 - 2010","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","440"
"2009 - 2010","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","75"
"2009 - 2010","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","80"
"2009 - 2010","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","50"
"2009 - 2010","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","65"
"2009 - 2010","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","80"
"2009 - 2010","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","120"
"2009 - 2010","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2009 - 2010","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","105"
"2009 - 2010","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","140"
"2010 - 2011","London","21 - 24","EU (excluding UK)","Female","Main scheme application","620"
"2010 - 2011","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","260"
"2010 - 2011","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","355"
"2010 - 2011","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","75"
"2010 - 2011","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","85"
"2010 - 2011","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","50"
"2010 - 2011","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","65"
"2010 - 2011","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","80"
"2010 - 2011","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","105"
"2010 - 2011","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2010 - 2011","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","100"
"2010 - 2011","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","145"
"2011 - 2012","London","21 - 24","EU (excluding UK)","Female","Main scheme application","625"
"2011 - 2012","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","255"
"2011 - 2012","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme application","360"
"2011 - 2012","Wales","21 - 24","EU (excluding UK)","Female","Main scheme application","85"
"2011 - 2012","West Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","105"
"2011 - 2012","Northern Ireland","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2011 - 2012","East of England","21 - 24","EU (excluding UK)","Female","Main scheme application","70"
"2011 - 2012","South West","21 - 24","EU (excluding UK)","Female","Main scheme application","110"
"2011 - 2012","Yorkshire and the Humber","21 - 24","EU (excluding UK)","Female","Main scheme application","130"
"2011 - 2012","North East","21 - 24","EU (excluding UK)","Female","Main scheme application","35"
"2011 - 2012","East Midlands","21 - 24","EU (excluding UK)","Female","Main scheme application","70"
"2011 - 2012","North West","21 - 24","EU (excluding UK)","Female","Main scheme application","165"
"2012 - 2013","London","21 - 24","EU (excluding UK)","Female","Main scheme application","395"
"2012 - 2013","South East","21 - 24","EU (excluding UK)","Female","Main scheme application","145"
