"Entry year","Tariff group of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2010 - 2011","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Medium tariff","19","Northern Ireland","Female","Not main scheme application","30"
"2011 - 2012","Lower tariff","19","Northern Ireland","Female","Not main scheme application","80"
"2011 - 2012","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Medium tariff","19","Northern Ireland","Female","Not main scheme application","20"
"2012 - 2013","Lower tariff","19","Northern Ireland","Female","Not main scheme application","65"
"2012 - 2013","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Medium tariff","19","Northern Ireland","Female","Not main scheme application","40"
"2013 - 2014","Lower tariff","19","Northern Ireland","Female","Not main scheme application","105"
"2013 - 2014","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","Medium tariff","19","Northern Ireland","Female","Not main scheme application","45"
"2014 - 2015","Lower tariff","19","Northern Ireland","Female","Not main scheme application","95"
"2014 - 2015","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2014 - 2015","Medium tariff","19","Northern Ireland","Female","Not main scheme application","40"
"2015 - 2016","Lower tariff","19","Northern Ireland","Female","Not main scheme application","85"
"2015 - 2016","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Medium tariff","19","Northern Ireland","Female","Not main scheme application","30"
"2016 - 2017","Lower tariff","19","Northern Ireland","Female","Not main scheme application","100"
"2016 - 2017","Higher tariff","19","Northern Ireland","Female","Not main scheme application","20"
"2016 - 2017","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2017 - 2018","Lower tariff","19","Northern Ireland","Female","Not main scheme application","120"
"2017 - 2018","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2018 - 2019","Lower tariff","19","Northern Ireland","Female","Not main scheme application","105"
"2018 - 2019","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2018 - 2019","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2019 - 2020","Lower tariff","19","Northern Ireland","Female","Not main scheme application","120"
"2019 - 2020","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2019 - 2020","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2020 - 2021","Lower tariff","19","Northern Ireland","Female","Not main scheme application","110"
"2020 - 2021","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2020 - 2021","Medium tariff","19","Northern Ireland","Female","Not main scheme application","50"
"2021 - 2022","Lower tariff","19","Northern Ireland","Female","Not main scheme application","130"
"2021 - 2022","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Medium tariff","19","Northern Ireland","Female","Not main scheme application","30"
"2022 - 2023","Lower tariff","19","Northern Ireland","Female","Not main scheme application","145"
"2022 - 2023","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2022 - 2023","Medium tariff","19","Northern Ireland","Female","Not main scheme application","35"
"2023 - 2024","Lower tariff","19","Northern Ireland","Female","Not main scheme application","130"
"2023 - 2024","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2023 - 2024","Medium tariff","19","Northern Ireland","Female","Not main scheme application","50"
"2006 - 2007","Lower tariff","20","Northern Ireland","Female","Not main scheme application","35"
"2006 - 2007","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2007 - 2008","Lower tariff","20","Northern Ireland","Female","Not main scheme application","40"
"2007 - 2008","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2008 - 2009","Lower tariff","20","Northern Ireland","Female","Not main scheme application","40"
"2008 - 2009","Medium tariff","20","Northern Ireland","Female","Not main scheme application","10"
"2009 - 2010","Lower tariff","20","Northern Ireland","Female","Not main scheme application","40"
"2009 - 2010","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2010 - 2011","Lower tariff","20","Northern Ireland","Female","Not main scheme application","30"
"2010 - 2011","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Medium tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Lower tariff","20","Northern Ireland","Female","Not main scheme application","30"
"2011 - 2012","Medium tariff","20","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","Lower tariff","20","Northern Ireland","Female","Not main scheme application","35"
"2012 - 2013","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Medium tariff","20","Northern Ireland","Female","Not main scheme application","20"
"2013 - 2014","Lower tariff","20","Northern Ireland","Female","Not main scheme application","50"
"2013 - 2014","Medium tariff","20","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Lower tariff","20","Northern Ireland","Female","Not main scheme application","55"
"2014 - 2015","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Medium tariff","20","Northern Ireland","Female","Not main scheme application","20"
"2015 - 2016","Lower tariff","20","Northern Ireland","Female","Not main scheme application","35"
"2015 - 2016","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","Lower tariff","20","Northern Ireland","Female","Not main scheme application","35"
"2016 - 2017","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2017 - 2018","Lower tariff","20","Northern Ireland","Female","Not main scheme application","55"
"2017 - 2018","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Medium tariff","20","Northern Ireland","Female","Not main scheme application","25"
"2018 - 2019","Lower tariff","20","Northern Ireland","Female","Not main scheme application","35"
"2018 - 2019","Medium tariff","20","Northern Ireland","Female","Not main scheme application","25"
"2019 - 2020","Lower tariff","20","Northern Ireland","Female","Not main scheme application","60"
"2019 - 2020","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2020 - 2021","Lower tariff","20","Northern Ireland","Female","Not main scheme application","50"
"2020 - 2021","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2021 - 2022","Lower tariff","20","Northern Ireland","Female","Not main scheme application","55"
"2021 - 2022","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Medium tariff","20","Northern Ireland","Female","Not main scheme application","10"
"2022 - 2023","Lower tariff","20","Northern Ireland","Female","Not main scheme application","65"
"2022 - 2023","Medium tariff","20","Northern Ireland","Female","Not main scheme application","25"
"2023 - 2024","Lower tariff","20","Northern Ireland","Female","Not main scheme application","55"
"2023 - 2024","Higher tariff","20","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Medium tariff","20","Northern Ireland","Female","Not main scheme application","15"
"2006 - 2007","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","55"
"2006 - 2007","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","15"
"2007 - 2008","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","65"
"2007 - 2008","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2008 - 2009","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","55"
"2008 - 2009","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2009 - 2010","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","60"
"2009 - 2010","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2010 - 2011","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","50"
"2010 - 2011","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","40"
"2011 - 2012","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","40"
"2012 - 2013","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2013 - 2014","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","75"
"2013 - 2014","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","30"
"2014 - 2015","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","85"
"2014 - 2015","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","30"
"2015 - 2016","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","65"
"2015 - 2016","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","30"
"2016 - 2017","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","45"
"2016 - 2017","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","35"
"2017 - 2018","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","65"
"2017 - 2018","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","30"
"2018 - 2019","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","55"
"2018 - 2019","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","40"
"2019 - 2020","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","70"
