"Entry year","Tariff group of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2016 - 2017","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","20"
"2017 - 2018","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","30"
"2017 - 2018","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","20"
"2018 - 2019","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","25"
"2018 - 2019","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","15"
"2019 - 2020","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","35"
"2019 - 2020","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","20"
"2020 - 2021","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","30"
"2020 - 2021","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","15"
"2021 - 2022","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","40"
"2021 - 2022","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","15"
"2022 - 2023","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","25"
"2022 - 2023","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","20"
"2023 - 2024","Lower tariff","30 - 34","Northern Ireland","Male","Main scheme application","20"
"2023 - 2024","Higher tariff","30 - 34","Northern Ireland","Male","Main scheme application","5"
"2023 - 2024","Medium tariff","30 - 34","Northern Ireland","Male","Main scheme application","10"
"2006 - 2007","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2006 - 2007","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2007 - 2008","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2007 - 2008","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2008 - 2009","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2008 - 2009","Higher tariff","35 and over","Northern Ireland","Male","Main scheme application","5"
"2008 - 2009","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2009 - 2010","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","40"
"2009 - 2010","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2010 - 2011","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","45"
"2010 - 2011","Higher tariff","35 and over","Northern Ireland","Male","Main scheme application","5"
"2010 - 2011","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","15"
"2011 - 2012","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2011 - 2012","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2012 - 2013","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","30"
"2012 - 2013","Higher tariff","35 and over","Northern Ireland","Male","Main scheme application","5"
"2012 - 2013","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2013 - 2014","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","45"
"2013 - 2014","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2014 - 2015","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","45"
"2014 - 2015","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","30"
"2015 - 2016","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","40"
"2015 - 2016","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2016 - 2017","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","40"
"2016 - 2017","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2017 - 2018","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2017 - 2018","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","15"
"2018 - 2019","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","40"
"2018 - 2019","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","15"
"2019 - 2020","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2019 - 2020","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2020 - 2021","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","40"
"2020 - 2021","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","20"
"2021 - 2022","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","30"
"2021 - 2022","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","15"
"2022 - 2023","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","25"
"2022 - 2023","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","10"
"2023 - 2024","Lower tariff","35 and over","Northern Ireland","Male","Main scheme application","35"
"2023 - 2024","Medium tariff","35 and over","Northern Ireland","Male","Main scheme application","15"
"2006 - 2007","Lower tariff","17 and under","England","Male","Main scheme application","65"
"2006 - 2007","Higher tariff","17 and under","England","Male","Main scheme application","195"
"2006 - 2007","Medium tariff","17 and under","England","Male","Main scheme application","85"
"2007 - 2008","Lower tariff","17 and under","England","Male","Main scheme application","70"
"2007 - 2008","Higher tariff","17 and under","England","Male","Main scheme application","290"
"2007 - 2008","Medium tariff","17 and under","England","Male","Main scheme application","90"
"2008 - 2009","Lower tariff","17 and under","England","Male","Main scheme application","60"
"2008 - 2009","Higher tariff","17 and under","England","Male","Main scheme application","275"
"2008 - 2009","Medium tariff","17 and under","England","Male","Main scheme application","85"
"2009 - 2010","Lower tariff","17 and under","England","Male","Main scheme application","75"
"2009 - 2010","Higher tariff","17 and under","England","Male","Main scheme application","260"
"2009 - 2010","Medium tariff","17 and under","England","Male","Main scheme application","65"
"2010 - 2011","Lower tariff","17 and under","England","Male","Main scheme application","80"
"2010 - 2011","Higher tariff","17 and under","England","Male","Main scheme application","220"
"2010 - 2011","Medium tariff","17 and under","England","Male","Main scheme application","75"
"2011 - 2012","Lower tariff","17 and under","England","Male","Main scheme application","65"
"2011 - 2012","Higher tariff","17 and under","England","Male","Main scheme application","220"
"2011 - 2012","Medium tariff","17 and under","England","Male","Main scheme application","55"
"2012 - 2013","Lower tariff","17 and under","England","Male","Main scheme application","50"
"2012 - 2013","Higher tariff","17 and under","England","Male","Main scheme application","165"
"2012 - 2013","Medium tariff","17 and under","England","Male","Main scheme application","55"
"2013 - 2014","Lower tariff","17 and under","England","Male","Main scheme application","75"
"2013 - 2014","Higher tariff","17 and under","England","Male","Main scheme application","145"
"2013 - 2014","Medium tariff","17 and under","England","Male","Main scheme application","50"
"2014 - 2015","Lower tariff","17 and under","England","Male","Main scheme application","75"
"2014 - 2015","Higher tariff","17 and under","England","Male","Main scheme application","155"
"2014 - 2015","Medium tariff","17 and under","England","Male","Main scheme application","45"
"2015 - 2016","Lower tariff","17 and under","England","Male","Main scheme application","95"
"2015 - 2016","Higher tariff","17 and under","England","Male","Main scheme application","165"
"2015 - 2016","Medium tariff","17 and under","England","Male","Main scheme application","55"
"2016 - 2017","Lower tariff","17 and under","England","Male","Main scheme application","135"
"2016 - 2017","Higher tariff","17 and under","England","Male","Main scheme application","145"
"2016 - 2017","Medium tariff","17 and under","England","Male","Main scheme application","55"
"2017 - 2018","Lower tariff","17 and under","England","Male","Main scheme application","55"
"2017 - 2018","Higher tariff","17 and under","England","Male","Main scheme application","160"
"2017 - 2018","Medium tariff","17 and under","England","Male","Main scheme application","60"
"2018 - 2019","Lower tariff","17 and under","England","Male","Main scheme application","65"
"2018 - 2019","Higher tariff","17 and under","England","Male","Main scheme application","140"
"2018 - 2019","Medium tariff","17 and under","England","Male","Main scheme application","65"
"2019 - 2020","Lower tariff","17 and under","England","Male","Main scheme application","35"
"2019 - 2020","Higher tariff","17 and under","England","Male","Main scheme application","135"
"2019 - 2020","Medium tariff","17 and under","England","Male","Main scheme application","55"
"2020 - 2021","Lower tariff","17 and under","England","Male","Main scheme application","40"
"2020 - 2021","Higher tariff","17 and under","England","Male","Main scheme application","140"
"2020 - 2021","Medium tariff","17 and under","England","Male","Main scheme application","60"
"2021 - 2022","Lower tariff","17 and under","England","Male","Main scheme application","45"
"2021 - 2022","Higher tariff","17 and under","England","Male","Main scheme application","145"
"2021 - 2022","Medium tariff","17 and under","England","Male","Main scheme application","60"
"2022 - 2023","Lower tariff","17 and under","England","Male","Main scheme application","50"
"2022 - 2023","Higher tariff","17 and under","England","Male","Main scheme application","160"
"2022 - 2023","Medium tariff","17 and under","England","Male","Main scheme application","85"
"2023 - 2024","Lower tariff","17 and under","England","Male","Main scheme application","65"
"2023 - 2024","Higher tariff","17 and under","England","Male","Main scheme application","145"
"2023 - 2024","Medium tariff","17 and under","England","Male","Main scheme application","75"
"2006 - 2007","Lower tariff","18","England","Male","Main scheme application","18330"
"2006 - 2007","Higher tariff","18","England","Male","Main scheme application","21305"
"2006 - 2007","Medium tariff","18","England","Male","Main scheme application","17335"
"2007 - 2008","Lower tariff","18","England","Male","Main scheme application","19655"
"2007 - 2008","Higher tariff","18","England","Male","Main scheme application","25240"
"2007 - 2008","Medium tariff","18","England","Male","Main scheme application","20600"
"2008 - 2009","Lower tariff","18","England","Male","Main scheme application","20270"
"2008 - 2009","Higher tariff","18","England","Male","Main scheme application","25790"
"2008 - 2009","Medium tariff","18","England","Male","Main scheme application","22005"
"2009 - 2010","Lower tariff","18","England","Male","Main scheme application","22770"
"2009 - 2010","Higher tariff","18","England","Male","Main scheme application","25195"
"2009 - 2010","Medium tariff","18","England","Male","Main scheme application","22875"
"2010 - 2011","Lower tariff","18","England","Male","Main scheme application","23735"
"2010 - 2011","Higher tariff","18","England","Male","Main scheme application","24940"
"2010 - 2011","Medium tariff","18","England","Male","Main scheme application","23000"
"2011 - 2012","Lower tariff","18","England","Male","Main scheme application","27200"
"2011 - 2012","Higher tariff","18","England","Male","Main scheme application","25725"
"2011 - 2012","Medium tariff","18","England","Male","Main scheme application","24500"
"2012 - 2013","Lower tariff","18","England","Male","Main scheme application","21510"
"2012 - 2013","Higher tariff","18","England","Male","Main scheme application","23335"
"2012 - 2013","Medium tariff","18","England","Male","Main scheme application","20240"
"2013 - 2014","Lower tariff","18","England","Male","Main scheme application","23925"
"2013 - 2014","Higher tariff","18","England","Male","Main scheme application","26165"
"2013 - 2014","Medium tariff","18","England","Male","Main scheme application","22590"
"2014 - 2015","Lower tariff","18","England","Male","Main scheme application","24740"
"2014 - 2015","Higher tariff","18","England","Male","Main scheme application","25945"
"2014 - 2015","Medium tariff","18","England","Male","Main scheme application","22900"
"2015 - 2016","Lower tariff","18","England","Male","Main scheme application","25595"
"2015 - 2016","Higher tariff","18","England","Male","Main scheme application","27025"
"2015 - 2016","Medium tariff","18","England","Male","Main scheme application","23495"
"2016 - 2017","Lower tariff","18","England","Male","Main scheme application","24775"
"2016 - 2017","Higher tariff","18","England","Male","Main scheme application","26795"
"2016 - 2017","Medium tariff","18","England","Male","Main scheme application","25130"
"2017 - 2018","Lower tariff","18","England","Male","Main scheme application","23930"
"2017 - 2018","Higher tariff","18","England","Male","Main scheme application","27440"
"2017 - 2018","Medium tariff","18","England","Male","Main scheme application","25665"
"2018 - 2019","Lower tariff","18","England","Male","Main scheme application","23455"
"2018 - 2019","Higher tariff","18","England","Male","Main scheme application","26905"
"2018 - 2019","Medium tariff","18","England","Male","Main scheme application","25515"
"2019 - 2020","Lower tariff","18","England","Male","Main scheme application","23100"
"2019 - 2020","Higher tariff","18","England","Male","Main scheme application","26825"
"2019 - 2020","Medium tariff","18","England","Male","Main scheme application","25535"
"2020 - 2021","Lower tariff","18","England","Male","Main scheme application","23815"
"2020 - 2021","Higher tariff","18","England","Male","Main scheme application","29080"
"2020 - 2021","Medium tariff","18","England","Male","Main scheme application","26130"
"2021 - 2022","Lower tariff","18","England","Male","Main scheme application","25100"
"2021 - 2022","Higher tariff","18","England","Male","Main scheme application","34905"
"2021 - 2022","Medium tariff","18","England","Male","Main scheme application","28500"
"2022 - 2023","Lower tariff","18","England","Male","Main scheme application","27510"
"2022 - 2023","Higher tariff","18","England","Male","Main scheme application","32690"
"2022 - 2023","Medium tariff","18","England","Male","Main scheme application","30350"
"2023 - 2024","Lower tariff","18","England","Male","Main scheme application","25060"
"2023 - 2024","Higher tariff","18","England","Male","Main scheme application","31295"
"2023 - 2024","Medium tariff","18","England","Male","Main scheme application","27830"
"2006 - 2007","Lower tariff","19","England","Male","Main scheme application","9315"
"2006 - 2007","Higher tariff","19","England","Male","Main scheme application","3665"
"2006 - 2007","Medium tariff","19","England","Male","Main scheme application","5690"
"2007 - 2008","Lower tariff","19","England","Male","Main scheme application","10990"
"2007 - 2008","Higher tariff","19","England","Male","Main scheme application","5145"
"2007 - 2008","Medium tariff","19","England","Male","Main scheme application","7680"
"2008 - 2009","Lower tariff","19","England","Male","Main scheme application","11420"
"2008 - 2009","Higher tariff","19","England","Male","Main scheme application","5610"
"2008 - 2009","Medium tariff","19","England","Male","Main scheme application","8575"
"2009 - 2010","Lower tariff","19","England","Male","Main scheme application","12735"
"2009 - 2010","Higher tariff","19","England","Male","Main scheme application","5915"
"2009 - 2010","Medium tariff","19","England","Male","Main scheme application","9350"
"2010 - 2011","Lower tariff","19","England","Male","Main scheme application","13885"
"2010 - 2011","Higher tariff","19","England","Male","Main scheme application","6230"
"2010 - 2011","Medium tariff","19","England","Male","Main scheme application","9995"
"2011 - 2012","Lower tariff","19","England","Male","Main scheme application","15330"
"2011 - 2012","Higher tariff","19","England","Male","Main scheme application","6320"
"2011 - 2012","Medium tariff","19","England","Male","Main scheme application","10440"
"2012 - 2013","Lower tariff","19","England","Male","Main scheme application","12035"
"2012 - 2013","Higher tariff","19","England","Male","Main scheme application","4895"
"2012 - 2013","Medium tariff","19","England","Male","Main scheme application","8140"
"2013 - 2014","Lower tariff","19","England","Male","Main scheme application","13785"
"2013 - 2014","Higher tariff","19","England","Male","Main scheme application","6230"
"2013 - 2014","Medium tariff","19","England","Male","Main scheme application","10060"
"2014 - 2015","Lower tariff","19","England","Male","Main scheme application","13795"
"2014 - 2015","Higher tariff","19","England","Male","Main scheme application","6335"
"2014 - 2015","Medium tariff","19","England","Male","Main scheme application","10280"
"2015 - 2016","Lower tariff","19","England","Male","Main scheme application","13460"
"2015 - 2016","Higher tariff","19","England","Male","Main scheme application","6555"
"2015 - 2016","Medium tariff","19","England","Male","Main scheme application","10635"
"2016 - 2017","Lower tariff","19","England","Male","Main scheme application","12980"
"2016 - 2017","Higher tariff","19","England","Male","Main scheme application","6705"
"2016 - 2017","Medium tariff","19","England","Male","Main scheme application","10815"
"2017 - 2018","Lower tariff","19","England","Male","Main scheme application","11990"
"2017 - 2018","Higher tariff","19","England","Male","Main scheme application","6755"
"2017 - 2018","Medium tariff","19","England","Male","Main scheme application","10360"
"2018 - 2019","Lower tariff","19","England","Male","Main scheme application","11080"
"2018 - 2019","Higher tariff","19","England","Male","Main scheme application","6325"
"2018 - 2019","Medium tariff","19","England","Male","Main scheme application","9430"
"2019 - 2020","Lower tariff","19","England","Male","Main scheme application","10520"
"2019 - 2020","Higher tariff","19","England","Male","Main scheme application","5980"
"2019 - 2020","Medium tariff","19","England","Male","Main scheme application","8985"
"2020 - 2021","Lower tariff","19","England","Male","Main scheme application","9480"
"2020 - 2021","Higher tariff","19","England","Male","Main scheme application","5785"
"2020 - 2021","Medium tariff","19","England","Male","Main scheme application","8120"
"2021 - 2022","Lower tariff","19","England","Male","Main scheme application","9115"
"2021 - 2022","Higher tariff","19","England","Male","Main scheme application","6255"
"2021 - 2022","Medium tariff","19","England","Male","Main scheme application","8040"
"2022 - 2023","Lower tariff","19","England","Male","Main scheme application","9120"
"2022 - 2023","Higher tariff","19","England","Male","Main scheme application","5880"
"2022 - 2023","Medium tariff","19","England","Male","Main scheme application","7680"
"2023 - 2024","Lower tariff","19","England","Male","Main scheme application","8275"
"2023 - 2024","Higher tariff","19","England","Male","Main scheme application","6405"
"2023 - 2024","Medium tariff","19","England","Male","Main scheme application","6915"
"2006 - 2007","Lower tariff","20","England","Male","Main scheme application","4025"
"2006 - 2007","Higher tariff","20","England","Male","Main scheme application","800"
"2006 - 2007","Medium tariff","20","England","Male","Main scheme application","2125"
"2007 - 2008","Lower tariff","20","England","Male","Main scheme application","4370"
"2007 - 2008","Higher tariff","20","England","Male","Main scheme application","865"
"2007 - 2008","Medium tariff","20","England","Male","Main scheme application","2420"
"2008 - 2009","Lower tariff","20","England","Male","Main scheme application","5140"
"2008 - 2009","Higher tariff","20","England","Male","Main scheme application","1135"
"2008 - 2009","Medium tariff","20","England","Male","Main scheme application","3035"
"2009 - 2010","Lower tariff","20","England","Male","Main scheme application","5585"
"2009 - 2010","Higher tariff","20","England","Male","Main scheme application","1145"
"2009 - 2010","Medium tariff","20","England","Male","Main scheme application","3130"
"2010 - 2011","Lower tariff","20","England","Male","Main scheme application","6130"
"2010 - 2011","Higher tariff","20","England","Male","Main scheme application","1155"
"2010 - 2011","Medium tariff","20","England","Male","Main scheme application","3115"
"2011 - 2012","Lower tariff","20","England","Male","Main scheme application","6565"
"2011 - 2012","Higher tariff","20","England","Male","Main scheme application","1120"
"2011 - 2012","Medium tariff","20","England","Male","Main scheme application","3305"
"2012 - 2013","Lower tariff","20","England","Male","Main scheme application","5645"
"2012 - 2013","Higher tariff","20","England","Male","Main scheme application","935"
"2012 - 2013","Medium tariff","20","England","Male","Main scheme application","2605"
"2013 - 2014","Lower tariff","20","England","Male","Main scheme application","5950"
"2013 - 2014","Higher tariff","20","England","Male","Main scheme application","955"
"2013 - 2014","Medium tariff","20","England","Male","Main scheme application","2860"
"2014 - 2015","Lower tariff","20","England","Male","Main scheme application","6040"
"2014 - 2015","Higher tariff","20","England","Male","Main scheme application","1120"
"2014 - 2015","Medium tariff","20","England","Male","Main scheme application","3060"
"2015 - 2016","Lower tariff","20","England","Male","Main scheme application","5785"
"2015 - 2016","Higher tariff","20","England","Male","Main scheme application","1160"
"2015 - 2016","Medium tariff","20","England","Male","Main scheme application","3000"
"2016 - 2017","Lower tariff","20","England","Male","Main scheme application","5425"
"2016 - 2017","Higher tariff","20","England","Male","Main scheme application","1155"
"2016 - 2017","Medium tariff","20","England","Male","Main scheme application","2965"
"2017 - 2018","Lower tariff","20","England","Male","Main scheme application","5105"
"2017 - 2018","Higher tariff","20","England","Male","Main scheme application","1185"
"2017 - 2018","Medium tariff","20","England","Male","Main scheme application","3065"
"2018 - 2019","Lower tariff","20","England","Male","Main scheme application","4710"
"2018 - 2019","Higher tariff","20","England","Male","Main scheme application","1150"
"2018 - 2019","Medium tariff","20","England","Male","Main scheme application","2885"
"2019 - 2020","Lower tariff","20","England","Male","Main scheme application","4285"
"2019 - 2020","Higher tariff","20","England","Male","Main scheme application","1165"
"2019 - 2020","Medium tariff","20","England","Male","Main scheme application","2830"
"2020 - 2021","Lower tariff","20","England","Male","Main scheme application","4450"
"2020 - 2021","Higher tariff","20","England","Male","Main scheme application","1095"
"2020 - 2021","Medium tariff","20","England","Male","Main scheme application","2700"
"2021 - 2022","Lower tariff","20","England","Male","Main scheme application","4060"
"2021 - 2022","Higher tariff","20","England","Male","Main scheme application","1205"
"2021 - 2022","Medium tariff","20","England","Male","Main scheme application","2595"
"2022 - 2023","Lower tariff","20","England","Male","Main scheme application","3705"
"2022 - 2023","Higher tariff","20","England","Male","Main scheme application","1055"
"2022 - 2023","Medium tariff","20","England","Male","Main scheme application","2495"
"2023 - 2024","Lower tariff","20","England","Male","Main scheme application","3435"
"2023 - 2024","Higher tariff","20","England","Male","Main scheme application","1155"
"2023 - 2024","Medium tariff","20","England","Male","Main scheme application","2310"
"2006 - 2007","Lower tariff","21 - 24","England","Male","Main scheme application","4560"
"2006 - 2007","Higher tariff","21 - 24","England","Male","Main scheme application","1210"
"2006 - 2007","Medium tariff","21 - 24","England","Male","Main scheme application","2500"
"2007 - 2008","Lower tariff","21 - 24","England","Male","Main scheme application","5240"
"2007 - 2008","Higher tariff","21 - 24","England","Male","Main scheme application","1420"
"2007 - 2008","Medium tariff","21 - 24","England","Male","Main scheme application","2830"
"2008 - 2009","Lower tariff","21 - 24","England","Male","Main scheme application","5785"
"2008 - 2009","Higher tariff","21 - 24","England","Male","Main scheme application","1635"
"2008 - 2009","Medium tariff","21 - 24","England","Male","Main scheme application","3320"
"2009 - 2010","Lower tariff","21 - 24","England","Male","Main scheme application","7075"
"2009 - 2010","Higher tariff","21 - 24","England","Male","Main scheme application","1700"
"2009 - 2010","Medium tariff","21 - 24","England","Male","Main scheme application","3845"
"2010 - 2011","Lower tariff","21 - 24","England","Male","Main scheme application","7395"
"2010 - 2011","Higher tariff","21 - 24","England","Male","Main scheme application","1770"
"2010 - 2011","Medium tariff","21 - 24","England","Male","Main scheme application","3735"
"2011 - 2012","Lower tariff","21 - 24","England","Male","Main scheme application","8080"
"2011 - 2012","Higher tariff","21 - 24","England","Male","Main scheme application","1665"
"2011 - 2012","Medium tariff","21 - 24","England","Male","Main scheme application","3865"
"2012 - 2013","Lower tariff","21 - 24","England","Male","Main scheme application","6490"
"2012 - 2013","Higher tariff","21 - 24","England","Male","Main scheme application","1425"
"2012 - 2013","Medium tariff","21 - 24","England","Male","Main scheme application","2950"
"2013 - 2014","Lower tariff","21 - 24","England","Male","Main scheme application","7210"
"2013 - 2014","Higher tariff","21 - 24","England","Male","Main scheme application","1440"
"2013 - 2014","Medium tariff","21 - 24","England","Male","Main scheme application","3175"
"2014 - 2015","Lower tariff","21 - 24","England","Male","Main scheme application","7315"
"2014 - 2015","Higher tariff","21 - 24","England","Male","Main scheme application","1575"
"2014 - 2015","Medium tariff","21 - 24","England","Male","Main scheme application","3280"
"2015 - 2016","Lower tariff","21 - 24","England","Male","Main scheme application","7145"
"2015 - 2016","Higher tariff","21 - 24","England","Male","Main scheme application","1605"
"2015 - 2016","Medium tariff","21 - 24","England","Male","Main scheme application","3370"
"2016 - 2017","Lower tariff","21 - 24","England","Male","Main scheme application","6660"
"2016 - 2017","Higher tariff","21 - 24","England","Male","Main scheme application","1620"
"2016 - 2017","Medium tariff","21 - 24","England","Male","Main scheme application","3295"
"2017 - 2018","Lower tariff","21 - 24","England","Male","Main scheme application","6075"
"2017 - 2018","Higher tariff","21 - 24","England","Male","Main scheme application","1525"
"2017 - 2018","Medium tariff","21 - 24","England","Male","Main scheme application","3210"
"2018 - 2019","Lower tariff","21 - 24","England","Male","Main scheme application","5625"
"2018 - 2019","Higher tariff","21 - 24","England","Male","Main scheme application","1500"
"2018 - 2019","Medium tariff","21 - 24","England","Male","Main scheme application","3035"
"2019 - 2020","Lower tariff","21 - 24","England","Male","Main scheme application","5125"
"2019 - 2020","Higher tariff","21 - 24","England","Male","Main scheme application","1405"
"2019 - 2020","Medium tariff","21 - 24","England","Male","Main scheme application","3070"
"2020 - 2021","Lower tariff","21 - 24","England","Male","Main scheme application","5475"
"2020 - 2021","Higher tariff","21 - 24","England","Male","Main scheme application","1550"
"2020 - 2021","Medium tariff","21 - 24","England","Male","Main scheme application","3105"
"2021 - 2022","Lower tariff","21 - 24","England","Male","Main scheme application","5165"
"2021 - 2022","Higher tariff","21 - 24","England","Male","Main scheme application","1375"
"2021 - 2022","Medium tariff","21 - 24","England","Male","Main scheme application","2910"
"2022 - 2023","Lower tariff","21 - 24","England","Male","Main scheme application","4740"
"2022 - 2023","Higher tariff","21 - 24","England","Male","Main scheme application","1180"
"2022 - 2023","Medium tariff","21 - 24","England","Male","Main scheme application","2660"
"2023 - 2024","Lower tariff","21 - 24","England","Male","Main scheme application","3755"
"2023 - 2024","Higher tariff","21 - 24","England","Male","Main scheme application","1230"
"2023 - 2024","Medium tariff","21 - 24","England","Male","Main scheme application","2410"
"2006 - 2007","Lower tariff","25 - 29","England","Male","Main scheme application","1590"
"2006 - 2007","Higher tariff","25 - 29","England","Male","Main scheme application","505"
"2006 - 2007","Medium tariff","25 - 29","England","Male","Main scheme application","925"
"2007 - 2008","Lower tariff","25 - 29","England","Male","Main scheme application","1850"
"2007 - 2008","Higher tariff","25 - 29","England","Male","Main scheme application","580"
"2007 - 2008","Medium tariff","25 - 29","England","Male","Main scheme application","1015"
"2008 - 2009","Lower tariff","25 - 29","England","Male","Main scheme application","2110"
"2008 - 2009","Higher tariff","25 - 29","England","Male","Main scheme application","625"
"2008 - 2009","Medium tariff","25 - 29","England","Male","Main scheme application","1145"
"2009 - 2010","Lower tariff","25 - 29","England","Male","Main scheme application","2645"
"2009 - 2010","Higher tariff","25 - 29","England","Male","Main scheme application","655"
"2009 - 2010","Medium tariff","25 - 29","England","Male","Main scheme application","1340"
"2010 - 2011","Lower tariff","25 - 29","England","Male","Main scheme application","2810"
"2010 - 2011","Higher tariff","25 - 29","England","Male","Main scheme application","720"
"2010 - 2011","Medium tariff","25 - 29","England","Male","Main scheme application","1320"
"2011 - 2012","Lower tariff","25 - 29","England","Male","Main scheme application","2760"
"2011 - 2012","Higher tariff","25 - 29","England","Male","Main scheme application","725"
"2011 - 2012","Medium tariff","25 - 29","England","Male","Main scheme application","1345"
"2012 - 2013","Lower tariff","25 - 29","England","Male","Main scheme application","2285"
"2012 - 2013","Higher tariff","25 - 29","England","Male","Main scheme application","585"
"2012 - 2013","Medium tariff","25 - 29","England","Male","Main scheme application","1090"
"2013 - 2014","Lower tariff","25 - 29","England","Male","Main scheme application","2495"
"2013 - 2014","Higher tariff","25 - 29","England","Male","Main scheme application","620"
"2013 - 2014","Medium tariff","25 - 29","England","Male","Main scheme application","1200"
"2014 - 2015","Lower tariff","25 - 29","England","Male","Main scheme application","2590"
"2014 - 2015","Higher tariff","25 - 29","England","Male","Main scheme application","650"
"2014 - 2015","Medium tariff","25 - 29","England","Male","Main scheme application","1195"
"2015 - 2016","Lower tariff","25 - 29","England","Male","Main scheme application","2525"
"2015 - 2016","Higher tariff","25 - 29","England","Male","Main scheme application","615"
"2015 - 2016","Medium tariff","25 - 29","England","Male","Main scheme application","1210"
"2016 - 2017","Lower tariff","25 - 29","England","Male","Main scheme application","2425"
"2016 - 2017","Higher tariff","25 - 29","England","Male","Main scheme application","625"
"2016 - 2017","Medium tariff","25 - 29","England","Male","Main scheme application","1100"
"2017 - 2018","Lower tariff","25 - 29","England","Male","Main scheme application","2200"
"2017 - 2018","Higher tariff","25 - 29","England","Male","Main scheme application","540"
"2017 - 2018","Medium tariff","25 - 29","England","Male","Main scheme application","1000"
"2018 - 2019","Lower tariff","25 - 29","England","Male","Main scheme application","2040"
"2018 - 2019","Higher tariff","25 - 29","England","Male","Main scheme application","525"
"2018 - 2019","Medium tariff","25 - 29","England","Male","Main scheme application","940"
"2019 - 2020","Lower tariff","25 - 29","England","Male","Main scheme application","1985"
"2019 - 2020","Higher tariff","25 - 29","England","Male","Main scheme application","515"
"2019 - 2020","Medium tariff","25 - 29","England","Male","Main scheme application","980"
"2020 - 2021","Lower tariff","25 - 29","England","Male","Main scheme application","2110"
"2020 - 2021","Higher tariff","25 - 29","England","Male","Main scheme application","545"
"2020 - 2021","Medium tariff","25 - 29","England","Male","Main scheme application","1000"
"2021 - 2022","Lower tariff","25 - 29","England","Male","Main scheme application","1970"
"2021 - 2022","Higher tariff","25 - 29","England","Male","Main scheme application","535"
"2021 - 2022","Medium tariff","25 - 29","England","Male","Main scheme application","900"
"2022 - 2023","Lower tariff","25 - 29","England","Male","Main scheme application","1845"
"2022 - 2023","Higher tariff","25 - 29","England","Male","Main scheme application","425"
"2022 - 2023","Medium tariff","25 - 29","England","Male","Main scheme application","810"
"2023 - 2024","Lower tariff","25 - 29","England","Male","Main scheme application","1235"
"2023 - 2024","Higher tariff","25 - 29","England","Male","Main scheme application","385"
"2023 - 2024","Medium tariff","25 - 29","England","Male","Main scheme application","700"
"2006 - 2007","Lower tariff","30 - 34","England","Male","Main scheme application","830"
"2006 - 2007","Higher tariff","30 - 34","England","Male","Main scheme application","220"
