"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2019 - 2020","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2020 - 2021","England","35 and over","EU (excluding UK)","Female","Main scheme application","30"
"2020 - 2021","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2020 - 2021","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","15"
"2021 - 2022","England","35 and over","EU (excluding UK)","Female","Main scheme application","25"
"2021 - 2022","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2022 - 2023","England","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2022 - 2023","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2022 - 2023","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2023 - 2024","England","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2023 - 2024","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2023 - 2024","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2006 - 2007","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2006 - 2007","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","10"
"2006 - 2007","Scotland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2007 - 2008","England","17 and under","Northern Ireland","Male","Main scheme application","15"
"2007 - 2008","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","10"
"2008 - 2009","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2008 - 2009","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","10"
"2009 - 2010","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2009 - 2010","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","15"
"2010 - 2011","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2010 - 2011","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","10"
"2010 - 2011","Scotland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2011 - 2012","England","17 and under","Northern Ireland","Male","Main scheme application","10"
"2011 - 2012","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2012 - 2013","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2012 - 2013","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2013 - 2014","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","10"
"2014 - 2015","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2015 - 2016","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2016 - 2017","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2016 - 2017","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2017 - 2018","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2018 - 2019","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2018 - 2019","Scotland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2019 - 2020","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2021 - 2022","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2021 - 2022","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2022 - 2023","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2022 - 2023","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2023 - 2024","England","17 and under","Northern Ireland","Male","Main scheme application","5"
"2023 - 2024","Northern Ireland","17 and under","Northern Ireland","Male","Main scheme application","5"
"2006 - 2007","England","18","Northern Ireland","Male","Main scheme application","680"
"2006 - 2007","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2260"
"2006 - 2007","Scotland","18","Northern Ireland","Male","Main scheme application","325"
"2006 - 2007","Wales","18","Northern Ireland","Male","Main scheme application","20"
"2007 - 2008","England","18","Northern Ireland","Male","Main scheme application","830"
"2007 - 2008","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2375"
"2007 - 2008","Scotland","18","Northern Ireland","Male","Main scheme application","285"
"2007 - 2008","Wales","18","Northern Ireland","Male","Main scheme application","20"
"2008 - 2009","England","18","Northern Ireland","Male","Main scheme application","725"
"2008 - 2009","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2390"
"2008 - 2009","Scotland","18","Northern Ireland","Male","Main scheme application","325"
"2008 - 2009","Wales","18","Northern Ireland","Male","Main scheme application","20"
"2009 - 2010","England","18","Northern Ireland","Male","Main scheme application","730"
"2009 - 2010","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2680"
"2009 - 2010","Scotland","18","Northern Ireland","Male","Main scheme application","300"
"2009 - 2010","Wales","18","Northern Ireland","Male","Main scheme application","15"
"2010 - 2011","England","18","Northern Ireland","Male","Main scheme application","715"
"2010 - 2011","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2535"
"2010 - 2011","Scotland","18","Northern Ireland","Male","Main scheme application","290"
"2010 - 2011","Wales","18","Northern Ireland","Male","Main scheme application","25"
"2011 - 2012","England","18","Northern Ireland","Male","Main scheme application","850"
"2011 - 2012","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2455"
"2011 - 2012","Scotland","18","Northern Ireland","Male","Main scheme application","310"
"2011 - 2012","Wales","18","Northern Ireland","Male","Main scheme application","30"
"2012 - 2013","England","18","Northern Ireland","Male","Main scheme application","595"
