"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2020 - 2021","Northern Ireland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2020 - 2021","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme application","15"
"2020 - 2021","Wales","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2021 - 2022","England","30 - 34","EU (excluding UK)","Female","Main scheme application","20"
"2021 - 2022","Northern Ireland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2021 - 2022","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2022 - 2023","England","30 - 34","EU (excluding UK)","Female","Main scheme application","15"
"2022 - 2023","Northern Ireland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2022 - 2023","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2023 - 2024","England","30 - 34","EU (excluding UK)","Female","Main scheme application","10"
"2023 - 2024","Northern Ireland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2023 - 2024","Scotland","30 - 34","EU (excluding UK)","Female","Main scheme application","5"
"2006 - 2007","England","35 and over","EU (excluding UK)","Female","Main scheme application","25"
"2006 - 2007","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2006 - 2007","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2007 - 2008","England","35 and over","EU (excluding UK)","Female","Main scheme application","15"
"2007 - 2008","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2007 - 2008","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2008 - 2009","England","35 and over","EU (excluding UK)","Female","Main scheme application","30"
"2008 - 2009","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2008 - 2009","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2009 - 2010","England","35 and over","EU (excluding UK)","Female","Main scheme application","30"
"2009 - 2010","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2009 - 2010","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2009 - 2010","Wales","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2010 - 2011","England","35 and over","EU (excluding UK)","Female","Main scheme application","45"
"2010 - 2011","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2010 - 2011","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2010 - 2011","Wales","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2011 - 2012","England","35 and over","EU (excluding UK)","Female","Main scheme application","40"
"2011 - 2012","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2011 - 2012","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2011 - 2012","Wales","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2012 - 2013","England","35 and over","EU (excluding UK)","Female","Main scheme application","20"
"2012 - 2013","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","15"
"2012 - 2013","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2012 - 2013","Wales","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2013 - 2014","England","35 and over","EU (excluding UK)","Female","Main scheme application","25"
"2013 - 2014","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2013 - 2014","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2013 - 2014","Wales","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2014 - 2015","England","35 and over","EU (excluding UK)","Female","Main scheme application","40"
"2014 - 2015","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2014 - 2015","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2015 - 2016","England","35 and over","EU (excluding UK)","Female","Main scheme application","40"
"2015 - 2016","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2015 - 2016","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2016 - 2017","England","35 and over","EU (excluding UK)","Female","Main scheme application","35"
"2016 - 2017","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2016 - 2017","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2017 - 2018","England","35 and over","EU (excluding UK)","Female","Main scheme application","30"
"2017 - 2018","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2017 - 2018","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2018 - 2019","England","35 and over","EU (excluding UK)","Female","Main scheme application","35"
"2018 - 2019","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","5"
"2018 - 2019","Scotland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
"2019 - 2020","England","35 and over","EU (excluding UK)","Female","Main scheme application","30"
"2019 - 2020","Northern Ireland","35 and over","EU (excluding UK)","Female","Main scheme application","10"
