"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2016","Quintile 1","18","England","Male","825","790","585","1990","965","875","595","2440"
"2016","Quintile 1","18","Northern Ireland","Male","5","15","5","25","5","15","5","25"
"2016","Quintile 1","18","Wales","Male","15","30","15","60","15","40","20","75"
"2017","Quintile 1","18","England","Male","1455","1120","755","2955","1810","1280","805","3895"
"2017","Quintile 1","18","Northern Ireland","Male","10","10","5","25","10","10","5","30"
"2017","Quintile 1","18","Wales","Male","30","35","35","95","30","45","40","115"
"2018","Quintile 1","18","England","Male","2050","1420","1040","3865","2580","1690","1055","5325"
"2018","Quintile 1","18","Northern Ireland","Male","20","20","15","45","25","20","15","60"
"2018","Quintile 1","18","Wales","Male","60","60","45","150","70","75","45","185"
"2019","Quintile 1","18","England","Male","2470","1530","1050","4195","3210","1830","1115","6155"
"2019","Quintile 1","18","Northern Ireland","Male","20","20","15","50","25","30","15","65"
"2019","Quintile 1","18","Wales","Male","55","150","40","215","65","195","45","305"
"2020","Quintile 1","18","England","Male","1365","2905","2260","5300","1590","3920","2880","8390"
"2020","Quintile 1","18","Northern Ireland","Male","10","30","115","145","10","40","165","215"
"2020","Quintile 1","18","Wales","Male","25","170","195","320","25","240","270","535"
"2021","Quintile 1","18","England","Male","0","1235","240","1430","0","1415","245","1665"
"2021","Quintile 1","18","Northern Ireland","Male","0","15","5","20","0","15","5","20"
"2021","Quintile 1","18","Wales","Male","0","165","25","185","0","210","35","245"
"2022","Quintile 1","18","England","Male","395","1865","580","2640","440","2245","640","3325"
"2022","Quintile 1","18","Northern Ireland","Male","0","15","0","20","0","20","0","20"
"2022","Quintile 1","18","Wales","Male","10","60","40","105","10","70","50","130"
"2023","Quintile 1","18","England","Male","0","1480","495","1900","0","1750","545","2295"
"2023","Quintile 1","18","Northern Ireland","Male","0","5","0","5","0","5","0","5"
"2023","Quintile 1","18","Wales","Male","0","20","10","30","0","20","10","30"
"2013","Quintile 2","18","England","Male","0","130","55","185","0","170","55","230"
"2013","Quintile 2","18","Wales","Male","0","5","15","20","0","5","15","20"
"2014","Quintile 2","18","England","Male","480","365","210","1010","520","420","225","1165"
"2014","Quintile 2","18","Northern Ireland","Male","5","5","0","5","5","5","0","5"
"2014","Quintile 2","18","Wales","Male","10","15","20","50","15","15","25","55"
"2015","Quintile 2","18","England","Male","790","595","715","1925","895","655","720","2265"
"2015","Quintile 2","18","Northern Ireland","Male","5","5","5","10","5","5","5","10"
"2015","Quintile 2","18","Wales","Male","15","25","35","75","15","25","45","85"
"2016","Quintile 2","18","England","Male","1260","1185","790","2980","1440","1320","800","3565"
"2016","Quintile 2","18","Northern Ireland","Male","5","10","5","20","5","15","5","20"
"2016","Quintile 2","18","Wales","Male","20","55","45","110","25","65","50","135"
"2017","Quintile 2","18","England","Male","2095","1440","1060","4125","2565","1605","1110","5285"
"2017","Quintile 2","18","Northern Ireland","Male","20","10","10","40","20","10","15","45"
"2017","Quintile 2","18","Wales","Male","50","95","50","185","50","115","60","225"
"2018","Quintile 2","18","England","Male","2860","1895","1455","5355","3555","2230","1480","7265"
"2018","Quintile 2","18","Northern Ireland","Male","25","15","5","45","30","15","5","50"
"2018","Quintile 2","18","Wales","Male","105","95","70","245","120","110","80","310"
"2019","Quintile 2","18","England","Male","3475","2000","1440","5755","4470","2425","1495","8385"
"2019","Quintile 2","18","Northern Ireland","Male","15","10","5","25","20","15","5","40"
"2019","Quintile 2","18","Wales","Male","115","210","50","330","140","270","55","465"
"2020","Quintile 2","18","England","Male","1725","3770","3060","6960","1960","4985","3845","10790"
"2020","Quintile 2","18","Northern Ireland","Male","5","30","95","120","10","35","145","185"
"2020","Quintile 2","18","Wales","Male","35","255","300","475","35","340","415","790"
"2021","Quintile 2","18","England","Male","0","1690","355","1980","0","1975","365","2340"
"2021","Quintile 2","18","Northern Ireland","Male","0","15","0","15","0","15","0","15"
"2021","Quintile 2","18","Wales","Male","0","230","40","250","0","300","50","350"
"2022","Quintile 2","18","England","Male","390","2510","655","3350","420","3070","700","4190"
"2022","Quintile 2","18","Northern Ireland","Male","0","10","0","15","0","15","0","15"
"2022","Quintile 2","18","Wales","Male","10","95","80","175","10","115","95","220"
"2023","Quintile 2","18","England","Male","0","1855","660","2400","0","2175","720","2890"
"2023","Quintile 2","18","Northern Ireland","Male","0","5","5","10","0","5","5","10"
"2023","Quintile 2","18","Wales","Male","0","50","20","65","0","55","25","80"
"2013","Quintile 3","18","England","Male","0","140","75","210","0","165","75","240"
"2013","Quintile 3","18","Northern Ireland","Male","0","0","0","0","0","5","0","5"
"2013","Quintile 3","18","Wales","Male","0","0","20","20","0","0","20","20"
"2014","Quintile 3","18","England","Male","585","490","280","1305","620","535","300","1455"
"2014","Quintile 3","18","Northern Ireland","Male","5","5","5","10","5","10","5","15"
"2014","Quintile 3","18","Wales","Male","15","15","55","85","15","20","75","105"
"2015","Quintile 3","18","England","Male","1020","760","775","2370","1105","840","785","2735"
"2015","Quintile 3","18","Northern Ireland","Male","5","5","10","20","5","5","10","20"
"2015","Quintile 3","18","Wales","Male","20","30","60","105","25","35","80","135"
"2016","Quintile 3","18","England","Male","1510","1280","875","3390","1675","1375","895","3945"
"2016","Quintile 3","18","Northern Ireland","Male","5","15","10","25","5","15","10","25"
"2016","Quintile 3","18","Wales","Male","35","60","50","140","35","70","65","165"
"2017","Quintile 3","18","England","Male","2620","1605","1205","4890","3075","1820","1280","6175"
"2017","Quintile 3","18","Northern Ireland","Male","15","15","20","45","20","15","20","55"
"2017","Quintile 3","18","Wales","Male","55","100","85","225","60","120","105","285"
"2018","Quintile 3","18","England","Male","3680","2035","1635","6330","4500","2320","1670","8490"
"2018","Quintile 3","18","Northern Ireland","Male","45","25","15","80","50","30","15","90"
"2018","Quintile 3","18","Wales","Male","115","100","80","260","150","115","90","355"
"2019","Quintile 3","18","England","Male","4850","2275","1730","7505","6165","2650","1805","10620"
"2019","Quintile 3","18","Northern Ireland","Male","45","15","20","75","50","20","25","90"
"2019","Quintile 3","18","Wales","Male","120","180","55","320","145","245","55","445"
"2020","Quintile 3","18","England","Male","2290","4095","3455","8040","2610","5275","4170","12060"
"2020","Quintile 3","18","Northern Ireland","Male","15","35","130","165","15","50","180","245"
"2020","Quintile 3","18","Wales","Male","35","195","280","440","40","255","390","685"
"2021","Quintile 3","18","England","Male","0","1715","370","2005","0","2000","380","2380"
"2021","Quintile 3","18","Northern Ireland","Male","0","20","0","20","0","25","0","25"
"2021","Quintile 3","18","Wales","Male","0","170","45","200","0","220","60","280"
"2022","Quintile 3","18","England","Male","425","2510","735","3455","455","2995","785","4235"
"2022","Quintile 3","18","Northern Ireland","Male","0","15","5","25","0","20","5","25"
"2022","Quintile 3","18","Wales","Male","10","75","80","155","10","95","100","210"
"2023","Quintile 3","18","England","Male","0","1870","700","2475","0","2125","770","2895"
"2023","Quintile 3","18","Northern Ireland","Male","0","5","0","10","0","5","0","10"
"2023","Quintile 3","18","Wales","Male","0","45","40","85","0","55","45","100"
"2013","Quintile 4","18","England","Male","0","165","90","250","0","195","95","290"
"2013","Quintile 4","18","Northern Ireland","Male","0","0","5","5","0","0","5","10"
"2013","Quintile 4","18","Wales","Male","0","5","20","20","0","5","20","20"
"2014","Quintile 4","18","England","Male","740","565","320","1570","775","610","335","1720"
"2014","Quintile 4","18","Northern Ireland","Male","5","10","5","20","5","10","10","20"
"2014","Quintile 4","18","Wales","Male","15","10","20","40","15","10","20","45"
"2015","Quintile 4","18","England","Male","1300","670","765","2580","1390","735","780","2900"
"2015","Quintile 4","18","Northern Ireland","Male","5","5","10","25","5","5","10","25"
"2015","Quintile 4","18","Wales","Male","15","25","55","95","20","25","70","115"
"2016","Quintile 4","18","England","Male","1830","1385","970","3915","1995","1525","1000","4515"
"2016","Quintile 4","18","Northern Ireland","Male","15","20","5","40","20","25","5","50"
"2016","Quintile 4","18","Wales","Male","40","55","70","155","40","70","85","195"
"2017","Quintile 4","18","England","Male","3190","1805","1305","5710","3640","2040","1365","7045"
"2017","Quintile 4","18","Northern Ireland","Male","20","25","25","65","20","25","25","70"
"2017","Quintile 4","18","Wales","Male","60","80","55","185","65","90","65","225"
"2018","Quintile 4","18","England","Male","4835","2265","1835","7850","5830","2590","1875","10290"
"2018","Quintile 4","18","Northern Ireland","Male","45","45","30","115","50","50","30","135"
"2018","Quintile 4","18","Wales","Male","125","90","70","260","145","95","80","320"
"2019","Quintile 4","18","England","Male","5955","2665","1840","8890","7460","3100","1910","12470"
"2019","Quintile 4","18","Northern Ireland","Male","55","25","15","85","65","25","15","105"
"2019","Quintile 4","18","Wales","Male","140","150","45","295","175","190","45","410"
"2020","Quintile 4","18","England","Male","2870","4865","3935","9635","3200","6205","4805","14210"
"2020","Quintile 4","18","Northern Ireland","Male","20","40","185","230","20","55","245","320"
"2020","Quintile 4","18","Wales","Male","50","155","255","395","55","215","375","640"
"2021","Quintile 4","18","England","Male","0","2100","415","2435","0","2390","435","2825"
"2021","Quintile 4","18","Northern Ireland","Male","0","20","5","25","0","25","5","30"
"2021","Quintile 4","18","Wales","Male","0","145","25","160","0","185","30","215"
"2022","Quintile 4","18","England","Male","445","3255","875","4365","480","3815","920","5215"
"2022","Quintile 4","18","Northern Ireland","Male","5","15","0","25","5","20","0","25"
"2022","Quintile 4","18","Wales","Male","15","55","55","120","15","60","65","140"
"2023","Quintile 4","18","England","Male","0","2250","775","2920","0","2525","845","3375"
"2023","Quintile 4","18","Northern Ireland","Male","0","10","5","15","0","10","5","15"
"2023","Quintile 4","18","Wales","Male","0","40","40","75","0","45","45","90"
