"Year","Predicted BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points (MPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2021","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 points (D*DD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 points (D*DD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","9 points (D*D*D)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 points (D*D*D*)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 points (D*D*D*)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 points (D*D*D*)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2016","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2020","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","2 points (MPP)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2021","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","4 points (MMM)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","8 points (D*DD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 points (D*DD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 points (D*DD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 points (D*D*D)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 points (D*D*D)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","9 points (D*D*D)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2010","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","30","15","0.548","0"
"2011","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","30","15","0.448","0"
"2012","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2014","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2016","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2017","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2020","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2021","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2022","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","25","15","0.667","0"
"2023","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","35","30","0.886","0"
"2016","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","45","30","0.652","0"
"2011","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","45","35","0.717","0"
"2012","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","30","0.775","0"
"2013","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","35","25","0.75","0"
"2014","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","25","0.658","0"
"2015","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2016","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2017","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","15","0.81","0"
"2018","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2019","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2021","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2022","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2023","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.875","0"
"2010","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","60","35","0.5650000000000001","0"
"2011","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","70","45","0.643","0"
"2012","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","55","35","0.667","0"
"2013","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2014","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.75","0"
"2015","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2016","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2017","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.6920000000000001","0"
"2018","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.867","0"
"2019","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2020","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2021","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2022","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","45","45","0.915","0"
"2023","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","45","40","0.872","0"
"2013","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","160","110","0.684","0"
"2011","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","200","135","0.662","0"
"2012","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","165","115","0.6930000000000001","0"
"2013","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","190","145","0.758","0"
"2014","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","115","90","0.8140000000000001","0"
"2015","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","135","115","0.838","0"
"2016","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","85","70","0.8190000000000001","0"
"2017","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","55","45","0.8300000000000001","0"
"2018","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","70","60","0.884","0"
"2019","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","70","65","0.928","0"
"2020","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.879","0"
"2021","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","95","90","0.918","0"
"2022","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","145","120","0.8320000000000001","0"
"2023","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","115","0.921","0"
"2010","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","120","85","0.7020000000000001","0"
"2011","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","205","155","0.746","0"
"2012","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","205","140","0.683","0"
"2013","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","190","145","0.777","0"
"2014","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","215","180","0.838","0"
"2015","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","235","190","0.805","0"
"2016","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","185","145","0.781","0"
"2017","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","135","115","0.853","0"
"2018","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","130","115","0.884","0"
"2019","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","105","90","0.883","0"
"2020","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","115","105","0.906","0"
"2021","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","150","130","0.854","0"
"2022","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","180","145","0.8200000000000001","0"
"2023","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","185","165","0.887","0"
"2010","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2018","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","120","85","0.705","0"
"2011","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","190","125","0.66","0"
"2012","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","165","110","0.667","0"
"2013","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","185","145","0.775","0"
"2014","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","270","205","0.75","0"
"2015","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","255","190","0.753","0"
"2016","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","275","215","0.777","0"
"2017","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","205","170","0.8280000000000001","0"
"2018","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","180","155","0.866","0"
"2019","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","155","135","0.877","0"
"2020","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","175","165","0.932","0"
"2021","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","230","205","0.886","0"
"2022","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","245","190","0.79","0"
"2023","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","205","180","0.874","0"
"2011","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2010","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
