"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","IB Only","19","All","Male","Main scheme applicant","Main scheme application","260","220","0.842","0"
"2022","IB Only","19","All","Male","Main scheme applicant","Main scheme application","290","220","0.758","0"
"2023","IB Only","19","All","Male","Main scheme applicant","Main scheme application","320","220","0.6920000000000001","0"
"2008","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","45","45","0.936","0"
"2009","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","100","75","0.778","0"
"2010","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","165","135","0.8180000000000001","0"
"2011","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","310","245","0.788","0"
"2012","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","460","370","0.812","0"
"2013","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","460","370","0.799","0"
"2014","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","520","425","0.812","0"
"2015","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","505","405","0.8","0"
"2016","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","500","405","0.809","0"
"2017","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","360","310","0.856","0"
"2018","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","240","200","0.8220000000000001","0"
"2019","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","170","140","0.833","0"
"2020","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","155","130","0.8260000000000001","0"
"2021","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","160","140","0.881","0"
"2022","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","65","55","0.8280000000000001","0"
"2023","A level & WB","19","All","Male","Main scheme applicant","Main scheme application","65","55","0.844","0"
"2014","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","40","30","0.762","0"
"2015","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","90","75","0.852","0"
"2016","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","205","165","0.792","0"
"2017","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","310","245","0.791","0"
"2018","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","340","245","0.722","0"
"2019","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","470","375","0.801","0"
"2020","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","510","400","0.783","0"
"2021","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","520","410","0.787","0"
"2022","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","555","400","0.722","0"
"2023","Cambridge Technicals only","19","All","Male","Main scheme applicant","Main scheme application","500","340","0.681","0"
"2009","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","45","35","0.795","0"
"2014","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","50","40","0.76","0"
"2015","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","65","45","0.714","0"
"2016","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","70","50","0.706","0"
"2017","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","110","80","0.714","0"
"2018","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","135","95","0.729","0"
"2019","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","185","135","0.739","0"
"2020","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","150","110","0.733","0"
"2021","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","145","115","0.776","0"
"2022","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","155","95","0.61","0"
"2023","Access to HE only","19","All","Male","Main scheme applicant","Main scheme application","190","125","0.656","0"
"2013","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2014","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","165","125","0.774","0"
"2015","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","290","230","0.799","0"
"2016","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","385","305","0.797","0"
"2017","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","370","295","0.797","0"
"2018","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","470","365","0.783","0"
"2019","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","570","475","0.838","0"
"2020","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","555","455","0.8150000000000001","0"
"2021","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","565","450","0.798","0"
"2022","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","565","440","0.78","0"
"2023","A level & Cambridge Technicals","19","All","Male","Main scheme applicant","Main scheme application","545","425","0.775","0"
"2008","Other","19","All","Male","Main scheme applicant","Main scheme application","13915","9650","0.6930000000000001","0"
"2009","Other","19","All","Male","Main scheme applicant","Main scheme application","14995","10200","0.68","0"
"2010","Other","19","All","Male","Main scheme applicant","Main scheme application","16815","10695","0.636","0"
"2011","Other","19","All","Male","Main scheme applicant","Main scheme application","16700","10670","0.639","0"
"2012","Other","19","All","Male","Main scheme applicant","Main scheme application","6360","3395","0.534","0"
"2013","Other","19","All","Male","Main scheme applicant","Main scheme application","6415","3785","0.59","0"
"2014","Other","19","All","Male","Main scheme applicant","Main scheme application","6095","3560","0.584","0"
"2015","Other","19","All","Male","Main scheme applicant","Main scheme application","6110","3660","0.6","0"
"2016","Other","19","All","Male","Main scheme applicant","Main scheme application","6325","3880","0.613","0"
"2017","Other","19","All","Male","Main scheme applicant","Main scheme application","6665","4370","0.656","0"
"2018","Other","19","All","Male","Main scheme applicant","Main scheme application","6905","4605","0.667","0"
"2019","Other","19","All","Male","Main scheme applicant","Main scheme application","7455","4985","0.669","0"
"2020","Other","19","All","Male","Main scheme applicant","Main scheme application","6785","4905","0.723","0"
"2021","Other","19","All","Male","Main scheme applicant","Main scheme application","6820","4805","0.705","0"
"2022","Other","19","All","Male","Main scheme applicant","Main scheme application","7665","4975","0.649","0"
"2023","Other","19","All","Male","Main scheme applicant","Main scheme application","7410","4555","0.615","0"
"2009","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","35","30","0.857","0"
"2011","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","95","75","0.771","0"
"2012","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","135","95","0.716","0"
"2013","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","165","135","0.808","0"
"2014","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","200","145","0.716","0"
"2015","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","215","160","0.748","0"
"2016","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","240","175","0.735","0"
"2017","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","200","145","0.72","0"
"2018","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","235","180","0.777","0"
"2019","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","250","190","0.755","0"
"2020","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","260","200","0.776","0"
"2021","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","285","220","0.774","0"
"2022","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","215","165","0.775","0"
"2023","A level Only (With extended project)","20","All","Male","Main scheme applicant","Main scheme application","270","205","0.759","0"
"2008","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","4815","3800","0.788","0"
"2009","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","5190","3920","0.756","0"
"2010","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","5610","4065","0.725","0"
"2011","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","5715","4105","0.718","0"
"2012","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","4365","3085","0.706","0"
"2013","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","4110","3015","0.733","0"
"2014","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","4280","3050","0.713","0"
"2015","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3920","2815","0.717","0"
"2016","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3730","2645","0.709","0"
"2017","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3415","2550","0.746","0"
"2018","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3125","2275","0.729","0"
"2019","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3095","2275","0.735","0"
"2020","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","2915","2145","0.736","0"
"2021","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","2755","2030","0.737","0"
"2022","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","2855","2035","0.713","0"
"2023","A level Only (Without extended project)","20","All","Male","Main scheme applicant","Main scheme application","3065","2200","0.717","0"
"2008","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","1245","945","0.758","0"
"2009","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","1600","1165","0.73","0"
"2010","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","2040","1405","0.6900000000000001","0"
"2011","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","2365","1620","0.686","0"
"2012","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","4680","3325","0.711","0"
"2013","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","4815","3570","0.742","0"
"2014","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","5650","4165","0.737","0"
"2015","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","5505","4060","0.737","0"
"2016","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","5245","3840","0.733","0"
"2017","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","4900","3715","0.758","0"
"2018","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","4255","3305","0.777","0"
"2019","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","3670","2815","0.767","0"
"2020","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","3380","2660","0.787","0"
"2021","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","3180","2365","0.743","0"
"2022","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","3000","2155","0.719","0"
"2023","BTEC Only","20","All","Male","Main scheme applicant","Main scheme application","2720","1910","0.7020000000000001","0"
"2008","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","215","165","0.76","0"
"2009","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","320","245","0.777","0"
"2010","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","425","310","0.735","0"
"2011","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","535","370","0.6910000000000001","0"
"2012","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1320","1015","0.771","0"
"2013","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1385","1095","0.791","0"
"2014","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1550","1225","0.792","0"
"2015","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1535","1175","0.765","0"
"2016","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1440","1100","0.766","0"
"2017","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1290","995","0.772","0"
"2018","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","1015","785","0.776","0"
"2019","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","820","640","0.778","0"
"2020","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","760","595","0.784","0"
"2021","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","650","510","0.783","0"
"2022","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","570","445","0.774","0"
"2023","A level & BTEC","20","All","Male","Main scheme applicant","Main scheme application","540","385","0.714","0"
"2008","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","880","645","0.736","0"
"2009","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","905","665","0.732","0"
"2010","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1050","670","0.64","0"
"2011","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1160","695","0.599","0"
"2012","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1260","820","0.649","0"
"2013","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1420","925","0.653","0"
"2014","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1410","955","0.678","0"
"2015","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1450","975","0.672","0"
"2016","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1435","955","0.667","0"
"2017","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1425","960","0.676","0"
"2018","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1480","1020","0.6900000000000001","0"
"2019","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1330","925","0.6980000000000001","0"
"2020","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1220","880","0.72","0"
"2021","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1235","835","0.678","0"
"2022","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","1035","685","0.662","0"
"2023","SQA Only","20","All","Male","Main scheme applicant","Main scheme application","970","710","0.731","0"
"2008","IB Only","20","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2009","IB Only","20","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","IB Only","20","All","Male","Main scheme applicant","Main scheme application","50","30","0.615","0"
"2011","IB Only","20","All","Male","Main scheme applicant","Main scheme application","80","55","0.679","0"
"2012","IB Only","20","All","Male","Main scheme applicant","Main scheme application","55","40","0.679","0"
"2013","IB Only","20","All","Male","Main scheme applicant","Main scheme application","60","45","0.71","0"
"2014","IB Only","20","All","Male","Main scheme applicant","Main scheme application","75","50","0.712","0"
"2015","IB Only","20","All","Male","Main scheme applicant","Main scheme application","80","55","0.675","0"
"2016","IB Only","20","All","Male","Main scheme applicant","Main scheme application","70","50","0.704","0"
"2017","IB Only","20","All","Male","Main scheme applicant","Main scheme application","70","50","0.686","0"
"2018","IB Only","20","All","Male","Main scheme applicant","Main scheme application","55","40","0.714","0"
"2019","IB Only","20","All","Male","Main scheme applicant","Main scheme application","70","50","0.729","0"
"2020","IB Only","20","All","Male","Main scheme applicant","Main scheme application","70","50","0.6900000000000001","0"
"2021","IB Only","20","All","Male","Main scheme applicant","Main scheme application","70","50","0.7000000000000001","0"
"2022","IB Only","20","All","Male","Main scheme applicant","Main scheme application","55","40","0.704","0"
"2023","IB Only","20","All","Male","Main scheme applicant","Main scheme application","80","55","0.667","0"
"2009","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","25","15","0.654","0"
"2010","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","35","30","0.806","0"
"2011","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","60","45","0.77","0"
"2012","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","95","75","0.8280000000000001","0"
"2013","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","100","80","0.796","0"
"2014","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","85","70","0.81","0"
"2015","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","115","85","0.752","0"
"2016","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","85","60","0.729","0"
"2017","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","75","55","0.747","0"
"2018","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","40","30","0.8","0"
"2019","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2021","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2022","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","15","10","0.923","0"
"2023","A level & WB","20","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","15","10"," ","0"
"2016","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","40","35","0.833","0"
"2017","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","95","65","0.6910000000000001","0"
"2018","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","110","85","0.787","0"
"2019","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","160","130","0.8130000000000001","0"
"2020","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","200","160","0.8140000000000001","0"
"2021","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","215","170","0.793","0"
"2022","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","150","105","0.7020000000000001","0"
"2023","Cambridge Technicals only","20","All","Male","Main scheme applicant","Main scheme application","155","105","0.6930000000000001","0"
"2009","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","20","10","0.545","0"
"2010","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","135","100","0.739","0"
"2013","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","400","305","0.762","0"
"2014","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","415","330","0.789","0"
"2015","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","475","345","0.728","0"
"2016","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","450","325","0.719","0"
"2017","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","495","370","0.743","0"
"2018","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","555","415","0.748","0"
"2019","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","655","500","0.767","0"
"2020","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","750","555","0.744","0"
"2021","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","630","490","0.779","0"
"2022","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","555","395","0.711","0"
"2023","Access to HE only","20","All","Male","Main scheme applicant","Main scheme application","560","375","0.664","0"
"2013","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","20","15","0.762","0"
"2016","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","45","30","0.744","0"
"2017","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","65","50","0.769","0"
"2018","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","55","45","0.772","0"
"2019","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","75","55","0.724","0"
"2020","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","100","80","0.79","0"
"2021","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","135","100","0.759","0"
"2022","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","85","60","0.709","0"
"2023","A level & Cambridge Technicals","20","All","Male","Main scheme applicant","Main scheme application","80","60","0.716","0"
"2008","Other","20","All","Male","Main scheme applicant","Main scheme application","7815","5375","0.6880000000000001","0"
"2009","Other","20","All","Male","Main scheme applicant","Main scheme application","8345","5540","0.664","0"
"2010","Other","20","All","Male","Main scheme applicant","Main scheme application","9150","5570","0.609","0"
"2011","Other","20","All","Male","Main scheme applicant","Main scheme application","9360","5690","0.608","0"
"2012","Other","20","All","Male","Main scheme applicant","Main scheme application","4750","2705","0.5690000000000001","0"
"2013","Other","20","All","Male","Main scheme applicant","Main scheme application","4565","2800","0.613","0"
"2014","Other","20","All","Male","Main scheme applicant","Main scheme application","4155","2455","0.59","0"
"2015","Other","20","All","Male","Main scheme applicant","Main scheme application","3915","2360","0.603","0"
"2016","Other","20","All","Male","Main scheme applicant","Main scheme application","3960","2495","0.631","0"
"2017","Other","20","All","Male","Main scheme applicant","Main scheme application","4040","2625","0.65","0"
"2018","Other","20","All","Male","Main scheme applicant","Main scheme application","4080","2655","0.651","0"
"2019","Other","20","All","Male","Main scheme applicant","Main scheme application","4090","2690","0.658","0"
"2020","Other","20","All","Male","Main scheme applicant","Main scheme application","4140","2935","0.71","0"
"2021","Other","20","All","Male","Main scheme applicant","Main scheme application","4305","2850","0.662","0"
"2022","Other","20","All","Male","Main scheme applicant","Main scheme application","4115","2535","0.617","0"
"2023","Other","20","All","Male","Main scheme applicant","Main scheme application","3985","2420","0.607","0"
"2009","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","20","15","0.737","0"
"2011","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","20","20","0.8180000000000001","0"
"2012","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","40","25","0.641","0"
"2013","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","85","50","0.5700000000000001","0"
"2014","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","160","90","0.5680000000000001","0"
"2015","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","180","105","0.601","0"
"2016","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","230","135","0.586","0"
"2017","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","200","130","0.658","0"
"2018","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","210","125","0.592","0"
"2019","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","215","130","0.61","0"
"2020","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","250","165","0.673","0"
"2021","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","290","155","0.536","0"
"2022","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","285","165","0.586","0"
"2023","A level Only (With extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","255","165","0.65","0"
"2008","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5305","3520","0.663","0"
"2009","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","6285","4090","0.65","0"
"2010","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","7000","4130","0.59","0"
"2011","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","7305","4245","0.581","0"
"2012","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5850","3285","0.562","0"
"2013","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5845","3355","0.5740000000000001","0"
"2014","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5790","3255","0.562","0"
"2015","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","5435","3210","0.59","0"
"2016","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","4955","2985","0.603","0"
"2017","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","4340","2665","0.614","0"
"2018","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3945","2465","0.624","0"
"2019","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3615","2300","0.636","0"
"2020","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3755","2440","0.65","0"
"2021","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3700","2150","0.582","0"
"2022","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3510","1895","0.54","0"
"2023","A level Only (Without extended project)","21 - 24","All","Male","Main scheme applicant","Main scheme application","3420","2030","0.593","0"
"2008","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","1300","945","0.726","0"
"2009","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","1865","1325","0.709","0"
"2010","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","2840","1790","0.63","0"
"2011","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","3250","2005","0.616","0"
"2012","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","4590","3085","0.671","0"
"2013","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","4715","3340","0.709","0"
"2014","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","5375","3665","0.682","0"
"2015","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","5555","3870","0.6970000000000001","0"
"2016","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","5090","3540","0.6950000000000001","0"
"2017","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","4780","3430","0.718","0"
"2018","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","4425","3165","0.716","0"
"2019","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","3975","2810","0.708","0"
"2020","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","3600","2665","0.74","0"
"2021","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","3530","2505","0.709","0"
"2022","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","3085","2100","0.681","0"
"2023","BTEC Only","21 - 24","All","Male","Main scheme applicant","Main scheme application","2705","1830","0.676","0"
"2008","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","240","190","0.795","0"
"2009","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","330","250","0.754","0"
"2010","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","450","315","0.7030000000000001","0"
"2011","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","575","375","0.654","0"
"2012","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","820","570","0.6960000000000001","0"
"2013","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","855","615","0.718","0"
"2014","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","1020","740","0.726","0"
"2015","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","1065","790","0.739","0"
"2016","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","1095","795","0.726","0"
"2017","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","995","705","0.709","0"
"2018","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","880","630","0.714","0"
"2019","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","835","550","0.66","0"
"2020","A level & BTEC","21 - 24","All","Male","Main scheme applicant","Main scheme application","715","530","0.736","0"
