"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","Other","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","70","65","0.9440000000000001","5"
"2021","Other","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","60","60","0.968","0"
"2022","Other","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","80","80","1","5"
"2023","Other","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","130","125","0.977","0"
"2008","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Other","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2013","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2014","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2015","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.875","0"
"2017","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.96","10"
"2018","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.838","5"
"2019","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","75","70","0.973","5"
"2020","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","75","75","0.987","15"
"2021","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2022","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","5"
"2023","A level Only (With extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.971","0"
"2016","A level Only (Without extended project)","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","A level Only (Without extended project)","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","A level Only (Without extended project)","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","A level Only (Without extended project)","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","165","160","0.982","40"
"2009","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","120","110","0.932","45"
"2010","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","115","115","0.974","15"
"2011","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","185","170","0.913","35"
"2012","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","340","325","0.962","25"
"2013","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","390","365","0.9410000000000001","35"
"2014","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","290","275","0.962","30"
"2015","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","340","330","0.9590000000000001","25"
"2016","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","355","330","0.935","25"
"2017","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","470","440","0.93","25"
"2018","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","470","445","0.9530000000000001","20"
"2019","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","600","575","0.9570000000000001","25"
"2020","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","770","720","0.9390000000000001","70"
"2021","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","235","220","0.936","20"
"2022","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","255","235","0.933","15"
"2023","A level Only (Without extended project)","18","England","Female","Not main scheme applicant","Not main scheme application","320","300","0.9400000000000001","25"
"2008","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2013","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2014","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2019","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","A level Only (Without extended project)","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","BTEC Only","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","BTEC Only","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","10"
"2009","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.923","15"
"2010","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","60","60","0.984","15"
"2011","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","75","75","0.987","10"
"2012","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","105","95","0.932","10"
"2013","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","160","150","0.9490000000000001","10"
"2014","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","170","165","0.971","25"
"2015","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","200","190","0.9410000000000001","20"
"2016","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","175","165","0.965","15"
"2017","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","205","195","0.9460000000000001","15"
"2018","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","210","200","0.962","10"
"2019","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","240","225","0.933","10"
"2020","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","395","380","0.962","15"
"2021","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","115","110","0.931","5"
"2022","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","70","60","0.859","10"
"2023","BTEC Only","18","England","Female","Not main scheme applicant","Not main scheme application","80","70","0.886","5"
