"Year","Predicted A level points","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2012","17 point(s)","18","England","Male","19750","14030","0.71"
"2013","17 point(s)","18","England","Male","19840","14550","0.733"
"2014","17 point(s)","18","England","Male","20735","15595","0.752"
"2015","17 point(s)","18","England","Male","21750","16600","0.763"
"2016","17 point(s)","18","England","Male","22720","17360","0.764"
"2017","17 point(s)","18","England","Male","23790","18420","0.774"
"2018","17 point(s)","18","England","Male","24795","19005","0.766"
"2019","17 point(s)","18","England","Male","26240","19925","0.759"
"2020","17 point(s)","18","England","Male","28040","21110","0.753"
"2021","17 point(s)","18","England","Male","31045","22090","0.712"
"2022","17 point(s)","18","England","Male","35110","22310","0.635"
"2023","17 point(s)","18","England","Male","38930","26240","0.674"
"2010","17 point(s)","18","Scotland","Male","50","35","0.7000000000000001"
"2011","17 point(s)","18","Scotland","Male","50","35","0.68"
"2012","17 point(s)","18","Scotland","Male","45","30","0.711"
"2013","17 point(s)","18","Scotland","Male","40","25","0.65"
"2014","17 point(s)","18","Scotland","Male","25","20","0.72"
"2015","17 point(s)","18","Scotland","Male","30","20","0.733"
"2016","17 point(s)","18","Scotland","Male","50","35","0.74"
"2017","17 point(s)","18","Scotland","Male","50","40","0.76"
"2018","17 point(s)","18","Scotland","Male","35","20","0.543"
"2019","17 point(s)","18","Scotland","Male","45","20","0.489"
"2020","17 point(s)","18","Scotland","Male","45","30","0.711"
"2021","17 point(s)","18","Scotland","Male","35","20","0.629"
"2022","17 point(s)","18","Scotland","Male","70","40","0.6"
"2023","17 point(s)","18","Scotland","Male","60","35","0.55"
"2010","17 point(s)","18","Wales","Male","490","325","0.665"
"2011","17 point(s)","18","Wales","Male","695","465","0.666"
"2012","17 point(s)","18","Wales","Male","860","605","0.705"
"2013","17 point(s)","18","Wales","Male","785","545","0.6920000000000001"
"2014","17 point(s)","18","Wales","Male","860","610","0.712"
"2015","17 point(s)","18","Wales","Male","695","535","0.768"
"2016","17 point(s)","18","Wales","Male","855","645","0.753"
"2017","17 point(s)","18","Wales","Male","965","755","0.783"
"2018","17 point(s)","18","Wales","Male","995","765","0.768"
"2019","17 point(s)","18","Wales","Male","1035","800","0.774"
"2020","17 point(s)","18","Wales","Male","880","685","0.777"
"2021","17 point(s)","18","Wales","Male","1145","850","0.743"
"2022","17 point(s)","18","Wales","Male","1035","705","0.682"
"2023","17 point(s)","18","Wales","Male","1475","1040","0.704"
"2010","18 point(s)","18","Northern Ireland","Male","870","585","0.674"
"2011","18 point(s)","18","Northern Ireland","Male","985","650","0.66"
"2012","18 point(s)","18","Northern Ireland","Male","1000","680","0.682"
"2013","18 point(s)","18","Northern Ireland","Male","1010","700","0.6950000000000001"
"2014","18 point(s)","18","Northern Ireland","Male","850","615","0.726"
"2015","18 point(s)","18","Northern Ireland","Male","900","685","0.763"
"2016","18 point(s)","18","Northern Ireland","Male","870","645","0.741"
"2017","18 point(s)","18","Northern Ireland","Male","875","675","0.769"
"2018","18 point(s)","18","Northern Ireland","Male","980","795","0.809"
"2019","18 point(s)","18","Northern Ireland","Male","800","620","0.776"
"2020","18 point(s)","18","Northern Ireland","Male","845","640","0.756"
"2021","18 point(s)","18","Northern Ireland","Male","1020","810","0.792"
"2022","18 point(s)","18","Northern Ireland","Male","1140","810","0.711"
"2023","18 point(s)","18","Northern Ireland","Male","1465","1050","0.717"
"2010","18 point(s)","18","England","Male","18695","13430","0.718"
"2011","18 point(s)","18","England","Male","21660","15640","0.722"
"2012","18 point(s)","18","England","Male","24705","18320","0.742"
"2013","18 point(s)","18","England","Male","24785","18795","0.758"
"2014","18 point(s)","18","England","Male","24890","19405","0.78"
"2015","18 point(s)","18","England","Male","27350","21440","0.784"
"2016","18 point(s)","18","England","Male","26755","21150","0.791"
"2017","18 point(s)","18","England","Male","26670","21295","0.798"
"2018","18 point(s)","18","England","Male","27975","22170","0.792"
"2019","18 point(s)","18","England","Male","30170","23900","0.792"
"2020","18 point(s)","18","England","Male","33660","26125","0.776"
"2021","18 point(s)","18","England","Male","38375","28075","0.732"
"2022","18 point(s)","18","England","Male","48585","33130","0.682"
"2023","18 point(s)","18","England","Male","55450","39085","0.705"
"2010","18 point(s)","18","Scotland","Male","45","25","0.533"
"2011","18 point(s)","18","Scotland","Male","55","35","0.636"
"2012","18 point(s)","18","Scotland","Male","55","35","0.636"
"2013","18 point(s)","18","Scotland","Male","65","45","0.677"
"2014","18 point(s)","18","Scotland","Male","60","45","0.767"
"2015","18 point(s)","18","Scotland","Male","20","15","0.7000000000000001"
"2016","18 point(s)","18","Scotland","Male","25","20","0.84"
"2017","18 point(s)","18","Scotland","Male","80","65","0.838"
"2018","18 point(s)","18","Scotland","Male","45","30","0.644"
"2019","18 point(s)","18","Scotland","Male","45","35","0.733"
"2020","18 point(s)","18","Scotland","Male","20","15","0.75"
"2021","18 point(s)","18","Scotland","Male","55","35","0.655"
"2022","18 point(s)","18","Scotland","Male","70","40","0.586"
"2023","18 point(s)","18","Scotland","Male","75","50","0.667"
"2010","18 point(s)","18","Wales","Male","825","520","0.633"
"2011","18 point(s)","18","Wales","Male","840","565","0.674"
"2012","18 point(s)","18","Wales","Male","970","690","0.713"
"2013","18 point(s)","18","Wales","Male","735","555","0.752"
"2014","18 point(s)","18","Wales","Male","910","655","0.72"
"2015","18 point(s)","18","Wales","Male","990","755","0.761"
"2016","18 point(s)","18","Wales","Male","1020","775","0.761"
"2017","18 point(s)","18","Wales","Male","1145","895","0.78"
"2018","18 point(s)","18","Wales","Male","1230","925","0.751"
"2019","18 point(s)","18","Wales","Male","1365","1020","0.749"
"2020","18 point(s)","18","Wales","Male","1425","1085","0.763"
"2021","18 point(s)","18","Wales","Male","1520","1090","0.718"
"2022","18 point(s)","18","Wales","Male","1855","1275","0.6880000000000001"
"2023","18 point(s)","18","Wales","Male","2120","1425","0.671"
"2010","All","18","Northern Ireland","Female","25615","18610","0.727"
"2011","All","18","Northern Ireland","Female","25155","17380","0.6910000000000001"
"2012","All","18","Northern Ireland","Female","25475","18285","0.718"
"2013","All","18","Northern Ireland","Female","25845","19075","0.738"
"2014","All","18","Northern Ireland","Female","24815","18875","0.761"
"2015","All","18","Northern Ireland","Female","25990","20005","0.77"
"2016","All","18","Northern Ireland","Female","24985","19385","0.776"
"2017","All","18","Northern Ireland","Female","24330","19115","0.786"
"2018","All","18","Northern Ireland","Female","22210","17630","0.794"
"2019","All","18","Northern Ireland","Female","19400","15510","0.799"
"2020","All","18","Northern Ireland","Female","19845","15975","0.805"
"2021","All","18","Northern Ireland","Female","20695","15970","0.772"
"2022","All","18","Northern Ireland","Female","22645","16780","0.741"
"2023","All","18","Northern Ireland","Female","22830","17950","0.786"
"2010","All","18","England","Female","433500","313860","0.724"
"2011","All","18","England","Female","439515","313640","0.714"
"2012","All","18","England","Female","423270","315890","0.746"
"2013","All","18","England","Female","421710","329660","0.782"
"2014","All","18","England","Female","419525","334470","0.797"
"2015","All","18","England","Female","435700","353935","0.812"
"2016","All","18","England","Female","436745","357440","0.8180000000000001"
"2017","All","18","England","Female","440895","364770","0.8270000000000001"
"2018","All","18","England","Female","429445","356470","0.8300000000000001"
"2019","All","18","England","Female","424005","352190","0.8310000000000001"
"2020","All","18","England","Female","424840","354085","0.833"
"2021","All","18","England","Female","456805","370350","0.811"
"2022","All","18","England","Female","474790","358015","0.754"
"2023","All","18","England","Female","474990","369855","0.779"
"2010","All","18","Scotland","Female","640","425","0.667"
"2011","All","18","Scotland","Female","510","310","0.606"
"2012","All","18","Scotland","Female","495","340","0.685"
"2013","All","18","Scotland","Female","470","345","0.73"
"2014","All","18","Scotland","Female","550","415","0.755"
"2015","All","18","Scotland","Female","535","385","0.716"
"2016","All","18","Scotland","Female","405","295","0.728"
"2017","All","18","Scotland","Female","535","390","0.729"
"2018","All","18","Scotland","Female","425","325","0.765"
"2019","All","18","Scotland","Female","440","340","0.773"
"2020","All","18","Scotland","Female","295","235","0.797"
"2021","All","18","Scotland","Female","445","325","0.73"
"2022","All","18","Scotland","Female","415","260","0.624"
"2023","All","18","Scotland","Female","425","320","0.755"
"2010","All","18","Wales","Female","22550","16410","0.728"
"2011","All","18","Wales","Female","21610","15370","0.711"
"2012","All","18","Wales","Female","21305","15920","0.747"
"2013","All","18","Wales","Female","19950","15380","0.771"
"2014","All","18","Wales","Female","19715","15540","0.788"
"2015","All","18","Wales","Female","20490","16425","0.802"
"2016","All","18","Wales","Female","20630","16565","0.803"
"2017","All","18","Wales","Female","19050","15765","0.8280000000000001"
"2018","All","18","Wales","Female","17525","14365","0.8200000000000001"
"2019","All","18","Wales","Female","17255","14275","0.8270000000000001"
"2020","All","18","Wales","Female","16375","13560","0.8280000000000001"
"2021","All","18","Wales","Female","20565","16415","0.798"
"2022","All","18","Wales","Female","21735","16150","0.743"
"2023","All","18","Wales","Female","19025","14990","0.788"
"2010","All","18","Northern Ireland","Male","18485","15080","0.8160000000000001"
"2011","All","18","Northern Ireland","Male","18615","14550","0.782"
"2012","All","18","Northern Ireland","Male","18010","14855","0.8250000000000001"
"2013","All","18","Northern Ireland","Male","18810","16055","0.854"
"2014","All","18","Northern Ireland","Male","18130","15680","0.865"
"2015","All","18","Northern Ireland","Male","17845","15505","0.869"
"2016","All","18","Northern Ireland","Male","17095","14745","0.863"
"2017","All","18","Northern Ireland","Male","16485","14260","0.865"
"2018","All","18","Northern Ireland","Male","15020","13010","0.866"
"2019","All","18","Northern Ireland","Male","12660","10990","0.868"
"2020","All","18","Northern Ireland","Male","11985","10415","0.869"
"2021","All","18","Northern Ireland","Male","13665","11745","0.86"
"2022","All","18","Northern Ireland","Male","14320","11950","0.835"
"2023","All","18","Northern Ireland","Male","14750","12490","0.847"
"2010","All","18","England","Male","352085","265930","0.755"
"2011","All","18","England","Male","353020","264435","0.749"
"2012","All","18","England","Male","332065","257580","0.776"
"2013","All","18","England","Male","329915","267880","0.812"
"2014","All","18","England","Male","326585","268990","0.8240000000000001"
"2015","All","18","England","Male","329730","273445","0.8290000000000001"
"2016","All","18","England","Male","330665","275320","0.833"
"2017","All","18","England","Male","336365","280210","0.833"
"2018","All","18","England","Male","329150","274500","0.834"
"2019","All","18","England","Male","330340","273815","0.8290000000000001"
"2020","All","18","England","Male","327950","271165","0.8270000000000001"
"2021","All","18","England","Male","359970","290395","0.807"
"2022","All","18","England","Male","382680","289390","0.756"
"2023","All","18","England","Male","390735","302805","0.775"
"2010","All","18","Scotland","Male","690","465","0.675"
"2011","All","18","Scotland","Male","590","390","0.659"
"2012","All","18","Scotland","Male","715","505","0.705"
"2013","All","18","Scotland","Male","625","475","0.76"
"2014","All","18","Scotland","Male","570","445","0.777"
"2015","All","18","Scotland","Male","505","385","0.764"
"2016","All","18","Scotland","Male","535","400","0.746"
"2017","All","18","Scotland","Male","530","405","0.762"
"2018","All","18","Scotland","Male","470","335","0.713"
"2019","All","18","Scotland","Male","425","300","0.706"
"2020","All","18","Scotland","Male","375","290","0.768"
"2021","All","18","Scotland","Male","430","305","0.714"
"2022","All","18","Scotland","Male","360","225","0.622"
"2023","All","18","Scotland","Male","455","320","0.7010000000000001"
"2010","All","18","Wales","Male","16800","12735","0.758"
"2011","All","18","Wales","Male","16330","12245","0.75"
"2012","All","18","Wales","Male","15060","11825","0.785"
"2013","All","18","Wales","Male","14565","11775","0.808"
"2014","All","18","Wales","Male","14275","11740","0.8220000000000001"
"2015","All","18","Wales","Male","14265","11960","0.838"
"2016","All","18","Wales","Male","13860","11660","0.841"
"2017","All","18","Wales","Male","13350","11205","0.839"
"2018","All","18","Wales","Male","12165","10205","0.839"
"2019","All","18","Wales","Male","12160","10235","0.842"
"2020","All","18","Wales","Male","11400","9640","0.846"
"2021","All","18","Wales","Male","13955","11400","0.8170000000000001"
"2022","All","18","Wales","Male","14855","11395","0.767"
"2023","All","18","Wales","Male","13615","10670","0.784"
"2020","1 point(s)","All","England","Female","5","5"," "
"2011","2 point(s)","All","England","Female","5","5"," "
"2012","2 point(s)","All","England","Female","5","0"," "
"2013","2 point(s)","All","England","Female","10","5"," "
"2019","2 point(s)","All","England","Female","5","5"," "
"2023","2 point(s)","All","England","Female","15","5"," "
"2010","3 point(s)","All","England","Female","85","40","0.447"
"2011","3 point(s)","All","England","Female","25","10"," "
"2012","3 point(s)","All","England","Female","25","10","0.48"
"2013","3 point(s)","All","England","Female","35","20","0.6"
"2014","3 point(s)","All","England","Female","20","5"," "
"2016","3 point(s)","All","England","Female","20","10"," "
"2017","3 point(s)","All","England","Female","35","15","0.371"
"2018","3 point(s)","All","England","Female","40","20","0.55"
"2019","3 point(s)","All","England","Female","50","25","0.54"
"2020","3 point(s)","All","England","Female","30","15","0.5"
"2021","3 point(s)","All","England","Female","70","40","0.586"
"2022","3 point(s)","All","England","Female","90","55","0.622"
"2023","3 point(s)","All","England","Female","70","45","0.657"
"2013","3 point(s)","All","Wales","Female","5","0"," "
"2020","3 point(s)","All","Wales","Female","5","5"," "
"2022","3 point(s)","All","Wales","Female","10","10"," "
"2010","4 point(s)","All","Northern Ireland","Female","10","10"," "
"2011","4 point(s)","All","Northern Ireland","Female","10","0"," "
"2023","4 point(s)","All","Northern Ireland","Female","5","0"," "
"2010","4 point(s)","All","England","Female","270","155","0.5670000000000001"
"2011","4 point(s)","All","England","Female","235","105","0.443"
"2012","4 point(s)","All","England","Female","105","45","0.448"
"2013","4 point(s)","All","England","Female","100","55","0.55"
"2014","4 point(s)","All","England","Female","80","40","0.525"
"2015","4 point(s)","All","England","Female","90","40","0.444"
"2016","4 point(s)","All","England","Female","35","15","0.4"
"2017","4 point(s)","All","England","Female","65","35","0.554"
"2018","4 point(s)","All","England","Female","130","90","0.685"
"2019","4 point(s)","All","England","Female","125","75","0.592"
"2020","4 point(s)","All","England","Female","140","80","0.5640000000000001"
"2021","4 point(s)","All","England","Female","190","135","0.7000000000000001"
"2022","4 point(s)","All","England","Female","170","105","0.612"
"2023","4 point(s)","All","England","Female","185","110","0.589"
"2010","4 point(s)","All","Scotland","Female","5","0"," "
"2012","4 point(s)","All","Scotland","Female","5","0"," "
"2010","4 point(s)","All","Wales","Female","10","0"," "
"2011","4 point(s)","All","Wales","Female","5","0"," "
"2014","4 point(s)","All","Wales","Female","5","5"," "
"2020","4 point(s)","All","Wales","Female","5","5"," "
"2021","4 point(s)","All","Wales","Female","5","5"," "
"2022","4 point(s)","All","Wales","Female","10","5"," "
"2010","5 point(s)","All","Northern Ireland","Female","15","15","0.867"
"2011","5 point(s)","All","Northern Ireland","Female","10","0"," "
"2012","5 point(s)","All","Northern Ireland","Female","15","5"," "
"2013","5 point(s)","All","Northern Ireland","Female","20","5"," "
"2014","5 point(s)","All","Northern Ireland","Female","10","5"," "
"2015","5 point(s)","All","Northern Ireland","Female","5","5"," "
"2018","5 point(s)","All","Northern Ireland","Female","5","0"," "
"2010","5 point(s)","All","England","Female","1155","615","0.532"
"2011","5 point(s)","All","England","Female","835","335","0.399"
"2012","5 point(s)","All","England","Female","515","220","0.423"
"2013","5 point(s)","All","England","Female","310","190","0.619"
"2014","5 point(s)","All","England","Female","270","145","0.541"
"2015","5 point(s)","All","England","Female","235","135","0.5740000000000001"
"2016","5 point(s)","All","England","Female","260","170","0.654"
"2017","5 point(s)","All","England","Female","290","155","0.531"
"2018","5 point(s)","All","England","Female","320","210","0.653"
"2019","5 point(s)","All","England","Female","395","255","0.646"
"2020","5 point(s)","All","England","Female","315","225","0.717"
"2021","5 point(s)","All","England","Female","360","255","0.706"
"2022","5 point(s)","All","England","Female","505","320","0.634"
"2023","5 point(s)","All","England","Female","490","325","0.661"
"2010","5 point(s)","All","Wales","Female","30","10"," "
"2011","5 point(s)","All","Wales","Female","40","15","0.4"
"2012","5 point(s)","All","Wales","Female","15","10","0.8"
"2013","5 point(s)","All","Wales","Female","5","5"," "
"2014","5 point(s)","All","Wales","Female","10","10"," "
"2015","5 point(s)","All","Wales","Female","5","5"," "
"2016","5 point(s)","All","Wales","Female","5","5"," "
"2017","5 point(s)","All","Wales","Female","10","10"," "
"2018","5 point(s)","All","Wales","Female","10","10"," "
"2020","5 point(s)","All","Wales","Female","5","5"," "
"2021","5 point(s)","All","Wales","Female","10","10"," "
"2022","5 point(s)","All","Wales","Female","5","5"," "
"2023","5 point(s)","All","Wales","Female","5","5"," "
"2010","6 point(s)","All","Northern Ireland","Female","55","35","0.673"
"2011","6 point(s)","All","Northern Ireland","Female","55","30","0.527"
"2012","6 point(s)","All","Northern Ireland","Female","40","15","0.375"
"2013","6 point(s)","All","Northern Ireland","Female","40","20","0.45"
"2014","6 point(s)","All","Northern Ireland","Female","25","10","0.48"
"2015","6 point(s)","All","Northern Ireland","Female","20","15","0.65"
"2016","6 point(s)","All","Northern Ireland","Female","20","15","0.65"
"2018","6 point(s)","All","Northern Ireland","Female","5","0"," "
"2019","6 point(s)","All","Northern Ireland","Female","10","5"," "
"2020","6 point(s)","All","Northern Ireland","Female","5","0"," "
"2022","6 point(s)","All","Northern Ireland","Female","5","0"," "
"2023","6 point(s)","All","Northern Ireland","Female","15","15","0.933"
"2010","6 point(s)","All","England","Female","3205","1745","0.544"
"2011","6 point(s)","All","England","Female","2430","1120","0.46"
"2012","6 point(s)","All","England","Female","1690","870","0.515"
"2013","6 point(s)","All","England","Female","1375","785","0.5720000000000001"
"2014","6 point(s)","All","England","Female","1100","655","0.595"
"2015","6 point(s)","All","England","Female","980","595","0.606"
"2016","6 point(s)","All","England","Female","820","530","0.645"
"2017","6 point(s)","All","England","Female","1120","680","0.607"
"2018","6 point(s)","All","England","Female","935","660","0.704"
"2019","6 point(s)","All","England","Female","1055","710","0.671"
"2020","6 point(s)","All","England","Female","860","640","0.747"
"2021","6 point(s)","All","England","Female","1050","755","0.72"
"2022","6 point(s)","All","England","Female","1355","955","0.705"
"2023","6 point(s)","All","England","Female","1190","835","0.7020000000000001"
"2010","6 point(s)","All","Scotland","Female","5","0"," "
"2010","6 point(s)","All","Wales","Female","150","80","0.54"
"2011","6 point(s)","All","Wales","Female","110","60","0.5640000000000001"
"2012","6 point(s)","All","Wales","Female","95","45","0.495"
"2013","6 point(s)","All","Wales","Female","75","55","0.747"
"2014","6 point(s)","All","Wales","Female","25","15","0.64"
"2015","6 point(s)","All","Wales","Female","15","10","0.667"
"2016","6 point(s)","All","Wales","Female","15","10","0.733"
"2017","6 point(s)","All","Wales","Female","20","10"," "
"2018","6 point(s)","All","Wales","Female","20","15","0.65"
"2019","6 point(s)","All","Wales","Female","15","10","0.733"
"2020","6 point(s)","All","Wales","Female","30","20","0.733"
"2021","6 point(s)","All","Wales","Female","20","20","0.9500000000000001"
"2022","6 point(s)","All","Wales","Female","50","25","0.54"
"2023","6 point(s)","All","Wales","Female","35","25","0.714"
"2010","7 point(s)","All","Northern Ireland","Female","205","125","0.6"
"2011","7 point(s)","All","Northern Ireland","Female","165","50","0.309"
"2012","7 point(s)","All","Northern Ireland","Female","70","35","0.529"
"2013","7 point(s)","All","Northern Ireland","Female","75","45","0.6"
"2014","7 point(s)","All","Northern Ireland","Female","65","35","0.5690000000000001"
"2015","7 point(s)","All","Northern Ireland","Female","55","35","0.6"
"2016","7 point(s)","All","Northern Ireland","Female","10","5"," "
"2017","7 point(s)","All","Northern Ireland","Female","5","5"," "
"2018","7 point(s)","All","Northern Ireland","Female","20","15","0.7000000000000001"
"2019","7 point(s)","All","Northern Ireland","Female","10","5"," "
"2020","7 point(s)","All","Northern Ireland","Female","10","10"," "
"2021","7 point(s)","All","Northern Ireland","Female","10","10"," "
"2022","7 point(s)","All","Northern Ireland","Female","15","10"," "
"2023","7 point(s)","All","Northern Ireland","Female","25","15","0.56"
"2010","7 point(s)","All","England","Female","7600","4570","0.602"
"2011","7 point(s)","All","England","Female","5970","3165","0.53"
"2012","7 point(s)","All","England","Female","4095","2095","0.512"
"2013","7 point(s)","All","England","Female","3400","2110","0.621"
"2014","7 point(s)","All","England","Female","2915","1860","0.638"
"2015","7 point(s)","All","England","Female","3005","1985","0.66"
"2016","7 point(s)","All","England","Female","2615","1680","0.642"
"2017","7 point(s)","All","England","Female","2530","1710","0.675"
"2018","7 point(s)","All","England","Female","2320","1655","0.713"
"2019","7 point(s)","All","England","Female","2230","1635","0.734"
"2020","7 point(s)","All","England","Female","2100","1550","0.738"
"2021","7 point(s)","All","England","Female","2230","1725","0.774"
"2022","7 point(s)","All","England","Female","2795","2085","0.746"
"2023","7 point(s)","All","England","Female","2705","1970","0.728"
"2010","7 point(s)","All","Scotland","Female","15","10","0.8"
"2011","7 point(s)","All","Scotland","Female","10","5"," "
"2017","7 point(s)","All","Scotland","Female","5","5"," "
"2021","7 point(s)","All","Scotland","Female","5","5"," "
"2022","7 point(s)","All","Scotland","Female","5","0"," "
"2010","7 point(s)","All","Wales","Female","345","230","0.67"
"2011","7 point(s)","All","Wales","Female","290","180","0.621"
"2012","7 point(s)","All","Wales","Female","105","60","0.5710000000000001"
"2013","7 point(s)","All","Wales","Female","135","95","0.6890000000000001"
"2014","7 point(s)","All","Wales","Female","120","75","0.642"
"2015","7 point(s)","All","Wales","Female","120","75","0.608"
"2016","7 point(s)","All","Wales","Female","70","40","0.6"
"2017","7 point(s)","All","Wales","Female","60","50","0.833"
"2018","7 point(s)","All","Wales","Female","60","45","0.75"
"2019","7 point(s)","All","Wales","Female","30","25","0.767"
"2020","7 point(s)","All","Wales","Female","60","45","0.783"
"2021","7 point(s)","All","Wales","Female","80","55","0.713"
"2022","7 point(s)","All","Wales","Female","125","95","0.776"
"2023","7 point(s)","All","Wales","Female","45","40","0.933"
"2010","8 point(s)","All","Northern Ireland","Female","405","275","0.677"
"2011","8 point(s)","All","Northern Ireland","Female","415","220","0.525"
"2012","8 point(s)","All","Northern Ireland","Female","330","170","0.521"
"2013","8 point(s)","All","Northern Ireland","Female","325","205","0.637"
"2014","8 point(s)","All","Northern Ireland","Female","260","150","0.585"
"2015","8 point(s)","All","Northern Ireland","Female","175","110","0.623"
"2016","8 point(s)","All","Northern Ireland","Female","145","75","0.503"
"2017","8 point(s)","All","Northern Ireland","Female","55","25","0.491"
"2018","8 point(s)","All","Northern Ireland","Female","70","50","0.7000000000000001"
"2019","8 point(s)","All","Northern Ireland","Female","40","30","0.75"
"2020","8 point(s)","All","Northern Ireland","Female","20","15","0.75"
"2021","8 point(s)","All","Northern Ireland","Female","15","10"," "
"2022","8 point(s)","All","Northern Ireland","Female","45","40","0.933"
"2023","8 point(s)","All","Northern Ireland","Female","35","20","0.514"
"2010","8 point(s)","All","England","Female","14620","9280","0.635"
"2011","8 point(s)","All","England","Female","12345","7095","0.5750000000000001"
"2012","8 point(s)","All","England","Female","9795","5645","0.5760000000000001"
"2013","8 point(s)","All","England","Female","7885","5150","0.653"
"2014","8 point(s)","All","England","Female","7440","5135","0.6900000000000001"
"2015","8 point(s)","All","England","Female","6505","4475","0.6880000000000001"
"2016","8 point(s)","All","England","Female","6535","4540","0.6950000000000001"
"2017","8 point(s)","All","England","Female","6035","4320","0.715"
"2018","8 point(s)","All","England","Female","5330","3915","0.734"
"2019","8 point(s)","All","England","Female","4425","3380","0.764"
"2020","8 point(s)","All","England","Female","4560","3475","0.762"
"2021","8 point(s)","All","England","Female","4800","3645","0.759"
"2022","8 point(s)","All","England","Female","5325","4065","0.764"
"2023","8 point(s)","All","England","Female","4625","3500","0.757"
"2010","8 point(s)","All","Scotland","Female","10","10"," "
"2011","8 point(s)","All","Scotland","Female","10","5"," "
"2012","8 point(s)","All","Scotland","Female","5","5"," "
"2013","8 point(s)","All","Scotland","Female","20","10","0.55"
"2015","8 point(s)","All","Scotland","Female","5","5"," "
"2016","8 point(s)","All","Scotland","Female","10","0"," "
"2018","8 point(s)","All","Scotland","Female","10","5"," "
"2020","8 point(s)","All","Scotland","Female","5","5"," "
"2021","8 point(s)","All","Scotland","Female","5","5"," "
"2022","8 point(s)","All","Scotland","Female","5","5"," "
"2023","8 point(s)","All","Scotland","Female","5","0"," "
"2010","8 point(s)","All","Wales","Female","685","470","0.6890000000000001"
"2011","8 point(s)","All","Wales","Female","545","315","0.5740000000000001"
"2012","8 point(s)","All","Wales","Female","370","250","0.673"
"2013","8 point(s)","All","Wales","Female","340","240","0.712"
"2014","8 point(s)","All","Wales","Female","270","185","0.6890000000000001"
"2015","8 point(s)","All","Wales","Female","245","180","0.727"
"2016","8 point(s)","All","Wales","Female","270","190","0.707"
"2017","8 point(s)","All","Wales","Female","130","100","0.762"
"2018","8 point(s)","All","Wales","Female","155","115","0.748"
"2019","8 point(s)","All","Wales","Female","145","125","0.855"
"2020","8 point(s)","All","Wales","Female","175","125","0.7030000000000001"
"2021","8 point(s)","All","Wales","Female","135","95","0.711"
"2022","8 point(s)","All","Wales","Female","190","140","0.747"
"2023","8 point(s)","All","Wales","Female","130","90","0.708"
"2010","9 point(s)","All","Northern Ireland","Female","915","635","0.6960000000000001"
"2011","9 point(s)","All","Northern Ireland","Female","790","460","0.582"
"2012","9 point(s)","All","Northern Ireland","Female","720","450","0.622"
"2013","9 point(s)","All","Northern Ireland","Female","640","420","0.653"
"2014","9 point(s)","All","Northern Ireland","Female","660","415","0.63"
"2015","9 point(s)","All","Northern Ireland","Female","575","380","0.657"
"2016","9 point(s)","All","Northern Ireland","Female","590","395","0.666"
"2017","9 point(s)","All","Northern Ireland","Female","340","230","0.676"
"2018","9 point(s)","All","Northern Ireland","Female","260","195","0.758"
"2019","9 point(s)","All","Northern Ireland","Female","235","170","0.732"
"2020","9 point(s)","All","Northern Ireland","Female","135","110","0.8220000000000001"
"2021","9 point(s)","All","Northern Ireland","Female","165","125","0.77"
"2022","9 point(s)","All","Northern Ireland","Female","175","140","0.794"
"2023","9 point(s)","All","Northern Ireland","Female","140","95","0.6930000000000001"
"2010","9 point(s)","All","England","Female","29380","19840","0.675"
"2011","9 point(s)","All","England","Female","27415","16920","0.617"
"2012","9 point(s)","All","England","Female","22210","13775","0.62"
"2013","9 point(s)","All","England","Female","19345","13365","0.6910000000000001"
"2014","9 point(s)","All","England","Female","18210","13115","0.72"
"2015","9 point(s)","All","England","Female","17640","13140","0.745"
"2016","9 point(s)","All","England","Female","16290","12175","0.747"
"2017","9 point(s)","All","England","Female","16000","12125","0.758"
"2018","9 point(s)","All","England","Female","14400","11260","0.782"
"2019","9 point(s)","All","England","Female","13140","10295","0.783"
"2020","9 point(s)","All","England","Female","11990","9485","0.791"
"2021","9 point(s)","All","England","Female","12845","10115","0.788"
"2022","9 point(s)","All","England","Female","13225","10260","0.776"
"2023","9 point(s)","All","England","Female","11290","8850","0.784"
"2010","9 point(s)","All","Scotland","Female","15","10"," "
"2011","9 point(s)","All","Scotland","Female","30","10","0.4"
"2012","9 point(s)","All","Scotland","Female","5","5"," "
"2013","9 point(s)","All","Scotland","Female","5","5"," "
"2014","9 point(s)","All","Scotland","Female","10","10"," "
"2015","9 point(s)","All","Scotland","Female","15","10"," "
"2016","9 point(s)","All","Scotland","Female","10","5"," "
"2017","9 point(s)","All","Scotland","Female","5","5"," "
"2018","9 point(s)","All","Scotland","Female","5","5"," "
"2019","9 point(s)","All","Scotland","Female","10","5"," "
"2020","9 point(s)","All","Scotland","Female","10","5"," "
"2021","9 point(s)","All","Scotland","Female","10","5"," "
"2022","9 point(s)","All","Scotland","Female","10","5"," "
"2023","9 point(s)","All","Scotland","Female","10","10"," "
"2010","9 point(s)","All","Wales","Female","1485","1020","0.6880000000000001"
"2011","9 point(s)","All","Wales","Female","1125","675","0.602"
"2012","9 point(s)","All","Wales","Female","930","590","0.632"
"2013","9 point(s)","All","Wales","Female","770","545","0.706"
"2014","9 point(s)","All","Wales","Female","735","540","0.733"
"2015","9 point(s)","All","Wales","Female","730","535","0.734"
