"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","International","Not EU","Canada","25 - 29","Female","5","0"," "
"2021","International","Not EU","Canada","25 - 29","Female","10","5"," "
"2022","International","Not EU","Canada","25 - 29","Female","15","0"," "
"2023","International","Not EU","Canada","25 - 29","Female","5","0"," "
"2019","International","Not EU","China","25 - 29","Female","5","5"," "
"2020","International","Not EU","China","25 - 29","Female","5","5"," "
"2021","International","Not EU","China","25 - 29","Female","10","5"," "
"2022","International","Not EU","China","25 - 29","Female","15","5"," "
"2023","International","Not EU","China","25 - 29","Female","20","5"," "
"2021","International","Not EU","Hong Kong","25 - 29","Female","10","0"," "
"2022","International","Not EU","Hong Kong","25 - 29","Female","15","5"," "
"2023","International","Not EU","Hong Kong","25 - 29","Female","10","0"," "
"2019","International","Not EU","India","25 - 29","Female","5","0"," "
"2020","International","Not EU","India","25 - 29","Female","5","0"," "
"2022","International","Not EU","India","25 - 29","Female","10","0"," "
"2019","International","Not EU","Korea, Republic of","25 - 29","Female","10","5"," "
"2023","International","Not EU","Kuwait","25 - 29","Female","5","0"," "
"2019","International","Not EU","Nigeria","25 - 29","Female","5","0"," "
"2020","International","Not EU","Nigeria","25 - 29","Female","10","0"," "
"2019","International","Not EU","Pakistan","25 - 29","Female","5","0"," "
"2021","International","Not EU","Pakistan","25 - 29","Female","5","0"," "
"2021","International","Not EU","Singapore","25 - 29","Female","5","0"," "
"2023","International","Not EU","South Africa","25 - 29","Female","5","0"," "
"2019","International","Not EU","United States of America","25 - 29","Female","15","5"," "
"2020","International","Not EU","United States of America","25 - 29","Female","10","0"," "
"2021","International","Not EU","United States of America","25 - 29","Female","15","5"," "
"2022","International","Not EU","United States of America","25 - 29","Female","10","5"," "
"2023","International","Not EU","United States of America","25 - 29","Female","15","5"," "
"2021","International","Not EU","Not Known","25 - 29","Female","5","0"," "
"2019","UK","England","England","30 - 34","Female","25","5"," "
"2020","UK","England","England","30 - 34","Female","20","10"," "
"2021","UK","England","England","30 - 34","Female","35","5"," "
"2022","UK","England","England","30 - 34","Female","35","5"," "
"2023","UK","England","England","30 - 34","Female","10","5"," "
"2019","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","0"," "
"2020","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","0"," "
"2021","UK","Northern Ireland","Northern Ireland","30 - 34","Female","10","0"," "
"2022","UK","Northern Ireland","Northern Ireland","30 - 34","Female","10","0"," "
"2023","UK","Northern Ireland","Northern Ireland","30 - 34","Female","5","0"," "
"2019","UK","Scotland","Scotland","30 - 34","Female","1245","290","0.232"
"2020","UK","Scotland","Scotland","30 - 34","Female","1335","340","0.256"
"2021","UK","Scotland","Scotland","30 - 34","Female","1555","310","0.199"
"2022","UK","Scotland","Scotland","30 - 34","Female","1040","275","0.263"
"2023","UK","Scotland","Scotland","30 - 34","Female","825","235","0.28500000000000003"
"2022","UK","Wales","Wales","30 - 34","Female","115","65","0.548"
"2023","UK","Wales","Wales","30 - 34","Female","110","60","0.545"
"2022","International","EU (excluding UK)","Belgium","30 - 34","Female","5","0"," "
"2019","International","EU (excluding UK)","France","30 - 34","Female","5","0"," "
"2020","International","EU (excluding UK)","France","30 - 34","Female","5","0"," "
"2021","International","EU (excluding UK)","Germany","30 - 34","Female","5","0"," "
"2022","International","EU (excluding UK)","Germany","30 - 34","Female","5","0"," "
"2019","International","EU (excluding UK)","Hungary","30 - 34","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","30 - 34","Female","35","5"," "
"2020","International","EU (excluding UK)","Ireland","30 - 34","Female","10","5"," "
"2021","International","EU (excluding UK)","Ireland","30 - 34","Female","20","5"," "
"2022","International","EU (excluding UK)","Ireland","30 - 34","Female","10","0"," "
"2023","International","EU (excluding UK)","Ireland","30 - 34","Female","10","0"," "
"2019","International","EU (excluding UK)","Italy","30 - 34","Female","15","5"," "
"2020","International","EU (excluding UK)","Italy","30 - 34","Female","10","0"," "
"2020","International","EU (excluding UK)","Netherlands","30 - 34","Female","5","0"," "
"2021","International","EU (excluding UK)","Netherlands","30 - 34","Female","5","0"," "
"2022","International","EU (excluding UK)","Netherlands","30 - 34","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","30 - 34","Female","5","5"," "
"2020","International","EU (excluding UK)","Spain","30 - 34","Female","10","0"," "
"2023","International","EU (excluding UK)","Spain","30 - 34","Female","5","5"," "
"2019","International","EU (excluding UK)","Sweden","30 - 34","Female","10","0"," "
"2020","International","EU (excluding UK)","Sweden","30 - 34","Female","5","5"," "
"2021","International","Not EU","Jersey","30 - 34","Female","5","0"," "
"2022","International","Not EU","Australia","30 - 34","Female","5","0"," "
"2019","International","Not EU","Canada","30 - 34","Female","5","0"," "
"2020","International","Not EU","Canada","30 - 34","Female","10","0"," "
"2021","International","Not EU","Canada","30 - 34","Female","5","0"," "
