"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","All","Scotland","Male","3150","810","0.257"
"2019","All","Wales","Male","10","0"," "
"2020","All","Wales","Male","10","0"," "
"2021","All","Wales","Male","5","0"," "
"2022","All","Wales","Male","690","330","0.48"
"2023","All","Wales","Male","600","305","0.512"
"2019","All","Not EU","Male","50","10"," "
"2020","All","Not EU","Male","65","15","0.215"
"2021","All","Not EU","Male","60","5"," "
"2022","All","Not EU","Male","170","45","0.253"
"2023","All","Not EU","Male","95","20","0.189"
"2019","All","EU (excluding UK)","Male","210","35","0.157"
"2020","All","EU (excluding UK)","Male","220","50","0.223"
"2021","All","EU (excluding UK)","Male","125","15","0.136"
"2022","All","EU (excluding UK)","Male","110","20","0.17300000000000001"
"2023","All","EU (excluding UK)","Male","60","5"," "
"2022","17 and under","All","Female","5","0"," "
"2019","18","All","Female","15","0"," "
"2020","18","All","Female","30","0"," "
"2021","18","All","Female","15","0"," "
"2022","18","All","Female","40","0"," "
"2023","18","All","Female","25","0"," "
"2019","19","All","Female","10","0"," "
"2020","19","All","Female","5","0"," "
"2021","19","All","Female","10","0"," "
"2022","19","All","Female","15","0"," "
"2023","19","All","Female","10","0"," "
"2019","20","All","Female","20","0"," "
"2020","20","All","Female","20","0"," "
"2021","20","All","Female","25","0"," "
"2022","20","All","Female","15","0"," "
"2023","20","All","Female","5","0"," "
"2019","21 - 24","All","Female","4930","1155","0.234"
"2020","21 - 24","All","Female","5280","1230","0.233"
"2021","21 - 24","All","Female","6625","1365","0.20600000000000002"
"2022","21 - 24","All","Female","5965","1945","0.326"
"2023","21 - 24","All","Female","5190","1785","0.34400000000000003"
"2019","25 - 29","All","Female","3640","820","0.226"
"2020","25 - 29","All","Female","3505","835","0.23900000000000002"
"2021","25 - 29","All","Female","4615","985","0.213"
"2022","25 - 29","All","Female","3570","1035","0.29"
"2023","25 - 29","All","Female","2525","775","0.308"
"2019","30 - 34","All","Female","1375","320","0.233"
"2020","30 - 34","All","Female","1430","365","0.256"
"2021","30 - 34","All","Female","1660","320","0.193"
"2022","30 - 34","All","Female","1275","370","0.291"
"2023","30 - 34","All","Female","1015","310","0.305"
"2019","35 and over","All","Female","2105","485","0.229"
"2020","35 and over","All","Female","2225","570","0.257"
"2021","35 and over","All","Female","2420","500","0.20700000000000002"
"2022","35 and over","All","Female","1960","525","0.268"
"2023","35 and over","All","Female","1610","530","0.329"
