"Year","Applied by deadline","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2014","Applied by June deadline","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Applied by June deadline","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2006","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","0.974","5"
"2007","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","10"
"2008","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","1","10"
"2009","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","15"
"2010","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","15"
"2011","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.842","5"
"2012","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","5"
"2013","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968","0"
"2014","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.913","5"
"2015","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2016","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2017","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.844","5"
"2018","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2019","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","0"
"2020","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2021","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.919","0"
"2022","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","70","65","0.887","5"
"2023","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","75","65","0.892","5"
"2006","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.966","5"
"2007","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2008","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","10"
"2009","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.969","5"
"2010","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","10"
"2011","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2013","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2014","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2015","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2017","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2018","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.85","0"
"2019","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968","0"
"2020","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.882","5"
"2021","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2022","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.893","10"
"2023","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.868","5"
"2018","Applied by June deadline","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","10"
"2007","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.971","10"
"2008","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","1","10"
"2009","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.921","20"
"2010","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","10"
"2011","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","10"
"2012","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","5"
"2013","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.893","5"
"2014","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.931","5"
"2015","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","5"
"2016","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2017","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.857","5"
"2018","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.864","5"
"2019","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.917","0"
"2020","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","45","0.8300000000000001","10"
"2021","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.917","5"
"2022","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","50","0.86","5"
"2023","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.6920000000000001","10"
"2006","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2007","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2012","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","5"
"2021","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Other","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2008","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2009","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2016","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Other","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2007","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2008","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2009","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2010","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2013","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2020","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","5"
"2021","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Other","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","Applied by January deadline","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Applied by June deadline","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Applied by June deadline","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","5"
"2007","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.985","10"
"2008","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","100","100","0.98","30"
"2009","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.885","25"
"2010","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.976","15"
"2011","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.714","10"
"2012","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","10"
"2013","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.887","15"
"2014","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","5"
"2015","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.889","10"
"2016","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.909","10"
"2017","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","50","0.897","5"
"2018","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9590000000000001","5"
"2019","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.881","10"
"2020","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","60","0.896","15"
"2021","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.883","5"
"2022","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","105","90","0.867","10"
"2023","Other","17 and under","England","Female","Not main scheme applicant","Not main scheme application","100","80","0.802","20"
"2017","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Applied by January deadline","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2010","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2015","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.925","0"
"2016","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.865","0"
"2017","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","90","80","0.9","0"
"2018","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.97","0"
"2019","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2020","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","75","70","0.933","0"
"2021","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.917","0"
"2022","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","85","75","0.905","0"
"2023","Applied by June deadline","18","England","Female","Not main scheme applicant","Not main scheme application","60","50","0.85","0"
"2006","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1185","1155","0.978","110"
"2007","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1280","1260","0.984","125"
"2008","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1285","1255","0.977","195"
"2009","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1065","1010","0.9500000000000001","205"
"2010","Other","18","England","Female","Not main scheme applicant","Not main scheme application","470","450","0.9550000000000001","125"
"2011","Other","18","England","Female","Not main scheme applicant","Not main scheme application","585","540","0.921","135"
"2012","Other","18","England","Female","Not main scheme applicant","Not main scheme application","950","905","0.9530000000000001","100"
"2013","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1230","1160","0.9450000000000001","120"
"2014","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1120","1055","0.9400000000000001","120"
"2015","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1210","1165","0.961","120"
"2016","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1220","1150","0.9430000000000001","110"
"2017","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1550","1460","0.9430000000000001","130"
"2018","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1860","1775","0.9540000000000001","90"
"2019","Other","18","England","Female","Not main scheme applicant","Not main scheme application","2165","2070","0.9550000000000001","100"
"2020","Other","18","England","Female","Not main scheme applicant","Not main scheme application","2880","2730","0.9480000000000001","195"
"2021","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1870","1785","0.9550000000000001","95"
"2022","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1835","1715","0.935","110"
"2023","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1970","1830","0.931","130"
"2017","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2018","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2019","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.727","0"
"2020","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2021","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.9460000000000001","0"
"2022","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.838","0"
"2023","Applied by January deadline","19","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.857","0"
"2007","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2010","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2011","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.902","0"
"2012","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2013","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.976","0"
"2014","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.921","0"
"2015","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","170","160","0.935","0"
"2016","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","205","190","0.927","0"
"2017","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","195","175","0.896","0"
"2018","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","220","205","0.932","0"
"2019","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","180","170","0.933","0"
"2020","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","190","170","0.894","0"
"2021","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.9530000000000001","0"
"2022","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","180","170","0.933","0"
"2023","Applied by June deadline","19","England","Female","Not main scheme applicant","Not main scheme application","145","130","0.895","0"
"2006","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1725","1700","0.984","180"
"2007","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1895","1855","0.979","215"
"2008","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2125","2080","0.978","255"
"2009","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1695","1610","0.9490000000000001","330"
"2010","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1050","990","0.9450000000000001","265"
"2011","Other","19","England","Female","Not main scheme applicant","Not main scheme application","950","875","0.923","250"
"2012","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1550","1475","0.9500000000000001","165"
"2013","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1855","1765","0.9510000000000001","195"
"2014","Other","19","England","Female","Not main scheme applicant","Not main scheme application","1890","1765","0.933","185"
"2015","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2125","2000","0.9400000000000001","190"
"2016","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2170","2060","0.9500000000000001","175"
"2017","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2525","2400","0.9500000000000001","155"
"2018","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2910","2775","0.9550000000000001","150"
"2019","Other","19","England","Female","Not main scheme applicant","Not main scheme application","3375","3210","0.9510000000000001","155"
"2020","Other","19","England","Female","Not main scheme applicant","Not main scheme application","3440","3240","0.9410000000000001","170"
"2021","Other","19","England","Female","Not main scheme applicant","Not main scheme application","2710","2545","0.9390000000000001","125"
"2022","Other","19","England","Female","Not main scheme applicant","Not main scheme application","3215","2975","0.925","195"
"2023","Other","19","England","Female","Not main scheme applicant","Not main scheme application","3835","3555","0.927","205"
"2017","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2020","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2022","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","Applied by January deadline","20","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2007","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.875","0"
"2011","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","0"
"2012","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2013","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","0"
"2014","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2015","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2016","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","55","55","1","0"
"2017","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","85","70","0.857","0"
"2018","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","80","75","0.9380000000000001","0"
"2019","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.855","0"
"2020","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","85","75","0.916","0"
"2021","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","80","70","0.899","0"
"2022","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","80","80","0.988","0"
"2023","Applied by June deadline","20","England","Female","Not main scheme applicant","Not main scheme application","110","95","0.889","0"
"2006","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1305","1285","0.982","185"
"2007","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1435","1415","0.987","180"
"2008","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1785","1740","0.977","225"
"2009","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1400","1330","0.9510000000000001","320"
"2010","Other","20","England","Female","Not main scheme applicant","Not main scheme application","920","855","0.93","285"
"2011","Other","20","England","Female","Not main scheme applicant","Not main scheme application","845","780","0.919","250"
"2012","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1225","1160","0.9470000000000001","150"
"2013","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1570","1485","0.9430000000000001","165"
"2014","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1625","1540","0.9490000000000001","155"
"2015","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1790","1695","0.9450000000000001","205"
"2016","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1775","1675","0.9430000000000001","135"
"2017","Other","20","England","Female","Not main scheme applicant","Not main scheme application","1990","1870","0.9390000000000001","135"
"2018","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2325","2190","0.9430000000000001","105"
"2019","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2730","2565","0.9400000000000001","110"
"2020","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2540","2375","0.934","160"
"2021","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2095","1925","0.919","100"
"2022","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2260","2050","0.907","155"
"2023","Other","20","England","Female","Not main scheme applicant","Not main scheme application","2615","2390","0.912","165"
"2015","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2017","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2018","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2019","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.985","0"
"2020","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.917","0"
"2021","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","80","75","0.924","0"
"2022","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","355","345","0.972","0"
"2023","Applied by January deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","280","250","0.89","0"
"2006","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2010","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.9430000000000001","0"
"2011","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9490000000000001","0"
"2012","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.882","0"
"2013","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","0"
"2014","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.932","0"
"2015","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","100","95","0.9390000000000001","0"
"2016","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","85","80","0.9430000000000001","0"
"2017","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","165","145","0.885","0"
"2018","Applied by June deadline","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","160","155","0.969","0"
