"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has parental responsibility","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has parental responsibility","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","290","225","0.766","65"
"2023","Has parental responsibility","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","25","15","0.609","10"
"2023","Has parental responsibility","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001","5"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3355","3170","0.9450000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","60","55","0.983","0"
"2023","Does not have parental responsibility","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","220","170","0.766","65"
"2023","Does not have parental responsibility","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","30","15","0.607","10"
"2023","Does not have parental responsibility","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Has parental responsibility","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","385","290","0.751","85"
"2023","Has parental responsibility","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","50","35","0.673","10"
"2023","Has parental responsibility","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","25","15","0.739","10"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8095","7645","0.9450000000000001","15"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","270","260","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","130","130","0.97","0"
"2023","Does not have parental responsibility","35 and over","England","Female","Not main scheme applicant","Not main scheme application","425","325","0.764","145"
"2023","Does not have parental responsibility","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.75","20"
"2023","Does not have parental responsibility","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.783","5"
"2023","Has parental responsibility","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2023","Has parental responsibility","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1010","750","0.742","435"
"2023","Has parental responsibility","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","110","75","0.664","55"
"2023","Has parental responsibility","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","60","45","0.746","15"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Does not have parental responsibility","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.773","5"
"2023","Does not have parental responsibility","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1185","1140","0.96","5"
