"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Male","18","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","19","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","19","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","19","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","19","Not EU","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Female","19","Not EU","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2022","Male","19","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","19","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Female","20","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","20","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","20","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","20","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","20","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","20","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2020","Female","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2021","Female","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","15","10","0.714","0"
"2022","Female","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","20","10","0.526","0"
"2023","Female","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","20","15","0.737","0"
"2020","Male","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Male","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Male","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Male","21 - 24","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
