"Year","Tariff group of provider","Deferred entry","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2006","Medium tariff","Not deferred","All","Main scheme application","286890","93350","0.325"
"2007","Medium tariff","Not deferred","All","Main scheme application","307040","100740","0.328"
"2008","Medium tariff","Not deferred","All","Main scheme application","320670","111065","0.34600000000000003"
"2009","Medium tariff","Not deferred","All","Main scheme application","352895","117765","0.334"
"2010","Medium tariff","Not deferred","All","Main scheme application","405905","121780","0.3"
"2011","Medium tariff","Not deferred","All","Main scheme application","431690","127020","0.294"
"2012","Medium tariff","Not deferred","All","Main scheme application","390375","112760","0.289"
"2013","Medium tariff","Not deferred","All","Main scheme application","406260","122345","0.301"
"2014","Medium tariff","Not deferred","All","Main scheme application","421410","125315","0.297"
"2015","Medium tariff","Not deferred","All","Main scheme application","432310","129645","0.3"
"2016","Medium tariff","Not deferred","All","Main scheme application","433365","132390","0.305"
"2017","Medium tariff","Not deferred","All","Main scheme application","415930","132990","0.32"
"2018","Medium tariff","Not deferred","All","Main scheme application","405110","130330","0.322"
"2019","Medium tariff","Not deferred","All","Main scheme application","401970","128910","0.321"
"2020","Medium tariff","Not deferred","All","Main scheme application","405595","131415","0.324"
"2021","Medium tariff","Not deferred","All","Main scheme application","421615","131205","0.311"
"2022","Medium tariff","Not deferred","All","Main scheme application","430070","128780","0.299"
"2023","Medium tariff","Not deferred","All","Main scheme application","417140","120275","0.28800000000000003"
"2006","Lower tariff","Deferred","All","Main scheme application","17070","7440","0.436"
"2007","Lower tariff","Deferred","All","Main scheme application","17190","7615","0.443"
"2008","Lower tariff","Deferred","All","Main scheme application","17890","8415","0.47000000000000003"
"2009","Lower tariff","Deferred","All","Main scheme application","18400","8750","0.47600000000000003"
"2010","Lower tariff","Deferred","All","Main scheme application","21580","9090","0.421"
"2011","Lower tariff","Deferred","All","Main scheme application","12095","4125","0.341"
"2012","Lower tariff","Deferred","All","Main scheme application","16805","7630","0.454"
"2013","Lower tariff","Deferred","All","Main scheme application","16750","8415","0.502"
"2014","Lower tariff","Deferred","All","Main scheme application","17735","9090","0.512"
"2015","Lower tariff","Deferred","All","Main scheme application","18245","9460","0.519"
"2016","Lower tariff","Deferred","All","Main scheme application","18075","9175","0.508"
"2017","Lower tariff","Deferred","All","Main scheme application","17225","9170","0.532"
"2018","Lower tariff","Deferred","All","Main scheme application","16020","8485","0.53"
"2019","Lower tariff","Deferred","All","Main scheme application","15445","8230","0.533"
"2020","Lower tariff","Deferred","All","Main scheme application","16360","8815","0.539"
"2021","Lower tariff","Deferred","All","Main scheme application","18600","9060","0.487"
"2022","Lower tariff","Deferred","All","Main scheme application","17875","8215","0.46"
"2023","Lower tariff","Deferred","All","Main scheme application","18055","8355","0.463"
"2006","Higher tariff","Deferred","All","Main scheme application","21765","10590","0.487"
"2007","Higher tariff","Deferred","All","Main scheme application","21515","10590","0.492"
"2008","Higher tariff","Deferred","All","Main scheme application","21930","10795","0.492"
"2009","Higher tariff","Deferred","All","Main scheme application","21745","10215","0.47000000000000003"
"2010","Higher tariff","Deferred","All","Main scheme application","22375","9660","0.432"
"2011","Higher tariff","Deferred","All","Main scheme application","13210","4480","0.339"
"2012","Higher tariff","Deferred","All","Main scheme application","17545","7530","0.429"
"2013","Higher tariff","Deferred","All","Main scheme application","16570","7560","0.456"
"2014","Higher tariff","Deferred","All","Main scheme application","17320","7945","0.459"
"2015","Higher tariff","Deferred","All","Main scheme application","18825","8540","0.454"
"2016","Higher tariff","Deferred","All","Main scheme application","18570","8430","0.454"
"2017","Higher tariff","Deferred","All","Main scheme application","19555","9080","0.464"
"2018","Higher tariff","Deferred","All","Main scheme application","18520","9205","0.497"
"2019","Higher tariff","Deferred","All","Main scheme application","18970","9525","0.502"
"2020","Higher tariff","Deferred","All","Main scheme application","20570","11025","0.536"
"2021","Higher tariff","Deferred","All","Main scheme application","23930","13995","0.585"
"2022","Higher tariff","Deferred","All","Main scheme application","20880","10360","0.496"
"2023","Higher tariff","Deferred","All","Main scheme application","21950","10970","0.5"
"2006","Medium tariff","Deferred","All","Main scheme application","20760","8175","0.394"
"2007","Medium tariff","Deferred","All","Main scheme application","21265","8445","0.397"
"2008","Medium tariff","Deferred","All","Main scheme application","21290","9055","0.425"
"2009","Medium tariff","Deferred","All","Main scheme application","21495","8785","0.40900000000000003"
"2010","Medium tariff","Deferred","All","Main scheme application","23290","9000","0.387"
"2011","Medium tariff","Deferred","All","Main scheme application","12945","3850","0.298"
"2012","Medium tariff","Deferred","All","Main scheme application","18435","7450","0.404"
"2013","Medium tariff","Deferred","All","Main scheme application","17650","7795","0.442"
"2014","Medium tariff","Deferred","All","Main scheme application","18175","8245","0.454"
"2015","Medium tariff","Deferred","All","Main scheme application","19265","8760","0.455"
"2016","Medium tariff","Deferred","All","Main scheme application","19605","9395","0.47900000000000004"
"2017","Medium tariff","Deferred","All","Main scheme application","20190","10360","0.513"
"2018","Medium tariff","Deferred","All","Main scheme application","19475","10180","0.523"
"2019","Medium tariff","Deferred","All","Main scheme application","19470","9960","0.512"
"2020","Medium tariff","Deferred","All","Main scheme application","19725","10470","0.531"
"2021","Medium tariff","Deferred","All","Main scheme application","21905","11370","0.519"
"2022","Medium tariff","Deferred","All","Main scheme application","20600","10145","0.492"
"2023","Medium tariff","Deferred","All","Main scheme application","22705","11365","0.501"
"2006","All","Not deferred","All","Not main scheme application","66715","63955","0.9590000000000001"
"2007","All","Not deferred","All","Not main scheme application","71180","67930","0.9540000000000001"
"2008","All","Not deferred","All","Not main scheme application","84160","79515","0.9450000000000001"
"2009","All","Not deferred","All","Not main scheme application","90025","80245","0.891"
"2010","All","Not deferred","All","Not main scheme application","90105","75810","0.841"
"2011","All","Not deferred","All","Not main scheme application","94880","75930","0.8"
"2012","All","Not deferred","All","Not main scheme application","96630","80785","0.836"
"2013","All","Not deferred","All","Not main scheme application","97835","83455","0.853"
"2014","All","Not deferred","All","Not main scheme application","102785","87790","0.854"
"2015","All","Not deferred","All","Not main scheme application","108190","93225","0.862"
"2016","All","Not deferred","All","Not main scheme application","107105","92785","0.866"
"2017","All","Not deferred","All","Not main scheme application","110680","97495","0.881"
"2018","All","Not deferred","All","Not main scheme application","116005","104485","0.901"
"2019","All","Not deferred","All","Not main scheme application","129290","116795","0.903"
"2020","All","Not deferred","All","Not main scheme application","135030","122455","0.907"
"2021","All","Not deferred","All","Not main scheme application","117420","104405","0.889"
"2022","All","Not deferred","All","Not main scheme application","144145","126640","0.879"
"2023","All","Not deferred","All","Not main scheme application","153475","135950","0.886"
"2006","All","Deferred","All","Not main scheme application","2080","1865","0.897"
"2007","All","Deferred","All","Not main scheme application","1720","1665","0.969"
"2008","All","Deferred","All","Not main scheme application","2315","2010","0.867"
"2009","All","Deferred","All","Not main scheme application","3215","2325","0.723"
"2010","All","Deferred","All","Not main scheme application","1620","1525","0.9400000000000001"
"2011","All","Deferred","All","Not main scheme application","805","760","0.9390000000000001"
"2012","All","Deferred","All","Not main scheme application","1695","1590","0.936"
"2013","All","Deferred","All","Not main scheme application","1845","1760","0.9540000000000001"
"2014","All","Deferred","All","Not main scheme application","2865","2080","0.726"
"2015","All","Deferred","All","Not main scheme application","2155","2040","0.9470000000000001"
"2016","All","Deferred","All","Not main scheme application","3440","2020","0.588"
"2017","All","Deferred","All","Not main scheme application","3045","2485","0.8160000000000001"
"2018","All","Deferred","All","Not main scheme application","3020","2490","0.8240000000000001"
"2019","All","Deferred","All","Not main scheme application","3135","2605","0.8310000000000001"
"2020","All","Deferred","All","Not main scheme application","6120","5415","0.884"
"2021","All","Deferred","All","Not main scheme application","3030","2365","0.779"
"2022","All","Deferred","All","Not main scheme application","3210","2250","0.7010000000000001"
"2023","All","Deferred","All","Not main scheme application","3255","2505","0.77"
"2006","All","Not deferred","All","Main scheme application","444655","298865","0.672"
"2007","All","Not deferred","All","Main scheme application","470760","317180","0.674"
"2008","All","Not deferred","All","Main scheme application","515355","346840","0.673"
"2009","All","Not deferred","All","Main scheme application","567345","371535","0.655"
"2010","All","Not deferred","All","Main scheme application","636100","382240","0.601"
"2011","All","Not deferred","All","Main scheme application","657175","402880","0.613"
"2012","All","Not deferred","All","Main scheme application","600820","359925","0.599"
"2013","All","Not deferred","All","Main scheme application","621090","386620","0.622"
"2014","All","Not deferred","All","Main scheme application","644195","397220","0.617"
"2015","All","Not deferred","All","Main scheme application","657540","410240","0.624"
"2016","All","Not deferred","All","Main scheme application","659900","413365","0.626"
"2017","All","Not deferred","All","Main scheme application","634575","405300","0.639"
"2018","All","Not deferred","All","Main scheme application","622000","398520","0.641"
"2019","All","Not deferred","All","Main scheme application","623075","394120","0.633"
"2020","All","Not deferred","All","Main scheme application","639050","412295","0.645"
"2021","All","Not deferred","All","Main scheme application","665770","420865","0.632"
"2022","All","Not deferred","All","Main scheme application","669870","405570","0.605"
"2023","All","Not deferred","All","Main scheme application","653130","385315","0.59"
"2006","All","Deferred","All","Main scheme application","38900","26205","0.674"
"2007","All","Deferred","All","Main scheme application","39870","26655","0.669"
"2008","All","Deferred","All","Main scheme application","42790","28265","0.661"
"2009","All","Deferred","All","Main scheme application","43570","27750","0.637"
"2010","All","Deferred","All","Main scheme application","49030","27750","0.5660000000000001"
"2011","All","Deferred","All","Main scheme application","28280","12460","0.441"
"2012","All","Deferred","All","Main scheme application","38595","22610","0.586"
"2013","All","Deferred","All","Main scheme application","38125","23765","0.623"
"2014","All","Deferred","All","Main scheme application","40415","25275","0.625"
"2015","All","Deferred","All","Main scheme application","42615","26760","0.628"
"2016","All","Deferred","All","Main scheme application","42635","27000","0.633"
"2017","All","Deferred","All","Main scheme application","43210","28610","0.662"
"2018","All","Deferred","All","Main scheme application","40470","27870","0.6890000000000001"
"2019","All","Deferred","All","Main scheme application","40325","27720","0.687"
"2020","All","Deferred","All","Main scheme application","44050","30310","0.6880000000000001"
"2021","All","Deferred","All","Main scheme application","48440","34425","0.711"
"2022","All","Deferred","All","Main scheme application","45115","28720","0.637"
"2023","All","Deferred","All","Main scheme application","47000","30695","0.653"
"2006","Lower tariff","All","All","Not main scheme application","37725","36320","0.963"
"2007","Lower tariff","All","All","Not main scheme application","40475","38880","0.961"
"2008","Lower tariff","All","All","Not main scheme application","48540","46040","0.9490000000000001"
"2009","Lower tariff","All","All","Not main scheme application","55510","49355","0.889"
"2010","Lower tariff","All","All","Not main scheme application","54535","45875","0.841"
"2011","Lower tariff","All","All","Not main scheme application","60260","48005","0.797"
"2012","Lower tariff","All","All","Not main scheme application","56130","46845","0.835"
"2013","Lower tariff","All","All","Not main scheme application","58415","50355","0.862"
"2014","Lower tariff","All","All","Not main scheme application","63530","54810","0.863"
"2015","Lower tariff","All","All","Not main scheme application","62995","54880","0.871"
"2016","Lower tariff","All","All","Not main scheme application","60105","51720","0.861"
"2017","Lower tariff","All","All","Not main scheme application","61265","54140","0.884"
"2018","Lower tariff","All","All","Not main scheme application","65675","59850","0.911"
"2019","Lower tariff","All","All","Not main scheme application","74815","68450","0.915"
"2020","Lower tariff","All","All","Not main scheme application","71790","65360","0.91"
"2021","Lower tariff","All","All","Not main scheme application","73145","65865","0.901"
"2022","Lower tariff","All","All","Not main scheme application","88290","78865","0.893"
"2023","Lower tariff","All","All","Not main scheme application","86235","76985","0.893"
"2006","Higher tariff","All","All","Not main scheme application","9510","8930","0.9390000000000001"
"2007","Higher tariff","All","All","Not main scheme application","9900","9225","0.932"
"2008","Higher tariff","All","All","Not main scheme application","11010","10045","0.912"
"2009","Higher tariff","All","All","Not main scheme application","10660","9130","0.857"
"2010","Higher tariff","All","All","Not main scheme application","9055","7280","0.804"
"2011","Higher tariff","All","All","Not main scheme application","8690","6695","0.77"
"2012","Higher tariff","All","All","Not main scheme application","12295","10175","0.8280000000000001"
"2013","Higher tariff","All","All","Not main scheme application","13280","11010","0.8290000000000001"
"2014","Higher tariff","All","All","Not main scheme application","13875","11615","0.837"
"2015","Higher tariff","All","All","Not main scheme application","15075","12870","0.854"
"2016","Higher tariff","All","All","Not main scheme application","16295","13725","0.842"
"2017","Higher tariff","All","All","Not main scheme application","16530","14110","0.854"
"2018","Higher tariff","All","All","Not main scheme application","17665","15235","0.862"
"2019","Higher tariff","All","All","Not main scheme application","20070","17465","0.87"
"2020","Higher tariff","All","All","Not main scheme application","28470","25610","0.9"
"2021","Higher tariff","All","All","Not main scheme application","13715","11335","0.8270000000000001"
"2022","Higher tariff","All","All","Not main scheme application","16045","12645","0.788"
"2023","Higher tariff","All","All","Not main scheme application","17790","14595","0.8200000000000001"
"2006","Medium tariff","All","All","Not main scheme application","21555","20565","0.9540000000000001"
"2007","Medium tariff","All","All","Not main scheme application","22525","21495","0.9540000000000001"
"2008","Medium tariff","All","All","Not main scheme application","26925","25435","0.9450000000000001"
"2009","Medium tariff","All","All","Not main scheme application","27100","24085","0.889"
"2010","Medium tariff","All","All","Not main scheme application","28160","24180","0.859"
"2011","Medium tariff","All","All","Not main scheme application","26760","21995","0.8220000000000001"
"2012","Medium tariff","All","All","Not main scheme application","29980","25350","0.846"
"2013","Medium tariff","All","All","Not main scheme application","28060","23850","0.85"
"2014","Medium tariff","All","All","Not main scheme application","28300","23445","0.8280000000000001"
"2015","Medium tariff","All","All","Not main scheme application","32335","27515","0.851"
"2016","Medium tariff","All","All","Not main scheme application","34200","29365","0.859"
"2017","Medium tariff","All","All","Not main scheme application","35975","31730","0.882"
"2018","Medium tariff","All","All","Not main scheme application","35710","31890","0.893"
"2019","Medium tariff","All","All","Not main scheme application","37555","33485","0.892"
"2020","Medium tariff","All","All","Not main scheme application","40900","36900","0.902"
"2021","Medium tariff","All","All","Not main scheme application","33610","29565","0.88"
"2022","Medium tariff","All","All","Not main scheme application","43015","37380","0.869"
"2023","Medium tariff","All","All","Not main scheme application","52705","46880","0.889"
"2006","Lower tariff","All","All","Main scheme application","277535","120400","0.434"
"2007","Lower tariff","All","All","Main scheme application","291675","126495","0.434"
"2008","Lower tariff","All","All","Main scheme application","306970","139745","0.455"
"2009","Lower tariff","All","All","Main scheme application","341040","156045","0.458"
"2010","Lower tariff","All","All","Main scheme application","390500","162520","0.41600000000000004"
"2011","Lower tariff","All","All","Main scheme application","410890","169780","0.41300000000000003"
"2012","Lower tariff","All","All","Main scheme application","371680","149215","0.401"
"2013","Lower tariff","All","All","Main scheme application","377970","159645","0.422"
"2014","Lower tariff","All","All","Main scheme application","391115","164710","0.421"
"2015","Lower tariff","All","All","Main scheme application","392235","166125","0.424"
"2016","Lower tariff","All","All","Main scheme application","387385","162940","0.421"
"2017","Lower tariff","All","All","Main scheme application","362215","154780","0.427"
"2018","Lower tariff","All","All","Main scheme application","346270","150820","0.436"
"2019","Lower tariff","All","All","Main scheme application","341110","146475","0.429"
"2020","Lower tariff","All","All","Main scheme application","347250","152005","0.438"
"2021","Lower tariff","All","All","Main scheme application","363655","147405","0.405"
"2022","Lower tariff","All","All","Main scheme application","371100","145955","0.393"
"2023","Lower tariff","All","All","Main scheme application","359060","136135","0.379"
"2006","Higher tariff","All","All","Main scheme application","260275","103150","0.396"
"2007","Higher tariff","All","All","Main scheme application","273595","108150","0.395"
"2008","Higher tariff","All","All","Main scheme application","286440","115240","0.402"
"2009","Higher tariff","All","All","Main scheme application","304055","116690","0.384"
"2010","Higher tariff","All","All","Main scheme application","330865","116690","0.353"
"2011","Higher tariff","All","All","Main scheme application","332620","114690","0.34500000000000003"
"2012","Higher tariff","All","All","Main scheme application","316670","113110","0.357"
"2013","Higher tariff","All","All","Main scheme application","330310","120600","0.365"
"2014","Higher tariff","All","All","Main scheme application","344420","124230","0.361"
"2015","Higher tariff","All","All","Main scheme application","363150","132465","0.365"
"2016","Higher tariff","All","All","Main scheme application","372215","135640","0.364"
"2017","Higher tariff","All","All","Main scheme application","370405","135775","0.367"
"2018","Higher tariff","All","All","Main scheme application","368600","135055","0.366"
"2019","Higher tariff","All","All","Main scheme application","376105","136490","0.363"
"2020","Higher tariff","All","All","Main scheme application","386625","148715","0.385"
"2021","Higher tariff","All","All","Main scheme application","415825","165315","0.398"
"2022","Higher tariff","All","All","Main scheme application","422645","149405","0.354"
"2023","Higher tariff","All","All","Main scheme application","416320","148230","0.356"
"2006","Medium tariff","All","All","Main scheme application","303325","101525","0.335"
"2007","Medium tariff","All","All","Main scheme application","323235","109185","0.338"
"2008","Medium tariff","All","All","Main scheme application","336685","120120","0.357"
"2009","Medium tariff","All","All","Main scheme application","368975","126550","0.343"
"2010","Medium tariff","All","All","Main scheme application","422135","130785","0.31"
"2011","Medium tariff","All","All","Main scheme application","440215","130875","0.297"
"2012","Medium tariff","All","All","Main scheme application","402760","120210","0.298"
"2013","Medium tariff","All","All","Main scheme application","417770","130140","0.312"
"2014","Medium tariff","All","All","Main scheme application","432780","133560","0.309"
"2015","Medium tariff","All","All","Main scheme application","444265","138410","0.312"
"2016","Medium tariff","All","All","Main scheme application","445275","141790","0.318"
"2017","Medium tariff","All","All","Main scheme application","427965","143350","0.335"
"2018","Medium tariff","All","All","Main scheme application","416935","140510","0.337"
"2019","Medium tariff","All","All","Main scheme application","413820","138875","0.336"
"2020","Medium tariff","All","All","Main scheme application","416850","141885","0.34"
"2021","Medium tariff","All","All","Main scheme application","435060","142575","0.328"
"2022","Medium tariff","All","All","Main scheme application","442035","138925","0.314"
"2023","Medium tariff","All","All","Main scheme application","430120","131645","0.306"
"2006","All","All","All","Not main scheme application","68795","65820","0.9570000000000001"
"2007","All","All","All","Not main scheme application","72900","69595","0.9550000000000001"
"2008","All","All","All","Not main scheme application","86475","81520","0.9430000000000001"
"2009","All","All","All","Not main scheme application","93240","82570","0.886"
"2010","All","All","All","Not main scheme application","91725","77335","0.843"
"2011","All","All","All","Not main scheme application","95690","76690","0.801"
"2012","All","All","All","Not main scheme application","98325","82375","0.838"
"2013","All","All","All","Not main scheme application","99680","85215","0.855"
"2014","All","All","All","Not main scheme application","105650","89870","0.851"
"2015","All","All","All","Not main scheme application","110350","95265","0.863"
"2016","All","All","All","Not main scheme application","110545","94810","0.858"
"2017","All","All","All","Not main scheme application","113725","99980","0.879"
"2018","All","All","All","Not main scheme application","119025","106970","0.899"
"2019","All","All","All","Not main scheme application","132425","119400","0.902"
"2020","All","All","All","Not main scheme application","141150","127870","0.906"
"2021","All","All","All","Not main scheme application","120455","106770","0.886"
"2022","All","All","All","Not main scheme application","147355","128890","0.875"
"2023","All","All","All","Not main scheme application","156730","138455","0.883"
"2006","All","All","All","Main scheme application","467200","325070","0.6960000000000001"
"2007","All","All","All","Main scheme application","492740","343835","0.6980000000000001"
"2008","All","All","All","Main scheme application","538110","375105","0.6970000000000001"
"2009","All","All","All","Main scheme application","590185","399285","0.677"
"2010","All","All","All","Main scheme application","657955","409995","0.623"
"2011","All","All","All","Main scheme application","667950","415340","0.622"
"2012","All","All","All","Main scheme application","616520","382535","0.62"
"2013","All","All","All","Main scheme application","635780","410385","0.645"
"2014","All","All","All","Main scheme application","658895","422495","0.641"
"2015","All","All","All","Main scheme application","672900","437000","0.649"
"2016","All","All","All","Main scheme application","674740","440370","0.653"
"2017","All","All","All","Main scheme application","649565","433905","0.668"
"2018","All","All","All","Main scheme application","636820","426390","0.67"
"2019","All","All","All","Main scheme application","637950","421835","0.661"
"2020","All","All","All","Main scheme application","652675","442605","0.678"
"2021","All","All","All","Main scheme application","681880","455290","0.668"
"2022","All","All","All","Main scheme application","683530","434285","0.635"
"2023","All","All","All","Main scheme application","667505","416010","0.623"
"2006","Lower tariff","Not deferred","Not main scheme applicant","All","21525","21215","0.986"
"2007","Lower tariff","Not deferred","Not main scheme applicant","All","23455","23050","0.983"
"2008","Lower tariff","Not deferred","Not main scheme applicant","All","28050","27215","0.97"
"2009","Lower tariff","Not deferred","Not main scheme applicant","All","27520","26145","0.9500000000000001"
"2010","Lower tariff","Not deferred","Not main scheme applicant","All","18675","17505","0.937"
"2011","Lower tariff","Not deferred","Not main scheme applicant","All","15065","13650","0.906"
"2012","Lower tariff","Not deferred","Not main scheme applicant","All","19805","18110","0.914"
"2013","Lower tariff","Not deferred","Not main scheme applicant","All","23925","22325","0.933"
"2014","Lower tariff","Not deferred","Not main scheme applicant","All","26330","24705","0.9380000000000001"
"2015","Lower tariff","Not deferred","Not main scheme applicant","All","27415","25660","0.936"
"2016","Lower tariff","Not deferred","Not main scheme applicant","All","26040","24295","0.933"
"2017","Lower tariff","Not deferred","Not main scheme applicant","All","31100","28800","0.926"
"2018","Lower tariff","Not deferred","Not main scheme applicant","All","38745","36645","0.9460000000000001"
"2019","Lower tariff","Not deferred","Not main scheme applicant","All","46885","44175","0.9420000000000001"
"2020","Lower tariff","Not deferred","Not main scheme applicant","All","48640","45430","0.934"
"2021","Lower tariff","Not deferred","Not main scheme applicant","All","48275","45150","0.935"
"2022","Lower tariff","Not deferred","Not main scheme applicant","All","58155","54350","0.935"
"2023","Lower tariff","Not deferred","Not main scheme applicant","All","56545","52145","0.922"
"2006","Higher tariff","Not deferred","Not main scheme applicant","All","3030","2920","0.965"
"2007","Higher tariff","Not deferred","Not main scheme applicant","All","3090","2955","0.9570000000000001"
"2008","Higher tariff","Not deferred","Not main scheme applicant","All","3455","3290","0.9530000000000001"
"2009","Higher tariff","Not deferred","Not main scheme applicant","All","3075","2840","0.925"
"2010","Higher tariff","Not deferred","Not main scheme applicant","All","2240","2090","0.932"
"2011","Higher tariff","Not deferred","Not main scheme applicant","All","2310","2150","0.929"
"2012","Higher tariff","Not deferred","Not main scheme applicant","All","2690","2510","0.932"
"2013","Higher tariff","Not deferred","Not main scheme applicant","All","2975","2815","0.9460000000000001"
"2014","Higher tariff","Not deferred","Not main scheme applicant","All","2745","2560","0.932"
"2015","Higher tariff","Not deferred","Not main scheme applicant","All","3005","2820","0.937"
"2016","Higher tariff","Not deferred","Not main scheme applicant","All","3150","2930","0.93"
"2017","Higher tariff","Not deferred","Not main scheme applicant","All","3400","3105","0.914"
"2018","Higher tariff","Not deferred","Not main scheme applicant","All","3700","3380","0.913"
"2019","Higher tariff","Not deferred","Not main scheme applicant","All","4010","3710","0.925"
"2020","Higher tariff","Not deferred","Not main scheme applicant","All","4640","4125","0.889"
"2021","Higher tariff","Not deferred","Not main scheme applicant","All","3125","2860","0.915"
"2022","Higher tariff","Not deferred","Not main scheme applicant","All","3385","2945","0.87"
"2023","Higher tariff","Not deferred","Not main scheme applicant","All","3360","2950","0.878"
"2006","Medium tariff","Not deferred","Not main scheme applicant","All","9305","9080","0.976"
"2007","Medium tariff","Not deferred","Not main scheme applicant","All","9805","9600","0.979"
"2008","Medium tariff","Not deferred","Not main scheme applicant","All","12040","11755","0.977"
"2009","Medium tariff","Not deferred","Not main scheme applicant","All","10585","10100","0.9540000000000001"
"2010","Medium tariff","Not deferred","Not main scheme applicant","All","11420","11040","0.966"
"2011","Medium tariff","Not deferred","Not main scheme applicant","All","7935","7600","0.9580000000000001"
"2012","Medium tariff","Not deferred","Not main scheme applicant","All","9290","8815","0.9490000000000001"
"2013","Medium tariff","Not deferred","Not main scheme applicant","All","8805","8320","0.9450000000000001"
"2014","Medium tariff","Not deferred","Not main scheme applicant","All","6375","5865","0.92"
"2015","Medium tariff","Not deferred","Not main scheme applicant","All","9215","8575","0.93"
"2016","Medium tariff","Not deferred","Not main scheme applicant","All","9375","8750","0.933"
"2017","Medium tariff","Not deferred","Not main scheme applicant","All","10900","10130","0.93"
"2018","Medium tariff","Not deferred","Not main scheme applicant","All","11805","11005","0.932"
"2019","Medium tariff","Not deferred","Not main scheme applicant","All","12845","11855","0.923"
"2020","Medium tariff","Not deferred","Not main scheme applicant","All","15710","14370","0.915"
"2021","Medium tariff","Not deferred","Not main scheme applicant","All","12130","11025","0.909"
"2022","Medium tariff","Not deferred","Not main scheme applicant","All","15975","14380","0.9"
"2023","Medium tariff","Not deferred","Not main scheme applicant","All","23845","21810","0.915"
"2006","Lower tariff","Deferred","Not main scheme applicant","All","305","305","0.99"
"2007","Lower tariff","Deferred","Not main scheme applicant","All","315","310","0.981"
"2008","Lower tariff","Deferred","Not main scheme applicant","All","405","400","0.98"
"2009","Lower tariff","Deferred","Not main scheme applicant","All","540","405","0.751"
"2010","Lower tariff","Deferred","Not main scheme applicant","All","200","200","0.99"
"2011","Lower tariff","Deferred","Not main scheme applicant","All","80","75","0.975"
"2012","Lower tariff","Deferred","Not main scheme applicant","All","190","185","0.984"
"2013","Lower tariff","Deferred","Not main scheme applicant","All","260","255","0.981"
"2014","Lower tariff","Deferred","Not main scheme applicant","All","290","280","0.9590000000000001"
"2015","Lower tariff","Deferred","Not main scheme applicant","All","285","275","0.972"
"2016","Lower tariff","Deferred","Not main scheme applicant","All","265","255","0.9590000000000001"
"2017","Lower tariff","Deferred","Not main scheme applicant","All","375","365","0.976"
"2018","Lower tariff","Deferred","Not main scheme applicant","All","500","490","0.976"
"2019","Lower tariff","Deferred","Not main scheme applicant","All","435","420","0.968"
"2020","Lower tariff","Deferred","Not main scheme applicant","All","640","530","0.8310000000000001"
"2021","Lower tariff","Deferred","Not main scheme applicant","All","405","345","0.854"
"2022","Lower tariff","Deferred","Not main scheme applicant","All","360","265","0.739"
"2023","Lower tariff","Deferred","Not main scheme applicant","All","415","345","0.8310000000000001"
"2006","Higher tariff","Deferred","Not main scheme applicant","All","60","60","1"
"2007","Higher tariff","Deferred","Not main scheme applicant","All","60","55","0.9480000000000001"
"2008","Higher tariff","Deferred","Not main scheme applicant","All","75","75","0.973"
"2009","Higher tariff","Deferred","Not main scheme applicant","All","95","80","0.871"
"2010","Higher tariff","Deferred","Not main scheme applicant","All","40","40","0.9500000000000001"
"2011","Higher tariff","Deferred","Not main scheme applicant","All","20","20","1"
"2012","Higher tariff","Deferred","Not main scheme applicant","All","35","35","0.9460000000000001"
"2013","Higher tariff","Deferred","Not main scheme applicant","All","40","40","0.974"
"2014","Higher tariff","Deferred","Not main scheme applicant","All","50","45","0.9580000000000001"
"2015","Higher tariff","Deferred","Not main scheme applicant","All","55","55","0.965"
"2016","Higher tariff","Deferred","Not main scheme applicant","All","50","45","0.918"
"2017","Higher tariff","Deferred","Not main scheme applicant","All","65","65","0.969"
"2018","Higher tariff","Deferred","Not main scheme applicant","All","80","70","0.923"
"2019","Higher tariff","Deferred","Not main scheme applicant","All","90","90","0.989"
"2020","Higher tariff","Deferred","Not main scheme applicant","All","180","165","0.912"
"2021","Higher tariff","Deferred","Not main scheme applicant","All","75","65","0.89"
"2022","Higher tariff","Deferred","Not main scheme applicant","All","50","40","0.765"
"2023","Higher tariff","Deferred","Not main scheme applicant","All","70","55","0.8"
"2006","Medium tariff","Deferred","Not main scheme applicant","All","180","180","0.989"
"2007","Medium tariff","Deferred","Not main scheme applicant","All","175","175","0.977"
"2008","Medium tariff","Deferred","Not main scheme applicant","All","200","195","0.975"
"2009","Medium tariff","Deferred","Not main scheme applicant","All","150","130","0.849"
"2010","Medium tariff","Deferred","Not main scheme applicant","All","115","110","0.965"
"2011","Medium tariff","Deferred","Not main scheme applicant","All","70","70","0.972"
"2012","Medium tariff","Deferred","Not main scheme applicant","All","105","105","0.981"
"2013","Medium tariff","Deferred","Not main scheme applicant","All","145","145","0.986"
"2014","Medium tariff","Deferred","Not main scheme applicant","All","130","125","0.961"
"2015","Medium tariff","Deferred","Not main scheme applicant","All","125","120","0.984"
"2016","Medium tariff","Deferred","Not main scheme applicant","All","125","125","0.976"
"2017","Medium tariff","Deferred","Not main scheme applicant","All","205","200","0.98"
"2018","Medium tariff","Deferred","Not main scheme applicant","All","230","225","0.974"
"2019","Medium tariff","Deferred","Not main scheme applicant","All","255","245","0.961"
"2020","Medium tariff","Deferred","Not main scheme applicant","All","420","380","0.909"
"2021","Medium tariff","Deferred","Not main scheme applicant","All","240","215","0.891"
