"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","10","1","0"
"2022","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","19 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2019","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2022","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","15","10"," ","0"
"2023","20 point(s)","Quintile 4","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","9 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2011","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","0"," ","0"
"2013","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","10 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2011","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","11 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2011","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","0"," ","0"
"2012","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","0"," ","0"
"2013","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","0"," ","0"
"2015","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","12 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2011","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2012","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2013","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","0"," ","0"
"2014","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2015","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","13 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2011","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2012","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2013","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","10"," ","0"
"2014","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2015","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2016","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2017","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2018","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2019","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","14 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2011","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","30","15","0.448","0"
"2013","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2014","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","15","0.583","0"
"2015","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","15","0.481","0"
"2016","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2017","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2018","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2019","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2020","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2022","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","15 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2011","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2012","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","15","0.765","0"
"2013","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2014","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","15","0.708","0"
"2015","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","5"," ","0"
"2016","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2017","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2018","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2019","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2020","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","16 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2010","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2013","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2014","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2015","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","10","0.545","0"
"2016","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2017","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2018","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2019","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2022","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","17 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2015","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.647","0"
"2016","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2017","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2019","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","15","1","0"
"2021","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2022","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","18 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2010","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10"," ","0"
"2013","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10","0.917","0"
"2015","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","5"," ","0"
"2016","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2017","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.667","0"
"2018","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2022","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2023","19 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2014","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2016","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2017","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2018","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","20","15","0.773","0"
"2019","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","20","0.8260000000000001","0"
"2020","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","20","0.8","0"
"2021","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","30","20","0.759","0"
"2022","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2023","20 point(s)","Quintile 5","Main scheme applicant","Main scheme application","25","15","0.609","0"
"2010","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","All","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","All","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","All","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","All","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","All","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","All","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","All","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","All","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","All","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","All","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","All","Quintile 3","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2011","All","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","All","Quintile 3","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","All","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Quintile 3","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2016","All","Quintile 3","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 3","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","All","Quintile 3","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","All","Quintile 3","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","All","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Quintile 4","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","All","Quintile 4","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2012","All","Quintile 4","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 4","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","All","Quintile 4","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2015","All","Quintile 4","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","All","Quintile 4","Main scheme applicant","Not main scheme application","15","10","0.714","0"
"2017","All","Quintile 4","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2018","All","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","All","Quintile 4","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2020","All","Quintile 4","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","All","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","All","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Quintile 4","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","All","Quintile 5","Main scheme applicant","Not main scheme application","25","20","0.9570000000000001","0"
"2011","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2012","All","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","All","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","All","Quintile 5","Main scheme applicant","Not main scheme application","25","15","0.652","0"
"2015","All","Quintile 5","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2016","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2017","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2018","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2019","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2020","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","All","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","All","Quintile 5","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","All","Quintile 5","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2015","All","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","All","Quintile 1","Main scheme applicant","Main scheme application","30","15","0.586","0"
"2011","All","Quintile 1","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2012","All","Quintile 1","Main scheme applicant","Main scheme application","20","10"," ","0"
"2013","All","Quintile 1","Main scheme applicant","Main scheme application","25","15","0.654","0"
"2014","All","Quintile 1","Main scheme applicant","Main scheme application","45","15","0.372","0"
"2015","All","Quintile 1","Main scheme applicant","Main scheme application","55","25","0.5","0"
"2016","All","Quintile 1","Main scheme applicant","Main scheme application","35","15","0.486","0"
"2017","All","Quintile 1","Main scheme applicant","Main scheme application","35","15","0.5","0"
"2018","All","Quintile 1","Main scheme applicant","Main scheme application","35","20","0.618","0"
"2019","All","Quintile 1","Main scheme applicant","Main scheme application","40","20","0.55","0"
"2020","All","Quintile 1","Main scheme applicant","Main scheme application","45","30","0.682","0"
"2021","All","Quintile 1","Main scheme applicant","Main scheme application","40","30","0.7000000000000001","0"
"2022","All","Quintile 1","Main scheme applicant","Main scheme application","30","15","0.464","0"
"2023","All","Quintile 1","Main scheme applicant","Main scheme application","40","30","0.7000000000000001","0"
"2010","All","Quintile 2","Main scheme applicant","Main scheme application","40","25","0.641","0"
"2011","All","Quintile 2","Main scheme applicant","Main scheme application","50","25","0.531","0"
"2012","All","Quintile 2","Main scheme applicant","Main scheme application","60","25","0.441","0"
"2013","All","Quintile 2","Main scheme applicant","Main scheme application","60","35","0.586","0"
"2014","All","Quintile 2","Main scheme applicant","Main scheme application","85","30","0.386","0"
"2015","All","Quintile 2","Main scheme applicant","Main scheme application","65","25","0.40900000000000003","0"
"2016","All","Quintile 2","Main scheme applicant","Main scheme application","75","40","0.562","0"
"2017","All","Quintile 2","Main scheme applicant","Main scheme application","50","30","0.604","0"
"2018","All","Quintile 2","Main scheme applicant","Main scheme application","60","35","0.607","0"
"2019","All","Quintile 2","Main scheme applicant","Main scheme application","60","35","0.5740000000000001","0"
"2020","All","Quintile 2","Main scheme applicant","Main scheme application","85","60","0.726","0"
"2021","All","Quintile 2","Main scheme applicant","Main scheme application","70","50","0.754","0"
"2022","All","Quintile 2","Main scheme applicant","Main scheme application","50","35","0.714","0"
"2023","All","Quintile 2","Main scheme applicant","Main scheme application","55","40","0.667","0"
"2010","All","Quintile 3","Main scheme applicant","Main scheme application","75","35","0.442","0"
"2011","All","Quintile 3","Main scheme applicant","Main scheme application","75","35","0.47900000000000004","0"
"2012","All","Quintile 3","Main scheme applicant","Main scheme application","100","45","0.434","0"
"2013","All","Quintile 3","Main scheme applicant","Main scheme application","75","45","0.5660000000000001","0"
"2014","All","Quintile 3","Main scheme applicant","Main scheme application","90","45","0.5","0"
"2015","All","Quintile 3","Main scheme applicant","Main scheme application","95","45","0.47900000000000004","0"
"2016","All","Quintile 3","Main scheme applicant","Main scheme application","90","35","0.371","0"
"2017","All","Quintile 3","Main scheme applicant","Main scheme application","75","45","0.5660000000000001","0"
"2018","All","Quintile 3","Main scheme applicant","Main scheme application","95","55","0.606","0"
"2019","All","Quintile 3","Main scheme applicant","Main scheme application","50","25","0.551","0"
"2020","All","Quintile 3","Main scheme applicant","Main scheme application","85","55","0.639","0"
"2021","All","Quintile 3","Main scheme applicant","Main scheme application","85","60","0.735","0"
"2022","All","Quintile 3","Main scheme applicant","Main scheme application","70","50","0.725","0"
"2023","All","Quintile 3","Main scheme applicant","Main scheme application","65","45","0.6980000000000001","0"
"2010","All","Quintile 4","Main scheme applicant","Main scheme application","95","50","0.559","0"
"2011","All","Quintile 4","Main scheme applicant","Main scheme application","95","40","0.447","0"
"2012","All","Quintile 4","Main scheme applicant","Main scheme application","120","55","0.449","0"
"2013","All","Quintile 4","Main scheme applicant","Main scheme application","105","45","0.456","0"
"2014","All","Quintile 4","Main scheme applicant","Main scheme application","110","50","0.468","0"
"2015","All","Quintile 4","Main scheme applicant","Main scheme application","130","50","0.395","0"
"2016","All","Quintile 4","Main scheme applicant","Main scheme application","90","50","0.527","0"
"2017","All","Quintile 4","Main scheme applicant","Main scheme application","110","60","0.545","0"
"2018","All","Quintile 4","Main scheme applicant","Main scheme application","100","65","0.627","0"
"2019","All","Quintile 4","Main scheme applicant","Main scheme application","100","50","0.531","0"
"2020","All","Quintile 4","Main scheme applicant","Main scheme application","85","50","0.614","0"
"2021","All","Quintile 4","Main scheme applicant","Main scheme application","85","60","0.6990000000000001","0"
"2022","All","Quintile 4","Main scheme applicant","Main scheme application","65","40","0.635","0"
"2023","All","Quintile 4","Main scheme applicant","Main scheme application","80","50","0.61","0"
"2010","All","Quintile 5","Main scheme applicant","Main scheme application","120","60","0.496","0"
"2011","All","Quintile 5","Main scheme applicant","Main scheme application","110","55","0.505","0"
"2012","All","Quintile 5","Main scheme applicant","Main scheme application","170","85","0.488","0"
"2013","All","Quintile 5","Main scheme applicant","Main scheme application","135","70","0.504","0"
"2014","All","Quintile 5","Main scheme applicant","Main scheme application","155","80","0.526","0"
"2015","All","Quintile 5","Main scheme applicant","Main scheme application","160","70","0.438","0"
"2016","All","Quintile 5","Main scheme applicant","Main scheme application","135","80","0.593","0"
"2017","All","Quintile 5","Main scheme applicant","Main scheme application","125","65","0.528","0"
"2018","All","Quintile 5","Main scheme applicant","Main scheme application","130","75","0.578","0"
"2019","All","Quintile 5","Main scheme applicant","Main scheme application","115","70","0.595","0"
"2020","All","Quintile 5","Main scheme applicant","Main scheme application","100","70","0.6900000000000001","0"
"2021","All","Quintile 5","Main scheme applicant","Main scheme application","125","90","0.736","0"
"2022","All","Quintile 5","Main scheme applicant","Main scheme application","80","40","0.525","0"
"2023","All","Quintile 5","Main scheme applicant","Main scheme application","105","55","0.514","0"
"2010","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","12 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","12 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","13 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","13 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","13 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","14 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","14 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","14 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","14 point(s)","All","Main scheme applicant","Not main scheme application","20","15","0.65","0"
"2016","14 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","14 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
