"Year","NPD ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2120","0.004"
"2006","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","80","17810","0.004"
"2006","Black","18","England","Female","Not main scheme applicant","Not main scheme application","40","10080","0.004"
"2006","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0.003"
"2006","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","10","5880","0.002"
"2006","White","18","England","Female","Not main scheme applicant","Not main scheme application","720","243840","0.003"
"2007","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2340","0.006"
"2007","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","17150","0.006"
"2007","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","10510","0.006"
"2007","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1130","0.009000000000000001"
"2007","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","6240","0.003"
"2007","White","18","England","Female","Not main scheme applicant","Not main scheme application","770","240530","0.003"
"2008","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2320","0.006"
"2008","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","18020","0.006"
"2008","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","10920","0.006"
"2008","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0.001"
"2008","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","6850","0.004"
"2008","White","18","England","Female","Not main scheme applicant","Not main scheme application","770","245160","0.003"
"2009","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2450","0.004"
"2009","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","70","18590","0.004"
"2009","Black","18","England","Female","Not main scheme applicant","Not main scheme application","50","11160","0.004"
"2009","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0.001"
"2009","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","7490","0.003"
"2009","White","18","England","Female","Not main scheme applicant","Not main scheme application","650","248720","0.003"
"2010","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2620","0.002"
"2010","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","30","19350","0.002"
"2010","Black","18","England","Female","Not main scheme applicant","Not main scheme application","30","11500","0.002"
"2010","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1110","0"
"2010","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","8100","0.002"
"2010","White","18","England","Female","Not main scheme applicant","Not main scheme application","290","246260","0.001"
"2011","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2760","0.004"
"2011","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","30","19930","0.002"
"2011","Black","18","England","Female","Not main scheme applicant","Not main scheme application","30","11960","0.003"
"2011","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0.002"
"2011","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","8500","0.003"
"2011","White","18","England","Female","Not main scheme applicant","Not main scheme application","350","236310","0.001"
"2012","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","3040","0.003"
"2012","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","90","20280","0.004"
"2012","Black","18","England","Female","Not main scheme applicant","Not main scheme application","50","12230","0.004"
"2012","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1050","0.005"
"2012","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","9050","0.003"
"2012","White","18","England","Female","Not main scheme applicant","Not main scheme application","590","234860","0.003"
"2013","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","3080","0.005"
"2013","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","130","20640","0.006"
"2013","Black","18","England","Female","Not main scheme applicant","Not main scheme application","80","12910","0.006"
"2013","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1080","0.002"
"2013","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","9440","0.003"
"2013","White","18","England","Female","Not main scheme applicant","Not main scheme application","700","228580","0.003"
"2014","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3300","0.006"
"2014","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","120","21420","0.005"
"2014","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","13040","0.005"
"2014","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1150","0.001"
"2014","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","10060","0.002"
"2014","White","18","England","Female","Not main scheme applicant","Not main scheme application","670","223500","0.003"
"2015","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3380","0.006"
"2015","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","130","22730","0.005"
"2015","Black","18","England","Female","Not main scheme applicant","Not main scheme application","80","13770","0.006"
"2015","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1080","0.005"
"2015","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","50","10900","0.005"
"2015","White","18","England","Female","Not main scheme applicant","Not main scheme application","730","226450","0.003"
"2016","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3520","0.005"
"2016","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","23140","0.005"
"2016","Black","18","England","Female","Not main scheme applicant","Not main scheme application","70","13650","0.005"
"2016","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1030","0.002"
"2016","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","50","11220","0.004"
"2016","White","18","England","Female","Not main scheme applicant","Not main scheme application","750","220380","0.003"
"2017","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","30","3600","0.007"
"2017","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","160","23730","0.007"
"2017","Black","18","England","Female","Not main scheme applicant","Not main scheme application","80","13650","0.006"
"2017","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","960","0.002"
"2017","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","80","11380","0.007"
"2017","White","18","England","Female","Not main scheme applicant","Not main scheme application","930","216430","0.004"
"2018","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","30","3850","0.009000000000000001"
"2018","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","170","24550","0.007"
"2018","Black","18","England","Female","Not main scheme applicant","Not main scheme application","100","13990","0.007"
"2018","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","950","0.004"
"2018","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","70","11450","0.006"
"2018","White","18","England","Female","Not main scheme applicant","Not main scheme application","1180","209250","0.006"
"2019","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3900","0.006"
"2019","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","220","25570","0.009000000000000001"
"2019","Black","18","England","Female","Not main scheme applicant","Not main scheme application","130","13990","0.009000000000000001"
"2019","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","930","0.009000000000000001"
"2019","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","80","11900","0.006"
"2019","White","18","England","Female","Not main scheme applicant","Not main scheme application","1320","201350","0.007"
"2020","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","40","4060","0.009000000000000001"
"2020","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","210","27050","0.008"
"2020","Black","18","England","Female","Not main scheme applicant","Not main scheme application","140","14610","0.009000000000000001"
"2020","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","940","0.008"
"2020","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","130","12350","0.011"
"2020","White","18","England","Female","Not main scheme applicant","Not main scheme application","1830","196050","0.009000000000000001"
"2021","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","30","4560","0.006"
"2021","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","170","27980","0.006"
"2021","Black","18","England","Female","Not main scheme applicant","Not main scheme application","110","15620","0.007"
"2021","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","980","0.003"
"2021","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","80","13640","0.006"
"2021","White","18","England","Female","Not main scheme applicant","Not main scheme application","1160","201190","0.006"
"2022","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","30","5000","0.006"
"2022","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","200","29790","0.007"
"2022","Black","18","England","Female","Not main scheme applicant","Not main scheme application","100","16490","0.006"
"2022","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","990","0.002"
"2022","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","80","14770","0.006"
"2022","White","18","England","Female","Not main scheme applicant","Not main scheme application","1070","205180","0.005"
"2023","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","40","5600","0.007"
"2023","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","230","31720","0.007"
"2023","Black","18","England","Female","Not main scheme applicant","Not main scheme application","110","17790","0.006"
"2023","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1090","0.006"
"2023","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","90","16140","0.005"
"2023","White","18","England","Female","Not main scheme applicant","Not main scheme application","1010","210110","0.005"
"2006","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","10","2360","0.004"
"2006","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","160","18620","0.008"
"2006","Black","18","England","Male","Not main scheme applicant","Not main scheme application","40","9750","0.004"
"2006","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1110","0.003"
"2006","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","20","5570","0.004"
"2006","White","18","England","Male","Not main scheme applicant","Not main scheme application","920","249980","0.004"
"2007","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","2650","0.006"
"2007","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","110","18260","0.006"
"2007","Black","18","England","Male","Not main scheme applicant","Not main scheme application","50","9980","0.005"
"2007","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","10","1170","0.006"
"2007","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","20","5900","0.004"
"2007","White","18","England","Male","Not main scheme applicant","Not main scheme application","890","247280","0.004"
"2008","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","2620","0.009000000000000001"
"2008","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","150","19380","0.007"
"2008","Black","18","England","Male","Not main scheme applicant","Not main scheme application","70","10760","0.007"
"2008","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1120","0.002"
"2008","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","20","6520","0.003"
"2008","White","18","England","Male","Not main scheme applicant","Not main scheme application","910","253610","0.004"
"2009","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","2820","0.005"
"2009","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","100","19610","0.005"
"2009","Black","18","England","Male","Not main scheme applicant","Not main scheme application","50","10960","0.004"
"2009","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1060","0.002"
"2009","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","20","7300","0.003"
"2009","White","18","England","Male","Not main scheme applicant","Not main scheme application","770","256480","0.003"
"2010","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","10","3020","0.002"
"2010","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","60","20870","0.003"
"2010","Black","18","England","Male","Not main scheme applicant","Not main scheme application","30","11070","0.003"
"2010","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1130","0.002"
"2010","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","10","8110","0.001"
"2010","White","18","England","Male","Not main scheme applicant","Not main scheme application","350","256120","0.001"
"2011","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","10","3190","0.003"
"2011","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","60","21130","0.003"
"2011","Black","18","England","Male","Not main scheme applicant","Not main scheme application","30","11590","0.003"
"2011","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1120","0.001"
"2011","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","20","8460","0.002"
"2011","White","18","England","Male","Not main scheme applicant","Not main scheme application","340","245660","0.001"
"2012","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","30","3470","0.008"
"2012","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","120","21940","0.005"
"2012","Black","18","England","Male","Not main scheme applicant","Not main scheme application","50","11970","0.004"
"2012","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","10","1060","0.006"
"2012","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","40","9180","0.004"
"2012","White","18","England","Male","Not main scheme applicant","Not main scheme application","700","244360","0.003"
"2013","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","3620","0.005"
"2013","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","110","22440","0.005"
"2013","Black","18","England","Male","Not main scheme applicant","Not main scheme application","80","12650","0.006"
"2013","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1100","0.002"
"2013","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","40","9540","0.004"
"2013","White","18","England","Male","Not main scheme applicant","Not main scheme application","770","237680","0.003"
"2014","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","3600","0.006"
"2014","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","100","23100","0.004"
"2014","Black","18","England","Male","Not main scheme applicant","Not main scheme application","70","13150","0.005"
"2014","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","10","1080","0.006"
"2014","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","50","10240","0.004"
"2014","White","18","England","Male","Not main scheme applicant","Not main scheme application","700","233620","0.003"
"2015","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","30","3770","0.007"
"2015","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","120","23910","0.005"
"2015","Black","18","England","Male","Not main scheme applicant","Not main scheme application","100","13720","0.007"
"2015","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1100","0.004"
"2015","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","50","10890","0.005"
"2015","White","18","England","Male","Not main scheme applicant","Not main scheme application","740","235800","0.003"
"2016","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","20","3930","0.005"
"2016","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","140","24920","0.006"
"2016","Black","18","England","Male","Not main scheme applicant","Not main scheme application","80","13580","0.006"
"2016","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1010","0.001"
"2016","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","40","11210","0.004"
"2016","White","18","England","Male","Not main scheme applicant","Not main scheme application","810","230930","0.004"
"2017","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","30","4130","0.007"
"2017","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","180","25660","0.007"
"2017","Black","18","England","Male","Not main scheme applicant","Not main scheme application","80","13760","0.006"
"2017","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1000","0.004"
"2017","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","70","11530","0.006"
"2017","White","18","England","Male","Not main scheme applicant","Not main scheme application","950","226910","0.004"
"2018","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","30","4270","0.007"
"2018","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","240","26580","0.009000000000000001"
"2018","Black","18","England","Male","Not main scheme applicant","Not main scheme application","100","14130","0.007"
"2018","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","970","0.001"
"2018","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","70","11810","0.006"
"2018","White","18","England","Male","Not main scheme applicant","Not main scheme application","1090","218750","0.005"
"2019","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","40","4430","0.009000000000000001"
"2019","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","250","27170","0.009000000000000001"
"2019","Black","18","England","Male","Not main scheme applicant","Not main scheme application","130","14140","0.009000000000000001"
"2019","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1020","0.004"
"2019","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","90","12060","0.007"
"2019","White","18","England","Male","Not main scheme applicant","Not main scheme application","1500","210080","0.007"
"2020","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","30","4430","0.007"
"2020","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","310","28670","0.011"
"2020","Black","18","England","Male","Not main scheme applicant","Not main scheme application","190","14600","0.013000000000000001"
"2020","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","10","860","0.007"
"2020","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","130","12770","0.01"
"2020","White","18","England","Male","Not main scheme applicant","Not main scheme application","2060","206440","0.01"
"2021","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","40","4950","0.007"
"2021","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","250","30160","0.008"
"2021","Black","18","England","Male","Not main scheme applicant","Not main scheme application","150","15780","0.009000000000000001"
"2021","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","980","0.002"
"2021","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","100","13920","0.007"
"2021","White","18","England","Male","Not main scheme applicant","Not main scheme application","1410","211220","0.007"
"2022","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","50","5420","0.009000000000000001"
"2022","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","230","31130","0.007"
"2022","Black","18","England","Male","Not main scheme applicant","Not main scheme application","150","16630","0.009000000000000001"
"2022","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","940","0.003"
"2022","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","80","15150","0.006"
"2022","White","18","England","Male","Not main scheme applicant","Not main scheme application","1120","215900","0.005"
"2023","Any Other Ethnic Group","18","England","Male","Not main scheme applicant","Not main scheme application","40","6040","0.007"
"2023","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","250","33660","0.007"
"2023","Black","18","England","Male","Not main scheme applicant","Not main scheme application","160","17900","0.009000000000000001"
"2023","Chinese","18","England","Male","Not main scheme applicant","Not main scheme application","0","1050","0.002"
"2023","Mixed","18","England","Male","Not main scheme applicant","Not main scheme application","90","16470","0.006"
"2023","White","18","England","Male","Not main scheme applicant","Not main scheme application","1100","219550","0.005"
"2006","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","110","2120","0.053"
"2006","Asian","18","England","Female","Main scheme applicant","Not main scheme application","1460","17810","0.082"
"2006","Black","18","England","Female","Main scheme applicant","Not main scheme application","500","10080","0.049"
"2006","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","80","1040","0.07200000000000001"
"2006","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","160","5880","0.026000000000000002"
"2006","White","18","England","Female","Main scheme applicant","Not main scheme application","4180","243840","0.017"
"2007","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","120","2340","0.052000000000000005"
"2007","Asian","18","England","Female","Main scheme applicant","Not main scheme application","1470","17150","0.08600000000000001"
"2007","Black","18","England","Female","Main scheme applicant","Not main scheme application","580","10510","0.055"
"2007","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","80","1130","0.067"
"2007","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","180","6240","0.028"
"2007","White","18","England","Female","Main scheme applicant","Not main scheme application","4260","240530","0.018000000000000002"
"2008","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","130","2320","0.055"
"2008","Asian","18","England","Female","Main scheme applicant","Not main scheme application","1550","18020","0.08600000000000001"
"2008","Black","18","England","Female","Main scheme applicant","Not main scheme application","660","10920","0.061"
"2008","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","100","1070","0.091"
"2008","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","220","6850","0.032"
"2008","White","18","England","Female","Main scheme applicant","Not main scheme application","5120","245160","0.021"
"2009","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","140","2450","0.059000000000000004"
"2009","Asian","18","England","Female","Main scheme applicant","Not main scheme application","1720","18590","0.093"
"2009","Black","18","England","Female","Main scheme applicant","Not main scheme application","810","11160","0.07200000000000001"
"2009","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","80","1070","0.07100000000000001"
"2009","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","280","7490","0.037"
"2009","White","18","England","Female","Main scheme applicant","Not main scheme application","5520","248720","0.022"
"2010","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","200","2620","0.075"
"2010","Asian","18","England","Female","Main scheme applicant","Not main scheme application","1880","19350","0.097"
"2010","Black","18","England","Female","Main scheme applicant","Not main scheme application","1060","11500","0.092"
"2010","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","90","1110","0.078"
"2010","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","300","8100","0.037"
"2010","White","18","England","Female","Main scheme applicant","Not main scheme application","5640","246260","0.023"
"2011","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","270","2760","0.096"
"2011","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2210","19930","0.111"
"2011","Black","18","England","Female","Main scheme applicant","Not main scheme application","1400","11960","0.117"
"2011","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","110","1040","0.105"
"2011","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","430","8500","0.05"
"2011","White","18","England","Female","Main scheme applicant","Not main scheme application","7160","236310","0.03"
"2012","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","270","3040","0.09"
"2012","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2230","20280","0.11"
"2012","Black","18","England","Female","Main scheme applicant","Not main scheme application","1280","12230","0.105"
"2012","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","90","1050","0.081"
"2012","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","400","9050","0.044"
"2012","White","18","England","Female","Main scheme applicant","Not main scheme application","6480","234860","0.028"
"2013","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","240","3080","0.076"
"2013","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2130","20640","0.10300000000000001"
"2013","Black","18","England","Female","Main scheme applicant","Not main scheme application","1380","12910","0.107"
"2013","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","100","1080","0.091"
"2013","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","430","9440","0.046"
"2013","White","18","England","Female","Main scheme applicant","Not main scheme application","6370","228580","0.028"
"2014","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","320","3300","0.096"
"2014","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2410","21420","0.113"
"2014","Black","18","England","Female","Main scheme applicant","Not main scheme application","1490","13040","0.114"
"2014","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","120","1150","0.101"
"2014","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","520","10060","0.052000000000000005"
"2014","White","18","England","Female","Main scheme applicant","Not main scheme application","6890","223500","0.031"
"2015","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","320","3380","0.094"
"2015","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2700","22730","0.11900000000000001"
"2015","Black","18","England","Female","Main scheme applicant","Not main scheme application","1660","13770","0.121"
"2015","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","100","1080","0.09"
"2015","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","650","10900","0.06"
"2015","White","18","England","Female","Main scheme applicant","Not main scheme application","7210","226450","0.032"
"2016","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","380","3520","0.107"
"2016","Asian","18","England","Female","Main scheme applicant","Not main scheme application","2980","23140","0.129"
"2016","Black","18","England","Female","Main scheme applicant","Not main scheme application","1700","13650","0.124"
"2016","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","110","1030","0.10400000000000001"
"2016","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","660","11220","0.059000000000000004"
"2016","White","18","England","Female","Main scheme applicant","Not main scheme application","7460","220380","0.034"
"2017","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","420","3600","0.117"
"2017","Asian","18","England","Female","Main scheme applicant","Not main scheme application","3070","23730","0.129"
"2017","Black","18","England","Female","Main scheme applicant","Not main scheme application","1690","13650","0.124"
"2017","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","120","960","0.123"
"2017","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","660","11380","0.058"
"2017","White","18","England","Female","Main scheme applicant","Not main scheme application","7460","216430","0.034"
"2018","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","400","3850","0.105"
"2018","Asian","18","England","Female","Main scheme applicant","Not main scheme application","3180","24550","0.13"
"2018","Black","18","England","Female","Main scheme applicant","Not main scheme application","1740","13990","0.124"
"2018","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","100","950","0.109"
"2018","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","750","11450","0.066"
"2018","White","18","England","Female","Main scheme applicant","Not main scheme application","7500","209250","0.036000000000000004"
"2019","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","530","3900","0.136"
"2019","Asian","18","England","Female","Main scheme applicant","Not main scheme application","3780","25570","0.148"
"2019","Black","18","England","Female","Main scheme applicant","Not main scheme application","1870","13990","0.133"
"2019","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","120","930","0.133"
"2019","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","790","11900","0.066"
"2019","White","18","England","Female","Main scheme applicant","Not main scheme application","8090","201350","0.04"
"2020","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","510","4060","0.126"
"2020","Asian","18","England","Female","Main scheme applicant","Not main scheme application","4020","27050","0.149"
"2020","Black","18","England","Female","Main scheme applicant","Not main scheme application","2050","14610","0.14"
"2020","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","130","940","0.133"
"2020","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","950","12350","0.077"
"2020","White","18","England","Female","Main scheme applicant","Not main scheme application","8460","196050","0.043000000000000003"
"2021","Any Other Ethnic Group","18","England","Female","Main scheme applicant","Not main scheme application","440","4560","0.097"
"2021","Asian","18","England","Female","Main scheme applicant","Not main scheme application","3180","27980","0.114"
"2021","Black","18","England","Female","Main scheme applicant","Not main scheme application","1830","15620","0.117"
"2021","Chinese","18","England","Female","Main scheme applicant","Not main scheme application","90","980","0.093"
"2021","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","850","13640","0.062"
"2021","White","18","England","Female","Main scheme applicant","Not main scheme application","6240","201190","0.031"
