"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","All","25 - 29","All","All","All","Main scheme application","30365","16440","0.541","0"
"2017","All","25 - 29","All","All","All","Main scheme application","25910","15165","0.585","0"
"2018","All","25 - 29","All","All","All","Main scheme application","24140","14595","0.604","0"
"2019","All","25 - 29","All","All","All","Main scheme application","23425","14355","0.613","0"
"2020","All","25 - 29","All","All","All","Main scheme application","24490","15725","0.642","0"
"2021","All","25 - 29","All","All","All","Main scheme application","27560","15855","0.5750000000000001","0"
"2022","All","25 - 29","All","All","All","Main scheme application","22045","12585","0.5710000000000001","0"
"2023","All","25 - 29","All","All","All","Main scheme application","18410","10385","0.5640000000000001","0"
"2006","All","30 - 34","All","All","All","Main scheme application","9940","5525","0.556","0"
"2007","All","30 - 34","All","All","All","Main scheme application","9565","5500","0.5750000000000001","0"
"2008","All","30 - 34","All","All","All","Main scheme application","11600","6715","0.579","0"
"2009","All","30 - 34","All","All","All","Main scheme application","14550","8125","0.558","0"
"2010","All","30 - 34","All","All","All","Main scheme application","18225","8845","0.485","0"
"2011","All","30 - 34","All","All","All","Main scheme application","18535","8715","0.47000000000000003","0"
"2012","All","30 - 34","All","All","All","Main scheme application","16645","7750","0.466","0"
"2013","All","30 - 34","All","All","All","Main scheme application","16475","8045","0.488","0"
"2014","All","30 - 34","All","All","All","Main scheme application","17020","8535","0.501","0"
"2015","All","30 - 34","All","All","All","Main scheme application","16845","8650","0.513","0"
"2016","All","30 - 34","All","All","All","Main scheme application","16830","8750","0.52","0"
"2017","All","30 - 34","All","All","All","Main scheme application","14280","8270","0.579","0"
"2018","All","30 - 34","All","All","All","Main scheme application","13530","8045","0.595","0"
"2019","All","30 - 34","All","All","All","Main scheme application","13235","8095","0.612","0"
"2020","All","30 - 34","All","All","All","Main scheme application","14465","9130","0.631","0"
"2021","All","30 - 34","All","All","All","Main scheme application","16265","9385","0.577","0"
"2022","All","30 - 34","All","All","All","Main scheme application","13870","7875","0.5680000000000001","0"
"2023","All","30 - 34","All","All","All","Main scheme application","11865","6805","0.5730000000000001","0"
"2006","All","35 and over","All","All","All","Main scheme application","16590","9780","0.59","0"
"2007","All","35 and over","All","All","All","Main scheme application","16490","9955","0.604","0"
"2008","All","35 and over","All","All","All","Main scheme application","20385","12185","0.598","0"
"2009","All","35 and over","All","All","All","Main scheme application","24950","14290","0.5730000000000001","0"
"2010","All","35 and over","All","All","All","Main scheme application","30605","14965","0.489","0"
"2011","All","35 and over","All","All","All","Main scheme application","29550","13865","0.46900000000000003","0"
"2012","All","35 and over","All","All","All","Main scheme application","26190","12290","0.46900000000000003","0"
"2013","All","35 and over","All","All","All","Main scheme application","25345","12260","0.484","0"
"2014","All","35 and over","All","All","All","Main scheme application","27485","13450","0.489","0"
"2015","All","35 and over","All","All","All","Main scheme application","27920","13715","0.491","0"
"2016","All","35 and over","All","All","All","Main scheme application","29310","14485","0.494","0"
"2017","All","35 and over","All","All","All","Main scheme application","24790","13650","0.551","0"
"2018","All","35 and over","All","All","All","Main scheme application","23835","13970","0.586","0"
"2019","All","35 and over","All","All","All","Main scheme application","23715","14215","0.6","0"
"2020","All","35 and over","All","All","All","Main scheme application","26860","16540","0.616","0"
"2021","All","35 and over","All","All","All","Main scheme application","28755","15840","0.551","0"
"2022","All","35 and over","All","All","All","Main scheme application","25310","14075","0.556","0"
"2023","All","35 and over","All","All","All","Main scheme application","25400","14360","0.5650000000000001","0"
"2006","Unknown","All","All","All","All","Not main scheme application","1750","1695","0.969","30"
"2007","Unknown","All","All","All","All","Not main scheme application","1510","1450","0.961","30"
"2008","Unknown","All","All","All","All","Not main scheme application","1935","1830","0.9470000000000001","50"
"2009","Unknown","All","All","All","All","Not main scheme application","3115","3010","0.967","35"
"2010","Unknown","All","All","All","All","Not main scheme application","345","280","0.8170000000000001","20"
"2011","Unknown","All","All","All","All","Not main scheme application","295","225","0.765","25"
"2012","Unknown","All","All","All","All","Not main scheme application","470","405","0.87","20"
"2013","Unknown","All","All","All","All","Not main scheme application","395","355","0.898","20"
"2014","Unknown","All","All","All","All","Not main scheme application","285","245","0.863","10"
"2015","Unknown","All","All","All","All","Not main scheme application","375","345","0.912","15"
"2016","Unknown","All","All","All","All","Not main scheme application","285","255","0.885","10"
"2017","Unknown","All","All","All","All","Not main scheme application","325","275","0.852","10"
"2018","Unknown","All","All","All","All","Not main scheme application","380","345","0.908","5"
"2019","Unknown","All","All","All","All","Not main scheme application","410","380","0.917","10"
"2020","Unknown","All","All","All","All","Not main scheme application","405","370","0.919","10"
"2021","Unknown","All","All","All","All","Not main scheme application","2505","2470","0.984","5"
"2022","Unknown","All","All","All","All","Not main scheme application","750","725","0.969","5"
"2023","Unknown","All","All","All","All","Not main scheme application","2025","1975","0.976","5"
"2006","Quintile 1","All","All","All","All","Not main scheme application","11800","11325","0.96","750"
"2007","Quintile 1","All","All","All","All","Not main scheme application","12960","12425","0.9590000000000001","855"
"2008","Quintile 1","All","All","All","All","Not main scheme application","15455","14630","0.9460000000000001","1240"
"2009","Quintile 1","All","All","All","All","Not main scheme application","16110","14050","0.872","1575"
"2010","Quintile 1","All","All","All","All","Not main scheme application","15730","12660","0.805","1435"
"2011","Quintile 1","All","All","All","All","Not main scheme application","17785","13500","0.759","1570"
"2012","Quintile 1","All","All","All","All","Not main scheme application","19685","15930","0.809","1115"
"2013","Quintile 1","All","All","All","All","Not main scheme application","20120","16875","0.839","1245"
"2014","Quintile 1","All","All","All","All","Not main scheme application","22265","18785","0.844","1115"
"2015","Quintile 1","All","All","All","All","Not main scheme application","23690","20170","0.851","1310"
"2016","Quintile 1","All","All","All","All","Not main scheme application","23375","19730","0.844","1040"
"2017","Quintile 1","All","All","All","All","Not main scheme application","24075","21160","0.879","995"
"2018","Quintile 1","All","All","All","All","Not main scheme application","25855","23385","0.904","815"
"2019","Quintile 1","All","All","All","All","Not main scheme application","30515","27760","0.91","910"
"2020","Quintile 1","All","All","All","All","Not main scheme application","29810","27100","0.909","1180"
"2021","Quintile 1","All","All","All","All","Not main scheme application","27470","24380","0.887","725"
"2022","Quintile 1","All","All","All","All","Not main scheme application","35130","31070","0.884","1155"
"2023","Quintile 1","All","All","All","All","Not main scheme application","39570","35235","0.89","1240"
"2006","Quintile 2","All","All","All","All","Not main scheme application","12385","11870","0.9590000000000001","830"
"2007","Quintile 2","All","All","All","All","Not main scheme application","13155","12595","0.9580000000000001","805"
"2008","Quintile 2","All","All","All","All","Not main scheme application","15595","14785","0.9480000000000001","1245"
"2009","Quintile 2","All","All","All","All","Not main scheme application","16270","14280","0.878","1525"
"2010","Quintile 2","All","All","All","All","Not main scheme application","16355","13485","0.8250000000000001","1405"
"2011","Quintile 2","All","All","All","All","Not main scheme application","18215","14205","0.78","1530"
"2012","Quintile 2","All","All","All","All","Not main scheme application","19095","15875","0.8310000000000001","1065"
"2013","Quintile 2","All","All","All","All","Not main scheme application","19750","16855","0.853","1175"
"2014","Quintile 2","All","All","All","All","Not main scheme application","21470","18250","0.85","1125"
"2015","Quintile 2","All","All","All","All","Not main scheme application","22350","19330","0.865","1250"
"2016","Quintile 2","All","All","All","All","Not main scheme application","21840","18795","0.86","1085"
"2017","Quintile 2","All","All","All","All","Not main scheme application","22760","20160","0.886","975"
"2018","Quintile 2","All","All","All","All","Not main scheme application","24395","22245","0.912","790"
"2019","Quintile 2","All","All","All","All","Not main scheme application","27045","24720","0.914","745"
"2020","Quintile 2","All","All","All","All","Not main scheme application","26990","24545","0.909","1150"
"2021","Quintile 2","All","All","All","All","Not main scheme application","24270","21565","0.889","715"
"2022","Quintile 2","All","All","All","All","Not main scheme application","29810","26450","0.887","950"
"2023","Quintile 2","All","All","All","All","Not main scheme application","31505","28090","0.892","965"
"2006","Quintile 3","All","All","All","All","Not main scheme application","10720","10310","0.962","685"
"2007","Quintile 3","All","All","All","All","Not main scheme application","11510","11040","0.9590000000000001","750"
"2008","Quintile 3","All","All","All","All","Not main scheme application","13905","13245","0.9530000000000001","970"
"2009","Quintile 3","All","All","All","All","Not main scheme application","14095","12505","0.887","1320"
"2010","Quintile 3","All","All","All","All","Not main scheme application","13940","11845","0.85","1095"
"2011","Quintile 3","All","All","All","All","Not main scheme application","15475","12610","0.8150000000000001","1040"
"2012","Quintile 3","All","All","All","All","Not main scheme application","15670","13410","0.856","800"
"2013","Quintile 3","All","All","All","All","Not main scheme application","15945","13870","0.87","845"
"2014","Quintile 3","All","All","All","All","Not main scheme application","16785","14495","0.863","790"
"2015","Quintile 3","All","All","All","All","Not main scheme application","17865","15760","0.882","840"
"2016","Quintile 3","All","All","All","All","Not main scheme application","17980","15790","0.878","720"
"2017","Quintile 3","All","All","All","All","Not main scheme application","18340","16405","0.895","630"
"2018","Quintile 3","All","All","All","All","Not main scheme application","19005","17435","0.917","560"
"2019","Quintile 3","All","All","All","All","Not main scheme application","20780","19015","0.915","590"
"2020","Quintile 3","All","All","All","All","Not main scheme application","22060","20215","0.916","895"
"2021","Quintile 3","All","All","All","All","Not main scheme application","18245","16330","0.895","495"
"2022","Quintile 3","All","All","All","All","Not main scheme application","22530","20045","0.89","655"
"2023","Quintile 3","All","All","All","All","Not main scheme application","23265","20920","0.899","715"
"2006","Quintile 4","All","All","All","All","Not main scheme application","10490","10070","0.96","620"
"2007","Quintile 4","All","All","All","All","Not main scheme application","10920","10505","0.962","645"
"2008","Quintile 4","All","All","All","All","Not main scheme application","13125","12510","0.9530000000000001","815"
"2009","Quintile 4","All","All","All","All","Not main scheme application","13435","12085","0.9","1125"
"2010","Quintile 4","All","All","All","All","Not main scheme application","12940","11145","0.861","895"
"2011","Quintile 4","All","All","All","All","Not main scheme application","14525","12065","0.8300000000000001","825"
"2012","Quintile 4","All","All","All","All","Not main scheme application","14570","12745","0.875","635"
"2013","Quintile 4","All","All","All","All","Not main scheme application","14765","13115","0.888","685"
"2014","Quintile 4","All","All","All","All","Not main scheme application","14990","13200","0.881","575"
"2015","Quintile 4","All","All","All","All","Not main scheme application","16015","14335","0.895","605"
"2016","Quintile 4","All","All","All","All","Not main scheme application","16410","14555","0.887","605"
"2017","Quintile 4","All","All","All","All","Not main scheme application","16795","15185","0.904","505"
"2018","Quintile 4","All","All","All","All","Not main scheme application","16985","15605","0.919","470"
"2019","Quintile 4","All","All","All","All","Not main scheme application","18605","17105","0.919","515"
"2020","Quintile 4","All","All","All","All","Not main scheme application","20280","18735","0.924","825"
"2021","Quintile 4","All","All","All","All","Not main scheme application","15395","13855","0.9","375"
"2022","Quintile 4","All","All","All","All","Not main scheme application","18735","16725","0.893","605"
"2023","Quintile 4","All","All","All","All","Not main scheme application","19900","17960","0.903","565"
"2006","Quintile 5","All","All","All","All","Not main scheme application","11025","10620","0.963","555"
"2007","Quintile 5","All","All","All","All","Not main scheme application","11515","11025","0.9580000000000001","580"
"2008","Quintile 5","All","All","All","All","Not main scheme application","13270","12695","0.9570000000000001","715"
"2009","Quintile 5","All","All","All","All","Not main scheme application","13910","12570","0.904","965"
"2010","Quintile 5","All","All","All","All","Not main scheme application","13125","11390","0.868","760"
"2011","Quintile 5","All","All","All","All","Not main scheme application","14600","12370","0.847","695"
"2012","Quintile 5","All","All","All","All","Not main scheme application","14100","12590","0.893","480"
"2013","Quintile 5","All","All","All","All","Not main scheme application","14655","13170","0.898","535"
"2014","Quintile 5","All","All","All","All","Not main scheme application","15080","13435","0.891","455"
"2015","Quintile 5","All","All","All","All","Not main scheme application","15635","14115","0.903","525"
"2016","Quintile 5","All","All","All","All","Not main scheme application","16015","14390","0.899","455"
"2017","Quintile 5","All","All","All","All","Not main scheme application","16355","14870","0.909","445"
"2018","Quintile 5","All","All","All","All","Not main scheme application","16170","14880","0.92","355"
"2019","Quintile 5","All","All","All","All","Not main scheme application","17795","16475","0.926","420"
"2020","Quintile 5","All","All","All","All","Not main scheme application","20620","19195","0.931","690"
"2021","Quintile 5","All","All","All","All","Not main scheme application","14485","13115","0.905","320"
"2022","Quintile 5","All","All","All","All","Not main scheme application","17355","15560","0.896","440"
"2023","Quintile 5","All","All","All","All","Not main scheme application","18230","16610","0.911","460"
"2006","Unknown","All","All","All","All","Main scheme application","3060","2075","0.678","0"
"2007","Unknown","All","All","All","All","Main scheme application","2725","1770","0.65","0"
"2008","Unknown","All","All","All","All","Main scheme application","8025","5535","0.6900000000000001","0"
"2009","Unknown","All","All","All","All","Main scheme application","2110","1310","0.621","0"
"2010","Unknown","All","All","All","All","Main scheme application","1610","955","0.593","0"
"2011","Unknown","All","All","All","All","Main scheme application","1455","855","0.586","0"
"2012","Unknown","All","All","All","All","Main scheme application","1315","735","0.559","0"
"2013","Unknown","All","All","All","All","Main scheme application","1070","635","0.596","0"
"2014","Unknown","All","All","All","All","Main scheme application","965","560","0.578","0"
"2015","Unknown","All","All","All","All","Main scheme application","910","570","0.625","0"
"2016","Unknown","All","All","All","All","Main scheme application","935","580","0.621","0"
"2017","Unknown","All","All","All","All","Main scheme application","755","480","0.637","0"
"2018","Unknown","All","All","All","All","Main scheme application","760","450","0.593","0"
"2019","Unknown","All","All","All","All","Main scheme application","765","485","0.631","0"
"2020","Unknown","All","All","All","All","Main scheme application","700","425","0.61","0"
"2021","Unknown","All","All","All","All","Main scheme application","695","420","0.602","0"
"2022","Unknown","All","All","All","All","Main scheme application","225","150","0.665","0"
"2023","Unknown","All","All","All","All","Main scheme application","185","115","0.639","0"
"2006","Quintile 1","All","All","All","All","Main scheme application","57535","37805","0.657","0"
"2007","Quintile 1","All","All","All","All","Main scheme application","61315","40295","0.657","0"
"2008","Quintile 1","All","All","All","All","Main scheme application","69700","46485","0.667","0"
"2009","Quintile 1","All","All","All","All","Main scheme application","80160","51485","0.642","0"
"2010","Quintile 1","All","All","All","All","Main scheme application","92670","53150","0.5740000000000001","0"
"2011","Quintile 1","All","All","All","All","Main scheme application","96000","54745","0.5700000000000001","0"
"2012","Quintile 1","All","All","All","All","Main scheme application","90055","52345","0.581","0"
"2013","Quintile 1","All","All","All","All","Main scheme application","93080","57460","0.617","0"
"2014","Quintile 1","All","All","All","All","Main scheme application","99070","61250","0.618","0"
"2015","Quintile 1","All","All","All","All","Main scheme application","101480","63525","0.626","0"
"2016","Quintile 1","All","All","All","All","Main scheme application","101940","64355","0.631","0"
"2017","Quintile 1","All","All","All","All","Main scheme application","96615","63985","0.662","0"
"2018","Quintile 1","All","All","All","All","Main scheme application","94200","63385","0.673","0"
"2019","Quintile 1","All","All","All","All","Main scheme application","95625","64315","0.673","0"
"2020","Quintile 1","All","All","All","All","Main scheme application","98850","69090","0.6990000000000001","0"
"2021","Quintile 1","All","All","All","All","Main scheme application","105320","71480","0.679","0"
"2022","Quintile 1","All","All","All","All","Main scheme application","107690","69310","0.644","0"
"2023","Quintile 1","All","All","All","All","Main scheme application","106555","67050","0.629","0"
"2006","Quintile 2","All","All","All","All","Main scheme application","69385","47365","0.683","0"
"2007","Quintile 2","All","All","All","All","Main scheme application","72855","49945","0.686","0"
"2008","Quintile 2","All","All","All","All","Main scheme application","81410","56015","0.6880000000000001","0"
"2009","Quintile 2","All","All","All","All","Main scheme application","91200","60700","0.666","0"
"2010","Quintile 2","All","All","All","All","Main scheme application","103780","62145","0.599","0"
"2011","Quintile 2","All","All","All","All","Main scheme application","105400","63165","0.599","0"
"2012","Quintile 2","All","All","All","All","Main scheme application","96225","58285","0.606","0"
"2013","Quintile 2","All","All","All","All","Main scheme application","99380","63610","0.64","0"
"2014","Quintile 2","All","All","All","All","Main scheme application","103870","66160","0.637","0"
"2015","Quintile 2","All","All","All","All","Main scheme application","105515","68270","0.647","0"
"2016","Quintile 2","All","All","All","All","Main scheme application","105420","69190","0.656","0"
"2017","Quintile 2","All","All","All","All","Main scheme application","99735","67505","0.677","0"
"2018","Quintile 2","All","All","All","All","Main scheme application","96475","66275","0.687","0"
"2019","Quintile 2","All","All","All","All","Main scheme application","96145","65655","0.683","0"
"2020","Quintile 2","All","All","All","All","Main scheme application","98835","69885","0.707","0"
"2021","Quintile 2","All","All","All","All","Main scheme application","105585","73755","0.6990000000000001","0"
"2022","Quintile 2","All","All","All","All","Main scheme application","104780","69085","0.659","0"
"2023","Quintile 2","All","All","All","All","Main scheme application","101095","65735","0.65","0"
"2006","Quintile 3","All","All","All","All","Main scheme application","77105","55510","0.72","0"
"2007","Quintile 3","All","All","All","All","Main scheme application","81175","58845","0.725","0"
"2008","Quintile 3","All","All","All","All","Main scheme application","87485","62970","0.72","0"
"2009","Quintile 3","All","All","All","All","Main scheme application","97810","68640","0.7020000000000001","0"
"2010","Quintile 3","All","All","All","All","Main scheme application","108690","70635","0.65","0"
"2011","Quintile 3","All","All","All","All","Main scheme application","108985","70525","0.647","0"
"2012","Quintile 3","All","All","All","All","Main scheme application","98315","64155","0.653","0"
"2013","Quintile 3","All","All","All","All","Main scheme application","101075","68740","0.68","0"
"2014","Quintile 3","All","All","All","All","Main scheme application","105000","71155","0.678","0"
"2015","Quintile 3","All","All","All","All","Main scheme application","106175","72835","0.686","0"
"2016","Quintile 3","All","All","All","All","Main scheme application","106005","73085","0.6890000000000001","0"
"2017","Quintile 3","All","All","All","All","Main scheme application","101035","71465","0.707","0"
"2018","Quintile 3","All","All","All","All","Main scheme application","97200","69085","0.711","0"
"2019","Quintile 3","All","All","All","All","Main scheme application","95745","67875","0.709","0"
"2020","Quintile 3","All","All","All","All","Main scheme application","96580","70385","0.729","0"
"2021","Quintile 3","All","All","All","All","Main scheme application","104230","75570","0.725","0"
"2022","Quintile 3","All","All","All","All","Main scheme application","103225","71105","0.6890000000000001","0"
"2023","Quintile 3","All","All","All","All","Main scheme application","97930","67010","0.684","0"
"2006","Quintile 4","All","All","All","All","Main scheme application","87480","64970","0.743","0"
"2007","Quintile 4","All","All","All","All","Main scheme application","91670","69020","0.753","0"
"2008","Quintile 4","All","All","All","All","Main scheme application","97585","73370","0.752","0"
"2009","Quintile 4","All","All","All","All","Main scheme application","107500","78635","0.731","0"
"2010","Quintile 4","All","All","All","All","Main scheme application","117275","79855","0.681","0"
"2011","Quintile 4","All","All","All","All","Main scheme application","117860","80225","0.681","0"
"2012","Quintile 4","All","All","All","All","Main scheme application","105950","72510","0.684","0"
"2013","Quintile 4","All","All","All","All","Main scheme application","108230","76860","0.71","0"
"2014","Quintile 4","All","All","All","All","Main scheme application","110470","78095","0.707","0"
"2015","Quintile 4","All","All","All","All","Main scheme application","112430","80270","0.714","0"
"2016","Quintile 4","All","All","All","All","Main scheme application","112320","80400","0.716","0"
"2017","Quintile 4","All","All","All","All","Main scheme application","108435","78860","0.727","0"
"2018","Quintile 4","All","All","All","All","Main scheme application","103715","76240","0.735","0"
"2019","Quintile 4","All","All","All","All","Main scheme application","101890","74025","0.727","0"
"2020","Quintile 4","All","All","All","All","Main scheme application","102515","76620","0.747","0"
"2021","Quintile 4","All","All","All","All","Main scheme application","110160","82070","0.745","0"
"2022","Quintile 4","All","All","All","All","Main scheme application","108965","77640","0.713","0"
"2023","Quintile 4","All","All","All","All","Main scheme application","104435","74020","0.709","0"
"2006","Quintile 5","All","All","All","All","Main scheme application","104790","80740","0.77","0"
"2007","Quintile 5","All","All","All","All","Main scheme application","109580","84450","0.771","0"
"2008","Quintile 5","All","All","All","All","Main scheme application","115880","89780","0.775","0"
"2009","Quintile 5","All","All","All","All","Main scheme application","125695","94685","0.753","0"
"2010","Quintile 5","All","All","All","All","Main scheme application","135220","95880","0.709","0"
"2011","Quintile 5","All","All","All","All","Main scheme application","134315","95590","0.712","0"
"2012","Quintile 5","All","All","All","All","Main scheme application","122025","87255","0.715","0"
"2013","Quintile 5","All","All","All","All","Main scheme application","124810","92065","0.738","0"
"2014","Quintile 5","All","All","All","All","Main scheme application","125150","91820","0.734","0"
"2015","Quintile 5","All","All","All","All","Main scheme application","127015","94185","0.742","0"
"2016","Quintile 5","All","All","All","All","Main scheme application","127045","94355","0.743","0"
"2017","Quintile 5","All","All","All","All","Main scheme application","122980","92595","0.753","0"
"2018","Quintile 5","All","All","All","All","Main scheme application","119040","89965","0.756","0"
"2019","Quintile 5","All","All","All","All","Main scheme application","115855","86535","0.747","0"
"2020","Quintile 5","All","All","All","All","Main scheme application","116480","88840","0.763","0"
"2021","Quintile 5","All","All","All","All","Main scheme application","125740","96995","0.771","0"
"2022","Quintile 5","All","All","All","All","Main scheme application","123920","91495","0.738","0"
"2023","Quintile 5","All","All","All","All","Main scheme application","119360","88175","0.739","0"
"2006","All","All","All","All","All","Not main scheme application","58175","55895","0.961","3475"
"2007","All","All","All","All","All","Not main scheme application","61565","59040","0.9590000000000001","3670"
"2008","All","All","All","All","All","Not main scheme application","73280","69700","0.9510000000000001","5025"
"2009","All","All","All","All","All","Not main scheme application","76930","68505","0.89","6540"
"2010","All","All","All","All","All","Not main scheme application","72435","60805","0.839","5610"
"2011","All","All","All","All","All","Not main scheme application","80895","64965","0.803","5685"
"2012","All","All","All","All","All","Not main scheme application","83585","70955","0.849","4120"
"2013","All","All","All","All","All","Not main scheme application","85630","74240","0.867","4505"
"2014","All","All","All","All","All","Not main scheme application","90875","78410","0.863","4065"
"2015","All","All","All","All","All","Not main scheme application","95930","84060","0.876","4545"
"2016","All","All","All","All","All","Not main scheme application","95910","83515","0.871","3915"
"2017","All","All","All","All","All","Not main scheme application","98650","88050","0.893","3560"
"2018","All","All","All","All","All","Not main scheme application","102790","93890","0.913","3000"
"2019","All","All","All","All","All","Not main scheme application","115155","105450","0.916","3185"
"2020","All","All","All","All","All","Not main scheme application","120165","110160","0.917","4755"
"2021","All","All","All","All","All","Not main scheme application","102370","91710","0.896","2635"
"2022","All","All","All","All","All","Not main scheme application","124310","110575","0.889","3810"
"2023","All","All","All","All","All","Not main scheme application","134490","120790","0.898","3945"
"2006","All","All","All","All","All","Main scheme application","399360","288470","0.722","0"
"2007","All","All","All","All","All","Main scheme application","419315","304330","0.726","0"
"2008","All","All","All","All","All","Main scheme application","460080","334160","0.726","0"
"2009","All","All","All","All","All","Main scheme application","504480","355450","0.705","0"
"2010","All","All","All","All","All","Main scheme application","559245","362625","0.648","0"
"2011","All","All","All","All","All","Main scheme application","564020","365100","0.647","0"
"2012","All","All","All","All","All","Main scheme application","513885","335285","0.652","0"
"2013","All","All","All","All","All","Main scheme application","527645","359375","0.681","0"
"2014","All","All","All","All","All","Main scheme application","544525","369040","0.678","0"
"2015","All","All","All","All","All","Main scheme application","553525","379655","0.686","0"
"2016","All","All","All","All","All","Main scheme application","553665","381970","0.6900000000000001","0"
"2017","All","All","All","All","All","Main scheme application","529555","374895","0.708","0"
"2018","All","All","All","All","All","Main scheme application","511390","365400","0.715","0"
"2019","All","All","All","All","All","Main scheme application","506030","358885","0.709","0"
"2020","All","All","All","All","All","Main scheme application","513965","375240","0.73","0"
"2021","All","All","All","All","All","Main scheme application","551730","400295","0.726","0"
"2022","All","All","All","All","All","Main scheme application","548810","378785","0.6900000000000001","0"
"2023","All","All","All","All","All","Main scheme application","529560","362100","0.684","0"
"2007","Unknown","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2017","Unknown","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2021","Unknown","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2023","Unknown","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2006","Unknown","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2007","Unknown","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2009","Unknown","17 and under","Scotland","Female","Not main scheme applicant","All","65","65","1","0"
"2012","Unknown","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2006","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10","0.917","0"
"2007","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10","0.909","0"
"2008","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","15","15","1","5"
"2009","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10"," ","10"
"2010","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","5"
"2011","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","10"
"2012","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2013","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10","0.917","5"
"2014","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10","0.909","5"
"2015","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","5"
"2016","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","5"
"2017","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","20","15","0.895","0"
"2018","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","15","10","0.923","0"
"2019","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","15","10","0.75","5"
"2020","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","10","10","0.917","5"
"2021","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","15","10","0.857","0"
"2022","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","40","35","0.857","5"
"2023","Quintile 1","17 and under","England","Female","Not main scheme applicant","All","25","25","0.885","5"
"2006","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2007","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2008","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2009","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","15","10","0.857","0"
"2010","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2011","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2012","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2013","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2015","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2016","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2017","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","5"," ","0"
"2018","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2019","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2020","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","5"," ","0"
"2021","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","5","5"," ","0"
"2022","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","10","10"," ","0"
"2023","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","All","20","15","0.895","0"
"2008","Quintile 1","17 and under","Wales","Female","Not main scheme applicant","All","5","5"," ","0"
"2006","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","10","10"," ","0"
"2007","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","15","15","1","5"
"2008","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","20","20","0.9520000000000001","10"
"2009","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","20","15","0.833","0"
"2010","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","10","10","1","0"
"2011","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2012","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","5","5"," ","0"
"2013","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","10","10","0.909","5"
"2014","Quintile 2","17 and under","England","Female","Not main scheme applicant","All","10","10"," ","0"
