"Year","Achieved A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","3 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2020","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.972","0"
"2020","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2022","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","5"
"2020","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2021","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2022","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","0"
"2023","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2010","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9590000000000001","5"
"2020","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","5"
"2021","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2022","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2010","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2020","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.927","5"
"2021","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.912","0"
"2022","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.933","0"
"2023","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","5"
"2013","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.966","0"
"2020","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.962","5"
"2021","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","5"
"2022","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2012","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.9470000000000001","5"
"2020","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.9560000000000001","10"
"2021","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.917","0"
"2022","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.976","0"
"2020","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","10"
"2021","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.926","0"
"2022","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2011","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.885","0"
"2020","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.892","5"
"2021","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786","0"
"2022","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.8","0"
"2023","13 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","13 point(s)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.875","5"
"2021","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2021","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","15 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","5"
"2021","16 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","17 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","18 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","3 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2020","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","5"
"2023","5 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.889","5"
"2020","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2021","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.913","0"
"2022","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","6 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","45","40","0.933","5"
"2020","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","30","0.969","5"
"2021","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2022","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","7 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.92","0"
"2010","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2019","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","40","35","0.85","0"
"2020","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","45","45","0.935","10"
"2021","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2022","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","35","35","0.919","5"
"2023","8 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","8 point(s)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9410000000000001","0"
"2020","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2021","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2022","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","35","35","0.9460000000000001","0"
"2023","9 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","25","0.929","0"
"2011","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","50","50","0.981","5"
"2020","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","10"
"2021","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","50","45","0.979","5"
"2022","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001","5"
"2023","10 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2019","10 point(s)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","30","0.969","5"
"2020","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","10"
"2021","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2022","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.962","5"
"2023","11 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2020","11 point(s)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.962","5"
"2020","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","40","35","0.921","10"
"2021","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.8","0"
"2022","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2023","12 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2020","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","30","25","0.844","5"
"2021","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","13 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","0.926","0"
"2021","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","14 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2021","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","16 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2021","16 point(s)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","45","35","0.75","0"
"2011","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","40","25","0.632","0"
"2012","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.76","0"
"2013","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.895","0"
"2014","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2015","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2016","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","30","30","0.933","0"
"2017","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","25","25","0.963","0"
"2018","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.929","0"
"2019","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2020","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2021","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","30","30","0.969","0"
"2022","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.897","0"
"2023","3 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","100","95","0.931","0"
"2010","4 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","4 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","155","125","0.809","0"
"2011","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","190","150","0.803","0"
"2012","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","135","115","0.851","0"
"2013","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","140","125","0.879","0"
"2014","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","120","110","0.885","0"
"2015","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","150","145","0.9540000000000001","0"
"2016","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","140","125","0.894","0"
"2017","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","125","120","0.937","0"
"2018","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","160","150","0.9380000000000001","0"
"2019","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","190","175","0.926","0"
"2020","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","65","60","0.9530000000000001","0"
"2021","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","75","65","0.892","0"
"2022","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","160","145","0.894","0"
"2023","4 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","295","275","0.922","0"
"2010","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","390","330","0.839","0"
"2011","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","445","350","0.791","0"
"2012","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","315","275","0.864","0"
"2013","5 point(s)","18","England","Female","Main scheme applicant","Not main scheme application","305","270","0.891","0"
