"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","8 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","5"
"2021","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","9 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2014","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","9 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2017","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2019","9 point(s)","White","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2020","9 point(s)","White","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2021","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2014","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2015","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2019","10 point(s)","White","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2020","10 point(s)","White","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2021","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2013","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2014","11 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2018","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","11 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","11 point(s)","White","Not main scheme applicant","Not main scheme application","45","45","1","10"
"2021","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","11 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","11 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2010","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2014","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2018","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","12 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2020","12 point(s)","White","Not main scheme applicant","Not main scheme application","45","45","0.979","10"
"2021","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2010","13 point(s)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","White","Not main scheme applicant","Not main scheme application","35","30","0.912","5"
"2021","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","14 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","White","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","10"
"2021","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","15 point(s)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","16 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","17 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","6 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","11 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","3 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","3 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","4 point(s)","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2012","4 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","5 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.792","0"
"2011","5 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.857","0"
"2012","5 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2013","5 point(s)","White","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2014","5 point(s)","White","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2015","5 point(s)","White","Main scheme applicant","Not main scheme application","15","15","1","0"
"2016","5 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","5 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2018","5 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2019","5 point(s)","White","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2020","5 point(s)","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","5 point(s)","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","5 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","White","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2010","6 point(s)","White","Main scheme applicant","Not main scheme application","180","150","0.8240000000000001","0"
"2011","6 point(s)","White","Main scheme applicant","Not main scheme application","150","120","0.792","0"
"2012","6 point(s)","White","Main scheme applicant","Not main scheme application","100","90","0.881","0"
"2013","6 point(s)","White","Main scheme applicant","Not main scheme application","75","70","0.9460000000000001","0"
"2014","6 point(s)","White","Main scheme applicant","Not main scheme application","70","65","0.901","0"
"2015","6 point(s)","White","Main scheme applicant","Not main scheme application","55","50","0.9450000000000001","0"
"2016","6 point(s)","White","Main scheme applicant","Not main scheme application","40","35","0.9490000000000001","0"
"2017","6 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.872","0"
"2018","6 point(s)","White","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2019","6 point(s)","White","Main scheme applicant","Not main scheme application","35","35","0.9460000000000001","0"
"2020","6 point(s)","White","Main scheme applicant","Not main scheme application","40","40","0.9500000000000001","0"
"2021","6 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.97","0"
"2022","6 point(s)","White","Main scheme applicant","Not main scheme application","55","45","0.8210000000000001","0"
"2023","6 point(s)","White","Main scheme applicant","Not main scheme application","40","35","0.85","0"
"2010","7 point(s)","White","Main scheme applicant","Not main scheme application","360","305","0.855","0"
"2011","7 point(s)","White","Main scheme applicant","Not main scheme application","335","260","0.77","0"
"2012","7 point(s)","White","Main scheme applicant","Not main scheme application","200","170","0.841","0"
"2013","7 point(s)","White","Main scheme applicant","Not main scheme application","160","145","0.899","0"
"2014","7 point(s)","White","Main scheme applicant","Not main scheme application","140","130","0.915","0"
"2015","7 point(s)","White","Main scheme applicant","Not main scheme application","125","115","0.898","0"
"2016","7 point(s)","White","Main scheme applicant","Not main scheme application","100","90","0.881","0"
"2017","7 point(s)","White","Main scheme applicant","Not main scheme application","100","85","0.869","0"
"2018","7 point(s)","White","Main scheme applicant","Not main scheme application","95","85","0.935","0"
"2019","7 point(s)","White","Main scheme applicant","Not main scheme application","105","100","0.962","0"
"2020","7 point(s)","White","Main scheme applicant","Not main scheme application","85","85","0.9540000000000001","0"
"2021","7 point(s)","White","Main scheme applicant","Not main scheme application","75","70","0.908","0"
"2022","7 point(s)","White","Main scheme applicant","Not main scheme application","90","80","0.901","0"
"2023","7 point(s)","White","Main scheme applicant","Not main scheme application","90","80","0.91","0"
"2010","8 point(s)","White","Main scheme applicant","Not main scheme application","645","535","0.8280000000000001","0"
"2011","8 point(s)","White","Main scheme applicant","Not main scheme application","660","550","0.833","0"
"2012","8 point(s)","White","Main scheme applicant","Not main scheme application","445","380","0.858","0"
"2013","8 point(s)","White","Main scheme applicant","Not main scheme application","370","330","0.894","0"
"2014","8 point(s)","White","Main scheme applicant","Not main scheme application","310","270","0.877","0"
"2015","8 point(s)","White","Main scheme applicant","Not main scheme application","295","260","0.881","0"
"2016","8 point(s)","White","Main scheme applicant","Not main scheme application","265","240","0.898","0"
"2017","8 point(s)","White","Main scheme applicant","Not main scheme application","235","215","0.931","0"
"2018","8 point(s)","White","Main scheme applicant","Not main scheme application","200","190","0.9400000000000001","0"
"2019","8 point(s)","White","Main scheme applicant","Not main scheme application","190","180","0.9480000000000001","0"
"2020","8 point(s)","White","Main scheme applicant","Not main scheme application","175","165","0.9430000000000001","0"
"2021","8 point(s)","White","Main scheme applicant","Not main scheme application","140","135","0.9430000000000001","0"
"2022","8 point(s)","White","Main scheme applicant","Not main scheme application","165","155","0.9390000000000001","0"
"2023","8 point(s)","White","Main scheme applicant","Not main scheme application","165","145","0.884","0"
"2010","9 point(s)","White","Main scheme applicant","Not main scheme application","1150","985","0.857","0"
"2011","9 point(s)","White","Main scheme applicant","Not main scheme application","1310","1080","0.8260000000000001","0"
"2012","9 point(s)","White","Main scheme applicant","Not main scheme application","1005","880","0.874","0"
"2013","9 point(s)","White","Main scheme applicant","Not main scheme application","750","675","0.901","0"
"2014","9 point(s)","White","Main scheme applicant","Not main scheme application","700","625","0.896","0"
"2015","9 point(s)","White","Main scheme applicant","Not main scheme application","715","660","0.921","0"
"2016","9 point(s)","White","Main scheme applicant","Not main scheme application","640","580","0.908","0"
"2017","9 point(s)","White","Main scheme applicant","Not main scheme application","555","495","0.89","0"
"2018","9 point(s)","White","Main scheme applicant","Not main scheme application","440","415","0.9430000000000001","0"
"2019","9 point(s)","White","Main scheme applicant","Not main scheme application","465","435","0.929","0"
"2020","9 point(s)","White","Main scheme applicant","Not main scheme application","465","440","0.9480000000000001","0"
"2021","9 point(s)","White","Main scheme applicant","Not main scheme application","355","330","0.935","0"
"2022","9 point(s)","White","Main scheme applicant","Not main scheme application","430","385","0.902","0"
"2023","9 point(s)","White","Main scheme applicant","Not main scheme application","375","350","0.93","0"
"2010","10 point(s)","White","Main scheme applicant","Not main scheme application","1345","1160","0.863","0"
"2011","10 point(s)","White","Main scheme applicant","Not main scheme application","1590","1385","0.871","0"
"2012","10 point(s)","White","Main scheme applicant","Not main scheme application","1285","1140","0.886","0"
"2013","10 point(s)","White","Main scheme applicant","Not main scheme application","980","900","0.917","0"
"2014","10 point(s)","White","Main scheme applicant","Not main scheme application","1095","990","0.903","0"
"2015","10 point(s)","White","Main scheme applicant","Not main scheme application","1035","960","0.928","0"
"2016","10 point(s)","White","Main scheme applicant","Not main scheme application","965","890","0.923","0"
"2017","10 point(s)","White","Main scheme applicant","Not main scheme application","855","805","0.9430000000000001","0"
"2018","10 point(s)","White","Main scheme applicant","Not main scheme application","730","685","0.9400000000000001","0"
"2019","10 point(s)","White","Main scheme applicant","Not main scheme application","710","665","0.935","0"
"2020","10 point(s)","White","Main scheme applicant","Not main scheme application","690","660","0.9580000000000001","0"
"2021","10 point(s)","White","Main scheme applicant","Not main scheme application","580","540","0.936","0"
"2022","10 point(s)","White","Main scheme applicant","Not main scheme application","655","620","0.9440000000000001","0"
"2023","10 point(s)","White","Main scheme applicant","Not main scheme application","540","495","0.92","0"
"2010","11 point(s)","White","Main scheme applicant","Not main scheme application","1435","1265","0.881","0"
"2011","11 point(s)","White","Main scheme applicant","Not main scheme application","1765","1570","0.889","0"
"2012","11 point(s)","White","Main scheme applicant","Not main scheme application","1480","1325","0.896","0"
"2013","11 point(s)","White","Main scheme applicant","Not main scheme application","1405","1280","0.912","0"
"2014","11 point(s)","White","Main scheme applicant","Not main scheme application","1380","1260","0.914","0"
"2015","11 point(s)","White","Main scheme applicant","Not main scheme application","1415","1300","0.921","0"
"2016","11 point(s)","White","Main scheme applicant","Not main scheme application","1405","1290","0.916","0"
"2017","11 point(s)","White","Main scheme applicant","Not main scheme application","1285","1215","0.9460000000000001","0"
"2018","11 point(s)","White","Main scheme applicant","Not main scheme application","1085","1015","0.933","0"
"2019","11 point(s)","White","Main scheme applicant","Not main scheme application","1090","1025","0.9400000000000001","0"
"2020","11 point(s)","White","Main scheme applicant","Not main scheme application","1065","1030","0.966","0"
"2021","11 point(s)","White","Main scheme applicant","Not main scheme application","890","830","0.937","0"
"2022","11 point(s)","White","Main scheme applicant","Not main scheme application","945","875","0.925","0"
"2023","11 point(s)","White","Main scheme applicant","Not main scheme application","875","800","0.917","0"
"2010","12 point(s)","White","Main scheme applicant","Not main scheme application","1740","1570","0.903","0"
"2011","12 point(s)","White","Main scheme applicant","Not main scheme application","2145","1955","0.91","0"
"2012","12 point(s)","White","Main scheme applicant","Not main scheme application","1870","1725","0.922","0"
"2013","12 point(s)","White","Main scheme applicant","Not main scheme application","1850","1690","0.913","0"
"2014","12 point(s)","White","Main scheme applicant","Not main scheme application","1925","1795","0.932","0"
"2015","12 point(s)","White","Main scheme applicant","Not main scheme application","1930","1810","0.9390000000000001","0"
"2016","12 point(s)","White","Main scheme applicant","Not main scheme application","2055","1895","0.922","0"
"2017","12 point(s)","White","Main scheme applicant","Not main scheme application","2035","1915","0.9410000000000001","0"
"2018","12 point(s)","White","Main scheme applicant","Not main scheme application","1815","1730","0.9540000000000001","0"
"2019","12 point(s)","White","Main scheme applicant","Not main scheme application","1820","1715","0.9420000000000001","0"
"2020","12 point(s)","White","Main scheme applicant","Not main scheme application","1915","1855","0.969","0"
"2021","12 point(s)","White","Main scheme applicant","Not main scheme application","1360","1280","0.9400000000000001","0"
"2022","12 point(s)","White","Main scheme applicant","Not main scheme application","1420","1325","0.932","0"
"2023","12 point(s)","White","Main scheme applicant","Not main scheme application","1340","1260","0.9410000000000001","0"
"2010","13 point(s)","White","Main scheme applicant","Not main scheme application","1715","1590","0.927","0"
"2011","13 point(s)","White","Main scheme applicant","Not main scheme application","2195","2010","0.917","0"
"2012","13 point(s)","White","Main scheme applicant","Not main scheme application","2050","1910","0.931","0"
"2013","13 point(s)","White","Main scheme applicant","Not main scheme application","2040","1910","0.937","0"
"2014","13 point(s)","White","Main scheme applicant","Not main scheme application","2425","2255","0.929","0"
"2015","13 point(s)","White","Main scheme applicant","Not main scheme application","2550","2395","0.9400000000000001","0"
"2016","13 point(s)","White","Main scheme applicant","Not main scheme application","2575","2425","0.9410000000000001","0"
"2017","13 point(s)","White","Main scheme applicant","Not main scheme application","2685","2520","0.9390000000000001","0"
"2018","13 point(s)","White","Main scheme applicant","Not main scheme application","2370","2255","0.9510000000000001","0"
"2019","13 point(s)","White","Main scheme applicant","Not main scheme application","2390","2290","0.9580000000000001","0"
"2020","13 point(s)","White","Main scheme applicant","Not main scheme application","2710","2630","0.97","0"
"2021","13 point(s)","White","Main scheme applicant","Not main scheme application","1640","1560","0.9530000000000001","0"
"2022","13 point(s)","White","Main scheme applicant","Not main scheme application","1840","1725","0.9390000000000001","0"
"2023","13 point(s)","White","Main scheme applicant","Not main scheme application","1835","1745","0.9500000000000001","0"
"2010","14 point(s)","White","Main scheme applicant","Not main scheme application","1485","1375","0.928","0"
"2011","14 point(s)","White","Main scheme applicant","Not main scheme application","1820","1690","0.928","0"
"2012","14 point(s)","White","Main scheme applicant","Not main scheme application","1815","1730","0.9530000000000001","0"
"2013","14 point(s)","White","Main scheme applicant","Not main scheme application","1760","1660","0.9410000000000001","0"
"2014","14 point(s)","White","Main scheme applicant","Not main scheme application","2245","2125","0.9460000000000001","0"
"2015","14 point(s)","White","Main scheme applicant","Not main scheme application","2205","2080","0.9450000000000001","0"
"2016","14 point(s)","White","Main scheme applicant","Not main scheme application","2560","2415","0.9440000000000001","0"
"2017","14 point(s)","White","Main scheme applicant","Not main scheme application","2735","2605","0.9520000000000001","0"
"2018","14 point(s)","White","Main scheme applicant","Not main scheme application","2615","2485","0.9490000000000001","0"
"2019","14 point(s)","White","Main scheme applicant","Not main scheme application","2755","2650","0.962","0"
"2020","14 point(s)","White","Main scheme applicant","Not main scheme application","2975","2890","0.971","0"
"2021","14 point(s)","White","Main scheme applicant","Not main scheme application","1570","1500","0.9540000000000001","0"
