"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","Not main scheme applicant","Not main scheme application","75"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","North East","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","North East","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","Not main scheme applicant","Not main scheme application","10"
