"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North West","Main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","North West","Main scheme applicant","Not main scheme application","25"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","North West","Main scheme applicant","Not main scheme application","45"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","North West","Main scheme applicant","Not main scheme application","50"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","North West","Main scheme applicant","Not main scheme application","30"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","North West","Main scheme applicant","Not main scheme application","45"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","North West","Main scheme applicant","Not main scheme application","35"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North West","Main scheme applicant","Not main scheme application","60"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North West","Main scheme applicant","Not main scheme application","25"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North West","Main scheme applicant","Not main scheme application","20"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North West","Main scheme applicant","Not main scheme application","20"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","North West","Main scheme applicant","Not main scheme application","10"
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","North West","Main scheme applicant","Not main scheme application","15"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North West","Main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North West","Main scheme applicant","Not main scheme application","55"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North West","Main scheme applicant","Not main scheme application","55"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North West","Main scheme applicant","Not main scheme application","30"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North West","Main scheme applicant","Not main scheme application","55"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North West","Main scheme applicant","Not main scheme application","55"
"2019","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North West","Main scheme applicant","Not main scheme application","30"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North West","Main scheme applicant","Not main scheme application","20"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North West","Main scheme applicant","Not main scheme application","15"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North West","Main scheme applicant","Not main scheme application","25"
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","North West","Main scheme applicant","Not main scheme application","70"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","North West","Main scheme applicant","Not main scheme application","55"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","North West","Main scheme applicant","Not main scheme application","50"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","North West","Main scheme applicant","Not main scheme application","65"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","North West","Main scheme applicant","Not main scheme application","70"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North West","Main scheme applicant","Not main scheme application","90"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North West","Main scheme applicant","Not main scheme application","115"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North West","Main scheme applicant","Not main scheme application","70"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North West","Main scheme applicant","Not main scheme application","105"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North West","Main scheme applicant","Not main scheme application","115"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","North West","Main scheme applicant","Not main scheme application","190"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","North West","Main scheme applicant","Not main scheme application","205"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","North West","Main scheme applicant","Not main scheme application","120"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","North West","Main scheme applicant","Not main scheme application","190"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","North West","Main scheme applicant","Not main scheme application","195"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North West","Main scheme applicant","Not main scheme application","50"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North West","Main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North West","Main scheme applicant","Not main scheme application","40"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North West","Main scheme applicant","Not main scheme application","40"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North West","Main scheme applicant","Not main scheme application","25"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","North West","Main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","North West","Main scheme applicant","Not main scheme application","20"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","North West","Main scheme applicant","Not main scheme application","20"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","North West","Main scheme applicant","Not main scheme application","45"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","North West","Main scheme applicant","Not main scheme application","60"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","North West","Main scheme applicant","Not main scheme application","40"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","North West","Main scheme applicant","Not main scheme application","55"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","North West","Main scheme applicant","Not main scheme application","45"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","North West","Main scheme applicant","Not main scheme application","130"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","North West","Main scheme applicant","Not main scheme application","115"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","North West","Main scheme applicant","Not main scheme application","125"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","North West","Main scheme applicant","Not main scheme application","160"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","North West","Main scheme applicant","Not main scheme application","175"
"2019","(CAH17) business and management","(CAH17-01-07) finance","North West","Main scheme applicant","Not main scheme application","90"
"2020","(CAH17) business and management","(CAH17-01-07) finance","North West","Main scheme applicant","Not main scheme application","110"
"2021","(CAH17) business and management","(CAH17-01-07) finance","North West","Main scheme applicant","Not main scheme application","95"
"2022","(CAH17) business and management","(CAH17-01-07) finance","North West","Main scheme applicant","Not main scheme application","115"
"2023","(CAH17) business and management","(CAH17-01-07) finance","North West","Main scheme applicant","Not main scheme application","100"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","North West","Main scheme applicant","Not main scheme application","105"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","North West","Main scheme applicant","Not main scheme application","105"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","North West","Main scheme applicant","Not main scheme application","80"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","North West","Main scheme applicant","Not main scheme application","80"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","North West","Main scheme applicant","Not main scheme application","100"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","North West","Main scheme applicant","Not main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","North West","Main scheme applicant","Not main scheme application","110"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","North West","Main scheme applicant","Not main scheme application","165"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","North West","Main scheme applicant","Not main scheme application","70"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","North West","Main scheme applicant","Not main scheme application","110"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","North West","Main scheme applicant","Not main scheme application","105"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North West","Main scheme applicant","Not main scheme application","45"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North West","Main scheme applicant","Not main scheme application","30"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North West","Main scheme applicant","Not main scheme application","35"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North West","Main scheme applicant","Not main scheme application","40"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","North West","Main scheme applicant","Not main scheme application","40"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","North West","Main scheme applicant","Not main scheme application","45"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","North West","Main scheme applicant","Not main scheme application","50"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","North West","Main scheme applicant","Not main scheme application","45"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","North West","Main scheme applicant","Not main scheme application","45"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","25"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","North West","Main scheme applicant","Not main scheme application","90"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","North West","Main scheme applicant","Not main scheme application","60"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","North West","Main scheme applicant","Not main scheme application","80"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","North West","Main scheme applicant","Not main scheme application","85"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","North West","Main scheme applicant","Not main scheme application","50"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","North West","Main scheme applicant","Not main scheme application","15"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","North West","Main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","North West","Main scheme applicant","Not main scheme application","245"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","North West","Main scheme applicant","Not main scheme application","200"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","North West","Main scheme applicant","Not main scheme application","180"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","North West","Main scheme applicant","Not main scheme application","215"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","North West","Main scheme applicant","Not main scheme application","230"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","North West","Main scheme applicant","Not main scheme application","155"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","North West","Main scheme applicant","Not main scheme application","110"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","North West","Main scheme applicant","Not main scheme application","135"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","North West","Main scheme applicant","Not main scheme application","185"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","North West","Main scheme applicant","Not main scheme application","165"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","North West","Main scheme applicant","Not main scheme application","25"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","North West","Main scheme applicant","Not main scheme application","20"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","North West","Main scheme applicant","Not main scheme application","10"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","North West","Main scheme applicant","Not main scheme application","35"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","North West","Main scheme applicant","Not main scheme application","25"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","North West","Main scheme applicant","Not main scheme application","35"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","North West","Main scheme applicant","Not main scheme application","45"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","North West","Main scheme applicant","Not main scheme application","55"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","North West","Main scheme applicant","Not main scheme application","40"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","North West","Main scheme applicant","Not main scheme application","20"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","North West","Main scheme applicant","Not main scheme application","30"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","North West","Main scheme applicant","Not main scheme application","35"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","North West","Main scheme applicant","Not main scheme application","80"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","North West","Main scheme applicant","Not main scheme application","55"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","North West","Main scheme applicant","Not main scheme application","65"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","North West","Main scheme applicant","Not main scheme application","55"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","North West","Main scheme applicant","Not main scheme application","60"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","North West","Main scheme applicant","Not main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","North West","Main scheme applicant","Not main scheme application","15"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","North West","Main scheme applicant","Not main scheme application","25"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","North West","Main scheme applicant","Not main scheme application","20"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","North West","Main scheme applicant","Not main scheme application","25"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","North West","Main scheme applicant","Not main scheme application","20"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","North West","Main scheme applicant","Not main scheme application","20"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","North West","Main scheme applicant","Not main scheme application","20"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","North West","Main scheme applicant","Not main scheme application","40"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","North West","Main scheme applicant","Not main scheme application","50"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","North West","Main scheme applicant","Not main scheme application","40"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","North West","Main scheme applicant","Not main scheme application","45"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","North West","Main scheme applicant","Not main scheme application","40"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","North West","Main scheme applicant","Not main scheme application","45"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","North West","Main scheme applicant","Not main scheme application","35"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","North West","Main scheme applicant","Not main scheme application","45"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","North West","Main scheme applicant","Not main scheme application","50"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","North West","Main scheme applicant","Not main scheme application","40"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","North West","Main scheme applicant","Not main scheme application","10"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","North West","Main scheme applicant","Not main scheme application","5"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","North West","Main scheme applicant","Not main scheme application","5"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","North West","Main scheme applicant","Not main scheme application","5"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","North West","Main scheme applicant","Not main scheme application","20"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","North West","Main scheme applicant","Not main scheme application","40"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","North West","Main scheme applicant","Not main scheme application","20"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","North West","Main scheme applicant","Not main scheme application","40"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","North West","Main scheme applicant","Not main scheme application","40"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","North West","Main scheme applicant","Not main scheme application","140"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","North West","Main scheme applicant","Not main scheme application","215"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","North West","Main scheme applicant","Not main scheme application","135"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","North West","Main scheme applicant","Not main scheme application","190"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","North West","Main scheme applicant","Not main scheme application","185"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","10"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","10"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","North West","Main scheme applicant","Not main scheme application","120"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","North West","Main scheme applicant","Not main scheme application","90"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","North West","Main scheme applicant","Not main scheme application","55"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","North West","Main scheme applicant","Not main scheme application","95"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","North West","Main scheme applicant","Not main scheme application","90"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","North West","Main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","North West","Main scheme applicant","Not main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","North West","Main scheme applicant","Not main scheme application","10"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","North West","Main scheme applicant","Not main scheme application","15"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","North West","Main scheme applicant","Not main scheme application","10"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","North West","Main scheme applicant","Not main scheme application","15"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","North West","Main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","North West","Main scheme applicant","Not main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","North West","Main scheme applicant","Not main scheme application","10"
