"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2016","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2017","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2018","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.85"
"2019","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.969"
"2020","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.882"
"2021","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.8280000000000001"
"2022","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.893"
"2023","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","30","0.842"
"2006","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001"
"2007","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.97"
"2008","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","1"
"2009","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.921"
"2010","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.889"
"2011","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2012","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001"
"2013","Not deferred","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.893"
