"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","-1 points","Unknown or Prefer Not To Say","All","Not main scheme application","50","45","0.9590000000000001","0"
"2021","-1 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","35","0.917","0"
"2022","-1 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","20","0.808","0"
"2023","-1 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10","0.917","0"
"2010","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.929","0"
"2011","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.879","0"
"2012","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","20","0.9550000000000001","0"
"2013","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","20","0.9500000000000001","0"
"2014","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","0.966","0"
"2015","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","0.889","0"
"2016","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","35","0.902","0"
"2017","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","0.963","0"
"2018","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.833","0"
"2019","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","35","0.973","0"
