"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","0 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","0 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","0 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2020","0 points","White","Not main scheme applicant","Not main scheme application","100","100","1","25"
"2021","0 points","White","Not main scheme applicant","Not main scheme application","35","35","1","10"
"2022","0 points","White","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","0 points","White","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2012","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","1 points","White","Not main scheme applicant","Not main scheme application","35","35","0.973","10"
"2022","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","3 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-1 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2015","-1 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","White","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","5"
"2020","-1 points","White","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","15"
"2021","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2014","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","-2 points","White","Not main scheme applicant","Not main scheme application","25","25","1","10"
"2021","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","-2 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2017","-3 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2022","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","White","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2021","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-5 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","White","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","5"
"2011","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.909","15"
"2012","Less than -6 points","White","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","5"
"2013","Less than -6 points","White","Not main scheme applicant","Not main scheme application","35","35","0.971","5"
"2014","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2015","Less than -6 points","White","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2016","Less than -6 points","White","Not main scheme applicant","Not main scheme application","30","30","0.933","0"
"2017","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.864","0"
"2018","Less than -6 points","White","Not main scheme applicant","Not main scheme application","30","30","0.966","5"
"2019","Less than -6 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","Less than -6 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","0 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-1 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Asian","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","0 points","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Asian","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2018","-3 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-4 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-5 points","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-5 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","White","Main scheme applicant","Not main scheme application","1170","1025","0.877","0"
"2011","0 points","White","Main scheme applicant","Not main scheme application","1255","1105","0.881","0"
"2012","0 points","White","Main scheme applicant","Not main scheme application","1150","1030","0.896","0"
"2013","0 points","White","Main scheme applicant","Not main scheme application","1000","920","0.918","0"
"2014","0 points","White","Main scheme applicant","Not main scheme application","885","810","0.915","0"
"2015","0 points","White","Main scheme applicant","Not main scheme application","880","820","0.932","0"
"2016","0 points","White","Main scheme applicant","Not main scheme application","905","830","0.919","0"
"2017","0 points","White","Main scheme applicant","Not main scheme application","900","855","0.9500000000000001","0"
"2018","0 points","White","Main scheme applicant","Not main scheme application","830","780","0.935","0"
"2019","0 points","White","Main scheme applicant","Not main scheme application","775","740","0.9560000000000001","0"
"2020","0 points","White","Main scheme applicant","Not main scheme application","3180","3095","0.973","0"
"2021","0 points","White","Main scheme applicant","Not main scheme application","1405","1295","0.922","0"
"2022","0 points","White","Main scheme applicant","Not main scheme application","1220","1105","0.903","0"
"2023","0 points","White","Main scheme applicant","Not main scheme application","590","530","0.905","0"
"2010","1 points","White","Main scheme applicant","Not main scheme application","440","385","0.868","0"
"2011","1 points","White","Main scheme applicant","Not main scheme application","500","435","0.872","0"
"2012","1 points","White","Main scheme applicant","Not main scheme application","545","495","0.91","0"
"2013","1 points","White","Main scheme applicant","Not main scheme application","460","430","0.9390000000000001","0"
"2014","1 points","White","Main scheme applicant","Not main scheme application","430","400","0.93","0"
"2015","1 points","White","Main scheme applicant","Not main scheme application","390","375","0.9520000000000001","0"
"2016","1 points","White","Main scheme applicant","Not main scheme application","335","305","0.908","0"
"2017","1 points","White","Main scheme applicant","Not main scheme application","425","390","0.925","0"
"2018","1 points","White","Main scheme applicant","Not main scheme application","365","345","0.9450000000000001","0"
"2019","1 points","White","Main scheme applicant","Not main scheme application","295","280","0.9460000000000001","0"
"2020","1 points","White","Main scheme applicant","Not main scheme application","1240","1195","0.966","0"
"2021","1 points","White","Main scheme applicant","Not main scheme application","880","810","0.92","0"
"2022","1 points","White","Main scheme applicant","Not main scheme application","665","600","0.901","0"
"2023","1 points","White","Main scheme applicant","Not main scheme application","250","235","0.9480000000000001","0"
"2010","2 points","White","Main scheme applicant","Not main scheme application","165","145","0.884","0"
"2011","2 points","White","Main scheme applicant","Not main scheme application","190","165","0.868","0"
"2012","2 points","White","Main scheme applicant","Not main scheme application","210","205","0.9580000000000001","0"
"2013","2 points","White","Main scheme applicant","Not main scheme application","185","180","0.968","0"
"2014","2 points","White","Main scheme applicant","Not main scheme application","165","150","0.91","0"
"2015","2 points","White","Main scheme applicant","Not main scheme application","175","165","0.96","0"
"2016","2 points","White","Main scheme applicant","Not main scheme application","150","140","0.9530000000000001","0"
"2017","2 points","White","Main scheme applicant","Not main scheme application","185","180","0.9570000000000001","0"
"2018","2 points","White","Main scheme applicant","Not main scheme application","205","200","0.9570000000000001","0"
"2019","2 points","White","Main scheme applicant","Not main scheme application","175","170","0.96","0"
"2020","2 points","White","Main scheme applicant","Not main scheme application","330","315","0.9550000000000001","0"
"2021","2 points","White","Main scheme applicant","Not main scheme application","405","365","0.899","0"
"2022","2 points","White","Main scheme applicant","Not main scheme application","300","265","0.874","0"
"2023","2 points","White","Main scheme applicant","Not main scheme application","105","95","0.915","0"
"2010","3 points","White","Main scheme applicant","Not main scheme application","55","45","0.852","0"
"2011","3 points","White","Main scheme applicant","Not main scheme application","60","55","0.933","0"
"2012","3 points","White","Main scheme applicant","Not main scheme application","70","60","0.897","0"
"2013","3 points","White","Main scheme applicant","Not main scheme application","60","55","0.934","0"
"2014","3 points","White","Main scheme applicant","Not main scheme application","50","45","0.9390000000000001","0"
"2015","3 points","White","Main scheme applicant","Not main scheme application","55","55","0.964","0"
"2016","3 points","White","Main scheme applicant","Not main scheme application","55","55","0.982","0"
"2017","3 points","White","Main scheme applicant","Not main scheme application","85","80","0.976","0"
"2018","3 points","White","Main scheme applicant","Not main scheme application","90","85","0.9430000000000001","0"
"2019","3 points","White","Main scheme applicant","Not main scheme application","70","65","0.926","0"
"2020","3 points","White","Main scheme applicant","Not main scheme application","75","70","0.973","0"
"2021","3 points","White","Main scheme applicant","Not main scheme application","150","140","0.928","0"
"2022","3 points","White","Main scheme applicant","Not main scheme application","110","100","0.9","0"
"2023","3 points","White","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2010","More than 3 points","White","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2011","More than 3 points","White","Main scheme applicant","Not main scheme application","25","25","1","0"
"2012","More than 3 points","White","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2013","More than 3 points","White","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2014","More than 3 points","White","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2015","More than 3 points","White","Main scheme applicant","Not main scheme application","30","30","0.969","0"
"2016","More than 3 points","White","Main scheme applicant","Not main scheme application","25","25","0.962","0"
"2017","More than 3 points","White","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2018","More than 3 points","White","Main scheme applicant","Not main scheme application","35","30","0.9410000000000001","0"
"2019","More than 3 points","White","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2020","More than 3 points","White","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","More than 3 points","White","Main scheme applicant","Not main scheme application","55","50","0.906","0"
"2022","More than 3 points","White","Main scheme applicant","Not main scheme application","80","80","0.963","0"
"2023","More than 3 points","White","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2010","-1 points","White","Main scheme applicant","Not main scheme application","2120","1895","0.894","0"
"2011","-1 points","White","Main scheme applicant","Not main scheme application","2390","2135","0.892","0"
"2012","-1 points","White","Main scheme applicant","Not main scheme application","2000","1835","0.919","0"
"2013","-1 points","White","Main scheme applicant","Not main scheme application","1765","1615","0.916","0"
"2014","-1 points","White","Main scheme applicant","Not main scheme application","1715","1605","0.9380000000000001","0"
"2015","-1 points","White","Main scheme applicant","Not main scheme application","1755","1630","0.929","0"
"2016","-1 points","White","Main scheme applicant","Not main scheme application","1750","1625","0.928","0"
"2017","-1 points","White","Main scheme applicant","Not main scheme application","1795","1705","0.9500000000000001","0"
"2018","-1 points","White","Main scheme applicant","Not main scheme application","1525","1435","0.9400000000000001","0"
"2019","-1 points","White","Main scheme applicant","Not main scheme application","1365","1290","0.9440000000000001","0"
"2020","-1 points","White","Main scheme applicant","Not main scheme application","3810","3680","0.966","0"
"2021","-1 points","White","Main scheme applicant","Not main scheme application","1855","1740","0.937","0"
"2022","-1 points","White","Main scheme applicant","Not main scheme application","1740","1610","0.924","0"
"2023","-1 points","White","Main scheme applicant","Not main scheme application","1175","1100","0.9380000000000001","0"
"2010","-2 points","White","Main scheme applicant","Not main scheme application","2825","2545","0.9","0"
"2011","-2 points","White","Main scheme applicant","Not main scheme application","3410","3100","0.909","0"
"2012","-2 points","White","Main scheme applicant","Not main scheme application","2890","2665","0.923","0"
"2013","-2 points","White","Main scheme applicant","Not main scheme application","2605","2420","0.929","0"
"2014","-2 points","White","Main scheme applicant","Not main scheme application","2770","2575","0.931","0"
"2015","-2 points","White","Main scheme applicant","Not main scheme application","2685","2515","0.937","0"
"2016","-2 points","White","Main scheme applicant","Not main scheme application","2890","2700","0.934","0"
"2017","-2 points","White","Main scheme applicant","Not main scheme application","2690","2530","0.9400000000000001","0"
"2018","-2 points","White","Main scheme applicant","Not main scheme application","2275","2160","0.9490000000000001","0"
"2019","-2 points","White","Main scheme applicant","Not main scheme application","2340","2220","0.9490000000000001","0"
"2020","-2 points","White","Main scheme applicant","Not main scheme application","3340","3240","0.97","0"
"2021","-2 points","White","Main scheme applicant","Not main scheme application","1790","1700","0.9500000000000001","0"
"2022","-2 points","White","Main scheme applicant","Not main scheme application","2225","2085","0.9380000000000001","0"
"2023","-2 points","White","Main scheme applicant","Not main scheme application","1755","1635","0.933","0"
"2010","-3 points","White","Main scheme applicant","Not main scheme application","2415","2175","0.901","0"
"2011","-3 points","White","Main scheme applicant","Not main scheme application","3105","2785","0.897","0"
"2012","-3 points","White","Main scheme applicant","Not main scheme application","2750","2555","0.929","0"
"2013","-3 points","White","Main scheme applicant","Not main scheme application","2600","2445","0.9410000000000001","0"
"2014","-3 points","White","Main scheme applicant","Not main scheme application","3005","2780","0.925","0"
"2015","-3 points","White","Main scheme applicant","Not main scheme application","3030","2855","0.9420000000000001","0"
"2016","-3 points","White","Main scheme applicant","Not main scheme application","3180","2980","0.937","0"
"2017","-3 points","White","Main scheme applicant","Not main scheme application","2985","2815","0.9440000000000001","0"
"2018","-3 points","White","Main scheme applicant","Not main scheme application","2705","2575","0.9530000000000001","0"
"2019","-3 points","White","Main scheme applicant","Not main scheme application","2840","2715","0.9550000000000001","0"
"2020","-3 points","White","Main scheme applicant","Not main scheme application","2165","2090","0.964","0"
"2021","-3 points","White","Main scheme applicant","Not main scheme application","1340","1280","0.9580000000000001","0"
"2022","-3 points","White","Main scheme applicant","Not main scheme application","2300","2170","0.9430000000000001","0"
"2023","-3 points","White","Main scheme applicant","Not main scheme application","2470","2340","0.9470000000000001","0"
"2010","-4 points","White","Main scheme applicant","Not main scheme application","1515","1360","0.896","0"
"2011","-4 points","White","Main scheme applicant","Not main scheme application","1960","1730","0.884","0"
"2012","-4 points","White","Main scheme applicant","Not main scheme application","1760","1620","0.92","0"
"2013","-4 points","White","Main scheme applicant","Not main scheme application","1890","1735","0.918","0"
"2014","-4 points","White","Main scheme applicant","Not main scheme application","2240","2105","0.9400000000000001","0"
"2015","-4 points","White","Main scheme applicant","Not main scheme application","2320","2160","0.932","0"
"2016","-4 points","White","Main scheme applicant","Not main scheme application","2410","2275","0.9420000000000001","0"
"2017","-4 points","White","Main scheme applicant","Not main scheme application","2505","2340","0.935","0"
"2018","-4 points","White","Main scheme applicant","Not main scheme application","2345","2225","0.9500000000000001","0"
"2019","-4 points","White","Main scheme applicant","Not main scheme application","2655","2550","0.96","0"
"2020","-4 points","White","Main scheme applicant","Not main scheme application","1055","1010","0.9560000000000001","0"
"2021","-4 points","White","Main scheme applicant","Not main scheme application","775","740","0.9560000000000001","0"
"2022","-4 points","White","Main scheme applicant","Not main scheme application","1780","1675","0.9400000000000001","0"
"2023","-4 points","White","Main scheme applicant","Not main scheme application","2440","2315","0.9500000000000001","0"
"2010","-5 points","White","Main scheme applicant","Not main scheme application","810","705","0.868","0"
"2011","-5 points","White","Main scheme applicant","Not main scheme application","965","845","0.873","0"
"2012","-5 points","White","Main scheme applicant","Not main scheme application","925","830","0.896","0"
"2013","-5 points","White","Main scheme applicant","Not main scheme application","955","875","0.914","0"
"2014","-5 points","White","Main scheme applicant","Not main scheme application","1255","1160","0.927","0"
"2015","-5 points","White","Main scheme applicant","Not main scheme application","1240","1155","0.931","0"
"2016","-5 points","White","Main scheme applicant","Not main scheme application","1400","1295","0.926","0"
"2017","-5 points","White","Main scheme applicant","Not main scheme application","1590","1500","0.9430000000000001","0"
"2018","-5 points","White","Main scheme applicant","Not main scheme application","1630","1550","0.9510000000000001","0"
"2019","-5 points","White","Main scheme applicant","Not main scheme application","1965","1880","0.9580000000000001","0"
"2020","-5 points","White","Main scheme applicant","Not main scheme application","500","480","0.9560000000000001","0"
"2021","-5 points","White","Main scheme applicant","Not main scheme application","405","380","0.9450000000000001","0"
"2022","-5 points","White","Main scheme applicant","Not main scheme application","1150","1085","0.9460000000000001","0"
"2023","-5 points","White","Main scheme applicant","Not main scheme application","1975","1870","0.9460000000000001","0"
"2010","-6 points","White","Main scheme applicant","Not main scheme application","330","285","0.858","0"
"2011","-6 points","White","Main scheme applicant","Not main scheme application","385","330","0.85","0"
"2012","-6 points","White","Main scheme applicant","Not main scheme application","380","345","0.906","0"
"2013","-6 points","White","Main scheme applicant","Not main scheme application","410","380","0.92","0"
"2014","-6 points","White","Main scheme applicant","Not main scheme application","570","510","0.9","0"
"2015","-6 points","White","Main scheme applicant","Not main scheme application","610","565","0.92","0"
"2016","-6 points","White","Main scheme applicant","Not main scheme application","645","585","0.908","0"
"2017","-6 points","White","Main scheme applicant","Not main scheme application","850","805","0.9420000000000001","0"
"2018","-6 points","White","Main scheme applicant","Not main scheme application","890","845","0.9520000000000001","0"
"2019","-6 points","White","Main scheme applicant","Not main scheme application","1195","1135","0.9520000000000001","0"
"2020","-6 points","White","Main scheme applicant","Not main scheme application","185","175","0.935","0"
"2021","-6 points","White","Main scheme applicant","Not main scheme application","165","160","0.97","0"
"2022","-6 points","White","Main scheme applicant","Not main scheme application","675","625","0.925","0"
"2023","-6 points","White","Main scheme applicant","Not main scheme application","1410","1330","0.9410000000000001","0"
"2010","Less than -6 points","White","Main scheme applicant","Not main scheme application","195","150","0.776","0"
"2011","Less than -6 points","White","Main scheme applicant","Not main scheme application","240","195","0.804","0"
"2012","Less than -6 points","White","Main scheme applicant","Not main scheme application","250","220","0.884","0"
"2013","Less than -6 points","White","Main scheme applicant","Not main scheme application","285","245","0.869","0"
"2014","Less than -6 points","White","Main scheme applicant","Not main scheme application","430","375","0.873","0"
"2015","Less than -6 points","White","Main scheme applicant","Not main scheme application","430","390","0.909","0"
"2016","Less than -6 points","White","Main scheme applicant","Not main scheme application","525","475","0.906","0"
"2017","Less than -6 points","White","Main scheme applicant","Not main scheme application","695","630","0.906","0"
"2018","Less than -6 points","White","Main scheme applicant","Not main scheme application","840","785","0.931","0"
"2019","Less than -6 points","White","Main scheme applicant","Not main scheme application","1215","1120","0.923","0"
"2020","Less than -6 points","White","Main scheme applicant","Not main scheme application","130","115","0.899","0"
"2021","Less than -6 points","White","Main scheme applicant","Not main scheme application","150","140","0.927","0"
"2022","Less than -6 points","White","Main scheme applicant","Not main scheme application","755","675","0.899","0"
"2023","Less than -6 points","White","Main scheme applicant","Not main scheme application","1480","1370","0.924","0"
"2010","0 points","Black","Main scheme applicant","Not main scheme application","115","100","0.871","0"
"2011","0 points","Black","Main scheme applicant","Not main scheme application","135","120","0.896","0"
"2012","0 points","Black","Main scheme applicant","Not main scheme application","105","105","0.972","0"
"2013","0 points","Black","Main scheme applicant","Not main scheme application","110","110","0.964","0"
"2014","0 points","Black","Main scheme applicant","Not main scheme application","100","95","0.921","0"
"2015","0 points","Black","Main scheme applicant","Not main scheme application","80","75","0.924","0"
"2016","0 points","Black","Main scheme applicant","Not main scheme application","115","105","0.929","0"
"2017","0 points","Black","Main scheme applicant","Not main scheme application","115","110","0.9570000000000001","0"
"2018","0 points","Black","Main scheme applicant","Not main scheme application","105","100","0.961","0"
"2019","0 points","Black","Main scheme applicant","Not main scheme application","100","100","0.961","0"
"2020","0 points","Black","Main scheme applicant","Not main scheme application","360","350","0.967","0"
"2021","0 points","Black","Main scheme applicant","Not main scheme application","250","235","0.925","0"
"2022","0 points","Black","Main scheme applicant","Not main scheme application","205","190","0.917","0"
"2023","0 points","Black","Main scheme applicant","Not main scheme application","110","105","0.9380000000000001","0"
"2010","1 points","Black","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2011","1 points","Black","Main scheme applicant","Not main scheme application","50","45","0.917","0"
"2012","1 points","Black","Main scheme applicant","Not main scheme application","55","55","0.93","0"
"2013","1 points","Black","Main scheme applicant","Not main scheme application","50","45","0.9","0"
"2014","1 points","Black","Main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2015","1 points","Black","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2016","1 points","Black","Main scheme applicant","Not main scheme application","45","45","0.977","0"
"2017","1 points","Black","Main scheme applicant","Not main scheme application","55","50","0.927","0"
