"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15"
"2021","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15"
"2023","RPA","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","15"
"2023","Direct Clearing","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","20"
"2022","RPA","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Extra","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2020","Extra","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2021","Extra","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2023","Extra","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2019","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","20"
"2020","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","25"
"2022","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2023","Main scheme Clearing","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2019","Extra","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Extra","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2023","Extra","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2021","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2022","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2019","Extra","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2022","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Extra","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Extra","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2021","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2022","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2022","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5"
"2020","Extra","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2022","Extra","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2023","Extra","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2021","Extra","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2020","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10"
"2023","Main scheme firm choice","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5"
"2019","Other main scheme choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","20"
"2020","Main scheme firm choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","15"
"2021","Main scheme firm choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","20"
"2022","Main scheme firm choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","50"
"2023","Main scheme firm choice","21 - 24","England","Female","Main scheme applicant","Main scheme application","35"
"2019","Main scheme firm choice","25 - 29","England","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","25 - 29","England","Female","Main scheme applicant","Main scheme application","15"
"2021","Main scheme firm choice","25 - 29","England","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","25 - 29","England","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","25 - 29","England","Female","Main scheme applicant","Main scheme application","10"
"2019","Main scheme firm choice","30 - 34","England","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","30 - 34","England","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","30 - 34","England","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2019","Other main scheme choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2020","Other main scheme choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","20"
"2021","Other main scheme choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2023","Other main scheme choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2019","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","610"
"2020","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","675"
"2021","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","670"
"2022","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","600"
"2023","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","545"
"2020","Main scheme insurance choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2019","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2020","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2021","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2023","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2019","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","505"
"2020","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","465"
"2021","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","525"
"2022","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","410"
"2023","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","285"
"2019","Other main scheme choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2020","Other main scheme choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2022","Other main scheme choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2023","Other main scheme choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","180"
"2020","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","225"
"2021","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","185"
"2022","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","160"
"2023","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","140"
"2019","Other main scheme choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2020","Other main scheme choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","20"
"2021","Other main scheme choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2022","Other main scheme choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2023","Other main scheme choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","20"
"2019","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","305"
"2020","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","365"
"2021","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","325"
"2022","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","285"
"2023","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","260"
"2022","Other main scheme choice","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","20"
"2023","Other main scheme choice","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","20"
"2022","Main scheme firm choice","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","335"
"2023","Main scheme firm choice","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","280"
"2022","Other main scheme choice","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","100"
"2023","Main scheme firm choice","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","85"
"2022","Other main scheme choice","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","40"
"2023","Main scheme firm choice","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","30"
"2022","Other main scheme choice","35 and over","Wales","Female","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","35 and over","Wales","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","35 and over","Wales","Female","Main scheme applicant","Main scheme application","45"
"2023","Main scheme firm choice","35 and over","Wales","Female","Main scheme applicant","Main scheme application","30"
"2019","Main scheme firm choice","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","35"
"2020","Main scheme firm choice","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","50"
"2021","Main scheme firm choice","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15"
"2019","Main scheme firm choice","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","15"
"2020","Main scheme firm choice","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","20"
"2021","Main scheme firm choice","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","10"
"2023","Main scheme firm choice","25 - 29","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","30 - 34","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","21 - 24","Northern Ireland","Male","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","25 - 29","Northern Ireland","Male","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","25 - 29","Northern Ireland","Male","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","England","Male","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","21 - 24","England","Male","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","21 - 24","England","Male","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","21 - 24","England","Male","Main scheme applicant","Main scheme application","10"
"2023","Main scheme firm choice","21 - 24","England","Male","Main scheme applicant","Main scheme application","15"
"2019","Main scheme firm choice","25 - 29","England","Male","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","25 - 29","England","Male","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","25 - 29","England","Male","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","25 - 29","England","Male","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","England","Male","Main scheme applicant","Main scheme application","5"
"2020","Main scheme firm choice","30 - 34","England","Male","Main scheme applicant","Main scheme application","5"
"2022","Main scheme firm choice","30 - 34","England","Male","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","30 - 34","England","Male","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","35 and over","England","Male","Main scheme applicant","Main scheme application","5"
"2019","Other main scheme choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2020","Other main scheme choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","20"
"2021","Other main scheme choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2022","Other main scheme choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2023","Other main scheme choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","180"
"2020","Main scheme firm choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","155"
"2021","Main scheme firm choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","190"
"2022","Main scheme firm choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","145"
"2023","Main scheme firm choice","21 - 24","Scotland","Male","Main scheme applicant","Main scheme application","150"
"2019","Other main scheme choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2020","Other main scheme choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","15"
"2021","Other main scheme choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2019","Main scheme firm choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","160"
"2020","Main scheme firm choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","190"
"2021","Main scheme firm choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","190"
"2022","Main scheme firm choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","165"
"2023","Main scheme firm choice","25 - 29","Scotland","Male","Main scheme applicant","Main scheme application","145"
"2019","Other main scheme choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2020","Other main scheme choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2021","Other main scheme choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2023","Other main scheme choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","85"
"2020","Main scheme firm choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","80"
"2021","Main scheme firm choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","90"
"2022","Main scheme firm choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","95"
"2023","Main scheme firm choice","30 - 34","Scotland","Male","Main scheme applicant","Main scheme application","55"
"2019","Other main scheme choice","35 and over","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2020","Other main scheme choice","35 and over","Scotland","Male","Main scheme applicant","Main scheme application","15"
"2021","Other main scheme choice","35 and over","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2022","Other main scheme choice","35 and over","Scotland","Male","Main scheme applicant","Main scheme application","10"
"2023","Other main scheme choice","35 and over","Scotland","Male","Main scheme applicant","Main scheme application","5"
