"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","13 point(s)","White","Main scheme applicant","Not main scheme application","125","115","0.906","0"
"2011","13 point(s)","White","Main scheme applicant","Not main scheme application","100","85","0.8220000000000001","0"
"2012","13 point(s)","White","Main scheme applicant","Not main scheme application","105","85","0.8290000000000001","0"
"2013","13 point(s)","White","Main scheme applicant","Not main scheme application","110","80","0.734","0"
"2014","13 point(s)","White","Main scheme applicant","Not main scheme application","100","70","0.686","0"
"2015","13 point(s)","White","Main scheme applicant","Not main scheme application","115","85","0.709","0"
"2016","13 point(s)","White","Main scheme applicant","Not main scheme application","100","75","0.758","0"
"2017","13 point(s)","White","Main scheme applicant","Not main scheme application","95","70","0.722","0"
"2018","13 point(s)","White","Main scheme applicant","Not main scheme application","75","55","0.73","0"
"2019","13 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.737","0"
"2020","13 point(s)","White","Main scheme applicant","Not main scheme application","90","80","0.88","0"
"2021","13 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.809","0"
"2022","13 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.731","0"
"2023","13 point(s)","White","Main scheme applicant","Not main scheme application","45","45","0.979","0"
"2010","14 point(s)","White","Main scheme applicant","Not main scheme application","100","90","0.863","0"
"2011","14 point(s)","White","Main scheme applicant","Not main scheme application","115","105","0.88","0"
"2012","14 point(s)","White","Main scheme applicant","Not main scheme application","120","100","0.8280000000000001","0"
"2013","14 point(s)","White","Main scheme applicant","Not main scheme application","105","80","0.781","0"
"2014","14 point(s)","White","Main scheme applicant","Not main scheme application","95","60","0.625","0"
"2015","14 point(s)","White","Main scheme applicant","Not main scheme application","120","80","0.639","0"
"2016","14 point(s)","White","Main scheme applicant","Not main scheme application","135","95","0.714","0"
"2017","14 point(s)","White","Main scheme applicant","Not main scheme application","115","85","0.724","0"
"2018","14 point(s)","White","Main scheme applicant","Not main scheme application","85","60","0.729","0"
"2019","14 point(s)","White","Main scheme applicant","Not main scheme application","95","70","0.722","0"
"2020","14 point(s)","White","Main scheme applicant","Not main scheme application","95","85","0.895","0"
"2021","14 point(s)","White","Main scheme applicant","Not main scheme application","60","50","0.8280000000000001","0"
"2022","14 point(s)","White","Main scheme applicant","Not main scheme application","65","50","0.766","0"
"2023","14 point(s)","White","Main scheme applicant","Not main scheme application","60","55","0.883","0"
"2010","15 point(s)","White","Main scheme applicant","Not main scheme application","75","65","0.867","0"
"2011","15 point(s)","White","Main scheme applicant","Not main scheme application","100","85","0.861","0"
"2012","15 point(s)","White","Main scheme applicant","Not main scheme application","100","85","0.847","0"
"2013","15 point(s)","White","Main scheme applicant","Not main scheme application","100","80","0.8280000000000001","0"
"2014","15 point(s)","White","Main scheme applicant","Not main scheme application","90","65","0.727","0"
"2015","15 point(s)","White","Main scheme applicant","Not main scheme application","115","90","0.783","0"
"2016","15 point(s)","White","Main scheme applicant","Not main scheme application","125","85","0.7020000000000001","0"
