"Year","Parent in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Parent has not served in UK armed forces","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","75","55","0.73","35"
"2023","Parent has not served in UK armed forces","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","60","45","0.763","15"
"2023","Parent has served in UK armed forces","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.926","5"
"2023","Parent has served in UK armed forces","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3360","3170","0.9440000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Parent has not served in UK armed forces","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","590","445","0.758","145"
"2023","Parent has not served in UK armed forces","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","75","50","0.653","15"
"2023","Parent has not served in UK armed forces","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","35","25","0.758","20"
"2023","Parent has served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","5"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8095","7650","0.9450000000000001","25"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","270","260","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","130","130","0.97","0"
"2023","Parent has not served in UK armed forces","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Parent has not served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1405","1050","0.747","560"
"2023","Parent has not served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","150","100","0.685","70"
"2023","Parent has not served in UK armed forces","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","80","60","0.759","20"
"2023","Parent has served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.731","10"
"2023","Parent has served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Parent has served in UK armed forces","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Parent has not served in UK armed forces","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.81","5"
"2023","Parent has not served in UK armed forces","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.935","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1185","1140","0.96","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Parent has not served in UK armed forces","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Parent has not served in UK armed forces","18","England","Male","Not main scheme applicant","Not main scheme application","1045","940","0.896","140"
"2023","Parent has not served in UK armed forces","18","Scotland","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","15"
"2023","Parent has not served in UK armed forces","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.911","10"
"2023","Parent has served in UK armed forces","18","England","Male","Not main scheme applicant","Not main scheme application","40","40","0.929","5"
"2023","Parent has served in UK armed forces","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1845","1765","0.9550000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","140","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.93","0"
"2023","Parent has not served in UK armed forces","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","55","50","0.925","5"
"2023","Parent has not served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","2250","2030","0.902","220"
"2023","Parent has not served in UK armed forces","19","Scotland","Male","Not main scheme applicant","Not main scheme application","80","70","0.885","20"
"2023","Parent has not served in UK armed forces","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","80","0.911","10"
"2023","Parent has served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","65","60","0.9380000000000001","5"
"2023","Parent has served in UK armed forces","19","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Parent has served in UK armed forces","19","Wales","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1510","1420","0.9430000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","70","0.986","0"
"2023","Parent has not served in UK armed forces","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.935","5"
"2023","Parent has not served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","1430","1265","0.884","180"
"2023","Parent has not served in UK armed forces","20","Scotland","Male","Not main scheme applicant","Not main scheme application","70","60","0.861","15"
"2023","Parent has not served in UK armed forces","20","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.927","10"
"2023","Parent has served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","5"
"2023","Parent has served in UK armed forces","20","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4215","3950","0.937","10"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.9550000000000001","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Parent has not served in UK armed forces","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","35","0.86","10"
"2023","Parent has not served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2020","1735","0.859","300"
"2023","Parent has not served in UK armed forces","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","125","110","0.865","30"
"2023","Parent has not served in UK armed forces","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","110","100","0.884","20"
"2023","Parent has served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","55","50","0.877","15"
"2023","Parent has served in UK armed forces","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has served in UK armed forces","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3640","3430","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Parent has not served in UK armed forces","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2023","Parent has not served in UK armed forces","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","560","460","0.8210000000000001","140"
"2023","Parent has not served in UK armed forces","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","60","55","0.934","25"
"2023","Parent has not served in UK armed forces","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","35","0.795","10"
"2023","Parent has served in UK armed forces","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.889","5"
"2023","Parent has served in UK armed forces","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3300","3105","0.9410000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","Parent has not served in UK armed forces","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","335","255","0.763","90"
"2023","Parent has not served in UK armed forces","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","35","25","0.706","10"
"2023","Parent has not served in UK armed forces","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","15","0.765","5"
"2023","Parent has served in UK armed forces","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7500","7065","0.9430000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.978","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","50","50","0.962","0"
"2023","Parent has not served in UK armed forces","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","35 and over","England","Male","Not main scheme applicant","Not main scheme application","660","490","0.744","240"
"2023","Parent has not served in UK armed forces","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","70","55","0.8","35"
"2023","Parent has not served in UK armed forces","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","40","30","0.8","10"
"2023","Parent has served in UK armed forces","35 and over","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.75","10"
"2023","Parent has served in UK armed forces","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","17 and under","England","Female","Main scheme applicant","Not main scheme application","65","45","0.712","0"
"2023","Parent has not served in UK armed forces","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","40","30","0.707","0"
