"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","85"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","125"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","185"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","140"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","135"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","105"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","115"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","110"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","Not main scheme applicant","Not main scheme application","85"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","Not main scheme applicant","Not main scheme application","250"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","Not main scheme applicant","Not main scheme application","325"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","Not main scheme applicant","Not main scheme application","220"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","Not main scheme applicant","Not main scheme application","190"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","Not main scheme applicant","Not main scheme application","195"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","Not main scheme applicant","Not main scheme application","115"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","Not main scheme applicant","Not main scheme application","210"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","Not main scheme applicant","Not main scheme application","110"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","Not main scheme applicant","Not main scheme application","115"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","Not main scheme applicant","Not main scheme application","170"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","Not main scheme applicant","Not main scheme application","205"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","Not main scheme applicant","Not main scheme application","260"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","Not main scheme applicant","Not main scheme application","195"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","Not main scheme applicant","Not main scheme application","175"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","Not main scheme applicant","Not main scheme application","300"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","Not main scheme applicant","Not main scheme application","340"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","Not main scheme applicant","Not main scheme application","230"
