"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","140"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","190"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","275"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","Not main scheme applicant","Not main scheme application","130"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","Not main scheme applicant","Not main scheme application","160"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","Not main scheme applicant","Not main scheme application","365"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","Not main scheme applicant","Not main scheme application","315"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","Not main scheme applicant","Not main scheme application","65"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","Not main scheme applicant","Not main scheme application","120"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","Not main scheme applicant","Not main scheme application","80"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Mixed","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Mixed","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Mixed","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Mixed","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Mixed","Not main scheme applicant","Not main scheme application","50"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","Not main scheme applicant","Not main scheme application","65"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","Not main scheme applicant","Not main scheme application","75"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","Not main scheme applicant","Not main scheme application","55"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","Not main scheme applicant","Not main scheme application","80"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","Not main scheme applicant","Not main scheme application","65"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","Not main scheme applicant","Not main scheme application","75"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","Not main scheme applicant","Not main scheme application","105"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","Not main scheme applicant","Not main scheme application","150"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Mixed","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Mixed","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Mixed","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","Mixed","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Mixed","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Mixed","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Mixed","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Mixed","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Mixed","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Mixed","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Mixed","Not main scheme applicant","Not main scheme application","80"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Mixed","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Mixed","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Mixed","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Mixed","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Mixed","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Mixed","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Mixed","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Mixed","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Mixed","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Mixed","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Mixed","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Mixed","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","75"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","80"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Mixed","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Mixed","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Mixed","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Mixed","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Mixed","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Mixed","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Mixed","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","Mixed","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","Mixed","Not main scheme applicant","Not main scheme application","50"
