"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2021","International","Not EU","China","19","Female","40","10","10"
"2022","International","Not EU","China","19","Female","20","0","0"
"2023","International","Not EU","China","19","Female","40","10","10"
"2020","International","Not EU","Hong Kong","19","Female","10","0","0"
"2021","International","Not EU","Hong Kong","19","Female","15","5","5"
"2022","International","Not EU","Hong Kong","19","Female","5","0","0"
"2023","International","Not EU","Hong Kong","19","Female","15","0","0"
"2020","International","Not EU","India","19","Female","10","0","0"
"2021","International","Not EU","India","19","Female","10","0","0"
"2022","International","Not EU","India","19","Female","15","0","0"
"2023","International","Not EU","India","19","Female","5","0","0"
"2020","International","Not EU","Indonesia","19","Female","5","0","0"
"2023","International","Not EU","Iran, Islamic Republic of","19","Female","5","0","0"
"2023","International","Not EU","Jamaica","19","Female","5","0","0"
"2020","International","Not EU","Kenya","19","Female","5","0","0"
"2023","International","Not EU","Kenya","19","Female","5","0","0"
"2020","International","Not EU","Korea, Republic of","19","Female","5","0","0"
"2020","International","Not EU","Malaysia","19","Female","15","0","0"
"2021","International","Not EU","Malaysia","19","Female","15","5","5"
"2022","International","Not EU","Malaysia","19","Female","5","0","0"
"2023","International","Not EU","Malaysia","19","Female","5","0","0"
"2020","International","Not EU","Oman","19","Female","5","0","0"
"2021","International","Not EU","Nigeria","19","Female","10","0","0"
"2022","International","Not EU","Nigeria","19","Female","10","0","0"
"2023","International","Not EU","Nigeria","19","Female","5","0","0"
"2021","International","Not EU","Norway","19","Female","5","0","0"
"2020","International","Not EU","Pakistan","19","Female","10","0","0"
"2021","International","Not EU","Pakistan","19","Female","10","0","0"
"2022","International","Not EU","Pakistan","19","Female","10","0","0"
