"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2014","Lower tariff","30 - 34","Northern Ireland","Male","220","125","0.5680000000000001"
"2015","Lower tariff","30 - 34","Northern Ireland","Male","255","160","0.62"
"2016","Lower tariff","30 - 34","Northern Ireland","Male","255","150","0.584"
"2017","Lower tariff","30 - 34","Northern Ireland","Male","200","120","0.6"
"2018","Lower tariff","30 - 34","Northern Ireland","Male","160","95","0.606"
"2019","Lower tariff","30 - 34","Northern Ireland","Male","155","110","0.723"
"2020","Lower tariff","30 - 34","Northern Ireland","Male","120","80","0.683"
"2021","Lower tariff","30 - 34","Northern Ireland","Male","185","105","0.562"
"2022","Lower tariff","30 - 34","Northern Ireland","Male","165","90","0.539"
"2023","Lower tariff","30 - 34","Northern Ireland","Male","125","70","0.5760000000000001"
"2006","Higher tariff","30 - 34","Northern Ireland","Male","30","10"," "
"2007","Higher tariff","30 - 34","Northern Ireland","Male","15","5"," "
"2008","Higher tariff","30 - 34","Northern Ireland","Male","25","5"," "
"2009","Higher tariff","30 - 34","Northern Ireland","Male","10","5"," "
"2010","Higher tariff","30 - 34","Northern Ireland","Male","20","5"," "
"2011","Higher tariff","30 - 34","Northern Ireland","Male","35","10","0.28600000000000003"
"2012","Higher tariff","30 - 34","Northern Ireland","Male","35","5"," "
"2013","Higher tariff","30 - 34","Northern Ireland","Male","45","5"," "
"2014","Higher tariff","30 - 34","Northern Ireland","Male","40","15","0.375"
"2015","Higher tariff","30 - 34","Northern Ireland","Male","50","15","0.28"
"2016","Higher tariff","30 - 34","Northern Ireland","Male","55","5"," "
"2017","Higher tariff","30 - 34","Northern Ireland","Male","25","5"," "
"2018","Higher tariff","30 - 34","Northern Ireland","Male","20","10","0.5"
"2019","Higher tariff","30 - 34","Northern Ireland","Male","20","5"," "
"2020","Higher tariff","30 - 34","Northern Ireland","Male","20","5"," "
"2021","Higher tariff","30 - 34","Northern Ireland","Male","35","10","0.28600000000000003"
