"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","Lower tariff","17 and under","Northern Ireland","Female","90","65","0.733"
"2007","Lower tariff","17 and under","Northern Ireland","Female","75","65","0.893"
"2008","Lower tariff","17 and under","Northern Ireland","Female","35","25","0.714"
"2009","Lower tariff","17 and under","Northern Ireland","Female","50","40","0.8"
"2010","Lower tariff","17 and under","Northern Ireland","Female","55","40","0.727"
"2011","Lower tariff","17 and under","Northern Ireland","Female","35","30","0.857"
"2012","Lower tariff","17 and under","Northern Ireland","Female","30","25","0.867"
"2013","Lower tariff","17 and under","Northern Ireland","Female","25","15","0.68"
"2014","Lower tariff","17 and under","Northern Ireland","Female","30","20","0.6"
"2015","Lower tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2016","Lower tariff","17 and under","Northern Ireland","Female","35","25","0.771"
"2017","Lower tariff","17 and under","Northern Ireland","Female","20","10","0.55"
"2018","Lower tariff","17 and under","Northern Ireland","Female","15","15","1"
"2019","Lower tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2020","Lower tariff","17 and under","Northern Ireland","Female","20","20","0.9"
"2021","Lower tariff","17 and under","Northern Ireland","Female","10","5"," "
"2022","Lower tariff","17 and under","Northern Ireland","Female","15","10"," "
"2023","Lower tariff","17 and under","Northern Ireland","Female","25","20","0.88"
"2006","Higher tariff","17 and under","Northern Ireland","Female","80","35","0.425"
"2007","Higher tariff","17 and under","Northern Ireland","Female","55","35","0.618"
"2008","Higher tariff","17 and under","Northern Ireland","Female","70","40","0.543"
"2009","Higher tariff","17 and under","Northern Ireland","Female","55","30","0.545"
"2010","Higher tariff","17 and under","Northern Ireland","Female","55","30","0.582"
"2011","Higher tariff","17 and under","Northern Ireland","Female","50","25","0.52"
"2012","Higher tariff","17 and under","Northern Ireland","Female","80","50","0.625"
"2013","Higher tariff","17 and under","Northern Ireland","Female","35","15","0.429"
"2014","Higher tariff","17 and under","Northern Ireland","Female","30","20","0.633"
"2015","Higher tariff","17 and under","Northern Ireland","Female","25","20","0.8"
"2016","Higher tariff","17 and under","Northern Ireland","Female","45","30","0.622"
"2017","Higher tariff","17 and under","Northern Ireland","Female","25","15","0.6"
"2018","Higher tariff","17 and under","Northern Ireland","Female","45","30","0.644"
"2019","Higher tariff","17 and under","Northern Ireland","Female","25","15","0.56"
"2020","Higher tariff","17 and under","Northern Ireland","Female","50","30","0.58"
"2021","Higher tariff","17 and under","Northern Ireland","Female","40","25","0.65"
"2022","Higher tariff","17 and under","Northern Ireland","Female","40","20","0.5"
"2023","Higher tariff","17 and under","Northern Ireland","Female","45","25","0.533"
"2006","Medium tariff","17 and under","Northern Ireland","Female","70","55","0.771"
"2007","Medium tariff","17 and under","Northern Ireland","Female","75","60","0.8270000000000001"
"2008","Medium tariff","17 and under","Northern Ireland","Female","40","30","0.7000000000000001"
"2009","Medium tariff","17 and under","Northern Ireland","Female","45","40","0.867"
"2010","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2011","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.857"
"2012","Medium tariff","17 and under","Northern Ireland","Female","45","35","0.8220000000000001"
"2013","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2014","Medium tariff","17 and under","Northern Ireland","Female","20","20","0.9"
"2015","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2016","Medium tariff","17 and under","Northern Ireland","Female","55","35","0.636"
"2017","Medium tariff","17 and under","Northern Ireland","Female","15","5"," "
"2018","Medium tariff","17 and under","Northern Ireland","Female","25","25","0.92"
"2019","Medium tariff","17 and under","Northern Ireland","Female","35","25","0.743"
"2020","Medium tariff","17 and under","Northern Ireland","Female","35","30","0.8"
"2021","Medium tariff","17 and under","Northern Ireland","Female","30","15","0.533"
"2022","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2023","Medium tariff","17 and under","Northern Ireland","Female","25","20","0.72"
"2006","Lower tariff","18","Northern Ireland","Female","17460","13400","0.767"
"2007","Lower tariff","18","Northern Ireland","Female","16835","13235","0.786"
"2008","Lower tariff","18","Northern Ireland","Female","14080","11420","0.811"
"2009","Lower tariff","18","Northern Ireland","Female","14585","11610","0.796"
"2010","Lower tariff","18","Northern Ireland","Female","14645","10815","0.738"
"2011","Lower tariff","18","Northern Ireland","Female","15285","10170","0.665"
"2012","Lower tariff","18","Northern Ireland","Female","15260","10545","0.6910000000000001"
"2013","Lower tariff","18","Northern Ireland","Female","13370","10250","0.767"
"2014","Lower tariff","18","Northern Ireland","Female","13435","10635","0.792"
"2015","Lower tariff","18","Northern Ireland","Female","14505","11380","0.785"
"2016","Lower tariff","18","Northern Ireland","Female","13870","10890","0.785"
"2017","Lower tariff","18","Northern Ireland","Female","13315","10425","0.783"
"2018","Lower tariff","18","Northern Ireland","Female","12690","10035","0.791"
"2019","Lower tariff","18","Northern Ireland","Female","12535","9895","0.789"
"2020","Lower tariff","18","Northern Ireland","Female","13000","10550","0.812"
"2021","Lower tariff","18","Northern Ireland","Female","13530","10800","0.798"
"2022","Lower tariff","18","Northern Ireland","Female","14165","11145","0.787"
"2023","Lower tariff","18","Northern Ireland","Female","15020","12255","0.8160000000000001"
"2006","Higher tariff","18","Northern Ireland","Female","7850","4360","0.556"
"2007","Higher tariff","18","Northern Ireland","Female","7630","4435","0.581"
"2008","Higher tariff","18","Northern Ireland","Female","6550","3885","0.593"
"2009","Higher tariff","18","Northern Ireland","Female","6645","3970","0.598"
"2010","Higher tariff","18","Northern Ireland","Female","7195","3790","0.527"
"2011","Higher tariff","18","Northern Ireland","Female","6770","3585","0.529"
"2012","Higher tariff","18","Northern Ireland","Female","6010","3415","0.5680000000000001"
"2013","Higher tariff","18","Northern Ireland","Female","6185","3705","0.599"
"2014","Higher tariff","18","Northern Ireland","Female","5750","3620","0.63"
"2015","Higher tariff","18","Northern Ireland","Female","5900","3860","0.655"
"2016","Higher tariff","18","Northern Ireland","Female","6340","4375","0.6900000000000001"
"2017","Higher tariff","18","Northern Ireland","Female","6460","4480","0.6940000000000001"
"2018","Higher tariff","18","Northern Ireland","Female","5905","4055","0.686"
"2019","Higher tariff","18","Northern Ireland","Female","5575","3730","0.669"
"2020","Higher tariff","18","Northern Ireland","Female","5750","3875","0.674"
"2021","Higher tariff","18","Northern Ireland","Female","6780","4210","0.621"
"2022","Higher tariff","18","Northern Ireland","Female","7605","4275","0.562"
"2023","Higher tariff","18","Northern Ireland","Female","6285","3900","0.62"
"2006","Medium tariff","18","Northern Ireland","Female","11950","9225","0.772"
"2007","Medium tariff","18","Northern Ireland","Female","11880","9205","0.775"
"2008","Medium tariff","18","Northern Ireland","Female","9745","7760","0.796"
"2009","Medium tariff","18","Northern Ireland","Female","10130","8115","0.801"
"2010","Medium tariff","18","Northern Ireland","Female","10580","7990","0.755"
"2011","Medium tariff","18","Northern Ireland","Female","10385","7455","0.718"
"2012","Medium tariff","18","Northern Ireland","Female","10810","7960","0.736"
"2013","Medium tariff","18","Northern Ireland","Female","11955","8295","0.6940000000000001"
"2014","Medium tariff","18","Northern Ireland","Female","11595","8310","0.717"
"2015","Medium tariff","18","Northern Ireland","Female","12450","8870","0.713"
"2016","Medium tariff","18","Northern Ireland","Female","12055","8605","0.714"
"2017","Medium tariff","18","Northern Ireland","Female","11780","8600","0.73"
"2018","Medium tariff","18","Northern Ireland","Female","11375","8455","0.743"
"2019","Medium tariff","18","Northern Ireland","Female","10945","8105","0.74"
"2020","Medium tariff","18","Northern Ireland","Female","11320","8445","0.746"
"2021","Medium tariff","18","Northern Ireland","Female","11815","8420","0.713"
"2022","Medium tariff","18","Northern Ireland","Female","12380","8705","0.7030000000000001"
"2023","Medium tariff","18","Northern Ireland","Female","12140","8960","0.738"
"2006","Lower tariff","19","Northern Ireland","Female","3125","1950","0.625"
"2007","Lower tariff","19","Northern Ireland","Female","3620","2355","0.65"
"2008","Lower tariff","19","Northern Ireland","Female","3005","2055","0.683"
"2009","Lower tariff","19","Northern Ireland","Female","2835","1935","0.683"
"2010","Lower tariff","19","Northern Ireland","Female","3305","2065","0.625"
"2011","Lower tariff","19","Northern Ireland","Female","4275","2475","0.579"
"2012","Lower tariff","19","Northern Ireland","Female","3930","2350","0.598"
"2013","Lower tariff","19","Northern Ireland","Female","3810","2545","0.667"
"2014","Lower tariff","19","Northern Ireland","Female","3965","2705","0.683"
"2015","Lower tariff","19","Northern Ireland","Female","3990","2870","0.72"
"2016","Lower tariff","19","Northern Ireland","Female","4690","3395","0.724"
"2017","Lower tariff","19","Northern Ireland","Female","4320","3095","0.717"
"2018","Lower tariff","19","Northern Ireland","Female","3960","2890","0.729"
"2019","Lower tariff","19","Northern Ireland","Female","4025","3060","0.76"
"2020","Lower tariff","19","Northern Ireland","Female","3645","2760","0.758"
"2021","Lower tariff","19","Northern Ireland","Female","3345","2345","0.7010000000000001"
"2022","Lower tariff","19","Northern Ireland","Female","2925","1970","0.674"
"2023","Lower tariff","19","Northern Ireland","Female","2840","2095","0.737"
"2006","Higher tariff","19","Northern Ireland","Female","735","305","0.41200000000000003"
"2007","Higher tariff","19","Northern Ireland","Female","1005","435","0.434"
"2008","Higher tariff","19","Northern Ireland","Female","865","425","0.491"
"2009","Higher tariff","19","Northern Ireland","Female","770","365","0.47100000000000003"
"2010","Higher tariff","19","Northern Ireland","Female","980","400","0.40800000000000003"
"2011","Higher tariff","19","Northern Ireland","Female","1270","460","0.361"
"2012","Higher tariff","19","Northern Ireland","Female","960","345","0.36"
"2013","Higher tariff","19","Northern Ireland","Female","990","430","0.433"
"2014","Higher tariff","19","Northern Ireland","Female","920","435","0.47400000000000003"
"2015","Higher tariff","19","Northern Ireland","Female","970","470","0.486"
"2016","Higher tariff","19","Northern Ireland","Female","1120","635","0.5670000000000001"
"2017","Higher tariff","19","Northern Ireland","Female","1160","675","0.582"
"2018","Higher tariff","19","Northern Ireland","Female","1055","590","0.561"
"2019","Higher tariff","19","Northern Ireland","Female","1035","575","0.554"
"2020","Higher tariff","19","Northern Ireland","Female","1035","640","0.619"
"2021","Higher tariff","19","Northern Ireland","Female","1065","585","0.547"
"2022","Higher tariff","19","Northern Ireland","Female","995","460","0.46"
"2023","Higher tariff","19","Northern Ireland","Female","1055","530","0.501"
"2006","Medium tariff","19","Northern Ireland","Female","1420","800","0.5630000000000001"
"2007","Medium tariff","19","Northern Ireland","Female","1805","1105","0.612"
"2008","Medium tariff","19","Northern Ireland","Female","1520","975","0.641"
"2009","Medium tariff","19","Northern Ireland","Female","1305","780","0.599"
"2010","Medium tariff","19","Northern Ireland","Female","1775","1040","0.586"
"2011","Medium tariff","19","Northern Ireland","Female","2160","1180","0.547"
"2012","Medium tariff","19","Northern Ireland","Female","1950","1115","0.5710000000000001"
"2013","Medium tariff","19","Northern Ireland","Female","2795","1355","0.485"
"2014","Medium tariff","19","Northern Ireland","Female","2700","1395","0.517"
"2015","Medium tariff","19","Northern Ireland","Female","2770","1560","0.5640000000000001"
"2016","Medium tariff","19","Northern Ireland","Female","3340","1920","0.5750000000000001"
"2017","Medium tariff","19","Northern Ireland","Female","3190","1870","0.587"
"2018","Medium tariff","19","Northern Ireland","Female","2975","1865","0.626"
"2019","Medium tariff","19","Northern Ireland","Female","3215","2015","0.627"
"2020","Medium tariff","19","Northern Ireland","Female","2740","1725","0.63"
"2021","Medium tariff","19","Northern Ireland","Female","2565","1380","0.539"
"2022","Medium tariff","19","Northern Ireland","Female","2375","1270","0.534"
"2023","Medium tariff","19","Northern Ireland","Female","2210","1225","0.555"
"2006","Lower tariff","20","Northern Ireland","Female","1305","740","0.5670000000000001"
"2007","Lower tariff","20","Northern Ireland","Female","1345","835","0.622"
"2008","Lower tariff","20","Northern Ireland","Female","1240","820","0.661"
"2009","Lower tariff","20","Northern Ireland","Female","1255","795","0.635"
"2010","Lower tariff","20","Northern Ireland","Female","1510","870","0.5750000000000001"
"2011","Lower tariff","20","Northern Ireland","Female","1785","915","0.513"
"2012","Lower tariff","20","Northern Ireland","Female","1865","1025","0.55"
"2013","Lower tariff","20","Northern Ireland","Female","1700","1080","0.635"
"2014","Lower tariff","20","Northern Ireland","Female","2065","1360","0.659"
"2015","Lower tariff","20","Northern Ireland","Female","1860","1230","0.662"
"2016","Lower tariff","20","Northern Ireland","Female","1805","1185","0.655"
"2017","Lower tariff","20","Northern Ireland","Female","1955","1305","0.668"
"2018","Lower tariff","20","Northern Ireland","Female","1935","1400","0.724"
"2019","Lower tariff","20","Northern Ireland","Female","1755","1280","0.73"
"2020","Lower tariff","20","Northern Ireland","Female","1635","1155","0.707"
"2021","Lower tariff","20","Northern Ireland","Female","1595","1130","0.708"
"2022","Lower tariff","20","Northern Ireland","Female","1300","845","0.649"
"2023","Lower tariff","20","Northern Ireland","Female","1145","800","0.6980000000000001"
"2006","Higher tariff","20","Northern Ireland","Female","160","45","0.294"
"2007","Higher tariff","20","Northern Ireland","Female","240","95","0.404"
"2008","Higher tariff","20","Northern Ireland","Female","235","80","0.34900000000000003"
"2009","Higher tariff","20","Northern Ireland","Female","220","90","0.418"
"2010","Higher tariff","20","Northern Ireland","Female","250","85","0.336"
"2011","Higher tariff","20","Northern Ireland","Female","255","65","0.263"
"2012","Higher tariff","20","Northern Ireland","Female","290","75","0.266"
"2013","Higher tariff","20","Northern Ireland","Female","210","60","0.276"
"2014","Higher tariff","20","Northern Ireland","Female","280","95","0.336"
"2015","Higher tariff","20","Northern Ireland","Female","250","80","0.324"
"2016","Higher tariff","20","Northern Ireland","Female","280","105","0.375"
"2017","Higher tariff","20","Northern Ireland","Female","240","95","0.404"
"2018","Higher tariff","20","Northern Ireland","Female","300","125","0.41000000000000003"
"2019","Higher tariff","20","Northern Ireland","Female","240","100","0.421"
"2020","Higher tariff","20","Northern Ireland","Female","225","100","0.453"
"2021","Higher tariff","20","Northern Ireland","Female","250","105","0.428"
"2022","Higher tariff","20","Northern Ireland","Female","240","80","0.325"
"2023","Higher tariff","20","Northern Ireland","Female","220","90","0.405"
"2006","Medium tariff","20","Northern Ireland","Female","515","235","0.456"
"2007","Medium tariff","20","Northern Ireland","Female","515","245","0.48"
"2008","Medium tariff","20","Northern Ireland","Female","555","305","0.553"
"2009","Medium tariff","20","Northern Ireland","Female","585","315","0.54"
"2010","Medium tariff","20","Northern Ireland","Female","650","300","0.465"
"2011","Medium tariff","20","Northern Ireland","Female","725","305","0.422"
"2012","Medium tariff","20","Northern Ireland","Female","755","335","0.441"
"2013","Medium tariff","20","Northern Ireland","Female","1080","380","0.352"
"2014","Medium tariff","20","Northern Ireland","Female","1265","505","0.398"
"2015","Medium tariff","20","Northern Ireland","Female","1080","400","0.371"
"2016","Medium tariff","20","Northern Ireland","Female","1090","440","0.404"
"2017","Medium tariff","20","Northern Ireland","Female","1175","520","0.442"
"2018","Medium tariff","20","Northern Ireland","Female","1230","625","0.509"
"2019","Medium tariff","20","Northern Ireland","Female","1180","590","0.498"
"2020","Medium tariff","20","Northern Ireland","Female","1025","525","0.512"
"2021","Medium tariff","20","Northern Ireland","Female","1020","500","0.488"
"2022","Medium tariff","20","Northern Ireland","Female","935","440","0.47000000000000003"
"2023","Medium tariff","20","Northern Ireland","Female","830","380","0.455"
"2006","Lower tariff","21 - 24","Northern Ireland","Female","1915","870","0.454"
"2007","Lower tariff","21 - 24","Northern Ireland","Female","2030","1065","0.525"
"2008","Lower tariff","21 - 24","Northern Ireland","Female","1800","1045","0.581"
"2009","Lower tariff","21 - 24","Northern Ireland","Female","1855","1055","0.5700000000000001"
"2010","Lower tariff","21 - 24","Northern Ireland","Female","2410","1185","0.492"
"2011","Lower tariff","21 - 24","Northern Ireland","Female","2605","1055","0.405"
"2012","Lower tariff","21 - 24","Northern Ireland","Female","2430","1155","0.47400000000000003"
"2013","Lower tariff","21 - 24","Northern Ireland","Female","2395","1240","0.517"
"2014","Lower tariff","21 - 24","Northern Ireland","Female","2425","1235","0.509"
"2015","Lower tariff","21 - 24","Northern Ireland","Female","2420","1285","0.531"
"2016","Lower tariff","21 - 24","Northern Ireland","Female","2250","1235","0.549"
"2017","Lower tariff","21 - 24","Northern Ireland","Female","2015","1165","0.578"
"2018","Lower tariff","21 - 24","Northern Ireland","Female","1955","1135","0.58"
"2019","Lower tariff","21 - 24","Northern Ireland","Female","1900","1215","0.639"
"2020","Lower tariff","21 - 24","Northern Ireland","Female","1790","1185","0.662"
"2021","Lower tariff","21 - 24","Northern Ireland","Female","2220","1310","0.591"
"2022","Lower tariff","21 - 24","Northern Ireland","Female","1810","1040","0.5750000000000001"
"2023","Lower tariff","21 - 24","Northern Ireland","Female","1585","915","0.5760000000000001"
"2006","Higher tariff","21 - 24","Northern Ireland","Female","340","85","0.256"
"2007","Higher tariff","21 - 24","Northern Ireland","Female","415","110","0.26"
"2008","Higher tariff","21 - 24","Northern Ireland","Female","360","85","0.23600000000000002"
"2009","Higher tariff","21 - 24","Northern Ireland","Female","340","75","0.226"
"2010","Higher tariff","21 - 24","Northern Ireland","Female","465","95","0.20400000000000001"
"2011","Higher tariff","21 - 24","Northern Ireland","Female","560","105","0.189"
"2012","Higher tariff","21 - 24","Northern Ireland","Female","425","65","0.148"
"2013","Higher tariff","21 - 24","Northern Ireland","Female","520","95","0.183"
"2014","Higher tariff","21 - 24","Northern Ireland","Female","510","95","0.182"
"2015","Higher tariff","21 - 24","Northern Ireland","Female","650","125","0.192"
"2016","Higher tariff","21 - 24","Northern Ireland","Female","755","165","0.216"
"2017","Higher tariff","21 - 24","Northern Ireland","Female","550","140","0.253"
"2018","Higher tariff","21 - 24","Northern Ireland","Female","520","150","0.292"
"2019","Higher tariff","21 - 24","Northern Ireland","Female","480","135","0.279"
"2020","Higher tariff","21 - 24","Northern Ireland","Female","415","110","0.265"
"2021","Higher tariff","21 - 24","Northern Ireland","Female","485","120","0.247"
"2022","Higher tariff","21 - 24","Northern Ireland","Female","480","120","0.254"
"2023","Higher tariff","21 - 24","Northern Ireland","Female","405","90","0.227"
"2006","Medium tariff","21 - 24","Northern Ireland","Female","975","400","0.40800000000000003"
"2007","Medium tariff","21 - 24","Northern Ireland","Female","1100","440","0.399"
"2008","Medium tariff","21 - 24","Northern Ireland","Female","910","430","0.47300000000000003"
"2009","Medium tariff","21 - 24","Northern Ireland","Female","870","370","0.428"
"2010","Medium tariff","21 - 24","Northern Ireland","Female","1170","485","0.41300000000000003"
"2011","Medium tariff","21 - 24","Northern Ireland","Female","1330","470","0.352"
"2012","Medium tariff","21 - 24","Northern Ireland","Female","1075","410","0.383"
"2013","Medium tariff","21 - 24","Northern Ireland","Female","2125","650","0.305"
"2014","Medium tariff","21 - 24","Northern Ireland","Female","2055","630","0.306"
"2015","Medium tariff","21 - 24","Northern Ireland","Female","2085","660","0.318"
"2016","Medium tariff","21 - 24","Northern Ireland","Female","2050","695","0.34"
"2017","Medium tariff","21 - 24","Northern Ireland","Female","1830","695","0.38"
"2018","Medium tariff","21 - 24","Northern Ireland","Female","1695","675","0.399"
"2019","Medium tariff","21 - 24","Northern Ireland","Female","1615","670","0.41500000000000004"
"2020","Medium tariff","21 - 24","Northern Ireland","Female","1465","685","0.468"
"2021","Medium tariff","21 - 24","Northern Ireland","Female","1725","590","0.343"
"2022","Medium tariff","21 - 24","Northern Ireland","Female","1360","555","0.40900000000000003"
"2023","Medium tariff","21 - 24","Northern Ireland","Female","1235","505","0.41100000000000003"
"2006","Lower tariff","25 - 29","Northern Ireland","Female","735","280","0.38"
"2007","Lower tariff","25 - 29","Northern Ireland","Female","760","395","0.517"
"2008","Lower tariff","25 - 29","Northern Ireland","Female","575","320","0.555"
"2009","Lower tariff","25 - 29","Northern Ireland","Female","645","325","0.505"
"2010","Lower tariff","25 - 29","Northern Ireland","Female","935","425","0.456"
"2011","Lower tariff","25 - 29","Northern Ireland","Female","1020","385","0.377"
"2012","Lower tariff","25 - 29","Northern Ireland","Female","910","420","0.46"
"2013","Lower tariff","25 - 29","Northern Ireland","Female","805","395","0.491"
"2014","Lower tariff","25 - 29","Northern Ireland","Female","890","365","0.40900000000000003"
"2015","Lower tariff","25 - 29","Northern Ireland","Female","795","360","0.45"
"2016","Lower tariff","25 - 29","Northern Ireland","Female","825","390","0.47200000000000003"
"2017","Lower tariff","25 - 29","Northern Ireland","Female","680","330","0.487"
"2018","Lower tariff","25 - 29","Northern Ireland","Female","705","350","0.499"
"2019","Lower tariff","25 - 29","Northern Ireland","Female","585","315","0.535"
"2020","Lower tariff","25 - 29","Northern Ireland","Female","620","365","0.587"
"2021","Lower tariff","25 - 29","Northern Ireland","Female","790","335","0.425"
"2022","Lower tariff","25 - 29","Northern Ireland","Female","620","300","0.482"
"2023","Lower tariff","25 - 29","Northern Ireland","Female","520","280","0.535"
"2006","Higher tariff","25 - 29","Northern Ireland","Female","105","20","0.21"
"2007","Higher tariff","25 - 29","Northern Ireland","Female","110","25","0.245"
"2008","Higher tariff","25 - 29","Northern Ireland","Female","80","15","0.213"
"2009","Higher tariff","25 - 29","Northern Ireland","Female","105","20","0.181"
"2010","Higher tariff","25 - 29","Northern Ireland","Female","165","30","0.176"
"2011","Higher tariff","25 - 29","Northern Ireland","Female","165","20","0.109"
"2012","Higher tariff","25 - 29","Northern Ireland","Female","130","15","0.123"
"2013","Higher tariff","25 - 29","Northern Ireland","Female","160","35","0.20600000000000002"
"2014","Higher tariff","25 - 29","Northern Ireland","Female","140","30","0.20700000000000002"
"2015","Higher tariff","25 - 29","Northern Ireland","Female","180","30","0.17200000000000001"
"2016","Higher tariff","25 - 29","Northern Ireland","Female","195","35","0.17400000000000002"
"2017","Higher tariff","25 - 29","Northern Ireland","Female","165","35","0.212"
"2018","Higher tariff","25 - 29","Northern Ireland","Female","135","30","0.23"
"2019","Higher tariff","25 - 29","Northern Ireland","Female","125","35","0.264"
"2020","Higher tariff","25 - 29","Northern Ireland","Female","105","25","0.229"
"2021","Higher tariff","25 - 29","Northern Ireland","Female","125","20","0.168"
"2022","Higher tariff","25 - 29","Northern Ireland","Female","125","25","0.20800000000000002"
"2023","Higher tariff","25 - 29","Northern Ireland","Female","100","25","0.27"
"2006","Medium tariff","25 - 29","Northern Ireland","Female","390","170","0.441"
"2007","Medium tariff","25 - 29","Northern Ireland","Female","465","220","0.46900000000000003"
"2008","Medium tariff","25 - 29","Northern Ireland","Female","335","170","0.51"
"2009","Medium tariff","25 - 29","Northern Ireland","Female","315","170","0.546"
"2010","Medium tariff","25 - 29","Northern Ireland","Female","455","210","0.464"
"2011","Medium tariff","25 - 29","Northern Ireland","Female","530","230","0.438"
"2012","Medium tariff","25 - 29","Northern Ireland","Female","420","170","0.402"
"2013","Medium tariff","25 - 29","Northern Ireland","Female","1005","290","0.289"
"2014","Medium tariff","25 - 29","Northern Ireland","Female","1030","285","0.275"
"2015","Medium tariff","25 - 29","Northern Ireland","Female","1045","330","0.315"
"2016","Medium tariff","25 - 29","Northern Ireland","Female","960","300","0.315"
"2017","Medium tariff","25 - 29","Northern Ireland","Female","855","285","0.335"
"2018","Medium tariff","25 - 29","Northern Ireland","Female","800","310","0.385"
"2019","Medium tariff","25 - 29","Northern Ireland","Female","715","260","0.365"
"2020","Medium tariff","25 - 29","Northern Ireland","Female","710","295","0.41300000000000003"
"2021","Medium tariff","25 - 29","Northern Ireland","Female","880","290","0.327"
"2022","Medium tariff","25 - 29","Northern Ireland","Female","585","225","0.388"
"2023","Medium tariff","25 - 29","Northern Ireland","Female","495","200","0.4"
"2006","Lower tariff","30 - 34","Northern Ireland","Female","465","205","0.445"
"2007","Lower tariff","30 - 34","Northern Ireland","Female","295","160","0.539"
"2008","Lower tariff","30 - 34","Northern Ireland","Female","275","170","0.615"
"2009","Lower tariff","30 - 34","Northern Ireland","Female","310","175","0.558"
"2010","Lower tariff","30 - 34","Northern Ireland","Female","340","175","0.521"
"2011","Lower tariff","30 - 34","Northern Ireland","Female","370","145","0.392"
"2012","Lower tariff","30 - 34","Northern Ireland","Female","365","160","0.433"
"2013","Lower tariff","30 - 34","Northern Ireland","Female","280","150","0.532"
"2014","Lower tariff","30 - 34","Northern Ireland","Female","335","140","0.424"
"2015","Lower tariff","30 - 34","Northern Ireland","Female","365","175","0.485"
"2016","Lower tariff","30 - 34","Northern Ireland","Female","365","175","0.485"
"2017","Lower tariff","30 - 34","Northern Ireland","Female","325","170","0.52"
"2018","Lower tariff","30 - 34","Northern Ireland","Female","315","150","0.47900000000000004"
"2019","Lower tariff","30 - 34","Northern Ireland","Female","350","175","0.503"
"2020","Lower tariff","30 - 34","Northern Ireland","Female","335","160","0.47500000000000003"
"2021","Lower tariff","30 - 34","Northern Ireland","Female","360","180","0.503"
"2022","Lower tariff","30 - 34","Northern Ireland","Female","335","150","0.454"
"2023","Lower tariff","30 - 34","Northern Ireland","Female","275","140","0.513"
"2006","Higher tariff","30 - 34","Northern Ireland","Female","20","5"," "
"2007","Higher tariff","30 - 34","Northern Ireland","Female","20","0"," "
"2008","Higher tariff","30 - 34","Northern Ireland","Female","25","5"," "
"2009","Higher tariff","30 - 34","Northern Ireland","Female","15","0"," "
"2010","Higher tariff","30 - 34","Northern Ireland","Female","35","5"," "
"2011","Higher tariff","30 - 34","Northern Ireland","Female","40","10","0.3"
"2012","Higher tariff","30 - 34","Northern Ireland","Female","30","5"," "
"2013","Higher tariff","30 - 34","Northern Ireland","Female","15","0"," "
"2014","Higher tariff","30 - 34","Northern Ireland","Female","20","5"," "
"2015","Higher tariff","30 - 34","Northern Ireland","Female","35","10"," "
"2016","Higher tariff","30 - 34","Northern Ireland","Female","35","5"," "
"2017","Higher tariff","30 - 34","Northern Ireland","Female","40","10","0.275"
"2018","Higher tariff","30 - 34","Northern Ireland","Female","25","5"," "
"2019","Higher tariff","30 - 34","Northern Ireland","Female","20","5"," "
"2020","Higher tariff","30 - 34","Northern Ireland","Female","25","5"," "
"2021","Higher tariff","30 - 34","Northern Ireland","Female","30","5"," "
"2022","Higher tariff","30 - 34","Northern Ireland","Female","30","5"," "
"2023","Higher tariff","30 - 34","Northern Ireland","Female","20","0"," "
"2006","Medium tariff","30 - 34","Northern Ireland","Female","210","120","0.562"
"2007","Medium tariff","30 - 34","Northern Ireland","Female","180","100","0.55"
"2008","Medium tariff","30 - 34","Northern Ireland","Female","125","75","0.6"
"2009","Medium tariff","30 - 34","Northern Ireland","Female","145","80","0.559"
"2010","Medium tariff","30 - 34","Northern Ireland","Female","185","100","0.535"
"2011","Medium tariff","30 - 34","Northern Ireland","Female","210","100","0.486"
"2012","Medium tariff","30 - 34","Northern Ireland","Female","165","95","0.5760000000000001"
"2013","Medium tariff","30 - 34","Northern Ireland","Female","455","120","0.266"
"2014","Medium tariff","30 - 34","Northern Ireland","Female","480","170","0.352"
"2015","Medium tariff","30 - 34","Northern Ireland","Female","485","175","0.357"
"2016","Medium tariff","30 - 34","Northern Ireland","Female","475","175","0.366"
"2017","Medium tariff","30 - 34","Northern Ireland","Female","475","195","0.41100000000000003"
"2018","Medium tariff","30 - 34","Northern Ireland","Female","415","160","0.381"
"2019","Medium tariff","30 - 34","Northern Ireland","Female","495","190","0.386"
"2020","Medium tariff","30 - 34","Northern Ireland","Female","405","160","0.398"
"2021","Medium tariff","30 - 34","Northern Ireland","Female","500","165","0.328"
"2022","Medium tariff","30 - 34","Northern Ireland","Female","460","185","0.398"
"2023","Medium tariff","30 - 34","Northern Ireland","Female","360","130","0.364"
"2006","Lower tariff","35 and over","Northern Ireland","Female","585","285","0.489"
"2007","Lower tariff","35 and over","Northern Ireland","Female","525","305","0.581"
"2008","Lower tariff","35 and over","Northern Ireland","Female","470","295","0.63"
"2009","Lower tariff","35 and over","Northern Ireland","Female","420","235","0.56"
