"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","North East","18","England","Female","Not main scheme applicant","Not main scheme application","70","16650","0.004"
"2007","North East","18","England","Female","Not main scheme applicant","Not main scheme application","80","16030","0.005"
"2008","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","16030","0.004"
"2009","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","16600","0.003"
"2010","North East","18","England","Female","Not main scheme applicant","Not main scheme application","20","16770","0.001"
"2011","North East","18","England","Female","Not main scheme applicant","Not main scheme application","20","15860","0.001"
"2012","North East","18","England","Female","Not main scheme applicant","Not main scheme application","40","15420","0.002"
"2013","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","14970","0.004"
"2014","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","14570","0.003"
"2015","North East","18","England","Female","Not main scheme applicant","Not main scheme application","50","15000","0.003"
"2016","North East","18","England","Female","Not main scheme applicant","Not main scheme application","60","14570","0.004"
"2017","North East","18","England","Female","Not main scheme applicant","Not main scheme application","70","14130","0.005"
"2018","North East","18","England","Female","Not main scheme applicant","Not main scheme application","150","13670","0.011"
"2019","North East","18","England","Female","Not main scheme applicant","Not main scheme application","120","13210","0.009000000000000001"
"2020","North East","18","England","Female","Not main scheme applicant","Not main scheme application","140","12900","0.011"
"2021","North East","18","England","Female","Not main scheme applicant","Not main scheme application","120","13170","0.009000000000000001"
"2022","North East","18","England","Female","Not main scheme applicant","Not main scheme application","140","13670","0.01"
"2023","North East","18","England","Female","Not main scheme applicant","Not main scheme application","130","14080","0.009000000000000001"
"2006","North West","18","England","Female","Not main scheme applicant","Not main scheme application","210","46220","0.005"
"2007","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","45060","0.005"
"2008","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","45760","0.005"
"2009","North West","18","England","Female","Not main scheme applicant","Not main scheme application","190","46850","0.004"
"2010","North West","18","England","Female","Not main scheme applicant","Not main scheme application","90","46390","0.002"
"2011","North West","18","England","Female","Not main scheme applicant","Not main scheme application","60","43920","0.001"
"2012","North West","18","England","Female","Not main scheme applicant","Not main scheme application","120","42820","0.003"
"2013","North West","18","England","Female","Not main scheme applicant","Not main scheme application","150","41750","0.004"
"2014","North West","18","England","Female","Not main scheme applicant","Not main scheme application","160","41450","0.004"
"2015","North West","18","England","Female","Not main scheme applicant","Not main scheme application","170","42590","0.004"
"2016","North West","18","England","Female","Not main scheme applicant","Not main scheme application","180","40720","0.004"
"2017","North West","18","England","Female","Not main scheme applicant","Not main scheme application","220","40400","0.005"
"2018","North West","18","England","Female","Not main scheme applicant","Not main scheme application","270","39050","0.007"
"2019","North West","18","England","Female","Not main scheme applicant","Not main scheme application","280","38400","0.007"
"2020","North West","18","England","Female","Not main scheme applicant","Not main scheme application","330","37720","0.009000000000000001"
"2021","North West","18","England","Female","Not main scheme applicant","Not main scheme application","230","38390","0.006"
"2022","North West","18","England","Female","Not main scheme applicant","Not main scheme application","210","39690","0.005"
"2023","North West","18","England","Female","Not main scheme applicant","Not main scheme application","240","41220","0.006"
"2006","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","33100","0.004"
"2007","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","32170","0.004"
"2008","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","32670","0.004"
"2009","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","90","33440","0.003"
"2010","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","40","33400","0.001"
"2011","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","50","32070","0.001"
"2012","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","80","32050","0.002"
"2013","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","100","30860","0.003"
"2014","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","110","31290","0.004"
"2015","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","110","31380","0.004"
"2016","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","100","30640","0.003"
"2017","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","130","30230","0.004"
"2018","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","190","29300","0.006"
"2019","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","250","28680","0.009000000000000001"
"2020","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","290","28430","0.01"
"2021","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","200","29180","0.007"
"2022","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","160","29910","0.005"
"2023","Yorkshire and The Humber","18","England","Female","Not main scheme applicant","Not main scheme application","170","31200","0.006"
"2006","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","90","27380","0.003"
"2007","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","90","27150","0.003"
"2008","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","80","27950","0.003"
"2009","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","60","28350","0.002"
"2010","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","20","28020","0.001"
"2011","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","40","27140","0.001"
"2012","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","60","27590","0.002"
"2013","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","26930","0.003"
"2014","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","26300","0.003"
"2015","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","90","27040","0.003"
"2016","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","100","26380","0.004"
"2017","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","120","26520","0.005"
"2018","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","140","25420","0.006"
"2019","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","140","24870","0.006"
"2020","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","250","24530","0.01"
"2021","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","170","25070","0.007"
"2022","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","170","25960","0.006"
"2023","East Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","190","26540","0.007"
"2006","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","100","35540","0.003"
"2007","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","150","35320","0.004"
"2008","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","180","35710","0.005"
"2009","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","140","36680","0.004"
"2010","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","36360","0.002"
"2011","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","70","34700","0.002"
"2012","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","120","35390","0.004"
"2013","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","160","34600","0.005"
"2014","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","140","34060","0.004"
"2015","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","160","34880","0.005"
"2016","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","150","34090","0.004"
"2017","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","190","33070","0.006"
"2018","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","260","32480","0.008"
"2019","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","330","32060","0.01"
"2020","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","350","31520","0.011"
"2021","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","260","32340","0.008"
"2022","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","260","33500","0.008"
"2023","West Midlands","18","England","Female","Not main scheme applicant","Not main scheme application","240","34670","0.007"
"2006","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","80","35050","0.002"
"2007","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","100","35030","0.003"
"2008","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","100","35120","0.003"
"2009","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","110","35830","0.003"
"2010","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","50","35460","0.001"
"2011","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","60","35090","0.002"
"2012","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","120","35600","0.003"
"2013","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","130","35080","0.004"
"2014","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","130","34900","0.004"
"2015","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","120","34890","0.003"
"2016","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","130","34450","0.004"
"2017","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","200","34210","0.006"
"2018","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","140","33120","0.004"
"2019","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","190","33120","0.006"
"2020","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","300","32000","0.009000000000000001"
"2021","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","160","32810","0.005"
"2022","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","170","34370","0.005"
"2023","East of England","18","England","Female","Not main scheme applicant","Not main scheme application","170","34820","0.005"
"2006","London","18","England","Female","Not main scheme applicant","Not main scheme application","170","43800","0.004"
"2007","London","18","England","Female","Not main scheme applicant","Not main scheme application","210","43070","0.005"
"2008","London","18","England","Female","Not main scheme applicant","Not main scheme application","200","43670","0.005"
"2009","London","18","England","Female","Not main scheme applicant","Not main scheme application","160","43660","0.004"
"2010","London","18","England","Female","Not main scheme applicant","Not main scheme application","80","44270","0.002"
"2011","London","18","England","Female","Not main scheme applicant","Not main scheme application","120","43770","0.003"
"2012","London","18","England","Female","Not main scheme applicant","Not main scheme application","140","43760","0.003"
"2013","London","18","England","Female","Not main scheme applicant","Not main scheme application","220","44080","0.005"
"2014","London","18","England","Female","Not main scheme applicant","Not main scheme application","170","43870","0.004"
"2015","London","18","England","Female","Not main scheme applicant","Not main scheme application","210","45370","0.005"
"2016","London","18","England","Female","Not main scheme applicant","Not main scheme application","190","44940","0.004"
"2017","London","18","England","Female","Not main scheme applicant","Not main scheme application","250","44770","0.005"
"2018","London","18","England","Female","Not main scheme applicant","Not main scheme application","270","44930","0.006"
"2019","London","18","England","Female","Not main scheme applicant","Not main scheme application","330","44740","0.007"
"2020","London","18","England","Female","Not main scheme applicant","Not main scheme application","420","44330","0.009000000000000001"
"2021","London","18","England","Female","Not main scheme applicant","Not main scheme application","250","47040","0.005"
"2022","London","18","England","Female","Not main scheme applicant","Not main scheme application","290","47540","0.006"
"2023","London","18","England","Female","Not main scheme applicant","Not main scheme application","330","49010","0.007"
"2006","South East","18","England","Female","Not main scheme applicant","Not main scheme application","150","50690","0.003"
"2007","South East","18","England","Female","Not main scheme applicant","Not main scheme application","130","50940","0.003"
"2008","South East","18","England","Female","Not main scheme applicant","Not main scheme application","140","51930","0.003"
"2009","South East","18","England","Female","Not main scheme applicant","Not main scheme application","120","52490","0.002"
"2010","South East","18","England","Female","Not main scheme applicant","Not main scheme application","50","52220","0.001"
"2011","South East","18","England","Female","Not main scheme applicant","Not main scheme application","80","51130","0.002"
"2012","South East","18","England","Female","Not main scheme applicant","Not main scheme application","130","51860","0.003"
"2013","South East","18","England","Female","Not main scheme applicant","Not main scheme application","190","51460","0.004"
"2014","South East","18","England","Female","Not main scheme applicant","Not main scheme application","140","49850","0.003"
"2015","South East","18","England","Female","Not main scheme applicant","Not main scheme application","160","51950","0.003"
"2016","South East","18","England","Female","Not main scheme applicant","Not main scheme application","180","51180","0.004"
"2017","South East","18","England","Female","Not main scheme applicant","Not main scheme application","250","50900","0.005"
"2018","South East","18","England","Female","Not main scheme applicant","Not main scheme application","270","49530","0.005"
"2019","South East","18","England","Female","Not main scheme applicant","Not main scheme application","280","48970","0.006"
"2020","South East","18","England","Female","Not main scheme applicant","Not main scheme application","460","48010","0.01"
"2021","South East","18","England","Female","Not main scheme applicant","Not main scheme application","250","49500","0.005"
"2022","South East","18","England","Female","Not main scheme applicant","Not main scheme application","240","51240","0.005"
"2023","South East","18","England","Female","Not main scheme applicant","Not main scheme application","250","51970","0.005"
"2006","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","31420","0.003"
"2007","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","30920","0.003"
"2008","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","31510","0.003"
"2009","South West","18","England","Female","Not main scheme applicant","Not main scheme application","60","31610","0.002"
"2010","South West","18","England","Female","Not main scheme applicant","Not main scheme application","50","31170","0.002"
"2011","South West","18","England","Female","Not main scheme applicant","Not main scheme application","50","30850","0.002"
"2012","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","31140","0.003"
"2013","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","30600","0.003"
"2014","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","29830","0.003"
"2015","South West","18","England","Female","Not main scheme applicant","Not main scheme application","120","30780","0.004"
"2016","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","30110","0.003"
"2017","South West","18","England","Female","Not main scheme applicant","Not main scheme application","130","29860","0.004"
"2018","South West","18","England","Female","Not main scheme applicant","Not main scheme application","140","29160","0.005"
"2019","South West","18","England","Female","Not main scheme applicant","Not main scheme application","180","28100","0.006"
"2020","South West","18","England","Female","Not main scheme applicant","Not main scheme application","250","27440","0.009000000000000001"
"2021","South West","18","England","Female","Not main scheme applicant","Not main scheme application","150","28530","0.005"
"2022","South West","18","England","Female","Not main scheme applicant","Not main scheme application","110","29120","0.004"
"2023","South West","18","England","Female","Not main scheme applicant","Not main scheme application","130","29850","0.004"
"2006","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","13160","0.001"
"2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","12760","0.001"
"2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","12750","0"
"2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","12680","0"
"2010","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","12440","0"
"2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","12340","0"
"2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","12380","0.001"
"2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","12080","0.001"
"2014","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","11930","0"
"2015","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","12160","0"
"2016","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","11920","0.001"
"2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","11820","0.001"
"2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","11140","0.001"
"2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10920","0.001"
"2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","10880","0.003"
"2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","10940","0.001"
"2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","11080","0.001"
"2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","11240","0.001"
"2006","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","70","31170","0.002"
"2007","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","80","30920","0.003"
"2008","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","250","31970","0.008"
"2009","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","220","32080","0.007"
"2010","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","220","31480","0.007"
"2011","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","100","30710","0.003"
"2012","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","150","30110","0.005"
"2013","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","190","29740","0.006"
"2014","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","20","29770","0.001"
"2015","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","180","29350","0.006"
"2016","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","190","28640","0.007"
"2017","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","190","27820","0.007"
"2018","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","190","27330","0.007"
"2019","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","170","26390","0.006"
"2020","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","220","26010","0.009000000000000001"
"2021","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","160","26770","0.006"
"2022","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","140","27390","0.005"
"2023","Scotland","18","Scotland","Female","Not main scheme applicant","Not main scheme application","210","27970","0.007"
"2006","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","120","19370","0.006"
"2007","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","110","18990","0.006"
"2008","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","110","19090","0.006"
"2009","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","90","19530","0.005"
"2010","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","19880","0.002"
"2011","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","19000","0.002"
"2012","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","100","18800","0.005"
"2013","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","90","18430","0.005"
"2014","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","70","18230","0.004"
"2015","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","90","18320","0.005"
"2016","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","90","17770","0.005"
"2017","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","110","17340","0.006"
"2018","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","80","16730","0.005"
"2019","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","110","16100","0.007"
"2020","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","100","15720","0.007"
"2021","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","70","15960","0.004"
"2022","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","60","16520","0.004"
"2023","Wales","18","Wales","Female","Not main scheme applicant","Not main scheme application","70","17200","0.004"
"2006","North East","18","England","Male","Not main scheme applicant","Not main scheme application","70","17260","0.004"
"2007","North East","18","England","Male","Not main scheme applicant","Not main scheme application","80","16570","0.005"
"2008","North East","18","England","Male","Not main scheme applicant","Not main scheme application","80","16790","0.005"
"2009","North East","18","England","Male","Not main scheme applicant","Not main scheme application","60","17370","0.003"
"2010","North East","18","England","Male","Not main scheme applicant","Not main scheme application","30","17350","0.002"
"2011","North East","18","England","Male","Not main scheme applicant","Not main scheme application","20","16380","0.001"
"2012","North East","18","England","Male","Not main scheme applicant","Not main scheme application","60","16130","0.003"
"2013","North East","18","England","Male","Not main scheme applicant","Not main scheme application","60","15950","0.004"
"2014","North East","18","England","Male","Not main scheme applicant","Not main scheme application","70","15700","0.004"
"2015","North East","18","England","Male","Not main scheme applicant","Not main scheme application","60","15730","0.004"
"2016","North East","18","England","Male","Not main scheme applicant","Not main scheme application","60","15180","0.004"
"2017","North East","18","England","Male","Not main scheme applicant","Not main scheme application","90","14730","0.006"
"2018","North East","18","England","Male","Not main scheme applicant","Not main scheme application","150","14360","0.01"
"2019","North East","18","England","Male","Not main scheme applicant","Not main scheme application","150","13940","0.011"
"2020","North East","18","England","Male","Not main scheme applicant","Not main scheme application","200","13750","0.015"
"2021","North East","18","England","Male","Not main scheme applicant","Not main scheme application","170","14300","0.012"
"2022","North East","18","England","Male","Not main scheme applicant","Not main scheme application","120","14460","0.009000000000000001"
"2023","North East","18","England","Male","Not main scheme applicant","Not main scheme application","120","14820","0.008"
"2006","North West","18","England","Male","Not main scheme applicant","Not main scheme application","280","47930","0.006"
"2007","North West","18","England","Male","Not main scheme applicant","Not main scheme application","230","46990","0.005"
"2008","North West","18","England","Male","Not main scheme applicant","Not main scheme application","270","48100","0.006"
"2009","North West","18","England","Male","Not main scheme applicant","Not main scheme application","220","49130","0.004"
"2010","North West","18","England","Male","Not main scheme applicant","Not main scheme application","100","48030","0.002"
"2011","North West","18","England","Male","Not main scheme applicant","Not main scheme application","70","45930","0.002"
"2012","North West","18","England","Male","Not main scheme applicant","Not main scheme application","150","45400","0.003"
"2013","North West","18","England","Male","Not main scheme applicant","Not main scheme application","160","44590","0.004"
"2014","North West","18","England","Male","Not main scheme applicant","Not main scheme application","130","43470","0.003"
"2015","North West","18","England","Male","Not main scheme applicant","Not main scheme application","160","44780","0.004"
"2016","North West","18","England","Male","Not main scheme applicant","Not main scheme application","180","43000","0.004"
"2017","North West","18","England","Male","Not main scheme applicant","Not main scheme application","210","42360","0.005"
"2018","North West","18","England","Male","Not main scheme applicant","Not main scheme application","270","41190","0.007"
"2019","North West","18","England","Male","Not main scheme applicant","Not main scheme application","370","40200","0.009000000000000001"
"2020","North West","18","England","Male","Not main scheme applicant","Not main scheme application","420","39890","0.011"
"2021","North West","18","England","Male","Not main scheme applicant","Not main scheme application","340","40790","0.008"
"2022","North West","18","England","Male","Not main scheme applicant","Not main scheme application","260","41870","0.006"
"2023","North West","18","England","Male","Not main scheme applicant","Not main scheme application","320","43390","0.007"
"2006","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","150","33860","0.005"
"2007","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","160","32880","0.005"
"2008","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","130","33890","0.004"
"2009","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","100","34910","0.003"
"2010","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","40","34470","0.001"
"2011","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","50","33780","0.001"
"2012","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","100","33280","0.003"
"2013","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","100","32250","0.003"
"2014","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","130","32500","0.004"
"2015","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","120","32440","0.004"
"2016","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","150","31860","0.005"
"2017","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","130","31570","0.004"
"2018","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","180","30420","0.006"
"2019","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","270","29670","0.009000000000000001"
"2020","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","350","29870","0.012"
"2021","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","220","30440","0.007"
"2022","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","170","31450","0.005"
"2023","Yorkshire and The Humber","18","England","Male","Not main scheme applicant","Not main scheme application","190","32120","0.006"
"2006","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","90","28980","0.003"
"2007","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","110","28280","0.004"
"2008","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","90","29250","0.003"
"2009","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","80","29900","0.003"
"2010","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","30","29170","0.001"
"2011","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","30","28940","0.001"
"2012","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","80","29180","0.003"
"2013","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","80","28790","0.003"
"2014","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","90","28250","0.003"
"2015","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","80","28310","0.003"
"2016","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","100","27780","0.003"
"2017","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","110","27870","0.004"
"2018","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","120","26760","0.004"
"2019","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","170","26050","0.007"
"2020","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","260","25390","0.01"
"2021","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","180","26500","0.007"
"2022","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","160","27440","0.006"
"2023","East Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","180","27660","0.006"
"2006","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","180","36720","0.005"
"2007","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","170","36360","0.005"
"2008","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","200","37620","0.005"
"2009","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","190","38510","0.005"
"2010","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","80","37630","0.002"
"2011","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","70","36330","0.002"
"2012","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","160","36650","0.004"
"2013","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","170","36120","0.005"
"2014","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","140","35630","0.004"
"2015","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","180","36850","0.005"
"2016","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","180","35860","0.005"
"2017","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","220","34980","0.006"
"2018","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","270","34460","0.008"
"2019","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","310","33350","0.009000000000000001"
"2020","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","380","33270","0.011"
"2021","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","280","34180","0.008"
"2022","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","290","35420","0.008"
"2023","West Midlands","18","England","Male","Not main scheme applicant","Not main scheme application","290","36530","0.008"
"2006","East of England","18","England","Male","Not main scheme applicant","Not main scheme application","130","36190","0.004"
"2007","East of England","18","England","Male","Not main scheme applicant","Not main scheme application","100","35950","0.003"
"2008","East of England","18","England","Male","Not main scheme applicant","Not main scheme application","140","37250","0.004"
