"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 3","Wales","125","105","0.859"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 3","Wales","60","55","0.885"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 3","Wales","90","75","0.857"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 3","Wales","75","65","0.875"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Quintile 3","Wales","110","90","0.796"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Northern Ireland","115","100","0.864"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Northern Ireland","110","95","0.875"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Northern Ireland","100","80","0.799"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Northern Ireland","90","75","0.836"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Northern Ireland","115","100","0.856"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","England","1670","1455","0.872"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","England","1685","1450","0.861"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","England","1770","1485","0.838"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","England","1755","1400","0.797"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","England","1800","1545","0.859"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Scotland","160","105","0.659"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Scotland","180","130","0.718"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Scotland","240","200","0.8320000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Scotland","190","155","0.8150000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Scotland","205","160","0.769"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Wales","140","125","0.887"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Wales","145","130","0.889"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Wales","190","160","0.844"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Wales","145","130","0.886"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Quintile 3","Wales","175","160","0.916"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Northern Ireland","85","75","0.865"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Northern Ireland","75","65","0.885"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Northern Ireland","75","65","0.856"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Northern Ireland","65","55","0.8160000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Northern Ireland","75","65","0.876"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","England","3390","2935","0.866"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","England","3325","2825","0.85"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","England","3265","2735","0.838"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","England","3085","2445","0.793"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","England","3295","2720","0.8260000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Scotland","155","115","0.739"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Scotland","130","90","0.6950000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Scotland","90","65","0.716"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Scotland","75","50","0.68"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Scotland","95","70","0.724"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Wales","120","105","0.895"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Wales","145","130","0.911"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Wales","155","140","0.915"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Wales","175","150","0.845"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Quintile 3","Wales","145","130","0.886"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Northern Ireland","40","35","0.8130000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Northern Ireland","35","30","0.835"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Northern Ireland","45","35","0.782"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Northern Ireland","50","45","0.863"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Northern Ireland","70","60","0.835"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","England","1310","1190","0.909"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","England","1325","1170","0.884"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","England","1635","1450","0.886"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","England","1690","1485","0.879"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","England","1600","1410","0.881"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Scotland","170","125","0.74"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Scotland","200","145","0.731"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Scotland","225","145","0.643"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Scotland","245","185","0.752"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Scotland","225","170","0.745"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Wales","70","60","0.871"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Wales","85","75","0.861"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Wales","90","80","0.874"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Wales","105","90","0.844"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Quintile 3","Wales","80","70","0.895"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Northern Ireland","45","45","0.967"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Northern Ireland","45","40","0.867"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Northern Ireland","40","35","0.85"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Northern Ireland","35","35","0.929"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Northern Ireland","45","40","0.841"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","England","335","290","0.862"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","England","335","280","0.841"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","England","420","360","0.854"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","England","365","295","0.804"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","England","380","335","0.887"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Scotland","145","115","0.81"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Scotland","190","130","0.6920000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Scotland","170","120","0.704"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Scotland","135","80","0.597"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Scotland","115","80","0.6940000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Wales","15","15","0.9450000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Wales","10","10"," "
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Wales","25","25","0.92"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Wales","15","10","0.711"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Quintile 3","Wales","20","15","0.8160000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","England","25","20","0.717"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","England","35","30","0.863"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","England","45","35","0.779"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","England","55","45","0.851"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","England","60","45","0.764"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Scotland","5","0"," "
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Scotland","5","0"," "
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Scotland","5","0"," "
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Wales","5","5"," "
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Wales","5","0"," "
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Wales","5","5"," "
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Quintile 3","Wales","15","15","0.833"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Northern Ireland","45","35","0.8260000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Northern Ireland","65","60","0.913"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Northern Ireland","80","65","0.836"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Northern Ireland","60","55","0.884"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Northern Ireland","80","70","0.902"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","England","1390","1155","0.8300000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","England","1340","1110","0.8290000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","England","1470","1240","0.843"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","England","1555","1265","0.8150000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","England","1495","1210","0.811"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Scotland","145","80","0.5660000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Scotland","175","100","0.5640000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Scotland","155","105","0.677"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Scotland","145","75","0.513"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Scotland","105","65","0.634"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Wales","60","50","0.873"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Wales","60","50","0.873"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Wales","95","80","0.834"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Wales","105","90","0.858"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Quintile 3","Wales","65","55","0.864"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","England","35","20","0.601"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","England","30","15","0.468"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","England","25","10","0.4"
"2022","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","England","10","10"," "
"2023","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","England","10","10"," "
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","Quintile 3","Wales","5","0"," "
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Northern Ireland","135","95","0.706"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Northern Ireland","140","100","0.717"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Northern Ireland","180","150","0.8260000000000001"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Northern Ireland","190","150","0.783"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Northern Ireland","130","110","0.834"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","England","3570","2215","0.621"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","England","3595","2280","0.635"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","England","3850","2460","0.639"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","England","4305","2505","0.582"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","England","4065","2520","0.62"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Scotland","330","180","0.541"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Scotland","280","170","0.608"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Scotland","300","190","0.626"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Scotland","295","175","0.596"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Scotland","300","195","0.65"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Wales","100","65","0.656"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Wales","130","85","0.667"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Wales","210","140","0.667"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Wales","140","100","0.71"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Quintile 3","Wales","190","115","0.611"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Northern Ireland","5","5"," "
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Northern Ireland","5","5"," "
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Northern Ireland","5","5"," "
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","England","70","50","0.737"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","England","85","50","0.604"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","England","75","45","0.629"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","England","70","50","0.746"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","England","75","50","0.68"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Scotland","10","5"," "
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Scotland","5","5"," "
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Scotland","5","5"," "
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Scotland","15","10","0.667"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Quintile 3","Wales","10","5"," "
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Northern Ireland","330","305","0.929"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Northern Ireland","315","305","0.968"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Northern Ireland","355","350","0.989"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Northern Ireland","305","295","0.972"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Northern Ireland","270","265","0.976"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","England","1575","1370","0.869"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","England","1565","1385","0.885"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","England","1795","1595","0.89"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","England","1825","1675","0.917"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","England","1770","1595","0.901"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Scotland","225","175","0.782"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Scotland","260","220","0.849"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Scotland","235","190","0.812"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Scotland","175","155","0.885"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Scotland","170","145","0.859"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Wales","85","75","0.853"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Wales","60","55","0.932"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Wales","100","95","0.9590000000000001"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Wales","65","65","1"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Quintile 3","Wales","60","45","0.768"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Northern Ireland","85","80","0.916"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Northern Ireland","70","65","0.9430000000000001"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Northern Ireland","70","70","0.976"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Northern Ireland","75","75","0.98"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Northern Ireland","85","85","0.971"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","England","525","465","0.883"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","England","555","495","0.896"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","England","470","385","0.8160000000000001"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","England","570","425","0.744"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","England","535","405","0.755"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Scotland","40","35","0.846"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Scotland","55","45","0.843"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Scotland","60","45","0.759"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Scotland","60","50","0.856"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Scotland","65","60","0.929"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Wales","30","30","1.045"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Wales","30","25","0.8280000000000001"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Wales","25","25","1.04"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Wales","35","30","0.791"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Quintile 3","Wales","30","20","0.675"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Northern Ireland","5","0"," "
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Northern Ireland","5","0"," "
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Northern Ireland","5","5"," "
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Northern Ireland","5","5"," "
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Northern Ireland","5","0"," "
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","England","100","45","0.455"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","England","145","80","0.562"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","England","200","85","0.41500000000000004"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","England","245","110","0.443"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","England","180","95","0.536"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Scotland","10","5"," "
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Scotland","15","10"," "
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Scotland","20","10","0.6"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Scotland","15","10"," "
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Scotland","10","10"," "
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Wales","20","10","0.55"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Wales","15","10"," "
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Wales","10","5"," "
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Wales","10","5"," "
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Quintile 3","Wales","5","0"," "
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Northern Ireland","50","20","0.42"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Northern Ireland","60","15","0.233"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Northern Ireland","90","20","0.233"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Northern Ireland","65","10"," "
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Northern Ireland","75","5"," "
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","England","2150","410","0.191"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","England","2265","485","0.213"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","England","2485","425","0.171"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","England","2880","305","0.105"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","England","3300","330","0.1"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Scotland","140","35","0.257"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Scotland","130","25","0.2"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Scotland","160","25","0.163"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Scotland","155","15","0.09"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Scotland","130","25","0.2"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Wales","55","10","0.2"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Wales","65","5"," "
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Wales","120","25","0.2"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Wales","115","15","0.113"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Quintile 3","Wales","105","10","0.095"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","Northern Ireland","320","105","0.334"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","Northern Ireland","405","140","0.343"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","Northern Ireland","395","90","0.223"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","Northern Ireland","465","80","0.168"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Quintile 3","Northern Ireland","430","95","0.219"
