"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Unknown","England","5","0"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Unknown","England","5","5"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Unknown","England","5","5"," "
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Unknown","England","5","5"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Unknown","England","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Unknown","Northern Ireland","10","10"," "
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Unknown","England","5","0"," "
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Unknown","England","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Unknown","England","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Unknown","England","5","0"," "
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Unknown","England","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Unknown","England","10","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Unknown","England","5","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Unknown","England","10","10"," "
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Unknown","England","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","Northern Ireland","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","Northern Ireland","5","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","Northern Ireland","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","England","10","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","England","10","10"," "
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","England","35","25","0.771"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","England","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","England","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Unknown","Wales","5","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","Northern Ireland","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","England","15","10"," "
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","England","30","20","0.608"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","England","20","15","0.74"
