"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Does not have carer responsibility","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","735","580","0.786","170"
"2023","Does not have carer responsibility","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","70","55","0.778","35"
"2023","Does not have carer responsibility","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","55","40","0.736","15"
"2023","Has carer responsibility","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has carer responsibility","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","90","70","0.747","25"
"2023","Has carer responsibility","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Has carer responsibility","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3360","3170","0.9440000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.97","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","60","55","0.983","0"
"2023","Does not have carer responsibility","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","480","365","0.758","110"
"2023","Does not have carer responsibility","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","60","40","0.639","15"
"2023","Does not have carer responsibility","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","30","20","0.759","10"
"2023","Has carer responsibility","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","125","95","0.764","35"
"2023","Has carer responsibility","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.733","5"
"2023","Has carer responsibility","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8100","7650","0.9440000000000001","20"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","275","265","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.97","0"
"2023","Does not have carer responsibility","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2023","Does not have carer responsibility","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1080","815","0.754","390"
