"Year","Served in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has not served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","595","455","0.76","145"
"2023","Has not served in UK armed forces","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","75","50","0.649","15"
"2023","Has not served in UK armed forces","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","35","25","0.758","20"
"2023","Has served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8110","7660","0.9440000000000001","25"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","275","265","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.963","0"
"2023","Has not served in UK armed forces","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Has not served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1410","1055","0.748","570"
"2023","Has not served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","150","100","0.676","70"
"2023","Has not served in UK armed forces","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","80","60","0.756","20"
"2023","Has served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.81","5"
"2023","Has not served in UK armed forces","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1185","1140","0.96","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Has not served in UK armed forces","18","England","Male","Not main scheme applicant","Not main scheme application","1090","980","0.899","145"
"2023","Has not served in UK armed forces","18","Scotland","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","15"
"2023","Has not served in UK armed forces","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.9","10"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1845","1760","0.9540000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","140","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.931","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","55","50","0.926","5"
"2023","Has not served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","2310","2085","0.903","220"
"2023","Has not served in UK armed forces","19","Scotland","Male","Not main scheme applicant","Not main scheme application","85","75","0.88","25"
"2023","Has not served in UK armed forces","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.912","10"
"2023","Has served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1510","1420","0.9420000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","70","0.986","0"
"2023","Has not served in UK armed forces","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.935","5"
"2023","Has not served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","1465","1300","0.886","185"
"2023","Has not served in UK armed forces","20","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.87","20"
"2023","Has not served in UK armed forces","20","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.912","10"
"2023","Has served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4215","3955","0.9380000000000001","15"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Has not served in UK armed forces","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","40","0.864","10"
"2023","Has not served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2060","1765","0.858","310"
"2023","Has not served in UK armed forces","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","135","115","0.858","30"
"2023","Has not served in UK armed forces","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","115","100","0.878","20"
"2023","Has served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3645","3430","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Has not served in UK armed forces","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2023","Has not served in UK armed forces","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","570","465","0.8220000000000001","145"
"2023","Has not served in UK armed forces","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","60","55","0.934","25"
"2023","Has not served in UK armed forces","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","40","35","0.786","10"
"2023","Has served in UK armed forces","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has served in UK armed forces","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","3310","3110","0.9400000000000001","0"
"2023","Not declared","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","60","60","0.9510000000000001","0"
"2023","Not declared","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2023","Has not served in UK armed forces","30 - 34","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","330","255","0.77","90"
"2023","Has not served in UK armed forces","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","35","25","0.6970000000000001","10"
"2023","Has not served in UK armed forces","30 - 34","Wales","Male","Not main scheme applicant","Not main scheme application","15","15","0.765","5"
"2023","Has served in UK armed forces","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Not declared","35 and over","England","Male","Not main scheme applicant","Not main scheme application","7495","7065","0.9420000000000001","15"
"2023","Not declared","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.967","0"
"2023","Not declared","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","50","50","0.962","0"
"2023","Has not served in UK armed forces","35 and over","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","35 and over","England","Male","Not main scheme applicant","Not main scheme application","650","485","0.747","235"
"2023","Has not served in UK armed forces","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","65","55","0.8210000000000001","35"
"2023","Has not served in UK armed forces","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","35","30","0.784","10"
"2023","Has served in UK armed forces","35 and over","England","Male","Not main scheme applicant","Not main scheme application","35","25","0.727","15"
"2023","Has served in UK armed forces","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has served in UK armed forces","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Female","Main scheme applicant","Not main scheme application","65","50","0.716","0"
"2023","Has not served in UK armed forces","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","45","30","0.727","0"
"2023","Has not served in UK armed forces","17 and under","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","210","190","0.923","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","690","565","0.8190000000000001","0"
"2023","Has not served in UK armed forces","18","England","Female","Main scheme applicant","Not main scheme application","22155","20375","0.92","0"
"2023","Has not served in UK armed forces","18","Scotland","Female","Main scheme applicant","Not main scheme application","610","480","0.79","0"
"2023","Has not served in UK armed forces","18","Wales","Female","Main scheme applicant","Not main scheme application","705","645","0.913","0"
"2023","Has served in UK armed forces","18","England","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","85","75","0.872","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","160","125","0.792","0"
"2023","Has not served in UK armed forces","19","England","Female","Main scheme applicant","Not main scheme application","4905","4280","0.872","0"
"2023","Has not served in UK armed forces","19","Scotland","Female","Main scheme applicant","Not main scheme application","205","150","0.738","0"
"2023","Has not served in UK armed forces","19","Wales","Female","Main scheme applicant","Not main scheme application","185","160","0.876","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","25","20","0.846","0"
"2023","Not declared","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","50","40","0.792","0"
"2023","Has not served in UK armed forces","20","England","Female","Main scheme applicant","Not main scheme application","1460","1215","0.8300000000000001","0"
"2023","Has not served in UK armed forces","20","Scotland","Female","Main scheme applicant","Not main scheme application","105","75","0.724","0"
"2023","Has not served in UK armed forces","20","Wales","Female","Main scheme applicant","Not main scheme application","75","55","0.75","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","55","40","0.717","0"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","90","65","0.6920000000000001","0"
"2023","Has not served in UK armed forces","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1730","1190","0.687","0"
"2023","Has not served in UK armed forces","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","225","140","0.619","0"
"2023","Has not served in UK armed forces","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","95","75","0.768","0"
"2023","Has served in UK armed forces","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2023","Has not served in UK armed forces","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","25","0.75","0"
"2023","Has not served in UK armed forces","25 - 29","England","Female","Main scheme applicant","Not main scheme application","635","410","0.646","0"
"2023","Has not served in UK armed forces","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","85","60","0.667","0"
"2023","Has not served in UK armed forces","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","50","35","0.686","0"
"2023","Has served in UK armed forces","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","Has not served in UK armed forces","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2023","Has not served in UK armed forces","30 - 34","England","Female","Main scheme applicant","Not main scheme application","465","285","0.613","0"
"2023","Has not served in UK armed forces","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","55","35","0.6","0"
"2023","Has not served in UK armed forces","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2023","Has served in UK armed forces","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","45","20","0.468","0"
"2023","Has not served in UK armed forces","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2023","Has not served in UK armed forces","35 and over","England","Female","Main scheme applicant","Not main scheme application","1040","660","0.631","0"
"2023","Has not served in UK armed forces","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","100","55","0.5640000000000001","0"
"2023","Has not served in UK armed forces","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","45","40","0.844","0"
"2023","Has served in UK armed forces","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Male","Main scheme applicant","Not main scheme application","65","40","0.656","0"
"2023","Has not served in UK armed forces","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2023","Not declared","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Main scheme applicant","Not main scheme application","260","245","0.927","0"
"2023","Not declared","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","335","285","0.856","0"
"2023","Has not served in UK armed forces","18","England","Male","Main scheme applicant","Not main scheme application","17720","16435","0.927","0"
"2023","Has not served in UK armed forces","18","Scotland","Male","Main scheme applicant","Not main scheme application","395","345","0.871","0"
"2023","Has not served in UK armed forces","18","Wales","Male","Main scheme applicant","Not main scheme application","445","405","0.904","0"
"2023","Has served in UK armed forces","18","England","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Main scheme applicant","Not main scheme application","85","70","0.837","0"
"2023","Not declared","19","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Male","Main scheme applicant","Not main scheme application","85","75","0.839","0"
"2023","Has not served in UK armed forces","19","England","Male","Main scheme applicant","Not main scheme application","3660","3225","0.881","0"
"2023","Has not served in UK armed forces","19","Scotland","Male","Main scheme applicant","Not main scheme application","155","115","0.739","0"
"2023","Has not served in UK armed forces","19","Wales","Male","Main scheme applicant","Not main scheme application","105","95","0.9420000000000001","0"
"2023","Has served in UK armed forces","19","England","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","20","England","Male","Main scheme applicant","Not main scheme application","30","25","0.8","0"
"2023","Has not served in UK armed forces","20","Northern Ireland","Male","Main scheme applicant","Not main scheme application","35","25","0.6970000000000001","0"
"2023","Has not served in UK armed forces","20","England","Male","Main scheme applicant","Not main scheme application","1140","945","0.8320000000000001","0"
"2023","Has not served in UK armed forces","20","Scotland","Male","Main scheme applicant","Not main scheme application","65","45","0.719","0"
"2023","Has not served in UK armed forces","20","Wales","Male","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2023","Has served in UK armed forces","20","England","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Main scheme applicant","Not main scheme application","30","20","0.733","0"
"2023","Not declared","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","21 - 24","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2023","Has not served in UK armed forces","21 - 24","England","Male","Main scheme applicant","Not main scheme application","1175","925","0.785","0"
"2023","Has not served in UK armed forces","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","125","85","0.6940000000000001","0"
"2023","Has not served in UK armed forces","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2023","Has served in UK armed forces","21 - 24","England","Male","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Not declared","25 - 29","England","Male","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","Has not served in UK armed forces","25 - 29","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Has not served in UK armed forces","25 - 29","England","Male","Main scheme applicant","Not main scheme application","360","260","0.715","0"
"2023","Has not served in UK armed forces","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","55","35","0.673","0"
