"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","Mental health condition/challenge/disorder","300","250","0.837"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","Disability declared","Mental health condition/challenge/disorder","405","350","0.867"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","Mental health condition/challenge/disorder","10","10","1.177"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","Disability declared","Mental health condition/challenge/disorder","25","20","0.708"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","Mental health condition/challenge/disorder","145","125","0.857"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","Mental health condition/challenge/disorder","135","120","0.896"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","Mental health condition/challenge/disorder","145","125","0.871"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","Mental health condition/challenge/disorder","180","145","0.795"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","Disability declared","Mental health condition/challenge/disorder","295","240","0.8180000000000001"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","Mental health condition/challenge/disorder","55","35","0.669"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","Mental health condition/challenge/disorder","45","30","0.676"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","Mental health condition/challenge/disorder","50","30","0.604"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","Mental health condition/challenge/disorder","80","45","0.588"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","Disability declared","Mental health condition/challenge/disorder","190","125","0.661"
"2019","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","Mental health condition/challenge/disorder","80","60","0.754"
"2020","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","Mental health condition/challenge/disorder","70","55","0.782"
"2021","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","Mental health condition/challenge/disorder","70","65","0.923"
"2022","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","Mental health condition/challenge/disorder","65","60","0.895"
"2023","(CAH11) computing","(CAH11-01-07) business computing","Disability declared","Mental health condition/challenge/disorder","130","105","0.8170000000000001"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","Mental health condition/challenge/disorder","865","635","0.737"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","Mental health condition/challenge/disorder","940","710","0.756"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","Mental health condition/challenge/disorder","975","730","0.751"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","Mental health condition/challenge/disorder","1370","1025","0.749"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","Disability declared","Mental health condition/challenge/disorder","2285","1730","0.756"
"2019","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","Mental health condition/challenge/disorder","1260","910","0.721"
"2020","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","Mental health condition/challenge/disorder","1285","955","0.742"
"2021","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","Mental health condition/challenge/disorder","1235","865","0.7020000000000001"
"2022","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","Mental health condition/challenge/disorder","1790","1220","0.682"
"2023","(CAH11) computing","(CAH11-01-01) computer science","Disability declared","Mental health condition/challenge/disorder","3285","2235","0.68"
"2019","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","Mental health condition/challenge/disorder","70","65","0.927"
"2020","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","Mental health condition/challenge/disorder","60","45","0.784"
"2021","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","Mental health condition/challenge/disorder","45","40","0.882"
"2022","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","Mental health condition/challenge/disorder","85","75","0.89"
"2023","(CAH11) computing","(CAH11-01-02) information technology","Disability declared","Mental health condition/challenge/disorder","125","100","0.794"
"2019","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","Mental health condition/challenge/disorder","45","35","0.8310000000000001"
"2020","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","Mental health condition/challenge/disorder","55","45","0.8300000000000001"
"2021","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","Mental health condition/challenge/disorder","50","45","0.854"
"2022","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","Mental health condition/challenge/disorder","65","50","0.798"
"2023","(CAH11) computing","(CAH11-01-03) information systems","Disability declared","Mental health condition/challenge/disorder","120","100","0.8210000000000001"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","Mental health condition/challenge/disorder","285","245","0.852"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","Mental health condition/challenge/disorder","275","240","0.869"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","Mental health condition/challenge/disorder","360","295","0.8130000000000001"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","Mental health condition/challenge/disorder","395","310","0.786"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","Disability declared","Mental health condition/challenge/disorder","725","580","0.801"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","Mental health condition/challenge/disorder","195","155","0.797"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","Mental health condition/challenge/disorder","215","160","0.736"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","Mental health condition/challenge/disorder","210","155","0.742"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","Mental health condition/challenge/disorder","335","275","0.8200000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","Disability declared","Mental health condition/challenge/disorder","545","435","0.798"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","Mental health condition/challenge/disorder","120","95","0.804"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","Mental health condition/challenge/disorder","200","165","0.8210000000000001"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","Mental health condition/challenge/disorder","235","210","0.902"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","Mental health condition/challenge/disorder","310","270","0.873"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","Disability declared","Mental health condition/challenge/disorder","490","445","0.909"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Disability declared","Mental health condition/challenge/disorder","210","190","0.913"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Disability declared","Mental health condition/challenge/disorder","210","180","0.868"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Disability declared","Mental health condition/challenge/disorder","250","210","0.838"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Disability declared","Mental health condition/challenge/disorder","395","330","0.8300000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","Disability declared","Mental health condition/challenge/disorder","735","645","0.88"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Disability declared","Mental health condition/challenge/disorder","125","110","0.87"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Disability declared","Mental health condition/challenge/disorder","130","115","0.883"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Disability declared","Mental health condition/challenge/disorder","105","85","0.8240000000000001"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Disability declared","Mental health condition/challenge/disorder","170","150","0.872"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Disability declared","Mental health condition/challenge/disorder","380","310","0.8160000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Disability declared","Mental health condition/challenge/disorder","255","235","0.913"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Disability declared","Mental health condition/challenge/disorder","225","205","0.905"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Disability declared","Mental health condition/challenge/disorder","315","275","0.866"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Disability declared","Mental health condition/challenge/disorder","420","345","0.8230000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Disability declared","Mental health condition/challenge/disorder","895","775","0.864"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Disability declared","Mental health condition/challenge/disorder","445","395","0.892"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Disability declared","Mental health condition/challenge/disorder","500","420","0.838"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Disability declared","Mental health condition/challenge/disorder","615","540","0.882"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Disability declared","Mental health condition/challenge/disorder","765","675","0.88"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Disability declared","Mental health condition/challenge/disorder","1155","1020","0.884"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","45","30","0.717"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","50","35","0.72"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","55","40","0.741"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","80","55","0.6880000000000001"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","155","115","0.726"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","80","75","0.913"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","85","75","0.853"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","100","85","0.85"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","125","105","0.856"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","185","165","0.882"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Disability declared","Mental health condition/challenge/disorder","595","505","0.851"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Disability declared","Mental health condition/challenge/disorder","550","465","0.844"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Disability declared","Mental health condition/challenge/disorder","610","520","0.85"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Disability declared","Mental health condition/challenge/disorder","675","540","0.797"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Disability declared","Mental health condition/challenge/disorder","1225","1035","0.844"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Disability declared","Mental health condition/challenge/disorder","90","65","0.725"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Disability declared","Mental health condition/challenge/disorder","120","80","0.682"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Disability declared","Mental health condition/challenge/disorder","135","110","0.8150000000000001"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Disability declared","Mental health condition/challenge/disorder","190","130","0.683"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Disability declared","Mental health condition/challenge/disorder","240","180","0.755"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Disability declared","Mental health condition/challenge/disorder","620","465","0.748"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Disability declared","Mental health condition/challenge/disorder","625","475","0.763"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Disability declared","Mental health condition/challenge/disorder","590","470","0.794"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Disability declared","Mental health condition/challenge/disorder","730","525","0.719"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Disability declared","Mental health condition/challenge/disorder","1310","990","0.755"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","25","5"," "
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","5","0"," "
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","5","0"," "
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Disability declared","Mental health condition/challenge/disorder","15","5"," "
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Disability declared","Mental health condition/challenge/disorder","560","480","0.854"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Disability declared","Mental health condition/challenge/disorder","715","630","0.878"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Disability declared","Mental health condition/challenge/disorder","835","745","0.89"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Disability declared","Mental health condition/challenge/disorder","1005","850","0.847"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Disability declared","Mental health condition/challenge/disorder","1690","1455","0.861"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","Disability declared","Mental health condition/challenge/disorder","100","90","0.913"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Disability declared","Mental health condition/challenge/disorder","90","80","0.906"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","Disability declared","Mental health condition/challenge/disorder","100","90","0.915"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Disability declared","Mental health condition/challenge/disorder","160","140","0.878"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Disability declared","Mental health condition/challenge/disorder","165","150","0.919"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","Disability declared","Mental health condition/challenge/disorder","85","80","0.915"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","Disability declared","Mental health condition/challenge/disorder","100","90","0.888"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","Disability declared","Mental health condition/challenge/disorder","115","105","0.931"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Disability declared","Mental health condition/challenge/disorder","200","165","0.8320000000000001"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Disability declared","Mental health condition/challenge/disorder","245","215","0.873"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Disability declared","Mental health condition/challenge/disorder","5980","4920","0.8230000000000001"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Disability declared","Mental health condition/challenge/disorder","6525","5370","0.8230000000000001"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Disability declared","Mental health condition/challenge/disorder","7365","5905","0.802"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Disability declared","Mental health condition/challenge/disorder","9650","7315","0.758"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Disability declared","Mental health condition/challenge/disorder","14845","11645","0.784"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Disability declared","Mental health condition/challenge/disorder","105","90","0.841"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Disability declared","Mental health condition/challenge/disorder","100","80","0.804"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Disability declared","Mental health condition/challenge/disorder","100","85","0.859"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Disability declared","Mental health condition/challenge/disorder","170","135","0.786"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Disability declared","Mental health condition/challenge/disorder","185","150","0.8210000000000001"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Disability declared","Mental health condition/challenge/disorder","895","725","0.811"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Disability declared","Mental health condition/challenge/disorder","750","570","0.762"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Disability declared","Mental health condition/challenge/disorder","815","635","0.781"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Disability declared","Mental health condition/challenge/disorder","905","680","0.752"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Disability declared","Mental health condition/challenge/disorder","1600","1210","0.755"
"2022","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Disability declared","Mental health condition/challenge/disorder","25","15","0.6940000000000001"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Disability declared","Mental health condition/challenge/disorder","20","15","0.629"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Disability declared","Mental health condition/challenge/disorder","30","15","0.5660000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Disability declared","Mental health condition/challenge/disorder","40","20","0.527"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","Disability declared","Mental health condition/challenge/disorder","95","50","0.528"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","Disability declared","Mental health condition/challenge/disorder","875","710","0.81"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","Disability declared","Mental health condition/challenge/disorder","835","655","0.785"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","Disability declared","Mental health condition/challenge/disorder","1020","840","0.8210000000000001"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","Disability declared","Mental health condition/challenge/disorder","1410","1115","0.791"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","Disability declared","Mental health condition/challenge/disorder","2155","1790","0.8310000000000001"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","Disability declared","Mental health condition/challenge/disorder","1290","545","0.424"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","Disability declared","Mental health condition/challenge/disorder","1290","575","0.444"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","Disability declared","Mental health condition/challenge/disorder","1645","780","0.47600000000000003"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","Disability declared","Mental health condition/challenge/disorder","2255","1055","0.468"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","Disability declared","Mental health condition/challenge/disorder","3350","1540","0.46"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Disability declared","Mental health condition/challenge/disorder","15","15","1.098"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Disability declared","Mental health condition/challenge/disorder","15","15","0.928"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Disability declared","Mental health condition/challenge/disorder","15","15","0.88"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Disability declared","Mental health condition/challenge/disorder","20","20","0.9380000000000001"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","Disability declared","Mental health condition/challenge/disorder","45","35","0.801"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Disability declared","Mental health condition/challenge/disorder","15","10","0.783"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Disability declared","Mental health condition/challenge/disorder","15","15","0.899"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Disability declared","Mental health condition/challenge/disorder","10","10"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","Disability declared","Mental health condition/challenge/disorder","30","25","0.833"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Disability declared","Mental health condition/challenge/disorder","195","165","0.834"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Disability declared","Mental health condition/challenge/disorder","210","185","0.878"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Disability declared","Mental health condition/challenge/disorder","250","205","0.8200000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Disability declared","Mental health condition/challenge/disorder","320","275","0.852"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Disability declared","Mental health condition/challenge/disorder","430","370","0.863"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Disability declared","Mental health condition/challenge/disorder","500","430","0.864"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Disability declared","Mental health condition/challenge/disorder","555","490","0.881"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Disability declared","Mental health condition/challenge/disorder","565","495","0.878"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Disability declared","Mental health condition/challenge/disorder","795","670","0.842"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Disability declared","Mental health condition/challenge/disorder","980","875","0.89"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","Disability declared","Mental health condition/challenge/disorder","15","10","0.675"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","Disability declared","Mental health condition/challenge/disorder","15","10"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","Disability declared","Mental health condition/challenge/disorder","10","10"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","Disability declared","Mental health condition/challenge/disorder","10","10"," "
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Disability declared","Mental health condition/challenge/disorder","10","10"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Disability declared","Mental health condition/challenge/disorder","25","20","0.796"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Disability declared","Mental health condition/challenge/disorder","15","15","1.06"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Disability declared","Mental health condition/challenge/disorder","20","20","0.978"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Disability declared","Mental health condition/challenge/disorder","30","30","0.9480000000000001"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Disability declared","Mental health condition/challenge/disorder","35","30","0.8250000000000001"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Disability declared","Mental health condition/challenge/disorder","70","60","0.8240000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Disability declared","Mental health condition/challenge/disorder","10","5"," "
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Disability declared","Mental health condition/challenge/disorder","5","5"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Disability declared","Mental health condition/challenge/disorder","10","10"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","Disability declared","Mental health condition/challenge/disorder","20","20","0.88"
"2019","(CAH16) law","(CAH16-01-01) law","Disability declared","Mental health condition/challenge/disorder","2785","2155","0.774"
"2020","(CAH16) law","(CAH16-01-01) law","Disability declared","Mental health condition/challenge/disorder","2890","2260","0.783"
"2021","(CAH16) law","(CAH16-01-01) law","Disability declared","Mental health condition/challenge/disorder","3435","2560","0.746"
"2022","(CAH16) law","(CAH16-01-01) law","Disability declared","Mental health condition/challenge/disorder","4670","3320","0.711"
"2023","(CAH16) law","(CAH16-01-01) law","Disability declared","Mental health condition/challenge/disorder","8940","6615","0.74"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","Disability declared","Mental health condition/challenge/disorder","225","60","0.271"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","Disability declared","Mental health condition/challenge/disorder","215","65","0.293"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","Disability declared","Mental health condition/challenge/disorder","370","80","0.214"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","Disability declared","Mental health condition/challenge/disorder","430","105","0.244"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","Disability declared","Mental health condition/challenge/disorder","655","185","0.28200000000000003"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","Disability declared","Mental health condition/challenge/disorder","285","135","0.47000000000000003"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","Disability declared","Mental health condition/challenge/disorder","230","95","0.404"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","Disability declared","Mental health condition/challenge/disorder","325","165","0.51"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","Disability declared","Mental health condition/challenge/disorder","395","175","0.445"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","Disability declared","Mental health condition/challenge/disorder","460","265","0.5750000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Disability declared","Learning difference","5135","3075","0.599"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Disability declared","Learning difference","5695","3595","0.631"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Disability declared","Learning difference","6310","4085","0.647"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Disability declared","Learning difference","6920","4285","0.619"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Disability declared","Learning difference","7450","4710","0.632"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Disability declared","Learning difference","1960","1160","0.593"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Disability declared","Learning difference","2155","1270","0.589"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Disability declared","Learning difference","2595","1585","0.612"
