"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","3305","2675","0.81"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","3920","3205","0.8180000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","3925","3235","0.8240000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","4040","3235","0.801"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","4015","3195","0.796"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","655","530","0.809"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","660","560","0.851"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","535","470","0.88"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","445","380","0.85"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","660","560","0.846"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","2055","1690","0.8240000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","2185","1770","0.809"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","2650","2285","0.862"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","2575","2155","0.837"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","2250","1885","0.838"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","6075","5110","0.841"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","5980","5040","0.843"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","6985","5875","0.841"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","7655","6320","0.8260000000000001"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","6825","5680","0.8320000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","13685","10855","0.793"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","13870","10960","0.79"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","15300","11840","0.774"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","15830","11960","0.755"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","No disability declared","No impairment","15645","12025","0.769"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","12595","9725","0.772"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","12875","9810","0.762"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","14210","10640","0.749"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","15110","10885","0.72"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","No disability declared","No impairment","14440","10555","0.731"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","16450","13590","0.8260000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","16255","13600","0.837"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","17620","14530","0.8240000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","16515","13180","0.798"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","No disability declared","No impairment","15045","12015","0.799"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","395","320","0.811"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","480","395","0.8240000000000001"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","420","355","0.847"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","540","450","0.8310000000000001"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","No disability declared","No impairment","580","505","0.869"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","9640","7910","0.8210000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","8860","7365","0.8310000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","8370","7005","0.837"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","7680","6275","0.8170000000000001"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","No disability declared","No impairment","8015","6590","0.8220000000000001"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","105","70","0.656"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","80","55","0.706"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","70","50","0.6920000000000001"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","125","95","0.76"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","No disability declared","No impairment","145","110","0.749"
"2019","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","No disability declared","No impairment","10","5"," "
"2020","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","No disability declared","No impairment","15","10"," "
"2021","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","No disability declared","No impairment","5","5"," "
"2022","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","No disability declared","No impairment","10","10"," "
"2023","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","No disability declared","No impairment","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","13280","9610","0.724"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","13080","9575","0.732"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","14765","10960","0.742"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","14225","10100","0.71"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","No disability declared","No impairment","12775","9165","0.718"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","110","85","0.793"
"2020","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","70","60","0.887"
"2021","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","30","25","0.867"
"2022","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","40","25","0.675"
"2023","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","No disability declared","No impairment","35","30","0.786"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","28645","22965","0.802"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","28925","23565","0.8150000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","30690","24240","0.79"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","31010","23800","0.767"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","No disability declared","No impairment","29445","22795","0.774"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","175","150","0.859"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","200","175","0.882"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","195","180","0.915"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","215","185","0.863"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","No disability declared","No impairment","145","130","0.897"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","160","150","0.93"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","190","165","0.88"
"2021","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","155","140","0.887"
"2022","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","135","120","0.896"
"2023","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","No disability declared","No impairment","135","120","0.888"
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","No disability declared","No impairment","710","405","0.5710000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","No disability declared","No impairment","830","500","0.6"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","No disability declared","No impairment","650","355","0.545"
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","No disability declared","No impairment","565","325","0.578"
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","No disability declared","No impairment","565","345","0.608"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","6975","4090","0.587"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","6875","4185","0.609"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","6345","4145","0.653"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","6570","3745","0.5700000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","No disability declared","No impairment","6965","4395","0.631"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","4110","3170","0.771"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","4805","3820","0.795"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","4760","3705","0.779"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","4815","3145","0.653"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","No disability declared","No impairment","4145","2850","0.687"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","8945","3440","0.384"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","9560","3775","0.395"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","11345","4025","0.355"
