"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2019","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Mixed","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.882"
"2020","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.68"
"2021","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2022","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.897"
"2019","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Black","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2020","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2021","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.778"
"2022","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Unknown or Prefer Not To Say","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Unknown or Prefer Not To Say","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
