"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Wales","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Wales","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Wales","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Wales","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","Wales","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Wales","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Wales","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Wales","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Wales","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Wales","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Wales","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Wales","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Wales","Not main scheme applicant","Not main scheme application","45"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Wales","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Wales","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Wales","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Wales","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Wales","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Wales","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Wales","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","Wales","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Wales","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Wales","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Wales","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Wales","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Wales","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Wales","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Wales","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Wales","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Wales","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Wales","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","Wales","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","Wales","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Wales","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Wales","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-02-03) Welsh studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-02-01) Celtic studies (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Wales","Not main scheme applicant","Not main scheme application","45"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Wales","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Wales","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Wales","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Wales","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Wales","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Wales","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH23) combined and general studies","(CAH23-01-02) personal development","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","Wales","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","Wales","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","Wales","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","Wales","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","Wales","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","Wales","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Wales","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Wales","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Wales","Not main scheme applicant","Not main scheme application","80"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Wales","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Wales","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Wales","Not main scheme applicant","Not main scheme application","85"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Wales","Not main scheme applicant","Not main scheme application","55"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Wales","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Wales","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Wales","Not main scheme applicant","Not main scheme application","45"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Wales","Not main scheme applicant","Not main scheme application","85"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Wales","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Wales","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Wales","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Wales","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","Wales","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","Wales","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","Wales","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Wales","Not main scheme applicant","Not main scheme application","60"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Wales","Not main scheme applicant","Not main scheme application","70"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Wales","Not main scheme applicant","Not main scheme application","65"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Wales","Not main scheme applicant","Not main scheme application","95"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Wales","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Wales","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Wales","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Wales","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Wales","Not main scheme applicant","Not main scheme application","50"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Wales","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Wales","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Wales","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Wales","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Wales","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Wales","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Wales","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Wales","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Wales","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Wales","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Wales","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Wales","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Wales","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Wales","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Wales","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Wales","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Wales","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Wales","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Wales","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Wales","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Wales","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Wales","Not main scheme applicant","Not main scheme application","115"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Wales","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Wales","Not main scheme applicant","Not main scheme application","85"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Wales","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Wales","Not main scheme applicant","Not main scheme application","200"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Wales","Not main scheme applicant","Not main scheme application","145"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Wales","Not main scheme applicant","Not main scheme application","190"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Wales","Not main scheme applicant","Not main scheme application","135"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Wales","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","Wales","Not main scheme applicant","Not main scheme application","45"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Wales","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","Wales","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Wales","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","Wales","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Wales","Not main scheme applicant","Not main scheme application","45"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Wales","Not main scheme applicant","Not main scheme application","40"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Wales","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Wales","Not main scheme applicant","Not main scheme application","40"
