"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","3780","1410","0.373"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","3590","1280","0.357"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","2805","1105","0.394"
"2019","UK","Scotland","Scotland","18","Female","3960","1785","0.45"
"2020","UK","Scotland","Scotland","18","Female","3690","1660","0.45"
"2021","UK","Scotland","Scotland","18","Female","4485","1890","0.421"
"2022","UK","Scotland","Scotland","18","Female","4325","1865","0.431"
"2023","UK","Scotland","Scotland","18","Female","3145","1740","0.553"
"2019","UK","Wales","Wales","18","Female","1880","770","0.40900000000000003"
"2020","UK","Wales","Wales","18","Female","2115","870","0.41000000000000003"
"2021","UK","Wales","Wales","18","Female","2435","1005","0.41400000000000003"
"2022","UK","Wales","Wales","18","Female","2320","940","0.405"
"2023","UK","Wales","Wales","18","Female","1645","830","0.505"
"2019","International","EU (excluding UK)","Belgium","18","Female","10","5"," "
"2020","International","EU (excluding UK)","Belgium","18","Female","5","5"," "
"2021","International","EU (excluding UK)","Belgium","18","Female","10","5"," "
"2022","International","EU (excluding UK)","Belgium","18","Female","5","0"," "
"2023","International","EU (excluding UK)","Belgium","18","Female","10","10","1"
"2019","International","EU (excluding UK)","France","18","Female","20","15","0.7000000000000001"
"2020","International","EU (excluding UK)","France","18","Female","5","5"," "
"2021","International","EU (excluding UK)","France","18","Female","20","10","0.55"
"2022","International","EU (excluding UK)","France","18","Female","20","10","0.55"
"2023","International","EU (excluding UK)","France","18","Female","10","5"," "
"2019","International","EU (excluding UK)","Germany","18","Female","10","5"," "
"2023","International","EU (excluding UK)","Germany","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Greece","18","Female","15","0"," "
"2021","International","EU (excluding UK)","Greece","18","Female","5","0"," "
"2023","International","EU (excluding UK)","Greece","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","18","Female","605","135","0.223"
"2020","International","EU (excluding UK)","Ireland","18","Female","805","235","0.294"
"2021","International","EU (excluding UK)","Ireland","18","Female","865","235","0.269"
"2022","International","EU (excluding UK)","Ireland","18","Female","780","200","0.255"
"2023","International","EU (excluding UK)","Ireland","18","Female","585","260","0.446"
"2019","International","EU (excluding UK)","Italy","18","Female","10","0"," "
"2020","International","EU (excluding UK)","Italy","18","Female","25","10"," "
"2021","International","EU (excluding UK)","Italy","18","Female","5","5"," "
"2022","International","EU (excluding UK)","Italy","18","Female","10","5"," "
"2023","International","EU (excluding UK)","Italy","18","Female","10","0"," "
"2019","International","EU (excluding UK)","Luxembourg","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Malta","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Netherlands","18","Female","5","5"," "
"2020","International","EU (excluding UK)","Netherlands","18","Female","5","0"," "
"2023","International","EU (excluding UK)","Netherlands","18","Female","10","5"," "
"2019","International","EU (excluding UK)","Poland","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Poland","18","Female","15","5"," "
"2019","International","EU (excluding UK)","Portugal","18","Female","10","5"," "
"2020","International","EU (excluding UK)","Portugal","18","Female","15","10"," "
"2021","International","EU (excluding UK)","Portugal","18","Female","5","5"," "
"2023","International","EU (excluding UK)","Portugal","18","Female","10","0"," "
"2019","International","EU (excluding UK)","Romania","18","Female","10","0"," "
"2020","International","EU (excluding UK)","Romania","18","Female","15","5"," "
"2021","International","EU (excluding UK)","Romania","18","Female","5","5"," "
"2019","International","EU (excluding UK)","Spain","18","Female","35","10"," "
"2020","International","EU (excluding UK)","Spain","18","Female","20","10","0.55"
"2021","International","EU (excluding UK)","Spain","18","Female","30","5"," "
"2022","International","EU (excluding UK)","Spain","18","Female","20","5"," "
"2023","International","EU (excluding UK)","Spain","18","Female","10","5"," "
"2020","International","EU (excluding UK)","Sweden","18","Female","5","5"," "
"2019","International","EU (excluding UK)","Lithuania","18","Female","10","0"," "
"2021","International","EU (excluding UK)","Lithuania","18","Female","10","5"," "
"2019","International","EU (excluding UK)","Slovenia","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Czech Republic","18","Female","5","5"," "
"2021","International","EU (excluding UK)","Czech Republic","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","5"," "
"2023","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","0"," "
"2019","International","Not EU","Guernsey","18","Female","20","10"," "
"2020","International","Not EU","Guernsey","18","Female","5","5"," "
"2021","International","Not EU","Guernsey","18","Female","5","0"," "
"2022","International","Not EU","Guernsey","18","Female","5","5"," "
"2023","International","Not EU","Guernsey","18","Female","5","5"," "
"2019","International","Not EU","Jersey","18","Female","10","10","1.1"
"2020","International","Not EU","Jersey","18","Female","20","15","0.65"
"2021","International","Not EU","Jersey","18","Female","25","10","0.4"
"2022","International","Not EU","Jersey","18","Female","45","10","0.222"
"2023","International","Not EU","Jersey","18","Female","20","15","0.65"
"2019","International","Not EU","Isle of Man","18","Female","35","15","0.429"
"2020","International","Not EU","Isle of Man","18","Female","35","15","0.429"
"2021","International","Not EU","Isle of Man","18","Female","35","20","0.5710000000000001"
"2022","International","Not EU","Isle of Man","18","Female","25","20","0.72"
"2023","International","Not EU","Isle of Man","18","Female","10","10"," "
"2020","International","Not EU","Afghanistan","18","Female","5","0"," "
"2019","International","Not EU","Australia","18","Female","5","0"," "
"2021","International","Not EU","Australia","18","Female","5","0"," "
"2023","International","Not EU","Australia","18","Female","10","0"," "
"2019","International","Not EU","Bahrain","18","Female","5","0"," "
"2022","International","Not EU","Bahrain","18","Female","10","0"," "
"2023","International","Not EU","Bahrain","18","Female","5","5"," "
"2020","International","Not EU","Barbados","18","Female","5","0"," "
"2019","International","Not EU","Bermuda","18","Female","5","0"," "
"2020","International","Not EU","Bermuda","18","Female","5","0"," "
"2021","International","Not EU","Bermuda","18","Female","5","5"," "
"2022","International","Not EU","Bermuda","18","Female","15","0"," "
"2023","International","Not EU","Bermuda","18","Female","10","0"," "
"2023","International","Not EU","Botswana","18","Female","5","0"," "
"2022","International","Not EU","Burma (Myanmar)","18","Female","5","0"," "
"2023","International","Not EU","Burma (Myanmar)","18","Female","5","5"," "
"2020","International","Not EU","Cambodia","18","Female","5","5"," "
"2022","International","Not EU","Cameroon","18","Female","5","0"," "
"2019","International","Not EU","Canada","18","Female","5","0"," "
"2020","International","Not EU","Canada","18","Female","5","0"," "
"2021","International","Not EU","Canada","18","Female","15","0"," "
"2022","International","Not EU","Canada","18","Female","15","5"," "
"2023","International","Not EU","Canada","18","Female","10","0"," "
"2023","International","Not EU","Sri Lanka","18","Female","5","0"," "
"2020","International","Not EU","China","18","Female","15","10"," "
"2021","International","Not EU","China","18","Female","15","0"," "
"2022","International","Not EU","China","18","Female","5","0"," "
"2023","International","Not EU","China","18","Female","5","0"," "
"2022","International","Not EU","Congo (Democratic Republic)","18","Female","5","0"," "
"2022","International","Not EU","Costa Rica","18","Female","5","0"," "
"2023","International","Not EU","Ecuador","18","Female","5","5"," "
"2019","International","Not EU","Falkland Islands (Malvinas)","18","Female","5","5"," "
"2022","International","Not EU","Fiji","18","Female","5","0"," "
"2019","International","Not EU","Taiwan","18","Female","5","0"," "
"2022","International","Not EU","Taiwan","18","Female","5","0"," "
"2019","International","Not EU","Gambia","18","Female","5","0"," "
"2022","International","Not EU","Gambia","18","Female","5","0"," "
"2019","International","Not EU","Ghana","18","Female","5","0"," "
"2021","International","Not EU","Ghana","18","Female","10","0"," "
"2022","International","Not EU","Ghana","18","Female","10","0"," "
"2023","International","Not EU","Ghana","18","Female","20","0"," "
"2019","International","Not EU","Gibraltar","18","Female","20","10"," "
"2020","International","Not EU","Gibraltar","18","Female","5","0"," "
"2021","International","Not EU","Gibraltar","18","Female","30","15","0.433"
"2022","International","Not EU","Gibraltar","18","Female","20","5"," "
"2023","International","Not EU","Gibraltar","18","Female","30","15","0.5670000000000001"
"2019","International","Not EU","Hong Kong","18","Female","10","5"," "
"2020","International","Not EU","Hong Kong","18","Female","60","25","0.4"
"2021","International","Not EU","Hong Kong","18","Female","95","20","0.221"
"2022","International","Not EU","Hong Kong","18","Female","95","25","0.274"
"2023","International","Not EU","Hong Kong","18","Female","55","35","0.618"
"2019","International","Not EU","India","18","Female","25","10","0.48"
"2020","International","Not EU","India","18","Female","45","10","0.244"
"2021","International","Not EU","India","18","Female","125","20","0.168"
"2022","International","Not EU","India","18","Female","345","45","0.133"
"2023","International","Not EU","India","18","Female","255","45","0.184"
"2021","International","Not EU","Indonesia","18","Female","5","0"," "
"2022","International","Not EU","Indonesia","18","Female","5","5"," "
"2023","International","Not EU","Indonesia","18","Female","5","5"," "
"2020","International","Not EU","Jamaica","18","Female","5","0"," "
"2022","International","Not EU","Jamaica","18","Female","10","5"," "
"2021","International","Not EU","Japan","18","Female","5","5"," "
"2022","International","Not EU","Japan","18","Female","5","0"," "
