"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","-6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2021","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-1 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-1 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","-1 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-1 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-3 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2021","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-2 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-5 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-5 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Quintile 5","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","Less than -6 points","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 1","Main scheme applicant","Not main scheme application","65","50","0.776","0"
"2011","0 points","Quintile 1","Main scheme applicant","Not main scheme application","120","90","0.727","0"
"2012","0 points","Quintile 1","Main scheme applicant","Not main scheme application","55","40","0.759","0"
"2013","0 points","Quintile 1","Main scheme applicant","Not main scheme application","95","75","0.768","0"
"2014","0 points","Quintile 1","Main scheme applicant","Not main scheme application","85","55","0.631","0"
"2015","0 points","Quintile 1","Main scheme applicant","Not main scheme application","120","85","0.705","0"
"2016","0 points","Quintile 1","Main scheme applicant","Not main scheme application","110","85","0.778","0"
"2017","0 points","Quintile 1","Main scheme applicant","Not main scheme application","95","80","0.8300000000000001","0"
"2018","0 points","Quintile 1","Main scheme applicant","Not main scheme application","80","70","0.864","0"
"2019","0 points","Quintile 1","Main scheme applicant","Not main scheme application","70","60","0.886","0"
"2020","0 points","Quintile 1","Main scheme applicant","Not main scheme application","75","65","0.87","0"
"2021","0 points","Quintile 1","Main scheme applicant","Not main scheme application","105","90","0.867","0"
"2022","0 points","Quintile 1","Main scheme applicant","Not main scheme application","100","85","0.878","0"
"2023","0 points","Quintile 1","Main scheme applicant","Not main scheme application","90","80","0.9","0"
"2010","1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","30","0.711","0"
"2011","1 points","Quintile 1","Main scheme applicant","Not main scheme application","65","50","0.746","0"
"2012","1 points","Quintile 1","Main scheme applicant","Not main scheme application","50","40","0.804","0"
"2013","1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.75","0"
"2014","1 points","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.744","0"
"2015","1 points","Quintile 1","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2016","1 points","Quintile 1","Main scheme applicant","Not main scheme application","55","45","0.786","0"
"2017","1 points","Quintile 1","Main scheme applicant","Not main scheme application","60","55","0.871","0"
"2018","1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.884","0"
"2019","1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.87","0"
"2020","1 points","Quintile 1","Main scheme applicant","Not main scheme application","55","50","0.906","0"
"2021","1 points","Quintile 1","Main scheme applicant","Not main scheme application","55","50","0.875","0"
"2022","1 points","Quintile 1","Main scheme applicant","Not main scheme application","65","60","0.866","0"
"2023","1 points","Quintile 1","Main scheme applicant","Not main scheme application","55","50","0.873","0"
"2010","2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","15","0.667","0"
"2011","2 points","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2012","2 points","Quintile 1","Main scheme applicant","Not main scheme application","40","25","0.65","0"
"2013","2 points","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.714","0"
"2014","2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.792","0"
"2015","2 points","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.8","0"
"2016","2 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2017","2 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2018","2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.914","0"
"2019","2 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2020","2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","25","1","0"
"2021","2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2022","2 points","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2023","2 points","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2010","3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.684","0"
"2012","3 points","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.7030000000000001","0"
"2013","3 points","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2014","3 points","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.897","0"
"2015","3 points","Quintile 1","Main scheme applicant","Not main scheme application","30","20","0.71","0"
"2016","3 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2017","3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2018","3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2022","3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2023","3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","More than 3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.731","0"
"2011","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","35","20","0.595","0"
"2012","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.719","0"
"2013","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.848","0"
"2014","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","50","40","0.8","0"
"2015","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","60","45","0.741","0"
"2016","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","50","40","0.804","0"
"2017","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.872","0"
"2018","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.837","0"
"2019","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.974","0"
"2020","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.857","0"
"2021","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","45","40","0.911","0"
"2022","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","60","55","0.932","0"
"2023","-1 points","Quintile 1","Main scheme applicant","Not main scheme application","65","60","0.866","0"
"2010","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.625","0"
"2011","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","20","10","0.526","0"
"2012","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.667","0"
"2013","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.704","0"
"2014","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.8210000000000001","0"
"2015","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.902","0"
"2016","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2017","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2018","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2019","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2020","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2021","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2022","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","45","35","0.761","0"
"2023","-2 points","Quintile 1","Main scheme applicant","Not main scheme application","35","35","0.892","0"
"2010","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2012","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2014","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2015","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2016","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2017","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2018","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2019","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2021","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2022","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.731","0"
"2023","-3 points","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2010","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2013","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.762","0"
"2015","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2023","-4 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2012","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2018","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","Quintile 2","Main scheme applicant","Not main scheme application","115","90","0.765","0"
"2011","0 points","Quintile 2","Main scheme applicant","Not main scheme application","125","90","0.6980000000000001","0"
"2012","0 points","Quintile 2","Main scheme applicant","Not main scheme application","55","40","0.667","0"
"2013","0 points","Quintile 2","Main scheme applicant","Not main scheme application","95","75","0.784","0"
"2014","0 points","Quintile 2","Main scheme applicant","Not main scheme application","110","75","0.706","0"
"2015","0 points","Quintile 2","Main scheme applicant","Not main scheme application","130","105","0.803","0"
"2016","0 points","Quintile 2","Main scheme applicant","Not main scheme application","140","115","0.8170000000000001","0"
"2017","0 points","Quintile 2","Main scheme applicant","Not main scheme application","105","90","0.854","0"
"2018","0 points","Quintile 2","Main scheme applicant","Not main scheme application","100","90","0.899","0"
"2019","0 points","Quintile 2","Main scheme applicant","Not main scheme application","75","65","0.8290000000000001","0"
"2020","0 points","Quintile 2","Main scheme applicant","Not main scheme application","110","105","0.92","0"
"2021","0 points","Quintile 2","Main scheme applicant","Not main scheme application","150","130","0.872","0"
"2022","0 points","Quintile 2","Main scheme applicant","Not main scheme application","115","100","0.862","0"
"2023","0 points","Quintile 2","Main scheme applicant","Not main scheme application","110","105","0.936","0"
"2010","1 points","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.76","0"
"2011","1 points","Quintile 2","Main scheme applicant","Not main scheme application","65","50","0.758","0"
"2012","1 points","Quintile 2","Main scheme applicant","Not main scheme application","65","50","0.773","0"
"2013","1 points","Quintile 2","Main scheme applicant","Not main scheme application","55","45","0.786","0"
"2014","1 points","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.7020000000000001","0"
"2015","1 points","Quintile 2","Main scheme applicant","Not main scheme application","70","55","0.775","0"
"2016","1 points","Quintile 2","Main scheme applicant","Not main scheme application","75","60","0.753","0"
"2017","1 points","Quintile 2","Main scheme applicant","Not main scheme application","70","65","0.9","0"
"2018","1 points","Quintile 2","Main scheme applicant","Not main scheme application","55","50","0.895","0"
"2019","1 points","Quintile 2","Main scheme applicant","Not main scheme application","65","60","0.9540000000000001","0"
"2020","1 points","Quintile 2","Main scheme applicant","Not main scheme application","55","50","0.912","0"
"2021","1 points","Quintile 2","Main scheme applicant","Not main scheme application","80","70","0.911","0"
"2022","1 points","Quintile 2","Main scheme applicant","Not main scheme application","75","65","0.87","0"
"2023","1 points","Quintile 2","Main scheme applicant","Not main scheme application","60","55","0.919","0"
"2010","2 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2011","2 points","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.842","0"
"2012","2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2013","2 points","Quintile 2","Main scheme applicant","Not main scheme application","40","30","0.725","0"
"2014","2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.857","0"
"2015","2 points","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.85","0"
"2016","2 points","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.86","0"
"2017","2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2018","2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2019","2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.882","0"
"2020","2 points","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.906","0"
