"Year","Achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","3 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2020","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","6 point(s)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","White","Not main scheme applicant","Not main scheme application","35","30","0.882","5"
"2020","6 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2021","6 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2022","6 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","6 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2019","7 point(s)","White","Not main scheme applicant","Not main scheme application","65","65","0.985","5"
"2020","7 point(s)","White","Not main scheme applicant","Not main scheme application","45","45","1","5"
"2021","7 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2022","7 point(s)","White","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2023","7 point(s)","White","Not main scheme applicant","Not main scheme application","25","20","0.913","0"
"2010","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","8 point(s)","White","Not main scheme applicant","Not main scheme application","15","10","0.8","5"
"2018","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","White","Not main scheme applicant","Not main scheme application","65","60","0.896","0"
"2020","8 point(s)","White","Not main scheme applicant","Not main scheme application","50","50","0.962","15"
"2021","8 point(s)","White","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2022","8 point(s)","White","Not main scheme applicant","Not main scheme application","40","35","0.925","5"
"2023","8 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2010","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","9 point(s)","White","Not main scheme applicant","Not main scheme application","20","15","0.778","5"
"2018","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","White","Not main scheme applicant","Not main scheme application","85","80","0.976","0"
"2020","9 point(s)","White","Not main scheme applicant","Not main scheme application","80","80","0.963","5"
"2021","9 point(s)","White","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","0"
"2022","9 point(s)","White","Not main scheme applicant","Not main scheme application","40","40","0.976","0"
"2023","9 point(s)","White","Not main scheme applicant","Not main scheme application","30","25","0.929","5"
"2011","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2018","10 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2019","10 point(s)","White","Not main scheme applicant","Not main scheme application","85","85","0.988","5"
"2020","10 point(s)","White","Not main scheme applicant","Not main scheme application","95","90","0.9570000000000001","10"
"2021","10 point(s)","White","Not main scheme applicant","Not main scheme application","50","45","0.979","5"
"2022","10 point(s)","White","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2023","10 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2011","11 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2015","11 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","11 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","11 point(s)","White","Not main scheme applicant","Not main scheme application","55","55","0.982","5"
"2020","11 point(s)","White","Not main scheme applicant","Not main scheme application","95","95","0.969","15"
"2021","11 point(s)","White","Not main scheme applicant","Not main scheme application","40","40","0.976","0"
"2022","11 point(s)","White","Not main scheme applicant","Not main scheme application","40","35","0.974","5"
"2023","11 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.875","5"
"2011","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","12 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","12 point(s)","White","Not main scheme applicant","Not main scheme application","50","50","0.981","5"
"2020","12 point(s)","White","Not main scheme applicant","Not main scheme application","65","60","0.9390000000000001","15"
"2021","12 point(s)","White","Not main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2022","12 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2023","12 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2011","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","White","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2020","13 point(s)","White","Not main scheme applicant","Not main scheme application","55","50","0.893","15"
"2021","13 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","5"
"2022","13 point(s)","White","Not main scheme applicant","Not main scheme application","20","15","0.85","5"
"2023","13 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2012","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2020","14 point(s)","White","Not main scheme applicant","Not main scheme application","50","45","0.882","5"
"2021","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","14 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","15 point(s)","White","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","10"
"2021","15 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","16 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","16 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2021","16 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","16 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","17 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","18 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Black","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","7 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","12 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2019","5 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","5 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","6 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2020","6 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2021","6 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","6 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2020","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","7 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2018","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2020","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2022","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","8 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2012","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2019","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","30","25","0.929","0"
"2020","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2021","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2022","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","9 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","15","0.929","5"
"2016","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2020","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2021","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2022","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2023","10 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2017","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","20","15","0.889","0"
"2020","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","15","0.867","5"
"2021","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","11 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2020","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2022","12 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2015","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","15 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","16 point(s)","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Mixed","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","9 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Mixed","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","9 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","12 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Other","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Other","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Unknown or Prefer Not To Say","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 point(s)","White","Main scheme applicant","Not main scheme application","55","45","0.789","0"
"2011","3 point(s)","White","Main scheme applicant","Not main scheme application","50","35","0.708","0"
"2012","3 point(s)","White","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2013","3 point(s)","White","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2014","3 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2015","3 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2016","3 point(s)","White","Main scheme applicant","Not main scheme application","25","25","0.926","0"
"2017","3 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2018","3 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2019","3 point(s)","White","Main scheme applicant","Not main scheme application","40","40","0.929","0"
"2020","3 point(s)","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","3 point(s)","White","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2022","3 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2023","3 point(s)","White","Main scheme applicant","Not main scheme application","55","55","0.965","0"
"2010","4 point(s)","White","Main scheme applicant","Not main scheme application","200","165","0.8240000000000001","0"
"2011","4 point(s)","White","Main scheme applicant","Not main scheme application","185","145","0.777","0"
"2012","4 point(s)","White","Main scheme applicant","Not main scheme application","155","140","0.892","0"
"2013","4 point(s)","White","Main scheme applicant","Not main scheme application","145","130","0.91","0"
"2014","4 point(s)","White","Main scheme applicant","Not main scheme application","155","130","0.857","0"
"2015","4 point(s)","White","Main scheme applicant","Not main scheme application","150","135","0.919","0"
"2016","4 point(s)","White","Main scheme applicant","Not main scheme application","140","130","0.921","0"
"2017","4 point(s)","White","Main scheme applicant","Not main scheme application","110","105","0.929","0"
"2018","4 point(s)","White","Main scheme applicant","Not main scheme application","125","115","0.9510000000000001","0"
"2019","4 point(s)","White","Main scheme applicant","Not main scheme application","145","135","0.9450000000000001","0"
"2020","4 point(s)","White","Main scheme applicant","Not main scheme application","35","35","0.973","0"
"2021","4 point(s)","White","Main scheme applicant","Not main scheme application","50","45","0.9380000000000001","0"
"2022","4 point(s)","White","Main scheme applicant","Not main scheme application","90","80","0.91","0"
"2023","4 point(s)","White","Main scheme applicant","Not main scheme application","185","170","0.914","0"
"2010","5 point(s)","White","Main scheme applicant","Not main scheme application","490","425","0.867","0"
"2011","5 point(s)","White","Main scheme applicant","Not main scheme application","525","435","0.8250000000000001","0"
"2012","5 point(s)","White","Main scheme applicant","Not main scheme application","375","325","0.872","0"
"2013","5 point(s)","White","Main scheme applicant","Not main scheme application","340","315","0.918","0"
"2014","5 point(s)","White","Main scheme applicant","Not main scheme application","395","355","0.894","0"
"2015","5 point(s)","White","Main scheme applicant","Not main scheme application","385","350","0.916","0"
"2016","5 point(s)","White","Main scheme applicant","Not main scheme application","345","315","0.916","0"
"2017","5 point(s)","White","Main scheme applicant","Not main scheme application","340","315","0.9380000000000001","0"
"2018","5 point(s)","White","Main scheme applicant","Not main scheme application","300","280","0.937","0"
"2019","5 point(s)","White","Main scheme applicant","Not main scheme application","360","335","0.93","0"
"2020","5 point(s)","White","Main scheme applicant","Not main scheme application","80","75","0.926","0"
"2021","5 point(s)","White","Main scheme applicant","Not main scheme application","95","90","0.9480000000000001","0"
"2022","5 point(s)","White","Main scheme applicant","Not main scheme application","220","205","0.932","0"
"2023","5 point(s)","White","Main scheme applicant","Not main scheme application","360","330","0.912","0"
"2010","6 point(s)","White","Main scheme applicant","Not main scheme application","835","710","0.853","0"
"2011","6 point(s)","White","Main scheme applicant","Not main scheme application","905","750","0.8270000000000001","0"
"2012","6 point(s)","White","Main scheme applicant","Not main scheme application","710","630","0.883","0"
"2013","6 point(s)","White","Main scheme applicant","Not main scheme application","590","535","0.91","0"
"2014","6 point(s)","White","Main scheme applicant","Not main scheme application","670","615","0.912","0"
