"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","55000","31585","0.5740000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","53920","33095","0.614"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","56350","37335","0.663"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","57710","36300","0.629"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","White","53990","35030","0.649"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","28205","16895","0.599"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","28390","17355","0.611"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31180","19285","0.618"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31940","18895","0.592"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","White","31600","17980","0.5690000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","32220","20625","0.64"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","31755","21545","0.678"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","33555","24345","0.725"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","36010","23790","0.661"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","White","33035","23340","0.707"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","14820","7920","0.534"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","14595","8035","0.551"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","15205","8890","0.585"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","16875","9205","0.545"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","White","16270","9310","0.5720000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28725","11305","0.394"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28360","11845","0.418"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28860","12360","0.428"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","28380","12025","0.424"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","White","26825","11455","0.427"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","4075","1885","0.462"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","4305","2045","0.47500000000000003"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5645","2575","0.456"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5730","2330","0.406"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","White","5340","2140","0.401"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","2750","1025","0.372"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1710","905","0.53"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1135","805","0.711"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","1240","880","0.71"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","White","970","680","0.7000000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","2135","1480","0.6920000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","2105","1500","0.712"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","2195","1765","0.804"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","2390","1665","0.6970000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","White","1985","1460","0.736"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","2530","1200","0.47400000000000003"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","2585","1395","0.54"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","2805","1580","0.5630000000000001"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","3090","1570","0.508"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","White","3100","1595","0.514"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","1985","1695","0.854"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","2215","1825","0.8230000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","2215","1835","0.8290000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","2045","1600","0.783"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","White","1950","1610","0.8240000000000001"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","450","375","0.8290000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","450","390","0.861"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","360","325","0.909"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","300","255","0.847"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","White","400","345","0.86"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","2060","1695","0.8220000000000001"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","2230","1805","0.81"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","2605","2240","0.859"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","2445","2040","0.834"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","White","2595","2150","0.8280000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","4855","4185","0.862"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","4740","4095","0.864"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","5615","4845","0.863"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","6135","5185","0.845"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","White","5900","5055","0.857"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","8405","6865","0.8170000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","8410","6775","0.806"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","9625","7570","0.786"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","9985","7670","0.768"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","White","9780","7750","0.792"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","8210","6590","0.802"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","8250","6480","0.786"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","8860","6985","0.788"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","9390","7065","0.752"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","White","8620","6715","0.779"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","10690","9235","0.864"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","10485","9165","0.874"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","11405","9750","0.855"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","10305","8605","0.835"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","White","9790","8230","0.841"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","250","210","0.838"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","315","260","0.8250000000000001"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","305","260","0.857"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","345","285","0.8310000000000001"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","White","355","315","0.884"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","5165","4410","0.854"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","4835","4185","0.866"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","4735","4110","0.869"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","4555","3885","0.853"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","White","4270","3730","0.874"
"2019","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","100","65","0.675"
"2020","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","75","55","0.753"
"2021","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","65","45","0.712"
"2022","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","135","105","0.76"
"2023","(CAH10) engineering and technology","(CAH10-03-03) polymers and textiles","White","185","135","0.733"
"2019","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","White","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","White","10","10"," "
"2021","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","White","10","5"," "
"2022","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","White","10","10"," "
"2023","(CAH10) engineering and technology","(CAH10-03-01) minerals technology","White","10","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","8970","6525","0.728"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","8415","6170","0.733"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","9590","7235","0.755"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","9205","6600","0.717"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","White","8355","6235","0.746"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","110","85","0.779"
"2020","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","60","55","0.923"
"2021","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","25","20","0.84"
"2022","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","40","25","0.675"
"2023","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","White","30","25","0.9"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","19920","16450","0.8260000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","19650","16290","0.8290000000000001"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","20860","16825","0.807"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","21160","16685","0.789"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","20735","16605","0.801"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","195","165","0.854"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","235","205","0.88"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","220","200","0.908"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","215","185","0.859"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","170","150","0.896"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","165","155","0.93"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","220","190","0.872"
"2021","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","175","160","0.905"
"2022","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","145","130","0.898"
"2023","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","145","130","0.884"
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","White","530","295","0.557"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","White","545","305","0.56"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","White","520","280","0.536"
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","White","455","260","0.5730000000000001"
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","White","420","250","0.597"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","1080","705","0.651"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","1165","820","0.7020000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","1065","750","0.706"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","1125","795","0.705"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","1080","745","0.6890000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","2875","2235","0.778"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","3225","2545","0.788"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","3460","2745","0.793"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","3465","2265","0.654"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","2990","2040","0.683"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","3985","2000","0.501"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","4210","2135","0.507"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","5560","2615","0.47100000000000003"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","4560","2120","0.465"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","4090","2045","0.5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","1670","1185","0.71"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","1825","1275","0.6970000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","2185","1630","0.747"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","2045","1505","0.735"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","1515","1095","0.722"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","18900","6880","0.364"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","22370","7900","0.353"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","32845","9570","0.291"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","31925","9015","0.28200000000000003"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","26690","8390","0.314"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","4240","3205","0.756"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","4475","3345","0.747"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","4965","3715","0.748"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","4670","3470","0.743"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","3685","2690","0.73"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","1180","1100","0.933"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","1480","1410","0.9520000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","2085","2020","0.97"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","1620","1575","0.973"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","1330","1305","0.981"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","7840","4715","0.601"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","8200","4920","0.6"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","9265","5690","0.614"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","9145","5275","0.577"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","7925","4745","0.599"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","2470","2105","0.853"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","2480","2120","0.855"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","2765","2315","0.838"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","2930","2325","0.794"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","2855","2365","0.8280000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","3655","2805","0.767"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","3635","2710","0.745"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","4115","3205","0.779"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","4250","3085","0.726"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","5110","3385","0.663"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","11670","4485","0.384"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","12955","5075","0.392"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","14865","5205","0.35000000000000003"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","15975","4755","0.298"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","14790","4875","0.33"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","1905","1350","0.707"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","2260","1655","0.731"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","2585","1870","0.724"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","2160","1675","0.776"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","2160","1785","0.8250000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","17630","15720","0.892"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","17580","15540","0.884"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","18390","16295","0.886"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","17845","15525","0.87"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","17580","15660","0.891"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","White","10","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","White","10","10","1.025"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","White","5","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","White","10","10"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","White","15","15","0.924"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","39815","19860","0.499"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","43545","22390","0.514"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","55400","29260","0.528"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","47335","24570","0.519"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","34225","18250","0.533"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","14825","4765","0.321"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","16070","5715","0.356"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","21545","6465","0.3"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","20145","5620","0.279"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","14830","5090","0.343"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","15","15","0.933"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","25","20","0.76"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","45","30","0.6890000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","35","30","0.914"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","25","15","0.56"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","1460","420","0.28800000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","1295","485","0.375"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","1560","555","0.355"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","1405","475","0.337"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","1095","480","0.439"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","White","735","150","0.201"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","White","860","120","0.14100000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","White","1140","145","0.125"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","White","1490","140","0.093"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","White","1535","120","0.078"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","1920","905","0.47200000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","1815","955","0.527"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","2220","1135","0.511"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","2035","935","0.46"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","1520","720","0.47400000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","12485","5195","0.41600000000000004"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","15140","6670","0.441"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","18625","8190","0.44"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","15705","6585","0.419"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","10715","5020","0.468"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","20025","5035","0.251"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","20410","5655","0.277"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","27705","6340","0.229"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","24255","5435","0.224"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","18060","5140","0.28500000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","7100","2830","0.398"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","6755","2675","0.396"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","6685","2895","0.433"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","5225","2225","0.426"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","3690","1795","0.486"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","5025","4275","0.851"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","5115","4395","0.859"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","5020","4450","0.887"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","5740","4970","0.866"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","5975","5155","0.862"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","1470","1380","0.9390000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","1010","955","0.9450000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","890","860","0.967"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","845","810","0.9580000000000001"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","630","610","0.965"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","155","125","0.8130000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","130","105","0.8270000000000001"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","150","135","0.886"
"2022","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","85","80","0.934"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","145","125","0.85"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","White","3575","3220","0.9"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","White","3130","2850","0.911"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","White","3030","2750","0.907"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","White","2945","2605","0.885"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","White","2760","2515","0.912"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","16195","14130","0.873"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","14800","13020","0.88"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","14985","12980","0.866"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","14940","12165","0.8140000000000001"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","15600","13335","0.855"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","White","16690","13710","0.8210000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","White","14905","12300","0.8250000000000001"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","White","14665","11815","0.806"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","White","14890","11785","0.792"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","White","14570","11855","0.8140000000000001"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","White","4710","3820","0.811"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","White","4055","3310","0.8160000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","White","3860","3110","0.806"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","White","3450","2680","0.777"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","White","3025","2455","0.811"
