"Year","Achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","18","All","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","5 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
