"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2011","2 points (MPP)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2010","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2020","3 points (MMP)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.895","5"
"2011","4 points (MMM)","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.882","5"
"2010","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","5 points (DMM)","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2011","7 points (DDD)","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2020","8 points (D*DD)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 points (D*D*D)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","55","30","0.519","0"
