"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","135","130","0.9490000000000001","15"
"2018","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","205","195","0.9460000000000001","10"
"2019","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","260","250","0.966","10"
"2020","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","295","290","0.976","15"
"2021","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","215","205","0.962","15"
"2022","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.9530000000000001","15"
"2023","Yorkshire and The Humber","18","All","Female","Not main scheme applicant","Not main scheme application","190","175","0.921","15"
"2006","South East","18","All","Female","Not main scheme applicant","Not main scheme application","160","155","0.963","20"
"2007","South East","18","All","Female","Not main scheme applicant","Not main scheme application","140","140","0.979","10"
"2008","South East","18","All","Female","Not main scheme applicant","Not main scheme application","150","145","0.966","20"
"2009","South East","18","All","Female","Not main scheme applicant","Not main scheme application","135","125","0.912","30"
"2010","South East","18","All","Female","Not main scheme applicant","Not main scheme application","55","50","0.962","10"
"2011","South East","18","All","Female","Not main scheme applicant","Not main scheme application","85","80","0.919","20"
"2012","South East","18","All","Female","Not main scheme applicant","Not main scheme application","135","130","0.964","15"
"2013","South East","18","All","Female","Not main scheme applicant","Not main scheme application","205","195","0.9510000000000001","25"
"2014","South East","18","All","Female","Not main scheme applicant","Not main scheme application","150","140","0.9400000000000001","20"
"2015","South East","18","All","Female","Not main scheme applicant","Not main scheme application","170","160","0.9470000000000001","15"
"2016","South East","18","All","Female","Not main scheme applicant","Not main scheme application","195","185","0.9530000000000001","15"
"2017","South East","18","All","Female","Not main scheme applicant","Not main scheme application","260","245","0.931","25"
"2018","South East","18","All","Female","Not main scheme applicant","Not main scheme application","285","265","0.937","15"
"2019","South East","18","All","Female","Not main scheme applicant","Not main scheme application","305","285","0.9440000000000001","15"
"2020","South East","18","All","Female","Not main scheme applicant","Not main scheme application","495","465","0.935","35"
"2021","South East","18","All","Female","Not main scheme applicant","Not main scheme application","280","265","0.9430000000000001","10"
"2022","South East","18","All","Female","Not main scheme applicant","Not main scheme application","265","245","0.936","15"
"2023","South East","18","All","Female","Not main scheme applicant","Not main scheme application","280","250","0.906","15"
"2006","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","5"
"2007","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","90","90","1","15"
"2008","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","85","85","0.976","15"
"2009","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","70","70","0.9580000000000001","15"
"2010","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","15"
"2011","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","40","35","0.897","15"
"2012","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","65","60","0.968","5"
"2013","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","75","70","0.896","10"
"2014","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","75","75","1","10"
"2015","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","105","95","0.932","5"
"2016","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","115","105","0.9380000000000001","5"
"2017","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","130","125","0.932","10"
"2018","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","150","145","0.9530000000000001","5"
"2019","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","145","140","0.9590000000000001","10"
"2020","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","260","250","0.965","15"
"2021","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","175","170","0.972","10"
"2022","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","180","170","0.928","10"
"2023","East Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","205","195","0.9510000000000001","5"
"2006","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","90","85","0.978","15"
"2007","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","110","110","1","15"
"2008","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","105","105","0.981","15"
"2009","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","120","115","0.9590000000000001","25"
"2010","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","15"
"2011","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","65","60","0.9380000000000001","20"
"2012","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","120","115","0.975","10"
"2013","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","130","130","0.97","10"
"2014","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","140","130","0.928","15"
"2015","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","130","125","0.9540000000000001","15"
"2016","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","135","125","0.9550000000000001","5"
"2017","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","210","200","0.962","10"
"2018","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","155","145","0.935","5"
"2019","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","195","185","0.964","10"
"2020","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","315","300","0.9430000000000001","20"
"2021","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","185","175","0.935","10"
"2022","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","195","180","0.933","10"
"2023","East of England","18","All","Female","Not main scheme applicant","Not main scheme application","185","175","0.9510000000000001","10"
"2006","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","115","110","0.9560000000000001","5"
"2007","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","155","155","0.987","5"
"2008","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","195","190","0.974","25"
"2009","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","145","140","0.972","25"
"2010","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","80","75","0.914","20"
"2011","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","70","70","0.986","20"
"2012","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","130","125","0.9470000000000001","15"
"2013","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.9480000000000001","10"
"2014","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","150","140","0.921","10"
"2015","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","165","160","0.9580000000000001","10"
"2016","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","160","155","0.968","15"
"2017","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","205","190","0.918","15"
"2018","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","265","260","0.974","10"
"2019","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","335","325","0.967","20"
"2020","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","375","350","0.9410000000000001","20"
"2021","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","275","265","0.971","15"
"2022","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","280","265","0.9430000000000001","20"
"2023","West Midlands","18","All","Female","Not main scheme applicant","Not main scheme application","255","240","0.937","20"
"2006","North West","18","All","Female","Not main scheme applicant","Not main scheme application","220","215","0.991","10"
"2007","North West","18","All","Female","Not main scheme applicant","Not main scheme application","235","235","0.992","25"
"2008","North West","18","All","Female","Not main scheme applicant","Not main scheme application","235","230","0.97","25"
"2009","North West","18","All","Female","Not main scheme applicant","Not main scheme application","200","195","0.965","20"
"2010","North West","18","All","Female","Not main scheme applicant","Not main scheme application","90","85","0.933","15"
"2011","North West","18","All","Female","Not main scheme applicant","Not main scheme application","70","65","0.901","10"
"2012","North West","18","All","Female","Not main scheme applicant","Not main scheme application","125","120","0.9440000000000001","10"
"2013","North West","18","All","Female","Not main scheme applicant","Not main scheme application","160","150","0.937","10"
"2014","North West","18","All","Female","Not main scheme applicant","Not main scheme application","170","160","0.9590000000000001","15"
"2015","North West","18","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.971","15"
"2016","North West","18","All","Female","Not main scheme applicant","Not main scheme application","195","185","0.934","20"
"2017","North West","18","All","Female","Not main scheme applicant","Not main scheme application","230","220","0.9520000000000001","20"
"2018","North West","18","All","Female","Not main scheme applicant","Not main scheme application","280","270","0.965","15"
"2019","North West","18","All","Female","Not main scheme applicant","Not main scheme application","300","285","0.9500000000000001","10"
"2020","North West","18","All","Female","Not main scheme applicant","Not main scheme application","350","335","0.9570000000000001","15"
"2021","North West","18","All","Female","Not main scheme applicant","Not main scheme application","245","235","0.963","10"
"2022","North West","18","All","Female","Not main scheme applicant","Not main scheme application","230","210","0.921","10"
"2023","North West","18","All","Female","Not main scheme applicant","Not main scheme application","265","245","0.92","25"
"2006","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","70","70","0.971","5"
"2007","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","80","80","0.975","5"
"2008","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","255","255","0.992","10"
"2009","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","225","220","0.969","5"
"2010","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","225","220","0.996","5"
"2011","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","100","100","1","0"
"2012","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","155","155","0.994","5"
"2013","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","195","190","0.99","5"
"2014","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2015","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","185","185","0.984","5"
"2016","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","190","190","0.995","5"
"2017","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","190","190","0.995","5"
"2018","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","190","190","0.995","10"
"2019","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","175","170","0.966","5"
"2020","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","235","220","0.9450000000000001","15"
"2021","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","165","160","0.988","5"
"2022","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","150","145","0.9410000000000001","10"
"2023","Scotland","18","All","Female","Not main scheme applicant","Not main scheme application","215","205","0.9490000000000001","15"
"2006","London","18","All","Female","Not main scheme applicant","Not main scheme application","170","170","0.988","25"
"2007","London","18","All","Female","Not main scheme applicant","Not main scheme application","220","215","0.964","25"
"2008","London","18","All","Female","Not main scheme applicant","Not main scheme application","205","200","0.99","35"
"2009","London","18","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.9530000000000001","35"
"2010","London","18","All","Female","Not main scheme applicant","Not main scheme application","80","80","0.975","20"
"2011","London","18","All","Female","Not main scheme applicant","Not main scheme application","130","115","0.907","25"
"2012","London","18","All","Female","Not main scheme applicant","Not main scheme application","160","145","0.907","25"
"2013","London","18","All","Female","Not main scheme applicant","Not main scheme application","240","220","0.925","25"
"2014","London","18","All","Female","Not main scheme applicant","Not main scheme application","185","165","0.913","25"
"2015","London","18","All","Female","Not main scheme applicant","Not main scheme application","215","205","0.9540000000000001","30"
"2016","London","18","All","Female","Not main scheme applicant","Not main scheme application","220","195","0.885","25"
"2017","London","18","All","Female","Not main scheme applicant","Not main scheme application","260","245","0.9500000000000001","25"
"2018","London","18","All","Female","Not main scheme applicant","Not main scheme application","295","275","0.935","20"
"2019","London","18","All","Female","Not main scheme applicant","Not main scheme application","350","330","0.932","15"
"2020","London","18","All","Female","Not main scheme applicant","Not main scheme application","460","420","0.917","45"
"2021","London","18","All","Female","Not main scheme applicant","Not main scheme application","275","250","0.902","15"
"2022","London","18","All","Female","Not main scheme applicant","Not main scheme application","330","295","0.905","20"
"2023","London","18","All","Female","Not main scheme applicant","Not main scheme application","365","335","0.91","25"
"2006","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","120","115","0.983","5"
"2007","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","110","105","0.991","10"
"2008","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","110","110","0.973","5"
"2009","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","95","90","0.989","5"
"2010","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","45","40","0.867","5"
"2011","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","40","40","1","5"
"2012","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","95","95","1","5"
"2013","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","95","90","0.9570000000000001","5"
"2014","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","75","75","1","10"
"2015","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","90","90","0.989","5"
"2016","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","90","85","0.967","5"
"2017","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","115","105","0.921","5"
"2018","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","85","80","0.93","5"
"2019","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","110","110","0.982","5"
"2020","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","110","105","0.9540000000000001","10"
"2021","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","65","65","0.97","5"
"2022","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","70","65","0.9410000000000001","5"
"2023","Wales","18","All","Female","Not main scheme applicant","Not main scheme application","75","75","0.9480000000000001","5"
"2006","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","20","15","0.85","0"
"2007","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2022","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Unknown","18","All","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2006","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","40","40","0.974","5"
"2007","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001","10"
"2008","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","55","55","1","10"
"2009","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","15"
"2010","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","15"
"2011","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","20","15","0.85","5"
"2012","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","5"
"2013","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","30","30","0.968","0"
"2014","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","25","25","0.923","5"
"2015","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2016","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2017","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","5"
"2018","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2019","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","35","30","0.882","0"
"2020","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2021","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","40","35","0.921","0"
"2022","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","75","65","0.878","5"
"2023","Northern Ireland","19","All","Female","Not main scheme applicant","Not main scheme application","75","70","0.895","5"
"2006","South West","19","All","Female","Not main scheme applicant","Not main scheme application","140","135","0.964","10"
"2007","South West","19","All","Female","Not main scheme applicant","Not main scheme application","170","170","0.977","30"
"2008","South West","19","All","Female","Not main scheme applicant","Not main scheme application","145","145","0.993","25"
"2009","South West","19","All","Female","Not main scheme applicant","Not main scheme application","120","115","0.966","35"
"2010","South West","19","All","Female","Not main scheme applicant","Not main scheme application","75","70","0.9460000000000001","20"
"2011","South West","19","All","Female","Not main scheme applicant","Not main scheme application","75","70","0.919","15"
"2012","South West","19","All","Female","Not main scheme applicant","Not main scheme application","120","120","0.984","20"
"2013","South West","19","All","Female","Not main scheme applicant","Not main scheme application","135","135","0.971","15"
"2014","South West","19","All","Female","Not main scheme applicant","Not main scheme application","105","95","0.933","15"
"2015","South West","19","All","Female","Not main scheme applicant","Not main scheme application","155","140","0.915","15"
"2016","South West","19","All","Female","Not main scheme applicant","Not main scheme application","140","135","0.965","15"
"2017","South West","19","All","Female","Not main scheme applicant","Not main scheme application","165","160","0.964","5"
"2018","South West","19","All","Female","Not main scheme applicant","Not main scheme application","190","180","0.9480000000000001","15"
"2019","South West","19","All","Female","Not main scheme applicant","Not main scheme application","220","205","0.9500000000000001","10"
"2020","South West","19","All","Female","Not main scheme applicant","Not main scheme application","245","240","0.968","15"
"2021","South West","19","All","Female","Not main scheme applicant","Not main scheme application","195","185","0.9590000000000001","10"
"2022","South West","19","All","Female","Not main scheme applicant","Not main scheme application","205","195","0.937","10"
"2023","South West","19","All","Female","Not main scheme applicant","Not main scheme application","205","185","0.907","15"
"2006","North East","19","All","Female","Not main scheme applicant","Not main scheme application","100","100","0.99","10"
"2007","North East","19","All","Female","Not main scheme applicant","Not main scheme application","100","100","0.99","10"
"2008","North East","19","All","Female","Not main scheme applicant","Not main scheme application","80","75","0.975","10"
"2009","North East","19","All","Female","Not main scheme applicant","Not main scheme application","60","55","0.983","15"
"2010","North East","19","All","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","15"
"2011","North East","19","All","Female","Not main scheme applicant","Not main scheme application","45","45","0.978","15"
"2012","North East","19","All","Female","Not main scheme applicant","Not main scheme application","70","60","0.899","5"
"2013","North East","19","All","Female","Not main scheme applicant","Not main scheme application","70","65","0.971","5"
"2014","North East","19","All","Female","Not main scheme applicant","Not main scheme application","75","65","0.918","10"
"2015","North East","19","All","Female","Not main scheme applicant","Not main scheme application","70","70","0.9580000000000001","10"
"2016","North East","19","All","Female","Not main scheme applicant","Not main scheme application","80","75","0.962","10"
"2017","North East","19","All","Female","Not main scheme applicant","Not main scheme application","105","100","0.9430000000000001","5"
"2018","North East","19","All","Female","Not main scheme applicant","Not main scheme application","175","170","0.988","10"
"2019","North East","19","All","Female","Not main scheme applicant","Not main scheme application","180","175","0.972","5"
"2020","North East","19","All","Female","Not main scheme applicant","Not main scheme application","180","170","0.961","5"
"2021","North East","19","All","Female","Not main scheme applicant","Not main scheme application","125","120","0.976","5"
"2022","North East","19","All","Female","Not main scheme applicant","Not main scheme application","170","165","0.9590000000000001","5"
"2023","North East","19","All","Female","Not main scheme applicant","Not main scheme application","180","170","0.9500000000000001","5"
"2006","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","185","185","0.984","15"
"2007","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","190","190","0.989","10"
"2008","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","180","175","0.973","15"
"2009","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","140","135","0.971","30"
"2010","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","100","95","0.9500000000000001","20"
"2011","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","85","85","0.977","15"
"2012","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","140","130","0.9430000000000001","10"
"2013","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","170","160","0.9410000000000001","10"
"2014","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","175","165","0.926","20"
"2015","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","185","170","0.909","25"
"2016","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","205","200","0.966","15"
"2017","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","225","220","0.987","15"
"2018","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","295","285","0.963","15"
"2019","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","385","375","0.974","10"
"2020","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","305","285","0.934","5"
"2021","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","235","215","0.919","10"
"2022","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","335","325","0.961","20"
"2023","Yorkshire and The Humber","19","All","Female","Not main scheme applicant","Not main scheme application","380","360","0.9400000000000001","20"
"2006","South East","19","All","Female","Not main scheme applicant","Not main scheme application","200","200","0.985","25"
"2007","South East","19","All","Female","Not main scheme applicant","Not main scheme application","205","200","0.975","25"
"2008","South East","19","All","Female","Not main scheme applicant","Not main scheme application","265","260","0.977","25"
"2009","South East","19","All","Female","Not main scheme applicant","Not main scheme application","205","190","0.926","35"
"2010","South East","19","All","Female","Not main scheme applicant","Not main scheme application","120","110","0.933","25"
"2011","South East","19","All","Female","Not main scheme applicant","Not main scheme application","120","110","0.9410000000000001","35"
"2012","South East","19","All","Female","Not main scheme applicant","Not main scheme application","175","175","0.983","20"
"2013","South East","19","All","Female","Not main scheme applicant","Not main scheme application","270","260","0.967","35"
"2014","South East","19","All","Female","Not main scheme applicant","Not main scheme application","280","260","0.9390000000000001","20"
"2015","South East","19","All","Female","Not main scheme applicant","Not main scheme application","330","315","0.964","15"
"2016","South East","19","All","Female","Not main scheme applicant","Not main scheme application","375","350","0.934","20"
"2017","South East","19","All","Female","Not main scheme applicant","Not main scheme application","355","330","0.935","20"
"2018","South East","19","All","Female","Not main scheme applicant","Not main scheme application","430","410","0.9490000000000001","25"
"2019","South East","19","All","Female","Not main scheme applicant","Not main scheme application","455","425","0.9410000000000001","20"
"2020","South East","19","All","Female","Not main scheme applicant","Not main scheme application","565","520","0.922","25"
"2021","South East","19","All","Female","Not main scheme applicant","Not main scheme application","455","425","0.934","15"
"2022","South East","19","All","Female","Not main scheme applicant","Not main scheme application","440","405","0.925","25"
"2023","South East","19","All","Female","Not main scheme applicant","Not main scheme application","470","430","0.911","30"
"2006","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","110","105","0.981","15"
"2007","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","130","130","0.992","15"
"2008","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","125","125","0.992","20"
"2009","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","80","75","0.974","40"
"2010","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","60","55","0.871","15"
"2011","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","35","30","0.914","10"
"2012","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","90","80","0.92","10"
"2013","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","120","110","0.933","20"
"2014","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","105","105","0.981","15"
"2015","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","135","125","0.9400000000000001","10"
"2016","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","165","160","0.9580000000000001","10"
"2017","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","195","180","0.918","10"
"2018","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","185","175","0.935","10"
"2019","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","225","215","0.9470000000000001","10"
"2020","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","280","260","0.932","15"
"2021","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","265","260","0.97","10"
"2022","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","280","260","0.922","15"
"2023","East Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","335","315","0.9430000000000001","10"
"2006","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","135","135","0.985","15"
"2007","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","155","155","0.981","30"
"2008","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","170","170","0.977","35"
"2009","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","160","155","0.9570000000000001","35"
"2010","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","110","105","0.9550000000000001","25"
"2011","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","90","85","0.9430000000000001","30"
"2012","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","170","155","0.929","15"
"2013","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","190","180","0.9480000000000001","15"
"2014","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","210","195","0.933","15"
"2015","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","215","205","0.9440000000000001","20"
"2016","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","210","205","0.971","15"
"2017","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","255","245","0.9530000000000001","15"
"2018","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","265","255","0.9510000000000001","15"
"2019","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","300","280","0.937","20"
"2020","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","350","335","0.9570000000000001","15"
"2021","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","235","220","0.9490000000000001","15"
"2022","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","280","265","0.9400000000000001","25"
"2023","East of England","19","All","Female","Not main scheme applicant","Not main scheme application","345","320","0.925","15"
"2006","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","190","190","0.995","20"
"2007","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","230","225","0.97","25"
"2008","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","290","275","0.9580000000000001","20"
"2009","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","240","225","0.9380000000000001","30"
"2010","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","120","110","0.9490000000000001","35"
"2011","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","120","110","0.924","30"
"2012","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","175","170","0.96","20"
"2013","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","195","190","0.964","20"
"2014","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","210","190","0.904","15"
"2015","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","255","240","0.9380000000000001","15"
"2016","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","260","250","0.9580000000000001","15"
"2017","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","330","310","0.934","15"
"2018","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","370","355","0.962","10"
"2019","West Midlands","19","All","Female","Not main scheme applicant","Not main scheme application","400","380","0.9480000000000001","10"
