"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2022","Quintile 5","18","England","Female","710","360","275"
"2023","Quintile 5","18","England","Female","1295","590","435"
"2020","Quintile 5","18","Scotland","Female","70","35","25"
"2021","Quintile 5","18","Scotland","Female","50","15","15"
"2022","Quintile 5","18","Scotland","Female","35","10","10"
"2023","Quintile 5","18","Scotland","Female","90","40","35"
"2020","Quintile 5","18","Wales","Female","20","10","10"
"2021","Quintile 5","18","Wales","Female","20","15","10"
"2022","Quintile 5","18","Wales","Female","15","10","5"
"2023","Quintile 5","18","Wales","Female","30","10","10"
"2020","Quintile 1","19","Northern Ireland","Female","5","5","5"
"2021","Quintile 1","19","Northern Ireland","Female","5","0","0"
"2023","Quintile 1","19","Northern Ireland","Female","5","0","0"
"2020","Quintile 1","19","England","Female","140","75","60"
"2021","Quintile 1","19","England","Female","100","45","35"
"2022","Quintile 1","19","England","Female","70","30","25"
"2023","Quintile 1","19","England","Female","160","65","45"
"2020","Quintile 1","19","Scotland","Female","10","5","5"
"2022","Quintile 1","19","Scotland","Female","5","0","0"
"2023","Quintile 1","19","Scotland","Female","5","0","0"
"2020","Quintile 1","19","Wales","Female","15","10","5"
"2021","Quintile 1","19","Wales","Female","10","5","5"
"2022","Quintile 1","19","Wales","Female","5","0","0"
"2023","Quintile 1","19","Wales","Female","15","5","0"
"2020","Quintile 2","19","Northern Ireland","Female","5","5","0"
"2021","Quintile 2","19","Northern Ireland","Female","5","5","5"
"2020","Quintile 2","19","England","Female","175","85","65"
"2021","Quintile 2","19","England","Female","115","60","40"
"2022","Quintile 2","19","England","Female","65","25","15"
"2023","Quintile 2","19","England","Female","175","85","60"
"2020","Quintile 2","19","Scotland","Female","10","5","5"
"2021","Quintile 2","19","Scotland","Female","10","5","5"
"2022","Quintile 2","19","Scotland","Female","10","5","5"
"2023","Quintile 2","19","Scotland","Female","15","10","10"
"2020","Quintile 2","19","Wales","Female","20","10","5"
"2021","Quintile 2","19","Wales","Female","10","5","5"
"2023","Quintile 2","19","Wales","Female","15","10","5"
"2020","Quintile 3","19","Northern Ireland","Female","10","5","0"
"2021","Quintile 3","19","Northern Ireland","Female","5","0","0"
"2023","Quintile 3","19","Northern Ireland","Female","5","0","0"
"2020","Quintile 3","19","England","Female","240","120","80"
"2021","Quintile 3","19","England","Female","165","80","60"
"2022","Quintile 3","19","England","Female","100","50","35"
"2023","Quintile 3","19","England","Female","255","130","95"
"2020","Quintile 3","19","Scotland","Female","10","5","0"
"2021","Quintile 3","19","Scotland","Female","10","5","0"
"2022","Quintile 3","19","Scotland","Female","5","0","0"
"2023","Quintile 3","19","Scotland","Female","20","5","5"
"2020","Quintile 3","19","Wales","Female","10","5","5"
"2021","Quintile 3","19","Wales","Female","5","5","5"
"2022","Quintile 3","19","Wales","Female","5","0","0"
"2023","Quintile 3","19","Wales","Female","10","5","5"
