"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2022","Quintile 2","17 and under","England","Male","5","0","0"
"2023","Quintile 2","17 and under","England","Male","5","0","0"
"2020","Quintile 3","17 and under","England","Male","5","0","0"
"2021","Quintile 3","17 and under","England","Male","5","0","0"
"2022","Quintile 3","17 and under","England","Male","5","0","0"
"2021","Quintile 4","17 and under","England","Male","5","0","0"
"2023","Quintile 4","17 and under","England","Male","5","0","0"
"2021","Quintile 4","17 and under","Scotland","Male","5","0","0"
"2022","Quintile 4","17 and under","Scotland","Male","5","0","0"
"2023","Quintile 4","17 and under","Scotland","Male","5","5","5"
"2020","Quintile 5","17 and under","England","Male","5","5","5"
"2022","Quintile 5","17 and under","England","Male","5","0","0"
"2023","Quintile 5","17 and under","England","Male","5","0","0"
"2021","Quintile 5","17 and under","Scotland","Male","5","0","0"
"2023","Quintile 5","17 and under","Scotland","Male","5","5","5"
"2020","Unknown","18","England","Male","5","0","0"
"2023","Unknown","18","England","Male","5","0","0"
"2020","Quintile 1","18","Northern Ireland","Male","5","0","0"
"2021","Quintile 1","18","Northern Ireland","Male","10","5","0"
"2022","Quintile 1","18","Northern Ireland","Male","10","5","5"
"2023","Quintile 1","18","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","18","England","Male","315","145","115"
"2021","Quintile 1","18","England","Male","315","180","135"
"2022","Quintile 1","18","England","Male","260","145","100"
"2023","Quintile 1","18","England","Male","470","225","165"
"2020","Quintile 1","18","Scotland","Male","15","5","5"
"2021","Quintile 1","18","Scotland","Male","5","5","5"
"2022","Quintile 1","18","Scotland","Male","5","5","5"
"2023","Quintile 1","18","Scotland","Male","15","5","5"
"2020","Quintile 1","18","Wales","Male","20","10","10"
"2021","Quintile 1","18","Wales","Male","10","5","5"
"2022","Quintile 1","18","Wales","Male","10","10","5"
"2023","Quintile 1","18","Wales","Male","20","10","10"
"2020","Quintile 2","18","Northern Ireland","Male","15","10","10"
"2021","Quintile 2","18","Northern Ireland","Male","5","5","0"
"2022","Quintile 2","18","Northern Ireland","Male","10","5","5"
"2020","Quintile 2","18","England","Male","545","265","175"
"2021","Quintile 2","18","England","Male","395","235","170"
"2022","Quintile 2","18","England","Male","340","200","150"
"2023","Quintile 2","18","England","Male","555","255","175"
"2020","Quintile 2","18","Scotland","Male","15","5","5"
"2021","Quintile 2","18","Scotland","Male","20","10","5"
"2022","Quintile 2","18","Scotland","Male","15","10","5"
"2023","Quintile 2","18","Scotland","Male","25","10","5"
"2020","Quintile 2","18","Wales","Male","15","15","10"
"2021","Quintile 2","18","Wales","Male","15","10","10"
"2022","Quintile 2","18","Wales","Male","25","15","10"
"2023","Quintile 2","18","Wales","Male","25","15","10"
"2020","Quintile 3","18","Northern Ireland","Male","25","10","10"
"2021","Quintile 3","18","Northern Ireland","Male","15","5","5"
"2022","Quintile 3","18","Northern Ireland","Male","15","10","10"
"2023","Quintile 3","18","Northern Ireland","Male","5","5","0"
"2020","Quintile 3","18","England","Male","775","330","225"
"2021","Quintile 3","18","England","Male","515","290","215"
"2022","Quintile 3","18","England","Male","500","255","190"
"2023","Quintile 3","18","England","Male","785","385","270"
"2020","Quintile 3","18","Scotland","Male","35","20","20"
"2021","Quintile 3","18","Scotland","Male","15","5","5"
"2022","Quintile 3","18","Scotland","Male","25","10","10"
"2023","Quintile 3","18","Scotland","Male","30","15","10"
"2020","Quintile 3","18","Wales","Male","25","15","10"
"2021","Quintile 3","18","Wales","Male","15","10","10"
"2022","Quintile 3","18","Wales","Male","15","10","5"
"2023","Quintile 3","18","Wales","Male","20","15","15"
"2020","Quintile 4","18","Northern Ireland","Male","25","5","5"
"2021","Quintile 4","18","Northern Ireland","Male","15","10","5"
"2022","Quintile 4","18","Northern Ireland","Male","15","10","10"
"2023","Quintile 4","18","Northern Ireland","Male","10","5","5"
"2020","Quintile 4","18","England","Male","1070","450","310"
"2021","Quintile 4","18","England","Male","710","395","295"
"2022","Quintile 4","18","England","Male","655","365","275"
"2023","Quintile 4","18","England","Male","1075","540","375"
"2020","Quintile 4","18","Scotland","Male","30","10","10"
"2021","Quintile 4","18","Scotland","Male","25","15","10"
"2022","Quintile 4","18","Scotland","Male","20","10","5"
"2023","Quintile 4","18","Scotland","Male","30","15","15"
"2020","Quintile 4","18","Wales","Male","25","15","10"
"2021","Quintile 4","18","Wales","Male","15","10","5"
"2022","Quintile 4","18","Wales","Male","10","10","5"
"2023","Quintile 4","18","Wales","Male","25","20","10"
"2020","Quintile 5","18","Northern Ireland","Male","25","10","10"
"2021","Quintile 5","18","Northern Ireland","Male","30","20","15"
"2022","Quintile 5","18","Northern Ireland","Male","35","20","15"
"2023","Quintile 5","18","Northern Ireland","Male","15","5","0"
"2020","Quintile 5","18","England","Male","1805","720","470"
"2021","Quintile 5","18","England","Male","970","510","360"
"2022","Quintile 5","18","England","Male","885","435","320"
"2023","Quintile 5","18","England","Male","1310","625","410"
"2020","Quintile 5","18","Scotland","Male","55","30","25"
"2021","Quintile 5","18","Scotland","Male","40","20","15"
"2022","Quintile 5","18","Scotland","Male","30","15","10"
"2023","Quintile 5","18","Scotland","Male","65","35","30"
"2020","Quintile 5","18","Wales","Male","25","10","5"
"2021","Quintile 5","18","Wales","Male","20","15","10"
"2022","Quintile 5","18","Wales","Male","15","10","5"
"2023","Quintile 5","18","Wales","Male","20","15","10"
"2020","Quintile 1","19","Northern Ireland","Male","10","5","5"
"2021","Quintile 1","19","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","19","England","Male","105","50","40"
"2021","Quintile 1","19","England","Male","70","40","30"
"2022","Quintile 1","19","England","Male","65","40","30"
"2023","Quintile 1","19","England","Male","120","50","30"
"2020","Quintile 1","19","Scotland","Male","5","0","0"
"2023","Quintile 1","19","Scotland","Male","5","0","0"
"2020","Quintile 1","19","Wales","Male","5","5","5"
"2021","Quintile 1","19","Wales","Male","10","5","5"
"2022","Quintile 1","19","Wales","Male","5","5","5"
"2023","Quintile 1","19","Wales","Male","5","0","0"
"2020","Quintile 2","19","England","Male","135","65","50"
"2021","Quintile 2","19","England","Male","90","55","40"
"2022","Quintile 2","19","England","Male","80","35","30"
"2023","Quintile 2","19","England","Male","155","80","55"
"2020","Quintile 2","19","Scotland","Male","5","0","0"
"2021","Quintile 2","19","Scotland","Male","5","0","0"
"2023","Quintile 2","19","Scotland","Male","5","5","5"
"2020","Quintile 2","19","Wales","Male","10","0","0"
"2021","Quintile 2","19","Wales","Male","5","5","5"
"2022","Quintile 2","19","Wales","Male","5","5","5"
"2023","Quintile 2","19","Wales","Male","5","5","5"
"2020","Quintile 3","19","Northern Ireland","Male","5","5","5"
"2021","Quintile 3","19","Northern Ireland","Male","5","5","0"
"2023","Quintile 3","19","Northern Ireland","Male","5","0","0"
"2020","Quintile 3","19","England","Male","190","90","65"
"2021","Quintile 3","19","England","Male","140","75","45"
"2022","Quintile 3","19","England","Male","110","60","45"
"2023","Quintile 3","19","England","Male","215","110","65"
"2020","Quintile 3","19","Scotland","Male","5","5","5"
"2021","Quintile 3","19","Scotland","Male","5","0","0"
"2022","Quintile 3","19","Scotland","Male","5","5","5"
"2023","Quintile 3","19","Scotland","Male","10","5","0"
"2020","Quintile 3","19","Wales","Male","10","10","5"
"2021","Quintile 3","19","Wales","Male","5","5","5"
"2022","Quintile 3","19","Wales","Male","5","0","0"
"2023","Quintile 3","19","Wales","Male","10","5","5"
"2020","Quintile 4","19","Northern Ireland","Male","10","5","5"
"2020","Quintile 4","19","England","Male","260","130","75"
"2021","Quintile 4","19","England","Male","175","85","55"
"2022","Quintile 4","19","England","Male","130","70","55"
"2023","Quintile 4","19","England","Male","235","100","60"
"2020","Quintile 4","19","Scotland","Male","5","5","5"
"2021","Quintile 4","19","Scotland","Male","5","5","5"
"2022","Quintile 4","19","Scotland","Male","5","0","0"
"2023","Quintile 4","19","Scotland","Male","15","5","0"
"2020","Quintile 4","19","Wales","Male","5","5","5"
"2021","Quintile 4","19","Wales","Male","5","0","0"
"2022","Quintile 4","19","Wales","Male","5","0","0"
"2023","Quintile 4","19","Wales","Male","5","5","0"
"2020","Quintile 5","19","Northern Ireland","Male","20","10","10"
"2021","Quintile 5","19","Northern Ireland","Male","10","5","5"
"2020","Quintile 5","19","England","Male","325","140","95"
"2021","Quintile 5","19","England","Male","170","105","70"
"2022","Quintile 5","19","England","Male","150","80","60"
"2023","Quintile 5","19","England","Male","285","135","90"
"2020","Quintile 5","19","Scotland","Male","20","10","10"
"2021","Quintile 5","19","Scotland","Male","15","5","5"
"2022","Quintile 5","19","Scotland","Male","10","5","5"
"2023","Quintile 5","19","Scotland","Male","25","10","10"
"2020","Quintile 5","19","Wales","Male","10","5","5"
"2021","Quintile 5","19","Wales","Male","5","5","5"
"2023","Quintile 5","19","Wales","Male","5","5","0"
"2020","Quintile 1","20","Northern Ireland","Male","5","0","0"
"2020","Quintile 1","20","England","Male","40","25","20"
"2021","Quintile 1","20","England","Male","45","20","15"
"2022","Quintile 1","20","England","Male","35","20","15"
"2023","Quintile 1","20","England","Male","45","20","15"
"2020","Quintile 1","20","Wales","Male","5","0","0"
"2023","Quintile 1","20","Wales","Male","5","0","0"
"2020","Quintile 2","20","Northern Ireland","Male","5","0","0"
"2020","Quintile 2","20","England","Male","70","40","35"
"2021","Quintile 2","20","England","Male","40","25","20"
"2022","Quintile 2","20","England","Male","30","15","10"
"2023","Quintile 2","20","England","Male","65","30","20"
"2021","Quintile 2","20","Scotland","Male","5","0","0"
"2023","Quintile 2","20","Scotland","Male","5","0","0"
"2020","Quintile 2","20","Wales","Male","5","0","0"
"2021","Quintile 2","20","Wales","Male","5","0","0"
"2020","Quintile 3","20","Northern Ireland","Male","5","0","0"
"2020","Quintile 3","20","England","Male","75","45","35"
"2021","Quintile 3","20","England","Male","55","25","10"
"2022","Quintile 3","20","England","Male","35","20","15"
"2023","Quintile 3","20","England","Male","65","30","20"
"2020","Quintile 3","20","Scotland","Male","5","0","0"
"2021","Quintile 3","20","Scotland","Male","5","0","0"
"2022","Quintile 3","20","Scotland","Male","5","5","5"
"2020","Quintile 3","20","Wales","Male","5","5","5"
"2021","Quintile 3","20","Wales","Male","5","0","0"
"2020","Quintile 4","20","England","Male","75","50","35"
"2021","Quintile 4","20","England","Male","40","20","15"
"2022","Quintile 4","20","England","Male","60","35","30"
"2023","Quintile 4","20","England","Male","75","35","25"
"2020","Quintile 4","20","Scotland","Male","5","0","0"
"2021","Quintile 4","20","Scotland","Male","5","0","0"
"2022","Quintile 4","20","Scotland","Male","5","0","0"
"2023","Quintile 4","20","Scotland","Male","5","5","5"
"2020","Quintile 5","20","Northern Ireland","Male","10","5","0"
"2020","Quintile 5","20","England","Male","95","45","30"
"2021","Quintile 5","20","England","Male","75","30","20"
"2022","Quintile 5","20","England","Male","55","30","30"
"2023","Quintile 5","20","England","Male","85","40","30"
"2020","Quintile 5","20","Scotland","Male","5","0","0"
"2021","Quintile 5","20","Scotland","Male","5","5","5"
"2022","Quintile 5","20","Scotland","Male","5","0","0"
"2023","Quintile 5","20","Scotland","Male","5","5","5"
"2021","Quintile 5","20","Wales","Male","5","0","0"
"2020","Quintile 1","21 - 24","England","Male","75","40","25"
"2021","Quintile 1","21 - 24","England","Male","70","30","20"
"2022","Quintile 1","21 - 24","England","Male","45","20","15"
"2023","Quintile 1","21 - 24","England","Male","65","25","20"
"2020","Quintile 1","21 - 24","Scotland","Male","5","0","0"
"2021","Quintile 1","21 - 24","Scotland","Male","5","0","0"
"2023","Quintile 1","21 - 24","Scotland","Male","5","0","0"
"2020","Quintile 1","21 - 24","Wales","Male","5","5","5"
"2021","Quintile 1","21 - 24","Wales","Male","10","5","5"
"2022","Quintile 1","21 - 24","Wales","Male","5","0","0"
"2023","Quintile 1","21 - 24","Wales","Male","5","5","0"
"2020","Quintile 2","21 - 24","England","Male","85","40","25"
"2021","Quintile 2","21 - 24","England","Male","65","30","20"
"2022","Quintile 2","21 - 24","England","Male","50","30","20"
"2023","Quintile 2","21 - 24","England","Male","75","40","25"
"2020","Quintile 2","21 - 24","Scotland","Male","10","5","5"
"2021","Quintile 2","21 - 24","Scotland","Male","5","0","0"
"2020","Quintile 2","21 - 24","Wales","Male","5","5","5"
"2021","Quintile 2","21 - 24","Wales","Male","5","0","0"
"2022","Quintile 2","21 - 24","Wales","Male","5","5","5"
"2023","Quintile 2","21 - 24","Wales","Male","10","5","5"
"2020","Quintile 3","21 - 24","England","Male","95","55","40"
"2021","Quintile 3","21 - 24","England","Male","55","20","10"
"2022","Quintile 3","21 - 24","England","Male","50","20","20"
"2023","Quintile 3","21 - 24","England","Male","100","40","25"
"2020","Quintile 3","21 - 24","Scotland","Male","10","5","5"
"2021","Quintile 3","21 - 24","Scotland","Male","10","0","0"
"2022","Quintile 3","21 - 24","Scotland","Male","5","0","0"
"2023","Quintile 3","21 - 24","Scotland","Male","10","5","5"
"2020","Quintile 3","21 - 24","Wales","Male","5","0","0"
"2021","Quintile 3","21 - 24","Wales","Male","5","0","0"
"2020","Quintile 4","21 - 24","Northern Ireland","Male","5","5","5"
"2020","Quintile 4","21 - 24","England","Male","110","55","40"
"2021","Quintile 4","21 - 24","England","Male","70","25","20"
"2022","Quintile 4","21 - 24","England","Male","55","20","15"
"2023","Quintile 4","21 - 24","England","Male","115","50","30"
"2020","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2021","Quintile 4","21 - 24","Scotland","Male","10","5","5"
"2023","Quintile 4","21 - 24","Scotland","Male","5","5","5"
"2020","Quintile 5","21 - 24","Northern Ireland","Male","15","10","5"
"2020","Quintile 5","21 - 24","England","Male","100","55","40"
"2021","Quintile 5","21 - 24","England","Male","60","20","15"
"2022","Quintile 5","21 - 24","England","Male","60","20","20"
"2023","Quintile 5","21 - 24","England","Male","90","40","30"
"2020","Quintile 5","21 - 24","Scotland","Male","15","5","5"
"2021","Quintile 5","21 - 24","Scotland","Male","15","5","0"
"2022","Quintile 5","21 - 24","Scotland","Male","10","5","5"
"2023","Quintile 5","21 - 24","Scotland","Male","10","5","5"
"2020","Quintile 5","21 - 24","Wales","Male","5","5","0"
"2023","Quintile 5","21 - 24","Wales","Male","5","5","0"
"2020","Quintile 1","25 - 29","England","Male","35","10","5"
"2021","Quintile 1","25 - 29","England","Male","25","5","5"
"2022","Quintile 1","25 - 29","England","Male","15","5","5"
"2023","Quintile 1","25 - 29","England","Male","30","10","5"
"2020","Quintile 1","25 - 29","Scotland","Male","5","0","0"
"2023","Quintile 1","25 - 29","Wales","Male","5","0","0"
"2020","Quintile 2","25 - 29","England","Male","35","20","15"
"2021","Quintile 2","25 - 29","England","Male","30","15","10"
"2022","Quintile 2","25 - 29","England","Male","15","5","0"
"2023","Quintile 2","25 - 29","England","Male","30","10","5"
"2020","Quintile 2","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 2","25 - 29","Scotland","Male","5","0","0"
"2020","Quintile 2","25 - 29","Wales","Male","5","0","0"
"2022","Quintile 2","25 - 29","Wales","Male","5","5","5"
"2020","Quintile 3","25 - 29","England","Male","30","15","10"
"2021","Quintile 3","25 - 29","England","Male","30","10","10"
"2022","Quintile 3","25 - 29","England","Male","25","10","10"
"2023","Quintile 3","25 - 29","England","Male","35","10","10"
"2020","Quintile 3","25 - 29","Scotland","Male","5","5","5"
"2021","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2023","Quintile 3","25 - 29","Scotland","Male","5","0","0"
"2020","Quintile 3","25 - 29","Wales","Male","5","0","0"
"2021","Quintile 3","25 - 29","Wales","Male","5","0","0"
"2020","Quintile 4","25 - 29","England","Male","45","20","15"
"2021","Quintile 4","25 - 29","England","Male","20","10","5"
"2022","Quintile 4","25 - 29","England","Male","20","10","5"
"2023","Quintile 4","25 - 29","England","Male","25","10","5"
"2020","Quintile 4","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 4","25 - 29","Scotland","Male","5","5","5"
"2020","Quintile 5","25 - 29","England","Male","55","15","15"
"2021","Quintile 5","25 - 29","England","Male","25","10","5"
"2022","Quintile 5","25 - 29","England","Male","20","5","5"
"2023","Quintile 5","25 - 29","England","Male","30","15","10"
"2020","Quintile 5","25 - 29","Scotland","Male","5","0","0"
"2021","Quintile 5","25 - 29","Scotland","Male","5","0","0"
"2022","Quintile 5","25 - 29","Scotland","Male","5","5","5"
"2023","Quintile 5","25 - 29","Scotland","Male","5","5","0"
"2023","Quintile 5","25 - 29","Wales","Male","5","5","5"
"2020","Quintile 1","30 - 34","England","Male","25","10","5"
"2021","Quintile 1","30 - 34","England","Male","15","5","5"
"2022","Quintile 1","30 - 34","England","Male","5","0","0"
"2023","Quintile 1","30 - 34","England","Male","20","0","0"
"2020","Quintile 2","30 - 34","England","Male","25","10","10"
"2021","Quintile 2","30 - 34","England","Male","20","5","5"
"2022","Quintile 2","30 - 34","England","Male","15","5","0"
"2023","Quintile 2","30 - 34","England","Male","25","10","5"
"2022","Quintile 2","30 - 34","Scotland","Male","5","0","0"
"2023","Quintile 2","30 - 34","Wales","Male","5","5","0"
"2020","Quintile 3","30 - 34","England","Male","25","10","5"
"2021","Quintile 3","30 - 34","England","Male","10","0","0"
"2022","Quintile 3","30 - 34","England","Male","10","5","0"
"2023","Quintile 3","30 - 34","England","Male","20","10","5"
"2020","Quintile 3","30 - 34","Scotland","Male","5","0","0"
"2021","Quintile 3","30 - 34","Scotland","Male","5","0","0"
"2020","Quintile 4","30 - 34","England","Male","30","10","10"
"2021","Quintile 4","30 - 34","England","Male","15","5","0"
"2022","Quintile 4","30 - 34","England","Male","15","5","5"
"2023","Quintile 4","30 - 34","England","Male","15","5","5"
"2020","Quintile 4","30 - 34","Scotland","Male","5","0","0"
"2021","Quintile 4","30 - 34","Scotland","Male","5","0","0"
"2020","Quintile 5","30 - 34","England","Male","35","15","10"
"2021","Quintile 5","30 - 34","England","Male","15","5","5"
"2022","Quintile 5","30 - 34","England","Male","10","5","5"
"2023","Quintile 5","30 - 34","England","Male","15","5","5"
"2020","Quintile 5","30 - 34","Scotland","Male","5","0","0"
"2021","Quintile 5","30 - 34","Scotland","Male","5","0","0"
"2023","Quintile 5","30 - 34","Scotland","Male","5","0","0"
"2020","Quintile 1","35 and over","England","Male","55","15","10"
"2021","Quintile 1","35 and over","England","Male","40","10","5"
"2022","Quintile 1","35 and over","England","Male","50","10","5"
"2023","Quintile 1","35 and over","England","Male","50","10","5"
"2023","Quintile 1","35 and over","Scotland","Male","5","0","0"
"2020","Quintile 1","35 and over","Wales","Male","5","0","0"
"2020","Quintile 2","35 and over","England","Male","70","25","20"
"2021","Quintile 2","35 and over","England","Male","35","10","5"
"2022","Quintile 2","35 and over","England","Male","45","5","5"
"2023","Quintile 2","35 and over","England","Male","55","15","10"
"2020","Quintile 2","35 and over","Scotland","Male","5","0","0"
"2021","Quintile 2","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 2","35 and over","Scotland","Male","5","0","0"
"2020","Quintile 2","35 and over","Wales","Male","5","0","0"
"2021","Quintile 2","35 and over","Wales","Male","5","0","0"
"2022","Quintile 2","35 and over","Wales","Male","5","0","0"
"2020","Quintile 3","35 and over","England","Male","60","25","20"
"2021","Quintile 3","35 and over","England","Male","40","10","5"
"2022","Quintile 3","35 and over","England","Male","60","10","10"
"2023","Quintile 3","35 and over","England","Male","60","15","10"
"2020","Quintile 3","35 and over","Scotland","Male","5","0","0"
"2021","Quintile 3","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 3","35 and over","Scotland","Male","5","0","0"
"2022","Quintile 3","35 and over","Wales","Male","5","0","0"
"2020","Quintile 4","35 and over","England","Male","60","20","15"
"2021","Quintile 4","35 and over","England","Male","40","5","5"
"2022","Quintile 4","35 and over","England","Male","50","10","10"
"2023","Quintile 4","35 and over","England","Male","55","10","10"
"2020","Quintile 4","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 4","35 and over","Scotland","Male","5","0","0"
"2020","Quintile 5","35 and over","England","Male","45","15","10"
"2021","Quintile 5","35 and over","England","Male","35","10","5"
"2022","Quintile 5","35 and over","England","Male","30","5","5"
"2023","Quintile 5","35 and over","England","Male","45","15","10"
"2020","Quintile 5","35 and over","Scotland","Male","5","5","5"
"2021","Quintile 5","35 and over","Scotland","Male","5","0","0"
"2022","Quintile 5","35 and over","Scotland","Male","5","0","0"
"2023","Quintile 5","35 and over","Scotland","Male","5","5","5"
"2020","All","17 and under","England","Female","25","15","5"
"2021","All","17 and under","England","Female","10","5","5"
"2022","All","17 and under","England","Female","10","0","0"
"2023","All","17 and under","England","Female","20","5","5"
"2020","All","17 and under","Scotland","Female","20","10","5"
"2021","All","17 and under","Scotland","Female","15","5","5"
"2022","All","17 and under","Scotland","Female","15","5","5"
"2023","All","17 and under","Scotland","Female","25","10","10"
"2020","All","18","Northern Ireland","Female","150","70","60"
"2021","All","18","Northern Ireland","Female","135","65","55"
"2022","All","18","Northern Ireland","Female","75","50","35"
"2023","All","18","Northern Ireland","Female","90","25","20"
"2020","All","18","England","Female","4870","2185","1570"
"2021","All","18","England","Female","3625","1935","1490"
"2022","All","18","England","Female","2505","1255","960"
"2023","All","18","England","Female","4905","2320","1660"
"2020","All","18","Scotland","Female","245","105","75"
"2021","All","18","Scotland","Female","165","65","50"
"2022","All","18","Scotland","Female","110","35","30"
"2023","All","18","Scotland","Female","305","115","100"
"2020","All","18","Wales","Female","140","75","55"
"2021","All","18","Wales","Female","115","65","50"
"2022","All","18","Wales","Female","85","55","45"
"2023","All","18","Wales","Female","165","85","65"
"2020","All","19","Northern Ireland","Female","45","20","20"
"2021","All","19","Northern Ireland","Female","25","10","10"
"2022","All","19","Northern Ireland","Female","5","5","5"
"2023","All","19","Northern Ireland","Female","15","0","0"
"2020","All","19","England","Female","1185","575","420"
"2021","All","19","England","Female","785","400","285"
"2022","All","19","England","Female","490","230","170"
"2023","All","19","England","Female","1120","520","380"
"2020","All","19","Scotland","Female","80","30","25"
"2021","All","19","Scotland","Female","50","20","15"
"2022","All","19","Scotland","Female","35","15","15"
"2023","All","19","Scotland","Female","75","35","30"
"2020","All","19","Wales","Female","55","30","20"
"2021","All","19","Wales","Female","40","25","20"
"2022","All","19","Wales","Female","15","5","5"
"2023","All","19","Wales","Female","65","35","25"
"2020","All","20","Northern Ireland","Female","15","5","5"
"2021","All","20","Northern Ireland","Female","5","5","5"
"2022","All","20","Northern Ireland","Female","5","0","0"
"2023","All","20","Northern Ireland","Female","5","0","0"
"2020","All","20","England","Female","465","235","195"
"2021","All","20","England","Female","355","130","100"
"2022","All","20","England","Female","190","70","45"
"2023","All","20","England","Female","385","170","125"
"2020","All","20","Scotland","Female","30","15","10"
"2021","All","20","Scotland","Female","20","5","5"
"2022","All","20","Scotland","Female","15","5","5"
"2023","All","20","Scotland","Female","45","20","15"
"2020","All","20","Wales","Female","20","10","5"
"2021","All","20","Wales","Female","15","10","5"
"2022","All","20","Wales","Female","10","10","5"
"2023","All","20","Wales","Female","25","15","10"
"2020","All","21 - 24","Northern Ireland","Female","25","10","10"
"2021","All","21 - 24","Northern Ireland","Female","15","5","5"
"2023","All","21 - 24","Northern Ireland","Female","5","0","0"
"2020","All","21 - 24","England","Female","645","270","195"
"2021","All","21 - 24","England","Female","510","170","135"
"2022","All","21 - 24","England","Female","290","105","75"
"2023","All","21 - 24","England","Female","565","215","145"
"2020","All","21 - 24","Scotland","Female","90","25","15"
"2021","All","21 - 24","Scotland","Female","65","25","15"
"2022","All","21 - 24","Scotland","Female","25","10","5"
"2023","All","21 - 24","Scotland","Female","60","15","10"
"2020","All","21 - 24","Wales","Female","40","15","10"
"2021","All","21 - 24","Wales","Female","35","15","15"
"2022","All","21 - 24","Wales","Female","20","10","5"
"2023","All","21 - 24","Wales","Female","35","15","10"
"2020","All","25 - 29","Northern Ireland","Female","15","5","5"
"2023","All","25 - 29","Northern Ireland","Female","5","0","0"
"2020","All","25 - 29","England","Female","385","145","105"
"2021","All","25 - 29","England","Female","250","70","50"
"2022","All","25 - 29","England","Female","180","50","35"
"2023","All","25 - 29","England","Female","295","85","55"
"2020","All","25 - 29","Scotland","Female","70","15","10"
"2021","All","25 - 29","Scotland","Female","25","5","5"
"2022","All","25 - 29","Scotland","Female","30","5","5"
"2023","All","25 - 29","Scotland","Female","30","10","5"
"2020","All","25 - 29","Wales","Female","30","20","15"
"2021","All","25 - 29","Wales","Female","30","10","5"
"2022","All","25 - 29","Wales","Female","20","10","10"
"2023","All","25 - 29","Wales","Female","20","5","5"
"2020","All","30 - 34","Northern Ireland","Female","5","0","0"
"2021","All","30 - 34","Northern Ireland","Female","5","0","0"
"2020","All","30 - 34","England","Female","310","105","80"
"2021","All","30 - 34","England","Female","190","60","40"
"2022","All","30 - 34","England","Female","165","50","35"
"2023","All","30 - 34","England","Female","220","65","45"
"2020","All","30 - 34","Scotland","Female","35","10","5"
"2021","All","30 - 34","Scotland","Female","20","10","10"
"2022","All","30 - 34","Scotland","Female","10","5","0"
"2023","All","30 - 34","Scotland","Female","20","5","5"
"2020","All","30 - 34","Wales","Female","20","5","5"
"2021","All","30 - 34","Wales","Female","20","10","5"
"2022","All","30 - 34","Wales","Female","10","5","5"
"2023","All","30 - 34","Wales","Female","15","10","5"
"2020","All","35 and over","Northern Ireland","Female","10","5","0"
"2022","All","35 and over","Northern Ireland","Female","5","0","0"
"2023","All","35 and over","Northern Ireland","Female","5","0","0"
"2020","All","35 and over","England","Female","680","250","195"
"2021","All","35 and over","England","Female","520","125","85"
"2022","All","35 and over","England","Female","450","100","70"
"2023","All","35 and over","England","Female","530","165","120"
"2020","All","35 and over","Scotland","Female","75","15","10"
"2021","All","35 and over","Scotland","Female","30","10","10"
"2022","All","35 and over","Scotland","Female","40","10","5"
"2023","All","35 and over","Scotland","Female","30","10","5"
"2020","All","35 and over","Wales","Female","35","20","15"
"2021","All","35 and over","Wales","Female","40","20","15"
"2022","All","35 and over","Wales","Female","20","10","10"
"2023","All","35 and over","Wales","Female","30","10","10"
"2020","All","17 and under","England","Male","15","5","5"
"2021","All","17 and under","England","Male","10","0","0"
"2022","All","17 and under","England","Male","15","5","0"
"2023","All","17 and under","England","Male","15","5","5"
"2020","All","17 and under","Scotland","Male","5","0","0"
"2021","All","17 and under","Scotland","Male","10","0","0"
"2022","All","17 and under","Scotland","Male","10","5","5"
"2023","All","17 and under","Scotland","Male","15","5","5"
"2020","All","18","Northern Ireland","Male","95","40","30"
"2021","All","18","Northern Ireland","Male","75","45","30"
"2022","All","18","Northern Ireland","Male","85","55","45"
"2023","All","18","Northern Ireland","Male","30","10","5"
"2020","All","18","England","Male","4515","1910","1295"
"2021","All","18","England","Male","2910","1610","1170"
"2022","All","18","England","Male","2640","1405","1035"
"2023","All","18","England","Male","4195","2030","1395"
"2020","All","18","Scotland","Male","150","75","65"
"2021","All","18","Scotland","Male","105","50","40"
"2022","All","18","Scotland","Male","100","50","35"
"2023","All","18","Scotland","Male","170","80","65"
"2020","All","18","Wales","Male","110","65","45"
"2021","All","18","Wales","Male","80","55","40"
"2022","All","18","Wales","Male","80","50","35"
"2023","All","18","Wales","Male","110","75","55"
"2020","All","19","Northern Ireland","Male","45","20","20"
"2021","All","19","Northern Ireland","Male","20","15","10"
"2022","All","19","Northern Ireland","Male","5","5","0"
"2023","All","19","Northern Ireland","Male","5","0","0"
"2020","All","19","England","Male","1015","480","325"
"2021","All","19","England","Male","650","355","240"
"2022","All","19","England","Male","525","290","215"
"2023","All","19","England","Male","1010","475","300"
"2020","All","19","Scotland","Male","45","20","15"
"2021","All","19","Scotland","Male","35","10","10"
