"Year","MEM quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2019","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","570","74760","0.008"
"2019","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","510","77610","0.007"
"2020","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","250","34970","0.007"
"2020","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","390","40040","0.01"
"2020","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","450","47330","0.009000000000000001"
"2020","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","760","74620","0.01"
"2020","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","670","78010","0.009000000000000001"
"2021","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","190","37060","0.005"
"2021","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","270","40780","0.007"
"2021","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","340","48670","0.007"
"2021","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","500","76990","0.006"
"2021","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","310","81310","0.004"
"2022","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","200","40190","0.005"
"2022","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","250","41760","0.006"
"2022","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","280","49710","0.006"
"2022","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","430","78620","0.005"
"2022","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","380","83390","0.005"
"2023","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","180","44850","0.004"
"2023","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","230","42390","0.005"
"2023","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","270","51160","0.005"
"2023","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","450","80310","0.006"
"2023","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","410","113710","0.004"
"2006","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","210","83090","0.003"
"2006","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","250","71120","0.004"
"2006","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","300","64560","0.005"
"2006","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","250","44530","0.006"
"2006","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","220","45470","0.005"
"2007","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","180","81030","0.002"
"2007","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","280","70630","0.004"
"2007","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","290","64320","0.004"
"2007","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","220","45000","0.005"
"2007","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","200","45650","0.004"
"2008","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","220","82640","0.003"
"2008","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","290","72790","0.004"
"2008","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","320","67120","0.005"
"2008","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","230","46480","0.005"
"2008","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","190","46540","0.004"
"2009","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","190","82020","0.002"
"2009","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","240","72740","0.003"
"2009","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","240","66570","0.004"
"2009","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","180","46350","0.004"
"2009","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","140","46970","0.003"
"2010","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","80","81890","0.001"
"2010","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","110","72190","0.001"
"2010","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","130","67420","0.002"
"2010","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","90","47660","0.002"
"2010","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","70","47450","0.002"
"2011","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","80","80150","0.001"
"2011","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","110","70750","0.002"
"2011","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","120","66320","0.002"
"2011","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","110","46350","0.002"
"2011","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","70","46480","0.001"
"2012","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","180","78200","0.002"
"2012","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","240","70550","0.003"
"2012","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","240","67670","0.004"
"2012","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","180","47330","0.004"
"2012","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","190","46990","0.004"
"2013","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","170","77300","0.002"
"2013","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","240","68920","0.004"
"2013","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","250","66210","0.004"
"2013","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","220","46600","0.005"
"2013","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","240","46850","0.005"
"2014","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","190","76540","0.002"
"2014","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","230","67700","0.003"
"2014","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","220","65900","0.003"
"2014","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","190","46540","0.004"
"2014","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","180","46970","0.004"
"2015","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","220","78610","0.003"
"2015","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","270","68600","0.004"
"2015","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","280","66960","0.004"
"2015","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","160","46990","0.003"
"2015","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","180","47850","0.004"
"2016","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","220","79180","0.003"
"2016","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","290","66540","0.004"
"2016","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","280","66300","0.004"
"2016","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","210","47040","0.004"
"2016","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","190","47810","0.004"
"2017","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","280","77810","0.004"
"2017","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","300","65600","0.005"
"2017","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","330","66130","0.005"
"2017","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","270","47030","0.006"
"2017","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","250","47750","0.005"
"2018","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","310","75270","0.004"
"2018","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","360","63590","0.006"
"2018","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","400","65310","0.006"
"2018","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","310","46130","0.007"
"2018","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","240","47040","0.005"
"2019","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","420","72110","0.006"
"2019","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","480","61550","0.008"
"2019","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","540","63890","0.008"
"2019","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","390","45440","0.009000000000000001"
"2019","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","300","46680","0.006"
"2020","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","520","71660","0.007"
"2020","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","640","60540","0.011"
"2020","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","740","63910","0.012"
"2020","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","560","45320","0.012"
"2020","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","440","46710","0.009000000000000001"
"2021","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","430","74530","0.006"
"2021","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","470","62810","0.007"
"2021","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","490","65370","0.008"
"2021","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","390","47320","0.008"
"2021","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","230","48740","0.005"
"2022","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","370","78540","0.005"
"2022","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","390","64760","0.006"
"2022","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","410","66480","0.006"
"2022","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","330","47750","0.007"
"2022","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","210","49920","0.004"
"2023","Quintile 1","18","England","Male","Not main scheme applicant","Not main scheme application","390","84140","0.005"
"2023","Quintile 2","18","England","Male","Not main scheme applicant","Not main scheme application","390","65890","0.006"
"2023","Quintile 3","18","England","Male","Not main scheme applicant","Not main scheme application","430","67460","0.006"
"2023","Quintile 4","18","England","Male","Not main scheme applicant","Not main scheme application","280","48790","0.006"
"2023","Quintile 5","18","England","Male","Not main scheme applicant","Not main scheme application","220","27940","0.008"
"2006","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","240","42390","0.006"
"2006","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","570","51320","0.011"
"2006","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1110","56980","0.019"
"2006","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","2100","75810","0.028"
"2006","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","3410","74640","0.046"
"2007","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","260","41510","0.006"
"2007","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","620","50280","0.012"
"2007","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1090","56350","0.019"
"2007","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","2250","75780","0.03"
"2007","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","3470","74670","0.046"
"2008","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","310","40890","0.007"
"2008","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","740","51350","0.014"
"2008","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1340","57490","0.023"
"2008","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","2550","77920","0.033"
"2008","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","3940","77850","0.051000000000000004"
"2009","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","360","40330","0.009000000000000001"
"2009","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","840","52120","0.016"
"2009","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1430","57610","0.025"
"2009","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","2820","78070","0.036000000000000004"
"2009","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","4150","77760","0.053"
"2010","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","360","40000","0.009000000000000001"
"2010","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","890","51220","0.017"
"2010","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1530","57360","0.027"
"2010","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","3070","78170","0.039"
"2010","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","4320","78770","0.055"
"2011","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","490","39000","0.013000000000000001"
"2011","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1100","49480","0.022"
"2011","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2070","56120","0.037"
"2011","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","3900","77630","0.05"
"2011","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","5220","77160","0.068"
"2012","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","500","38370","0.013000000000000001"
"2012","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1000","48400","0.021"
"2012","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","1970","55890","0.035"
"2012","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","3700","78630","0.047"
"2012","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","4930","78460","0.063"
"2013","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","500","37910","0.013000000000000001"
"2013","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1080","47180","0.023"
"2013","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2000","54920","0.036000000000000004"
"2013","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","3580","77090","0.046"
"2013","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","4770","78070","0.061"
"2014","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","600","38260","0.016"
"2014","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1190","46110","0.026000000000000002"
"2014","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2060","53530","0.038"
"2014","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","3920","76360","0.051000000000000004"
"2014","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","5420","77390","0.07"
"2015","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","630","39660","0.016"
"2015","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1260","46570","0.027"
"2015","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2320","54570","0.042"
"2015","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","4210","77870","0.054"
"2015","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","5720","79680","0.07200000000000001"
"2016","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","630","39810","0.016"
"2016","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1240","44630","0.028"
"2016","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2320","52740","0.044"
"2016","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","4540","77300","0.059000000000000004"
"2016","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","6170","78790","0.078"
"2017","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","670","38580","0.017"
"2017","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1270","44030","0.029"
"2017","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2200","51410","0.043000000000000003"
"2017","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","4600","76960","0.06"
"2017","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","6530","79370","0.082"
"2018","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","600","37730","0.016"
"2018","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1320","42420","0.031"
"2018","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2280","49210","0.046"
"2018","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","4680","76430","0.061"
"2018","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","6600","78400","0.084"
"2019","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","670","35990","0.019"
"2019","Quintile 2","18","England","Female","Main scheme applicant","Not main scheme application","1350","41220","0.033"
"2019","Quintile 3","18","England","Female","Main scheme applicant","Not main scheme application","2330","48110","0.049"
"2019","Quintile 4","18","England","Female","Main scheme applicant","Not main scheme application","5250","74760","0.07"
"2019","Quintile 5","18","England","Female","Main scheme applicant","Not main scheme application","7560","77610","0.097"
"2020","Quintile 1","18","England","Female","Main scheme applicant","Not main scheme application","620","34970","0.018000000000000002"
