"Year","Difference between predicted and achieved A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2020","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.981","15"
"2021","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2022","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2021","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2020","3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.974","5"
"2021","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","10"
"2021","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2021","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2018","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","10"
"2012","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","5"
"2013","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2014","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2016","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2017","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2018","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.897","5"
"2020","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","Less than -6 points","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","60","60","1","10"
"2021","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","30","25","0.931","5"
"2022","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2023","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","0 points","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2020","2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","More than 3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2013","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2020","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","40","35","0.923","10"
"2021","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2022","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2021","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","-2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2014","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2011","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","1","10"
"2012","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2013","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2014","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2015","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2016","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2017","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2018","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.913","5"
"2020","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2010","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","55","45","0.8150000000000001","0"
"2011","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","50","40","0.796","0"
"2012","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","35","0.786","0"
"2013","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.767","0"
"2014","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","30","0.865","0"
"2015","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2016","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","30","0.683","0"
"2017","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","40","0.9530000000000001","0"
"2018","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","40","0.894","0"
"2019","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","35","0.9440000000000001","0"
"2020","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","150","140","0.927","0"
"2021","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","80","70","0.899","0"
"2022","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","65","55","0.833","0"
"2023","0 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","50","45","0.843","0"
"2010","0 points","18","England","Female","Main scheme applicant","Not main scheme application","910","790","0.872","0"
"2011","0 points","18","England","Female","Main scheme applicant","Not main scheme application","1000","875","0.874","0"
"2012","0 points","18","England","Female","Main scheme applicant","Not main scheme application","960","860","0.898","0"
"2013","0 points","18","England","Female","Main scheme applicant","Not main scheme application","805","730","0.903","0"
"2014","0 points","18","England","Female","Main scheme applicant","Not main scheme application","730","660","0.908","0"
"2015","0 points","18","England","Female","Main scheme applicant","Not main scheme application","740","695","0.9400000000000001","0"
"2016","0 points","18","England","Female","Main scheme applicant","Not main scheme application","760","715","0.9380000000000001","0"
"2017","0 points","18","England","Female","Main scheme applicant","Not main scheme application","800","755","0.9490000000000001","0"
"2018","0 points","18","England","Female","Main scheme applicant","Not main scheme application","680","645","0.9470000000000001","0"
"2019","0 points","18","England","Female","Main scheme applicant","Not main scheme application","640","600","0.9410000000000001","0"
"2020","0 points","18","England","Female","Main scheme applicant","Not main scheme application","2660","2575","0.968","0"
"2021","0 points","18","England","Female","Main scheme applicant","Not main scheme application","1380","1250","0.906","0"
"2022","0 points","18","England","Female","Main scheme applicant","Not main scheme application","1115","990","0.891","0"
"2023","0 points","18","England","Female","Main scheme applicant","Not main scheme application","560","515","0.923","0"
"2010","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","35","35","0.971","0"
"2011","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","40","40","0.9520000000000001","0"
"2012","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","35","35","0.9440000000000001","0"
"2013","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","30","30","0.933","0"
"2014","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","30","25","0.767","0"
"2015","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","30","30","0.969","0"
"2016","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2017","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","25","25","1","0"
"2018","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2019","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","105","100","0.962","0"
"2021","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","55","50","0.891","0"
"2022","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","60","55","0.903","0"
"2023","0 points","18","Wales","Female","Main scheme applicant","Not main scheme application","25","25","0.962","0"
"2010","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2011","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2012","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2013","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2014","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2015","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2016","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2018","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2019","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2020","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2021","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","60","55","0.9490000000000001","0"
"2022","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","55","50","0.906","0"
"2023","1 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2010","1 points","18","England","Female","Main scheme applicant","Not main scheme application","350","300","0.865","0"
"2011","1 points","18","England","Female","Main scheme applicant","Not main scheme application","395","355","0.891","0"
"2012","1 points","18","England","Female","Main scheme applicant","Not main scheme application","470","430","0.911","0"
"2013","1 points","18","England","Female","Main scheme applicant","Not main scheme application","380","350","0.926","0"
"2014","1 points","18","England","Female","Main scheme applicant","Not main scheme application","345","320","0.925","0"
"2015","1 points","18","England","Female","Main scheme applicant","Not main scheme application","320","305","0.962","0"
"2016","1 points","18","England","Female","Main scheme applicant","Not main scheme application","310","285","0.923","0"
"2017","1 points","18","England","Female","Main scheme applicant","Not main scheme application","345","325","0.937","0"
"2018","1 points","18","England","Female","Main scheme applicant","Not main scheme application","310","285","0.929","0"
"2019","1 points","18","England","Female","Main scheme applicant","Not main scheme application","255","240","0.9420000000000001","0"
"2020","1 points","18","England","Female","Main scheme applicant","Not main scheme application","1020","980","0.964","0"
"2021","1 points","18","England","Female","Main scheme applicant","Not main scheme application","835","760","0.911","0"
"2022","1 points","18","England","Female","Main scheme applicant","Not main scheme application","590","535","0.905","0"
"2023","1 points","18","England","Female","Main scheme applicant","Not main scheme application","210","200","0.934","0"
"2010","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2012","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2013","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2014","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2015","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2016","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","50","50","0.962","0"
"2021","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2022","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","40","35","0.85","0"
"2023","1 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2018","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2021","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2022","2 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2010","2 points","18","England","Female","Main scheme applicant","Not main scheme application","130","110","0.84","0"
"2011","2 points","18","England","Female","Main scheme applicant","Not main scheme application","145","130","0.878","0"
"2012","2 points","18","England","Female","Main scheme applicant","Not main scheme application","175","165","0.9480000000000001","0"
"2013","2 points","18","England","Female","Main scheme applicant","Not main scheme application","150","140","0.9460000000000001","0"
"2014","2 points","18","England","Female","Main scheme applicant","Not main scheme application","145","135","0.925","0"
"2015","2 points","18","England","Female","Main scheme applicant","Not main scheme application","125","120","0.961","0"
"2016","2 points","18","England","Female","Main scheme applicant","Not main scheme application","115","110","0.9470000000000001","0"
"2017","2 points","18","England","Female","Main scheme applicant","Not main scheme application","170","165","0.9530000000000001","0"
"2018","2 points","18","England","Female","Main scheme applicant","Not main scheme application","175","165","0.9540000000000001","0"
"2019","2 points","18","England","Female","Main scheme applicant","Not main scheme application","145","130","0.923","0"
"2020","2 points","18","England","Female","Main scheme applicant","Not main scheme application","295","275","0.9390000000000001","0"
"2021","2 points","18","England","Female","Main scheme applicant","Not main scheme application","425","385","0.91","0"
"2022","2 points","18","England","Female","Main scheme applicant","Not main scheme application","265","235","0.88","0"
"2023","2 points","18","England","Female","Main scheme applicant","Not main scheme application","85","80","0.9400000000000001","0"
"2010","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","25","20","0.783","0"
"2022","2 points","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2016","3 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","3 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","3 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","3 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 points","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points","18","England","Female","Main scheme applicant","Not main scheme application","50","45","0.9","0"
"2011","3 points","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.862","0"
"2012","3 points","18","England","Female","Main scheme applicant","Not main scheme application","65","60","0.925","0"
"2013","3 points","18","England","Female","Main scheme applicant","Not main scheme application","60","60","0.967","0"
"2014","3 points","18","England","Female","Main scheme applicant","Not main scheme application","40","40","0.929","0"
"2015","3 points","18","England","Female","Main scheme applicant","Not main scheme application","40","40","0.976","0"
"2016","3 points","18","England","Female","Main scheme applicant","Not main scheme application","45","45","0.9560000000000001","0"
"2017","3 points","18","England","Female","Main scheme applicant","Not main scheme application","75","70","0.935","0"
"2018","3 points","18","England","Female","Main scheme applicant","Not main scheme application","70","65","0.929","0"
"2019","3 points","18","England","Female","Main scheme applicant","Not main scheme application","60","55","0.931","0"
"2020","3 points","18","England","Female","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2021","3 points","18","England","Female","Main scheme applicant","Not main scheme application","165","150","0.898","0"
"2022","3 points","18","England","Female","Main scheme applicant","Not main scheme application","95","90","0.918","0"
"2023","3 points","18","England","Female","Main scheme applicant","Not main scheme application","25","25","1","0"
"2021","3 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 points","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","More than 3 points","18","England","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2011","More than 3 points","18","England","Female","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2012","More than 3 points","18","England","Female","Main scheme applicant","Not main scheme application","25","25","0.923","0"
