"Year","Predicted SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","12 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","12 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","12 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","12 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","9 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","10 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","11 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","11 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","10","10"," ","0"
