"Year","Predicted A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1145","775","0.677","0"
"2019","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1015","675","0.663","0"
"2020","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","940","675","0.719","0"
"2021","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1140","830","0.73","0"
"2022","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1040","685","0.66","0"
"2023","9 point(s)","Quintile 2","Main scheme applicant","Main scheme application","910","535","0.588","0"
"2010","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2640","1780","0.674","0"
"2011","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2460","1615","0.655","0"
"2012","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2235","1485","0.664","0"
"2013","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2015","1410","0.7000000000000001","0"
"2014","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2045","1420","0.6950000000000001","0"
"2015","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2025","1410","0.6960000000000001","0"
"2016","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1920","1405","0.732","0"
"2017","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1870","1325","0.708","0"
"2018","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1760","1270","0.72","0"
"2019","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1440","1000","0.6960000000000001","0"
"2020","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1405","1040","0.742","0"
"2021","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1615","1205","0.746","0"
"2022","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1515","1045","0.6910000000000001","0"
"2023","10 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1405","885","0.632","0"
"2010","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2865","2060","0.719","0"
"2011","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2875","1960","0.681","0"
"2012","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2715","1890","0.6950000000000001","0"
"2013","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2695","1945","0.721","0"
"2014","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2650","1930","0.727","0"
"2015","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2765","1995","0.722","0"
"2016","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2610","1900","0.729","0"
"2017","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2585","1930","0.746","0"
"2018","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2425","1835","0.757","0"
"2019","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2170","1600","0.737","0"
"2020","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2140","1635","0.764","0"
"2021","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2235","1700","0.761","0"
"2022","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2215","1565","0.705","0"
"2023","11 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2080","1415","0.68","0"
"2010","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3270","2440","0.746","0"
"2011","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3450","2520","0.73","0"
"2012","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3300","2470","0.748","0"
"2013","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3390","2525","0.744","0"
"2014","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3245","2395","0.738","0"
"2015","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3380","2490","0.736","0"
"2016","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3445","2590","0.753","0"
"2017","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3450","2605","0.756","0"
"2018","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3350","2525","0.753","0"
"2019","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3050","2230","0.731","0"
"2020","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2935","2190","0.747","0"
"2021","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3125","2380","0.761","0"
"2022","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2975","2150","0.722","0"
"2023","12 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2810","1890","0.672","0"
"2010","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3060","2340","0.765","0"
"2011","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3255","2515","0.772","0"
"2012","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3050","2310","0.756","0"
"2013","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3255","2510","0.771","0"
"2014","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3360","2465","0.734","0"
"2015","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3600","2660","0.739","0"
"2016","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3620","2735","0.756","0"
"2017","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3620","2710","0.748","0"
"2018","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3455","2555","0.739","0"
"2019","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3170","2315","0.73","0"
"2020","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3090","2240","0.726","0"
"2021","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3265","2560","0.783","0"
"2022","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3065","2155","0.7030000000000001","0"
"2023","13 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3165","2170","0.686","0"
"2010","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2690","2080","0.773","0"
"2011","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2645","2075","0.785","0"
"2012","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2785","2205","0.791","0"
"2013","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2910","2285","0.785","0"
"2014","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3045","2345","0.769","0"
"2015","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3170","2465","0.778","0"
"2016","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3340","2600","0.778","0"
"2017","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3355","2540","0.757","0"
"2018","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3210","2400","0.748","0"
"2019","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3115","2250","0.722","0"
"2020","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3100","2290","0.739","0"
"2021","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3135","2500","0.798","0"
"2022","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3305","2395","0.725","0"
"2023","14 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3320","2310","0.6950000000000001","0"
"2010","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3170","2570","0.81","0"
"2011","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2910","2375","0.8170000000000001","0"
"2012","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2850","2280","0.8","0"
"2013","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2870","2350","0.8180000000000001","0"
"2014","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2910","2320","0.798","0"
"2015","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2720","2165","0.796","0"
"2016","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2850","2240","0.787","0"
"2017","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3045","2385","0.783","0"
"2018","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3035","2290","0.755","0"
"2019","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3185","2295","0.719","0"
"2020","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3155","2335","0.74","0"
"2021","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3410","2745","0.804","0"
"2022","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3435","2450","0.714","0"
"2023","15 point(s)","Quintile 2","Main scheme applicant","Main scheme application","3575","2475","0.6920000000000001","0"
"2010","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","945","800","0.845","0"
"2011","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1285","1085","0.847","0"
"2012","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1440","1190","0.8270000000000001","0"
"2013","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1490","1215","0.8150000000000001","0"
"2014","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1580","1300","0.8220000000000001","0"
"2015","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1585","1275","0.804","0"
"2016","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1635","1350","0.8250000000000001","0"
"2017","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1735","1425","0.8200000000000001","0"
"2018","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1805","1400","0.775","0"
"2019","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1950","1430","0.734","0"
"2020","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1965","1485","0.757","0"
"2021","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2225","1830","0.8220000000000001","0"
"2022","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2620","1945","0.742","0"
"2023","16 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2735","1945","0.71","0"
"2010","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","565","485","0.863","0"
"2011","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","730","640","0.877","0"
"2012","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","835","715","0.861","0"
"2013","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","845","730","0.862","0"
"2014","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","840","710","0.845","0"
"2015","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","910","750","0.8240000000000001","0"
"2016","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","990","840","0.85","0"
"2017","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1010","840","0.834","0"
"2018","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1160","980","0.848","0"
"2019","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1270","1005","0.793","0"
"2020","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1355","1090","0.806","0"
"2021","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1480","1275","0.862","0"
"2022","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1750","1375","0.786","0"
"2023","17 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2030","1530","0.753","0"
"2010","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","555","505","0.903","0"
"2011","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","660","615","0.927","0"
"2012","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","790","695","0.878","0"
"2013","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","725","655","0.906","0"
"2014","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","775","710","0.917","0"
"2015","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","795","725","0.912","0"
"2016","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","805","705","0.879","0"
"2017","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","825","730","0.886","0"
"2018","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","920","830","0.903","0"
"2019","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1060","925","0.875","0"
"2020","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1210","1075","0.889","0"
"2021","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1535","1370","0.892","0"
"2022","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","1935","1600","0.8270000000000001","0"
"2023","18 point(s)","Quintile 2","Main scheme applicant","Main scheme application","2180","1770","0.811","0"
"2010","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","15","5"," ","0"
"2011","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","3 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","0"," ","0"
"2010","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","35","20","0.514","0"
"2011","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","30","10","0.367","0"
"2012","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","0"," ","0"
"2013","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","10"," ","0"
"2020","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","10","0.611","0"
"2021","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","20","10","0.524","0"
"2022","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","25","10","0.47800000000000004","0"
"2023","4 point(s)","Quintile 3","Main scheme applicant","Main scheme application","30","15","0.419","0"
"2010","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","140","60","0.418","0"
"2011","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","105","45","0.421","0"
"2012","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","65","30","0.424","0"
"2013","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","50","15","0.34700000000000003","0"
"2014","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","40","25","0.5750000000000001","0"
"2015","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","30","15","0.484","0"
"2016","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","25","10","0.458","0"
"2017","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","40","20","0.513","0"
"2018","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","40","15","0.447","0"
"2019","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","45","20","0.488","0"
"2020","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","40","25","0.625","0"
"2021","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","60","35","0.583","0"
"2022","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","55","25","0.509","0"
"2023","5 point(s)","Quintile 3","Main scheme applicant","Main scheme application","65","25","0.369","0"
"2010","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","375","170","0.452","0"
"2011","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","275","120","0.44","0"
"2012","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","200","90","0.465","0"
"2013","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","160","80","0.494","0"
"2014","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","125","70","0.552","0"
"2015","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","105","60","0.583","0"
"2016","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","70","40","0.592","0"
"2017","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","125","60","0.492","0"
"2018","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","100","50","0.495","0"
"2019","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","115","50","0.451","0"
"2020","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","105","60","0.585","0"
"2021","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","135","75","0.549","0"
"2022","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","150","75","0.507","0"
"2023","6 point(s)","Quintile 3","Main scheme applicant","Main scheme application","140","70","0.489","0"
"2010","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","775","380","0.489","0"
"2011","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","650","310","0.47900000000000004","0"
"2012","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","440","220","0.5","0"
"2013","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","360","210","0.581","0"
"2014","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","330","200","0.602","0"
"2015","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","300","170","0.5690000000000001","0"
"2016","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","255","160","0.635","0"
"2017","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","270","165","0.616","0"
"2018","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","265","165","0.619","0"
"2019","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","255","135","0.528","0"
"2020","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","235","145","0.614","0"
"2021","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","250","150","0.608","0"
"2022","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","320","170","0.535","0"
"2023","7 point(s)","Quintile 3","Main scheme applicant","Main scheme application","250","130","0.516","0"
"2010","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1415","775","0.549","0"
"2011","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1195","625","0.523","0"
"2012","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","880","490","0.554","0"
"2013","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","760","465","0.611","0"
"2014","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","665","435","0.653","0"
"2015","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","640","385","0.6","0"
"2016","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","605","390","0.639","0"
"2017","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","605","380","0.632","0"
"2018","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","500","325","0.652","0"
"2019","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","470","280","0.593","0"
"2020","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","430","290","0.673","0"
"2021","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","485","330","0.685","0"
"2022","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","530","325","0.611","0"
"2023","8 point(s)","Quintile 3","Main scheme applicant","Main scheme application","450","245","0.543","0"
"2010","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2750","1725","0.628","0"
"2011","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2445","1470","0.602","0"
"2012","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2010","1195","0.595","0"
"2013","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1780","1165","0.655","0"
"2014","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1670","1145","0.686","0"
"2015","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1595","1020","0.641","0"
"2016","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1430","970","0.677","0"
"2017","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1395","940","0.674","0"
"2018","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1275","865","0.678","0"
"2019","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1170","755","0.647","0"
"2020","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1070","755","0.706","0"
"2021","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1265","890","0.7030000000000001","0"
"2022","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1235","780","0.631","0"
"2023","9 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1060","630","0.593","0"
"2010","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3260","2205","0.677","0"
"2011","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3145","2065","0.657","0"
"2012","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2885","1880","0.651","0"
"2013","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2615","1845","0.706","0"
"2014","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2530","1775","0.7010000000000001","0"
"2015","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2600","1820","0.7000000000000001","0"
"2016","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2385","1685","0.706","0"
"2017","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2215","1585","0.716","0"
"2018","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2030","1440","0.71","0"
"2019","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1715","1200","0.7000000000000001","0"
"2020","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1730","1290","0.746","0"
"2021","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1895","1390","0.734","0"
"2022","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1885","1250","0.661","0"
"2023","10 point(s)","Quintile 3","Main scheme applicant","Main scheme application","1705","1105","0.647","0"
"2010","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3635","2555","0.7030000000000001","0"
"2011","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3695","2625","0.711","0"
"2012","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3415","2385","0.6980000000000001","0"
"2013","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3400","2445","0.719","0"
"2014","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3295","2355","0.716","0"
"2015","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3420","2490","0.727","0"
"2016","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3375","2410","0.714","0"
"2017","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3245","2370","0.731","0"
"2018","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3000","2200","0.733","0"
"2019","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2765","2025","0.733","0"
"2020","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2645","1935","0.732","0"
"2021","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2840","2100","0.741","0"
"2022","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2610","1785","0.683","0"
"2023","11 point(s)","Quintile 3","Main scheme applicant","Main scheme application","2620","1760","0.67","0"
"2010","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4430","3205","0.724","0"
"2011","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4420","3190","0.722","0"
"2012","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4275","3080","0.721","0"
"2013","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4255","3140","0.739","0"
"2014","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4235","3085","0.729","0"
"2015","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4195","3075","0.733","0"
"2016","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4405","3205","0.727","0"
"2017","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4375","3235","0.74","0"
"2018","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4210","3045","0.724","0"
"2019","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3950","2815","0.713","0"
"2020","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3845","2835","0.738","0"
"2021","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4040","3070","0.76","0"
"2022","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3730","2650","0.711","0"
"2023","12 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3400","2275","0.669","0"
"2010","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4205","3160","0.752","0"
"2011","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4270","3235","0.757","0"
"2012","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4235","3110","0.734","0"
"2013","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4350","3285","0.756","0"
"2014","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4445","3240","0.729","0"
"2015","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4820","3540","0.734","0"
"2016","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4755","3480","0.732","0"
"2017","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4720","3415","0.724","0"
"2018","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4485","3265","0.728","0"
"2019","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4350","3145","0.723","0"
"2020","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4135","2915","0.705","0"
"2021","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4265","3270","0.767","0"
"2022","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4080","2835","0.6950000000000001","0"
"2023","13 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4055","2770","0.683","0"
"2010","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3965","3080","0.776","0"
"2011","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3865","3055","0.791","0"
"2012","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","3810","2945","0.772","0"
"2013","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4105","3275","0.798","0"
"2014","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4055","3100","0.765","0"
"2015","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4435","3405","0.768","0"
"2016","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4495","3390","0.754","0"
"2017","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4655","3465","0.744","0"
"2018","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4405","3235","0.735","0"
"2019","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4370","3110","0.712","0"
"2020","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4165","3000","0.719","0"
"2021","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4350","3430","0.789","0"
"2022","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4355","3125","0.718","0"
"2023","14 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4390","2985","0.68","0"
"2010","15 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4725","3805","0.806","0"
"2011","15 point(s)","Quintile 3","Main scheme applicant","Main scheme application","4340","3525","0.8130000000000001","0"
